MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-08-07 12:42:09,1.17.0,FR1,13,4.05,,1,Left,Left,1,0,0,0,,,0.3
2025-08-07 12:42:15,1.17.0,FR1,13,4.05,3.0,1,Pellet,Left,1,0,1,0,1.57,,
2025-08-07 14:17:47,1.17.0,FR1,13,4.05,,1,Left,Left,2,0,1,0,,,0.09
2025-08-07 14:17:53,1.17.0,FR1,13,4.05,3.0,1,Pellet,Left,2,0,2,0,1.0,5738.0,
2025-08-07 14:18:26,1.17.0,FR1,13,4.05,,1,Left,Left,3,0,2,0,,,0.17
2025-08-07 14:18:27,1.17.0,FR1,13,4.05,1.0,1,Pellet,Left,3,0,3,0,0.5,34.0,
2025-08-07 14:18:57,1.17.0,FR1,13,4.05,,1,Left,Left,4,0,3,0,,,0.29
2025-08-07 14:18:58,1.17.0,FR1,13,4.05,1.0,1,Pellet,Left,4,0,4,0,0.5,31.0,
2025-08-07 14:19:35,1.17.0,FR1,13,4.05,,1,Left,Left,5,0,4,0,,,0.09
2025-08-07 14:19:37,1.17.0,FR1,13,4.05,1.0,1,Pellet,Left,5,0,5,0,0.5,39.0,
2025-08-07 14:20:00,1.17.0,FR1,13,4.05,,1,Left,Left,6,0,5,0,,,0.29
2025-08-07 14:20:04,1.17.0,FR1,13,4.05,2.0,1,Pellet,Left,6,0,6,0,0.88,27.0,
2025-08-07 14:20:38,1.17.0,FR1,13,4.05,,1,Left,Left,7,0,6,0,,,0.28
2025-08-07 14:20:39,1.17.0,FR1,13,4.05,1.0,1,Pellet,Left,7,0,7,0,0.56,35.0,
2025-08-07 14:21:15,1.17.0,FR1,13,4.05,,1,Left,Left,8,0,7,0,,,0.01
