MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-08-11 13:59:55,1.17.0,Bandit80,23,4.27,,20,20,80,Right,Right,0,1,0,0,,,0.36
2025-08-11 14:02:14,1.17.0,Bandit80,23,4.27,4.0,20,20,80,Pellet,Right,0,1,1,0,,,
2025-08-11 14:03:24,1.17.0,Bandit80,23,4.27,,20,20,80,Left,Right,1,1,1,1,,,0.16
2025-08-11 14:04:14,1.17.0,Bandit80,23,4.27,,20,20,80,Left,Right,2,1,1,1,,,0.3
2025-08-11 14:04:19,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,2,1,1,1,,,0.0
2025-08-11 14:04:19,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,2,1,1,1,,,0.0
2025-08-11 14:07:19,1.17.0,Bandit80,23,4.27,,20,20,80,Left,Right,3,1,1,1,,,0.21
2025-08-11 14:07:21,1.17.0,Bandit80,23,4.27,,20,20,80,LeftWithPellet,Right,3,1,1,1,,,0.03
2025-08-11 14:07:23,1.17.0,Bandit80,23,4.27,2.0,20,20,80,Pellet,Right,3,1,2,1,2.45,309.0,
2025-08-11 14:07:47,1.17.0,Bandit80,23,4.27,,20,20,80,Left,Right,4,1,2,2,,,0.04
2025-08-11 14:07:49,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,4,1,2,2,,,
2025-08-11 14:07:49,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,4,1,2,2,,,
2025-08-11 14:07:50,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,4,1,2,2,,,
2025-08-11 14:07:53,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,4,1,2,2,,,
2025-08-11 14:07:55,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,4,1,2,2,,,
2025-08-11 14:07:55,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,4,1,2,2,,,
2025-08-11 14:07:57,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,4,1,2,2,,,
2025-08-11 14:08:00,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,4,1,2,2,,,
2025-08-11 14:08:01,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,4,1,2,2,,,
2025-08-11 14:08:02,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,4,1,2,2,,,
2025-08-11 14:08:04,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,4,1,2,2,,,
2025-08-11 14:08:06,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,4,1,2,2,,,
2025-08-11 14:08:10,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,4,1,2,2,,,
2025-08-11 14:08:11,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,4,1,2,2,,,
2025-08-11 14:08:12,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,4,1,2,2,,,
2025-08-11 14:08:14,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,4,1,2,2,,,
2025-08-11 14:08:17,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,4,1,2,2,,,
2025-08-11 14:08:22,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,4,1,2,2,,,0.0
2025-08-11 14:08:22,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,4,1,2,2,,,0.0
2025-08-11 14:08:22,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,4,1,2,2,,,0.0
2025-08-11 14:08:24,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,4,1,2,2,,,0.0
2025-08-11 14:08:24,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,4,1,2,2,,,0.0
2025-08-11 14:08:25,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,4,1,2,2,,,0.0
2025-08-11 14:08:25,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,4,1,2,2,,,0.0
2025-08-11 14:08:25,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,4,1,2,2,,,0.0
2025-08-11 14:08:25,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,4,1,2,2,,,0.0
2025-08-11 14:08:27,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,4,1,2,2,,,0.0
2025-08-11 14:08:31,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,4,1,2,2,,,0.0
2025-08-11 14:08:32,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,4,1,2,2,,,0.0
2025-08-11 14:08:32,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,4,1,2,2,,,0.0
2025-08-11 14:08:40,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,4,1,2,2,,,
2025-08-11 14:08:41,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,4,1,2,2,,,
2025-08-11 14:08:42,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,4,1,2,2,,,
2025-08-11 14:09:03,1.17.0,Bandit80,23,4.27,,20,20,80,Left,Right,5,1,2,2,,,0.2
2025-08-11 14:09:06,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,5,1,2,2,,,
2025-08-11 14:09:07,1.17.0,Bandit80,23,4.28,,20,20,80,LeftinTimeOut,Right,5,1,2,2,,,
2025-08-11 14:09:08,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,5,1,2,2,,,
2025-08-11 14:09:09,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,5,1,2,2,,,
2025-08-11 14:09:10,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,5,1,2,2,,,
2025-08-11 14:09:11,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,5,1,2,2,,,
2025-08-11 14:09:14,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,5,1,2,2,,,
2025-08-11 14:09:14,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,5,1,2,2,,,
2025-08-11 14:09:15,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,5,1,2,2,,,
2025-08-11 14:09:17,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,5,1,2,2,,,
2025-08-11 14:09:21,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,5,1,2,2,,,
2025-08-11 14:09:22,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,5,1,2,2,,,
2025-08-11 14:09:24,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,5,1,2,2,,,
2025-08-11 14:09:26,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,5,1,2,2,,,
2025-08-11 14:09:42,1.17.0,Bandit80,23,4.27,,20,20,80,Left,Right,6,1,2,2,,,0.35
2025-08-11 14:09:47,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,6,1,2,2,,,0.0
2025-08-11 14:09:47,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,6,1,2,2,,,0.0
2025-08-11 14:09:48,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,6,1,2,2,,,0.0
2025-08-11 14:09:48,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,6,1,2,2,,,0.0
2025-08-11 14:09:48,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,6,1,2,2,,,0.0
2025-08-11 14:09:52,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,6,1,2,2,,,0.0
2025-08-11 14:09:53,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,6,1,2,2,,,0.0
2025-08-11 14:09:56,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,6,1,2,2,,,0.0
2025-08-11 14:09:56,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,6,1,2,2,,,0.0
2025-08-11 14:09:56,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,6,1,2,2,,,0.0
2025-08-11 14:10:05,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,6,1,2,2,,,0.0
2025-08-11 14:10:08,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,6,1,2,2,,,0.0
2025-08-11 14:10:52,1.17.0,Bandit80,23,4.27,,20,20,80,Right,Right,6,2,2,2,,,0.15
2025-08-11 14:10:53,1.17.0,Bandit80,23,4.27,2.0,20,20,80,Pellet,Right,6,2,3,2,0.61,210.0,
2025-08-11 14:11:23,1.17.0,Bandit80,23,4.27,,20,20,80,Left,Right,7,2,3,3,,,0.21
2025-08-11 14:11:24,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,7,2,3,3,,,
2025-08-11 14:11:29,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,7,2,3,3,,,
2025-08-11 14:11:32,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,7,2,3,3,,,0.0
2025-08-11 14:11:32,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,7,2,3,3,,,0.0
2025-08-11 14:11:35,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,7,2,3,3,,,
2025-08-11 14:11:37,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,7,2,3,3,,,
2025-08-11 14:11:40,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,7,2,3,3,,,
2025-08-11 14:11:42,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,7,2,3,3,,,
2025-08-11 14:11:43,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,7,2,3,3,,,
2025-08-11 14:11:44,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,7,2,3,3,,,
2025-08-11 14:11:44,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,7,2,3,3,,,
2025-08-11 14:11:45,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,7,2,3,3,,,
2025-08-11 14:11:45,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,7,2,3,3,,,
2025-08-11 14:11:48,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,7,2,3,3,,,
2025-08-11 14:11:52,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,7,2,3,3,,,0.0
2025-08-11 14:11:52,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,7,2,3,3,,,0.0
2025-08-11 14:11:53,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,7,2,3,3,,,0.0
2025-08-11 14:12:07,1.17.0,Bandit80,23,4.27,,20,20,80,Right,Right,7,3,3,3,,,0.18
2025-08-11 14:12:08,1.17.0,Bandit80,23,4.27,1.0,20,20,80,Pellet,Right,7,3,4,3,0.67,75.0,
2025-08-11 14:12:47,1.17.0,Bandit80,23,4.27,,20,20,80,Right,Right,7,4,4,4,,,0.12
2025-08-11 14:13:06,1.17.0,Bandit80,23,4.27,1.0,20,20,80,Pellet,Right,7,4,5,4,17.95,58.0,
2025-08-11 14:13:43,1.17.0,Bandit80,23,4.27,,20,20,80,Left,Right,8,4,5,5,,,0.29
2025-08-11 14:13:44,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,8,4,5,5,,,
2025-08-11 14:13:47,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,8,4,5,5,,,
2025-08-11 14:13:48,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,8,4,5,5,,,
2025-08-11 14:13:52,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,8,4,5,5,,,
2025-08-11 14:13:54,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,8,4,5,5,,,
2025-08-11 14:13:57,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,8,4,5,5,,,
2025-08-11 14:13:59,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,8,4,5,5,,,
2025-08-11 14:14:03,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,8,4,5,5,,,
2025-08-11 14:14:06,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,8,4,5,5,,,
2025-08-11 14:14:23,1.17.0,Bandit80,23,4.27,,20,20,80,Right,Right,8,5,5,5,,,0.6
2025-08-11 14:14:25,1.17.0,Bandit80,23,4.27,1.0,20,20,80,Pellet,Right,8,5,6,5,1.46,79.0,
2025-08-11 14:14:54,1.17.0,Bandit80,23,4.27,,20,20,80,Right,Right,8,6,6,6,,,0.01
2025-08-11 14:14:56,1.17.0,Bandit80,23,4.27,1.0,20,20,80,Pellet,Right,8,6,7,6,0.61,31.0,
2025-08-11 14:15:21,1.17.0,Bandit80,23,4.27,,20,20,80,Left,Right,9,6,7,7,,,0.3
2025-08-11 14:15:25,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,9,6,7,7,,,
2025-08-11 14:15:32,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,9,6,7,7,,,0.0
2025-08-11 14:15:33,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,9,6,7,7,,,0.0
2025-08-11 14:15:38,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,9,6,7,7,,,0.0
2025-08-11 14:15:39,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,9,6,7,7,,,0.0
2025-08-11 14:15:42,1.17.0,Bandit80,23,4.27,,20,20,80,LeftinTimeOut,Right,9,6,7,7,,,
2025-08-11 14:15:45,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,9,6,7,7,,,0.0
2025-08-11 14:15:45,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,9,6,7,7,,,0.0
2025-08-11 14:15:46,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,9,6,7,7,,,0.0
2025-08-11 14:15:46,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,9,6,7,7,,,0.0
2025-08-11 14:15:46,1.17.0,Bandit80,23,4.27,,20,20,80,RightinTimeout,Right,9,6,7,7,,,0.0
