MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-08-18 12:45:56,1.17.0,Bandit100,8,3.99,,20,0,100,Right,Right,0,1,0,0,,,0.32
2025-08-18 12:54:48,1.17.0,Bandit100,8,4.0,3.0,20,0,100,Pellet,Right,0,1,1,0,,,
2025-08-18 12:58:37,1.17.0,Bandit100,8,4.0,,20,0,100,Left,Right,1,1,1,1,,,0.74
2025-08-18 12:58:38,1.17.0,Bandit100,8,3.99,,20,0,100,LeftinTimeOut,Right,1,1,1,1,,,
2025-08-18 13:00:33,1.17.0,Bandit100,8,4.0,,20,0,100,Left,Right,2,1,1,1,,,0.5
2025-08-18 13:02:45,1.17.0,Bandit100,8,3.99,,20,0,100,Left,Right,3,1,1,1,,,0.09
2025-08-18 13:05:47,1.17.0,Bandit100,8,4.0,,20,0,100,Left,Right,4,1,1,1,,,0.17
2025-08-18 13:06:43,1.17.0,Bandit100,8,4.0,,20,0,100,Left,Right,5,1,1,1,,,0.09
2025-08-18 13:08:32,1.17.0,Bandit100,8,3.99,,20,0,100,Left,Right,6,1,1,1,,,0.35
2025-08-18 13:09:58,1.17.0,Bandit100,8,4.0,,20,0,100,Left,Right,7,1,1,1,,,0.1
2025-08-18 13:10:13,1.17.0,Bandit100,8,4.0,,20,0,100,Right,Right,7,2,1,1,,,0.02
2025-08-18 13:10:13,1.17.0,Bandit100,8,4.0,,20,0,100,RightDuringDispense,Right,7,2,1,1,,,0.02
2025-08-18 13:10:14,1.17.0,Bandit100,8,4.0,,20,0,100,RightDuringDispense,Right,7,2,1,1,,,0.19
2025-08-18 13:10:27,1.17.0,Bandit100,8,3.99,3.0,20,0,100,Pellet,Right,7,2,2,1,7.79,939.0,
2025-08-18 13:11:01,1.17.0,Bandit100,8,4.0,,20,0,100,Right,Right,7,3,2,2,,,0.1
2025-08-18 13:11:06,1.17.0,Bandit100,8,3.99,1.0,20,0,100,Pellet,Right,7,3,3,2,3.74,39.0,
2025-08-18 13:12:41,1.17.0,Bandit100,8,3.99,,20,0,100,Right,Right,7,4,3,3,,,0.04
2025-08-18 13:12:55,1.17.0,Bandit100,8,3.99,1.0,20,0,100,Pellet,Right,7,4,4,3,13.33,109.0,
2025-08-18 13:15:41,1.17.0,Bandit100,8,4.0,,20,0,100,Right,Right,7,5,4,4,,,0.04
2025-08-18 13:16:05,1.17.0,Bandit100,8,4.0,1.0,20,0,100,Pellet,Right,7,5,5,4,23.19,190.0,
2025-08-18 13:16:20,1.17.0,Bandit100,8,3.99,,20,0,100,Left,Right,8,5,5,5,,,0.07
2025-08-18 13:16:21,1.17.0,Bandit100,8,4.0,,20,0,100,LeftinTimeOut,Right,8,5,5,5,,,
2025-08-18 13:16:53,1.17.0,Bandit100,8,4.0,,20,0,100,Left,Right,9,5,5,5,,,0.02
2025-08-18 13:17:51,1.17.0,Bandit100,8,4.0,,20,0,100,Right,Right,9,6,5,5,,,0.08
2025-08-18 13:18:06,1.17.0,Bandit100,8,3.99,3.0,20,0,100,Pellet,Right,9,6,6,5,10.07,121.0,
2025-08-18 13:21:13,1.17.0,Bandit100,8,4.0,,20,0,100,Left,Right,10,6,6,6,,,0.0
2025-08-18 13:21:56,1.17.0,Bandit100,8,3.99,,20,0,100,Left,Right,11,6,6,6,,,0.19
2025-08-18 13:25:01,1.17.0,Bandit100,8,4.0,,20,0,100,Left,Right,12,6,6,6,,,0.0
2025-08-18 13:25:07,1.17.0,Bandit100,8,3.99,,20,0,100,LeftinTimeOut,Right,12,6,6,6,,,
2025-08-18 13:27:52,1.17.0,Bandit100,8,3.99,,20,0,100,Left,Right,13,6,6,6,,,0.12
2025-08-18 13:28:47,1.17.0,Bandit100,8,3.99,,20,0,100,Left,Right,14,6,6,6,,,0.21
2025-08-18 13:30:38,1.17.0,Bandit100,8,4.0,,20,0,100,Left,Right,15,6,6,6,,,0.22
2025-08-18 13:36:21,1.17.0,Bandit100,8,4.0,,20,0,100,Left,Right,16,6,6,6,,,0.14
2025-08-18 13:36:36,1.17.0,Bandit100,8,4.0,,20,0,100,Right,Right,16,7,6,6,,,0.22
2025-08-18 13:36:46,1.17.0,Bandit100,8,4.0,1.0,20,0,100,Pellet,Right,16,7,7,6,9.39,1120.0,
2025-08-18 13:37:07,1.17.0,Bandit100,8,4.0,,20,0,100,Left,Right,17,7,7,7,,,0.01
2025-08-18 13:37:07,1.17.0,Bandit100,8,4.0,,20,0,100,LeftinTimeOut,Right,17,7,7,7,,,
2025-08-18 13:37:08,1.17.0,Bandit100,8,3.99,,20,0,100,LeftinTimeOut,Right,17,7,7,7,,,
