MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-10-06 15:40:00,1.17.2,Bandit100,50,4.2,,20,0,100,Right,Right,0,1,0,0,,,0.15
2025-10-06 15:58:58,1.17.2,Bandit100,50,4.19,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.01
2025-10-06 16:01:26,1.17.2,Bandit100,50,4.2,4.0,20,0,100,Pellet,Right,0,1,1,0,,,
2025-10-06 16:05:50,1.17.2,Bandit100,50,4.2,,20,0,100,Right,Right,0,2,1,1,,,0.0
2025-10-06 16:05:50,1.17.2,Bandit100,50,4.19,,20,0,100,RightDuringDispense,Right,0,2,1,1,,,0.15
2025-10-06 16:06:00,1.17.2,Bandit100,50,4.2,3.0,20,0,100,Pellet,Right,0,2,2,1,6.75,274.0,
2025-10-06 16:08:13,1.17.2,Bandit100,50,4.19,,20,0,100,Left,Right,1,2,2,2,,,0.58
2025-10-06 17:55:57,1.17.2,Bandit100,50,4.18,,20,0,100,Right,Right,1,3,2,2,,,0.04
2025-10-06 17:55:57,1.17.2,Bandit100,50,4.19,,20,0,100,RightDuringDispense,Right,1,3,2,2,,,0.04
2025-10-06 17:56:12,1.17.2,Bandit100,50,4.18,2.0,20,0,100,Pellet,Right,1,3,3,2,11.73,6612.0,
2025-10-06 17:56:47,1.17.2,Bandit100,50,4.19,,20,0,100,Left,Right,2,3,3,3,,,0.37
2025-10-06 18:38:50,1.17.2,Bandit100,50,4.18,,20,0,100,Right,Right,2,4,3,3,,,0.36
2025-10-06 18:38:56,1.17.2,Bandit100,50,4.18,1.0,20,0,100,Pellet,Right,2,4,4,3,5.77,2564.0,
2025-10-06 19:00:37,1.17.2,Bandit100,50,4.18,,20,0,100,Left,Right,3,4,4,4,,,0.42
2025-10-06 19:33:48,1.17.2,Bandit100,50,4.18,,20,0,100,Right,Right,3,5,4,4,,,0.18
2025-10-06 19:33:53,1.17.2,Bandit100,50,4.18,1.0,20,0,100,Pellet,Right,3,5,5,4,4.35,3297.0,
