MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-11-03 14:55:45,1.17.0,Bandit100,19,4.11,,20,0,100,Right,Right,0,1,0,0,,,0.38
2025-11-03 14:58:00,1.17.0,Bandit100,19,4.11,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.65
2025-11-03 14:58:12,1.17.0,Bandit100,19,4.11,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.72
2025-11-03 14:58:53,1.17.0,Bandit100,19,4.11,3.0,20,0,100,Pellet,Right,0,1,1,0,,,
2025-11-03 15:00:07,1.17.0,Bandit100,19,4.11,,20,0,100,Right,Right,0,2,1,1,,,0.02
2025-11-03 15:00:20,1.17.0,Bandit100,19,4.11,1.0,20,0,100,Pellet,Right,0,2,2,1,11.78,87.0,
2025-11-03 15:02:34,1.17.0,Bandit100,19,4.11,,20,0,100,Left,Right,1,2,2,2,,,0.27
2025-11-03 15:02:35,1.17.0,Bandit100,19,4.11,,20,0,100,LeftinTimeOut,Right,1,2,2,2,,,
2025-11-03 15:02:36,1.17.0,Bandit100,19,4.11,,20,0,100,LeftinTimeOut,Right,1,2,2,2,,,
2025-11-03 15:02:36,1.17.0,Bandit100,19,4.11,,20,0,100,LeftinTimeOut,Right,1,2,2,2,,,
2025-11-03 15:02:36,1.17.0,Bandit100,19,4.11,,20,0,100,LeftinTimeOut,Right,1,2,2,2,,,
2025-11-03 15:02:36,1.17.0,Bandit100,19,4.11,,20,0,100,LeftinTimeOut,Right,1,2,2,2,,,
2025-11-03 15:03:09,1.17.0,Bandit100,19,4.11,,20,0,100,Left,Right,2,2,2,2,,,0.12
2025-11-03 15:04:17,1.17.0,Bandit100,19,4.11,,20,0,100,Left,Right,3,2,2,2,,,0.14
2025-11-03 15:04:18,1.17.0,Bandit100,19,4.11,,20,0,100,LeftinTimeOut,Right,3,2,2,2,,,
2025-11-03 15:04:18,1.17.0,Bandit100,19,4.11,,20,0,100,LeftinTimeOut,Right,3,2,2,2,,,
2025-11-03 15:04:19,1.17.0,Bandit100,19,4.11,,20,0,100,LeftinTimeOut,Right,3,2,2,2,,,
2025-11-03 15:04:19,1.17.0,Bandit100,19,4.11,,20,0,100,LeftinTimeOut,Right,3,2,2,2,,,
2025-11-03 15:04:20,1.17.0,Bandit100,19,4.11,,20,0,100,LeftinTimeOut,Right,3,2,2,2,,,
2025-11-03 15:04:20,1.17.0,Bandit100,19,4.11,,20,0,100,LeftinTimeOut,Right,3,2,2,2,,,
2025-11-03 15:04:20,1.17.0,Bandit100,19,4.11,,20,0,100,LeftinTimeOut,Right,3,2,2,2,,,
2025-11-03 15:06:17,1.17.0,Bandit100,19,4.11,,20,0,100,Right,Right,3,3,2,2,,,0.25
2025-11-03 15:06:21,1.17.0,Bandit100,19,4.11,1.0,20,0,100,Pellet,Right,3,3,3,2,3.03,361.0,
2025-11-03 15:07:20,1.17.0,Bandit100,19,4.11,,20,0,100,Left,Right,4,3,3,3,,,0.26
2025-11-03 15:10:09,1.17.0,Bandit100,19,4.11,,20,0,100,Left,Right,5,3,3,3,,,0.01
2025-11-03 15:12:47,1.17.0,Bandit100,19,4.11,,20,0,100,Right,Right,5,4,3,3,,,0.74
2025-11-03 15:12:54,1.17.0,Bandit100,19,4.11,1.0,20,0,100,Pellet,Right,5,4,4,3,6.26,393.0,
2025-11-03 15:16:30,1.17.0,Bandit100,19,4.11,,20,0,100,Left,Right,6,4,4,4,,,0.31
2025-11-03 15:19:01,1.17.0,Bandit100,19,4.09,,20,0,100,Left,Right,7,4,4,4,,,1.16
2025-11-03 15:19:02,1.17.0,Bandit100,19,4.11,,20,0,100,LeftinTimeOut,Right,7,4,4,4,,,
2025-11-03 15:19:20,1.17.0,Bandit100,19,4.11,,20,0,100,Right,Right,7,5,4,4,,,0.24
2025-11-03 15:19:25,1.17.0,Bandit100,19,4.11,1.0,20,0,100,Pellet,Right,7,5,5,4,4.43,391.0,
2025-11-03 15:20:52,1.17.0,Bandit100,19,4.1,,20,0,100,Right,Right,7,6,5,5,,,0.05
2025-11-03 15:21:06,1.17.0,Bandit100,19,4.11,1.0,20,0,100,Pellet,Right,7,6,6,5,12.8,101.0,
2025-11-03 15:21:55,1.17.0,Bandit100,19,4.11,,20,0,100,Left,Right,8,6,6,6,,,0.18
2025-11-03 15:22:55,1.17.0,Bandit100,19,4.09,,20,0,100,Left,Right,9,6,6,6,,,0.05
2025-11-03 15:22:55,1.17.0,Bandit100,19,4.09,,20,0,100,LeftinTimeOut,Right,9,6,6,6,,,
2025-11-03 15:22:56,1.17.0,Bandit100,19,4.11,,20,0,100,LeftinTimeOut,Right,9,6,6,6,,,
2025-11-03 15:23:51,1.17.0,Bandit100,19,4.11,,20,0,100,Left,Right,10,6,6,6,,,0.33
2025-11-03 15:24:26,1.17.0,Bandit100,19,4.09,,20,0,100,Left,Right,11,6,6,6,,,0.67
2025-11-03 15:26:12,1.17.0,Bandit100,19,4.1,,20,0,100,Right,Right,11,7,6,6,,,0.53
2025-11-03 15:26:13,1.17.0,Bandit100,19,4.11,,20,0,100,RightDuringDispense,Right,11,7,6,6,,,0.43
2025-11-03 15:26:47,1.17.0,Bandit100,19,4.09,1.0,20,0,100,Pellet,Right,11,7,7,6,33.22,340.0,
2025-11-03 15:27:56,1.17.0,Bandit100,19,4.11,,20,0,100,Left,Right,12,7,7,7,,,0.14
2025-11-03 15:27:57,1.17.0,Bandit100,19,4.11,,20,0,100,LeftinTimeOut,Right,12,7,7,7,,,
2025-11-03 15:27:57,1.17.0,Bandit100,19,4.11,,20,0,100,LeftinTimeOut,Right,12,7,7,7,,,
2025-11-03 15:28:05,1.17.0,Bandit100,19,4.11,,20,0,100,RightinTimeout,Right,12,7,7,7,,,0.0
2025-11-03 15:28:05,1.17.0,Bandit100,19,4.11,,20,0,100,RightinTimeout,Right,12,7,7,7,,,0.0
2025-11-03 15:28:06,1.17.0,Bandit100,19,4.11,,20,0,100,RightinTimeout,Right,12,7,7,7,,,0.0
2025-11-03 15:29:10,1.17.0,Bandit100,19,4.11,,20,0,100,Left,Right,13,7,7,7,,,0.18
2025-11-03 15:29:23,1.17.0,Bandit100,19,4.11,,20,0,100,Left,Right,14,7,7,7,,,0.22
2025-11-03 15:29:24,1.17.0,Bandit100,19,4.11,,20,0,100,LeftinTimeOut,Right,14,7,7,7,,,
2025-11-03 15:29:51,1.17.0,Bandit100,19,4.11,,20,0,100,Right,Right,14,8,7,7,,,0.03
2025-11-03 15:29:51,1.17.0,Bandit100,19,4.11,,20,0,100,RightDuringDispense,Right,14,8,7,7,,,0.08
2025-11-03 15:29:51,1.17.0,Bandit100,19,4.11,,20,0,100,RightDuringDispense,Right,14,8,7,7,,,0.02
2025-11-03 15:29:52,1.17.0,Bandit100,19,4.11,,20,0,100,RightDuringDispense,Right,14,8,7,7,,,0.09
2025-11-03 15:30:02,1.17.0,Bandit100,19,4.11,,20,0,100,RightWithPellet,Right,14,9,7,7,,,0.04
2025-11-03 15:30:02,1.17.0,Bandit100,19,4.1,,20,0,100,RightWithPellet,Right,14,10,7,7,,,0.36
2025-11-03 15:30:03,1.17.0,Bandit100,19,4.11,,20,0,100,RightWithPellet,Right,14,11,7,7,,,0.42
2025-11-03 15:30:04,1.17.0,Bandit100,19,4.11,,20,0,100,RightWithPellet,Right,14,12,7,7,,,0.61
2025-11-03 15:30:05,1.17.0,Bandit100,19,4.11,,20,0,100,RightWithPellet,Right,14,13,7,7,,,0.57
2025-11-03 15:30:06,1.17.0,Bandit100,19,4.09,,20,0,100,RightWithPellet,Right,14,14,7,7,,,0.25
2025-11-03 15:30:07,1.17.0,Bandit100,19,4.11,,20,0,100,RightWithPellet,Right,14,15,7,7,,,0.66
2025-11-03 15:30:08,1.17.0,Bandit100,19,4.11,,20,0,100,RightWithPellet,Right,14,16,7,7,,,0.27
2025-11-03 15:30:08,1.17.0,Bandit100,19,4.11,,20,0,100,RightWithPellet,Right,14,17,7,7,,,0.01
2025-11-03 15:30:09,1.17.0,Bandit100,19,4.11,,20,0,100,RightWithPellet,Right,14,18,7,7,,,0.06
2025-11-03 15:30:15,1.17.0,Bandit100,19,4.11,,20,0,100,RightWithPellet,Right,14,19,7,7,,,0.15
2025-11-03 15:30:15,1.17.0,Bandit100,19,4.11,,20,0,100,RightWithPellet,Right,14,20,7,7,,,0.11
2025-11-03 15:30:16,1.17.0,Bandit100,19,4.11,,20,0,100,RightWithPellet,Right,14,21,7,7,,,0.02
2025-11-03 15:30:18,1.17.0,Bandit100,19,4.11,,20,0,100,RightWithPellet,Right,14,22,7,7,,,0.04
2025-11-03 15:30:18,1.17.0,Bandit100,19,4.11,,20,0,100,RightWithPellet,Right,14,23,7,7,,,0.3
2025-11-03 15:30:19,1.17.0,Bandit100,19,4.11,,20,0,100,RightWithPellet,Right,14,24,7,7,,,0.01
2025-11-03 15:30:19,1.17.0,Bandit100,19,4.11,,20,0,100,RightWithPellet,Right,14,25,7,7,,,0.01
