MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-07-21 14:07:33,1.17.0,Bandit100,68,4.03,,20,0,100,Right,Right,0,1,0,0,,,0.27
2025-07-21 14:10:03,1.17.0,Bandit100,68,4.03,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.01
2025-07-21 14:24:09,1.17.0,Bandit100,68,4.03,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.48
2025-07-21 14:33:18,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.8
2025-07-21 14:33:19,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.44
2025-07-21 14:33:28,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.18
2025-07-21 14:34:01,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.26
2025-07-21 14:35:37,1.17.0,Bandit100,68,4.03,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.14
2025-07-21 14:36:18,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.51
2025-07-21 14:40:33,1.17.0,Bandit100,68,4.03,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.27
2025-07-21 14:40:43,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.3
2025-07-21 14:40:46,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.13
2025-07-21 14:44:18,1.17.0,Bandit100,68,4.03,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.15
2025-07-21 14:47:21,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.17
2025-07-21 15:02:55,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.15
2025-07-21 15:12:40,1.17.0,Bandit100,68,4.03,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.12
2025-07-21 17:06:27,1.17.0,Bandit100,68,4.03,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.03
2025-07-21 17:06:30,1.17.0,Bandit100,68,4.03,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.5
2025-07-21 17:06:32,1.17.0,Bandit100,68,4.03,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.92
2025-07-21 17:06:36,1.17.0,Bandit100,68,4.03,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.03
2025-07-21 17:06:38,1.17.0,Bandit100,68,4.03,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.42
2025-07-21 17:06:41,1.17.0,Bandit100,68,4.03,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.26
2025-07-21 17:06:49,1.17.0,Bandit100,68,4.03,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.04
2025-07-21 17:06:50,1.17.0,Bandit100,68,4.03,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.47
2025-07-21 17:06:57,1.17.0,Bandit100,68,4.03,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.38
2025-07-21 17:07:23,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.58
2025-07-21 17:07:27,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.06
2025-07-21 17:07:41,1.17.0,Bandit100,68,4.03,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.18
2025-07-21 17:10:40,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.03
2025-07-21 17:11:00,1.17.0,Bandit100,68,4.03,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.09
2025-07-21 17:11:03,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.03
2025-07-21 17:11:06,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.56
2025-07-21 17:18:46,1.17.0,Bandit100,68,4.02,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.06
2025-07-21 17:20:22,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.27
2025-07-21 17:20:56,1.17.0,Bandit100,68,4.03,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.03
2025-07-21 17:20:57,1.17.0,Bandit100,68,4.03,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.03
2025-07-21 17:21:01,1.17.0,Bandit100,68,4.03,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.38
2025-07-21 17:27:33,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.16
2025-07-21 17:29:40,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.02
2025-07-21 17:43:49,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.41
2025-07-21 17:45:30,1.17.0,Bandit100,68,4.03,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.05
2025-07-21 17:49:11,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.07
2025-07-21 18:09:49,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.07
2025-07-21 18:16:49,1.17.0,Bandit100,68,4.03,,20,0,100,RightWithPellet,Right,0,1,0,0,,,1.35
2025-07-21 18:19:41,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.0
2025-07-21 18:34:52,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.03
2025-07-21 18:37:36,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.22
2025-07-21 18:37:41,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.31
2025-07-21 20:14:45,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.1
2025-07-21 20:15:11,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,1.66
2025-07-21 20:15:12,1.17.0,Bandit100,68,4.02,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.23
2025-07-21 20:15:12,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.2
2025-07-21 20:15:17,1.17.0,Bandit100,68,4.02,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.69
2025-07-21 20:28:30,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.14
2025-07-21 20:33:57,1.17.0,Bandit100,68,4.03,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.38
2025-07-21 20:58:59,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.17
2025-07-21 21:11:18,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.28
2025-07-21 21:26:47,1.17.0,Bandit100,68,4.02,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.13
2025-07-21 21:26:52,1.17.0,Bandit100,68,4.03,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.04
2025-07-21 21:27:09,1.17.0,Bandit100,68,4.02,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.05
2025-07-21 21:27:13,1.17.0,Bandit100,68,4.02,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.09
2025-07-21 21:27:13,1.17.0,Bandit100,68,4.02,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.06
2025-07-21 21:35:20,1.17.0,Bandit100,68,4.03,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.09
2025-07-21 21:53:15,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.29
2025-07-21 22:16:54,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.53
2025-07-21 22:16:56,1.17.0,Bandit100,68,4.03,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.15
2025-07-21 22:17:02,1.17.0,Bandit100,68,4.03,3.0,20,0,100,Pellet,Right,0,1,1,0,,,
2025-07-21 22:18:50,1.17.0,Bandit100,68,4.03,,20,0,100,Right,Right,0,2,1,1,,,0.16
2025-07-21 22:20:46,1.17.0,Bandit100,68,4.02,2.0,20,0,100,Pellet,Right,0,2,2,1,,224.0,
2025-07-21 22:22:42,1.17.0,Bandit100,68,4.03,,20,0,100,Left,Right,1,2,2,2,,,0.33
2025-07-21 22:39:04,1.17.0,Bandit100,68,4.03,,20,0,100,Right,Right,1,3,2,2,,,0.16
2025-07-21 22:48:46,1.17.0,Bandit100,68,4.03,2.0,20,0,100,Pellet,Right,1,3,3,2,,1680.0,
2025-07-21 22:53:37,1.17.0,Bandit100,68,4.02,,20,0,100,Left,Right,2,3,3,3,,,0.11
2025-07-21 23:06:53,1.17.0,Bandit100,68,4.02,,20,0,100,Left,Right,3,3,3,3,,,0.15
2025-07-21 23:30:50,1.17.0,Bandit100,68,4.02,,20,0,100,Left,Right,4,3,3,3,,,0.02
2025-07-21 23:30:50,1.17.0,Bandit100,68,4.02,,20,0,100,LeftinTimeOut,Right,4,3,3,3,,,
2025-07-21 23:48:56,1.17.0,Bandit100,68,4.02,,20,0,100,Right,Right,4,4,3,3,,,0.02
