MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-10-06 14:50:21,1.17.2,Bandit100,52,4.16,,20,0,100,Right,Right,0,1,0,0,,,0.23
2025-10-06 14:52:00,1.17.2,Bandit100,52,4.16,3.0,20,0,100,Pellet,Right,0,1,1,0,,,
2025-10-06 14:55:55,1.17.2,Bandit100,52,4.16,,20,0,100,Left,Right,1,1,1,1,,,0.61
2025-10-06 14:57:20,1.17.2,Bandit100,52,4.16,,20,0,100,Right,Right,1,2,1,1,,,0.7
2025-10-06 14:57:20,1.17.2,Bandit100,52,4.15,,20,0,100,RightDuringDispense,Right,1,2,1,1,,,0.06
2025-10-06 14:57:31,1.17.2,Bandit100,52,4.16,3.0,20,0,100,Pellet,Right,1,2,2,1,6.38,331.0,
2025-10-06 14:58:33,1.17.2,Bandit100,52,4.15,,20,0,100,Right,Right,1,3,2,2,,,0.11
2025-10-06 14:58:33,1.17.2,Bandit100,52,4.16,,20,0,100,RightDuringDispense,Right,1,3,2,2,,,0.01
2025-10-06 14:58:46,1.17.2,Bandit100,52,4.15,3.0,20,0,100,Pellet,Right,1,3,3,2,9.7,75.0,
2025-10-06 15:05:46,1.17.2,Bandit100,52,4.16,,20,0,100,Right,Right,1,4,3,3,,,0.35
2025-10-06 15:06:00,1.17.2,Bandit100,52,4.16,1.0,20,0,100,Pellet,Right,1,4,4,3,13.82,434.0,
2025-10-06 15:06:56,1.17.2,Bandit100,52,4.16,,20,0,100,Left,Right,2,4,4,4,,,0.03
2025-10-06 15:28:07,1.17.2,Bandit100,52,4.15,,20,0,100,Right,Right,2,5,4,4,,,0.0
2025-10-06 15:28:15,1.17.2,Bandit100,52,4.16,1.0,20,0,100,Pellet,Right,2,5,5,4,7.67,1335.0,
2025-10-06 15:31:10,1.17.2,Bandit100,52,4.15,,20,0,100,Left,Right,3,5,5,5,,,0.0
2025-10-06 16:51:34,1.17.2,Bandit100,52,4.15,,20,0,100,Right,Right,3,6,5,5,,,0.06
