MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2024-09-09 12:45:34,1.17.0,Bandit,0,4.16,,30,100,0,Left,Left,1,0,0,0,,,0.42
2024-09-09 12:56:47,1.17.0,Bandit,0,4.16,,30,100,0,LeftWithPellet,Left,1,0,0,0,,,0.46
2024-09-09 13:04:45,1.17.0,Bandit,0,4.16,,30,100,0,RightWithPellet,Left,1,0,0,0,,,0.65
2024-09-09 13:05:28,1.17.0,Bandit,0,4.16,,30,100,0,LeftWithPellet,Left,1,0,0,0,,,0.4
2024-09-09 13:05:48,1.17.0,Bandit,0,4.16,,30,100,0,RightWithPellet,Left,1,0,0,0,,,0.24
2024-09-09 13:09:02,1.17.0,Bandit,0,4.16,,30,100,0,LeftWithPellet,Left,1,0,0,0,,,0.29
2024-09-09 13:10:54,1.17.0,Bandit,0,4.16,,30,100,0,LeftWithPellet,Left,1,0,0,0,,,0.66
2024-09-09 13:11:08,1.17.0,Bandit,0,4.16,,30,100,0,LeftWithPellet,Left,1,0,0,0,,,0.09
2024-09-09 13:11:15,1.17.0,Bandit,0,4.17,,30,100,0,RightWithPellet,Left,1,0,0,0,,,0.01
2024-09-09 13:12:49,1.17.0,Bandit,0,4.16,,30,100,0,LeftWithPellet,Left,1,0,0,0,,,0.03
2024-09-09 13:16:30,1.17.0,Bandit,0,4.16,,30,100,0,RightWithPellet,Left,1,0,0,0,,,0.66
2024-09-09 13:16:49,1.17.0,Bandit,0,4.16,,30,100,0,LeftWithPellet,Left,1,0,0,0,,,0.32
2024-09-09 13:16:52,1.17.0,Bandit,0,4.16,2.0,30,100,0,Pellet,Left,1,0,1,0,,,
2024-09-09 13:41:08,1.17.0,Bandit,0,4.16,,30,100,0,Left,Left,2,0,1,1,,,0.09
2024-09-09 13:41:39,1.17.0,Bandit,0,4.16,,30,100,0,RightWithPellet,Left,2,1,1,1,,,0.85
2024-09-09 13:49:10,1.17.0,Bandit,0,4.16,,30,100,0,RightWithPellet,Left,2,1,1,1,,,0.05
2024-09-09 13:51:48,1.17.0,Bandit,0,4.16,,30,100,0,LeftWithPellet,Left,2,1,1,1,,,0.18
2024-09-09 13:51:53,1.17.0,Bandit,0,4.16,,30,100,0,RightWithPellet,Left,2,1,1,1,,,0.86
2024-09-09 13:52:12,1.17.0,Bandit,0,4.16,,30,100,0,RightWithPellet,Left,2,1,1,1,,,0.63
2024-09-09 13:55:11,1.17.0,Bandit,0,4.16,,30,100,0,LeftWithPellet,Left,2,1,1,1,,,0.04
2024-09-09 14:02:20,1.17.0,Bandit,0,4.16,,30,100,0,RightWithPellet,Left,2,1,1,1,,,0.33
2024-09-09 14:02:21,1.17.0,Bandit,0,4.16,,30,100,0,RightWithPellet,Left,2,1,1,1,,,0.07
2024-09-09 14:03:03,1.17.0,Bandit,0,4.16,,30,100,0,RightWithPellet,Left,2,1,1,1,,,0.07
2024-09-09 14:10:34,1.17.0,Bandit,0,4.16,,30,100,0,LeftWithPellet,Left,2,1,1,1,,,0.09
2024-09-09 14:17:01,1.17.0,Bandit,0,4.16,,30,100,0,LeftWithPellet,Left,2,1,1,1,,,0.16
2024-09-09 14:20:26,1.17.0,Bandit,0,4.16,,30,100,0,RightWithPellet,Left,2,1,1,1,,,0.24
2024-09-09 14:20:33,1.17.0,Bandit,0,4.16,,30,100,0,LeftWithPellet,Left,2,1,1,1,,,0.03
2024-09-09 14:20:39,1.17.0,Bandit,0,4.16,,30,100,0,LeftWithPellet,Left,2,1,1,1,,,0.04
2024-09-09 14:20:40,1.17.0,Bandit,0,4.16,,30,100,0,LeftWithPellet,Left,2,1,1,1,,,0.17
2024-09-09 14:20:47,1.17.0,Bandit,0,4.16,1.0,30,100,0,Pellet,Left,2,1,2,1,,3835.0,
2024-09-09 14:33:45,1.17.0,Bandit,0,4.15,,30,100,0,Right,Left,2,2,2,2,,,0.0
2024-09-09 14:34:13,1.17.0,Bandit,0,4.16,,30,100,0,Right,Left,2,3,2,2,,,0.03
2024-09-09 14:35:54,1.17.0,Bandit,0,4.16,,30,100,0,Left,Left,3,3,2,2,,,0.02
2024-09-09 14:37:34,1.17.0,Bandit,0,4.16,1.0,30,100,0,Pellet,Left,3,3,3,2,,1007.0,
2024-09-09 14:39:44,1.17.0,Bandit,0,4.16,,30,100,0,Right,Left,3,4,3,3,,,0.63
2024-09-09 14:40:30,1.17.0,Bandit,0,4.16,,30,100,0,Right,Left,3,5,3,3,,,0.28
2024-09-09 14:42:31,1.17.0,Bandit,0,4.15,,30,100,0,Left,Left,4,5,3,3,,,0.03
2024-09-09 14:42:46,1.17.0,Bandit,0,4.16,1.0,30,100,0,Pellet,Left,4,5,4,3,11.61,312.0,
2024-09-09 17:51:55,1.17.0,Bandit,0,4.14,,30,100,0,Right,Left,4,6,4,4,,,1.22
2024-09-09 17:58:12,1.17.0,Bandit,0,4.15,,30,100,0,Right,Left,4,7,4,4,,,0.15
2024-09-09 17:59:04,1.17.0,Bandit,0,4.15,,30,100,0,Right,Left,4,8,4,4,,,0.04
2024-09-09 18:00:11,1.17.0,Bandit,0,4.15,,30,100,0,Left,Left,5,8,4,4,,,0.67
2024-09-09 18:00:25,1.17.0,Bandit,0,4.14,2.0,30,100,0,Pellet,Left,5,8,5,4,8.68,11859.0,
2024-09-09 18:51:19,1.17.0,Bandit,0,4.14,,30,100,0,Right,Left,5,9,5,5,,,0.75
2024-09-09 18:51:36,1.17.0,Bandit,0,4.14,,30,100,0,Left,Left,6,9,5,5,,,0.16
2024-09-09 18:52:51,1.17.0,Bandit,0,4.14,,30,100,0,RightWithPellet,Left,6,9,5,5,,,0.08
2024-09-09 19:09:28,1.17.0,Bandit,0,4.14,,30,100,0,RightWithPellet,Left,6,9,5,5,,,0.02
2024-09-09 19:18:10,1.17.0,Bandit,0,4.14,,30,100,0,RightWithPellet,Left,6,9,5,5,,,0.35
2024-09-09 19:25:40,1.17.0,Bandit,0,4.14,,30,100,0,LeftWithPellet,Left,6,9,5,5,,,0.03
2024-09-09 19:44:25,1.17.0,Bandit,0,4.14,1.0,30,100,0,Pellet,Left,6,9,6,5,,6240.0,
2024-09-09 19:47:19,1.17.0,Bandit,0,4.14,,30,100,0,Right,Left,6,10,6,6,,,0.0
2024-09-09 19:53:33,1.17.0,Bandit,0,4.14,,30,100,0,Left,Left,7,10,6,6,,,0.65
2024-09-09 19:53:40,1.17.0,Bandit,0,4.14,1.0,30,100,0,Pellet,Left,7,10,7,6,3.86,555.0,
2024-09-09 20:17:52,1.17.0,Bandit,0,4.14,,30,100,0,Left,Left,8,10,7,7,,,0.34
2024-09-09 20:18:02,1.17.0,Bandit,0,4.14,1.0,30,100,0,Pellet,Left,8,10,8,7,6.84,1462.0,
2024-09-09 20:19:27,1.17.0,Bandit,0,4.14,,30,100,0,Left,Left,9,10,8,8,,,0.0
2024-09-09 20:19:59,1.17.0,Bandit,0,4.14,1.0,30,100,0,Pellet,Left,9,10,9,8,28.92,117.0,
2024-09-09 20:20:42,1.17.0,Bandit,0,4.14,,30,100,0,Right,Left,9,11,9,9,,,0.06
2024-09-09 20:21:40,1.17.0,Bandit,0,4.14,,30,100,0,Left,Left,10,11,9,9,,,0.19
2024-09-09 20:21:44,1.17.0,Bandit,0,4.14,1.0,30,100,0,Pellet,Left,10,11,10,9,1.51,105.0,
2024-09-09 20:23:46,1.17.0,Bandit,0,4.14,,30,100,0,Right,Left,10,12,10,10,,,0.5
2024-09-09 20:24:54,1.17.0,Bandit,0,4.14,,30,100,0,Left,Left,11,12,10,10,,,0.3
2024-09-09 20:25:02,1.17.0,Bandit,0,4.14,1.0,30,100,0,Pellet,Left,11,12,11,10,5.07,198.0,
2024-09-09 20:27:35,1.17.0,Bandit,0,4.14,,30,100,0,Right,Left,11,13,11,11,,,0.03
2024-09-09 20:30:11,1.17.0,Bandit,0,4.14,,30,100,0,Left,Left,12,13,11,11,,,0.36
2024-09-09 20:30:16,1.17.0,Bandit,0,4.14,1.0,30,100,0,Pellet,Left,12,13,12,11,1.7,314.0,
2024-09-09 20:31:28,1.17.0,Bandit,0,4.14,,30,100,0,Left,Left,13,13,12,12,,,0.03
2024-09-09 20:31:35,1.17.0,Bandit,0,4.14,1.0,30,100,0,Pellet,Left,13,13,13,12,3.8,79.0,
2024-09-09 20:39:37,1.17.0,Bandit,0,4.14,,30,100,0,Left,Left,14,13,13,13,,,0.09
2024-09-09 20:39:41,1.17.0,Bandit,0,4.14,1.0,30,100,0,Pellet,Left,14,13,14,13,1.01,486.0,
2024-09-09 20:40:45,1.17.0,Bandit,0,4.14,,30,100,0,Right,Left,14,14,14,14,,,0.33
2024-09-09 20:41:52,1.17.0,Bandit,0,4.14,,30,100,0,Left,Left,15,14,14,14,,,0.49
2024-09-09 20:41:57,1.17.0,Bandit,0,4.14,1.0,30,100,0,Pellet,Left,15,14,15,14,1.51,136.0,
2024-09-09 20:42:55,1.17.0,Bandit,0,4.14,,30,100,0,Left,Left,16,14,15,15,,,0.16
2024-09-09 20:43:00,1.17.0,Bandit,0,4.14,1.0,30,100,0,Pellet,Left,16,14,16,15,1.83,63.0,
2024-09-09 20:43:52,1.17.0,Bandit,0,4.14,,30,100,0,Left,Left,17,14,16,16,,,0.24
2024-09-09 20:43:56,1.17.0,Bandit,0,4.14,1.0,30,100,0,Pellet,Left,17,14,17,16,1.07,56.0,
2024-09-09 20:44:30,1.17.0,Bandit,0,4.13,,30,100,0,Left,Left,18,14,17,17,,,0.05
2024-09-09 20:44:34,1.17.0,Bandit,0,4.14,1.0,30,100,0,Pellet,Left,18,14,18,17,0.88,38.0,
2024-09-09 20:45:50,1.17.0,Bandit,0,4.14,,30,100,0,Left,Left,19,14,18,18,,,0.24
2024-09-09 20:45:56,1.17.0,Bandit,0,4.14,1.0,30,100,0,Pellet,Left,19,14,19,18,2.97,82.0,
2024-09-09 20:46:22,1.17.0,Bandit,0,4.14,,30,100,0,Left,Left,20,14,19,19,,,0.19
2024-09-09 20:46:26,1.17.0,Bandit,0,4.14,1.0,30,100,0,Pellet,Left,20,14,20,19,0.56,30.0,
2024-09-09 20:48:03,1.17.0,Bandit,0,4.14,,30,100,0,Left,Left,21,14,20,20,,,0.06
2024-09-09 20:48:08,1.17.0,Bandit,0,4.14,1.0,30,100,0,Pellet,Left,21,14,21,20,0.82,101.0,
2024-09-09 20:49:36,1.17.0,Bandit,0,4.14,,30,100,0,Left,Left,22,14,21,21,,,0.01
2024-09-09 20:49:41,1.17.0,Bandit,0,4.14,1.0,30,100,0,Pellet,Left,22,14,22,21,1.2,94.0,
2024-09-09 20:54:06,1.17.0,Bandit,0,4.14,,30,100,0,Right,Left,22,15,22,22,,,0.05
2024-09-09 21:06:48,1.17.0,Bandit,0,4.14,,30,100,0,Left,Left,23,15,22,22,,,0.06
2024-09-09 21:06:55,1.17.0,Bandit,0,4.14,1.0,30,100,0,Pellet,Left,23,15,23,22,3.1,1034.0,
2024-09-09 21:20:27,1.17.0,Bandit,0,4.14,,30,100,0,Left,Left,24,15,23,23,,,0.07
2024-09-09 21:20:31,1.17.0,Bandit,0,4.14,1.0,30,100,0,Pellet,Left,24,15,24,23,0.75,816.0,
2024-09-09 21:20:50,1.17.0,Bandit,0,4.14,,30,100,0,Left,Left,25,15,24,24,,,0.04
2024-09-09 21:20:59,1.17.0,Bandit,0,4.14,1.0,30,100,0,Pellet,Left,25,15,25,24,5.51,28.0,
2024-09-09 21:21:17,1.17.0,Bandit,0,4.14,,30,100,0,Left,Left,26,15,25,25,,,0.04
2024-09-09 21:21:20,1.17.0,Bandit,0,4.14,1.0,30,100,0,Pellet,Left,26,15,26,25,0.63,21.0,
