MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-08-18 14:06:38,1.17.2,Bandit100,34,4.19,,20,0,100,Right,Right,0,1,0,0,,,0.42
2025-08-18 14:10:13,1.17.2,Bandit100,34,4.19,3.0,20,0,100,Pellet,Right,0,1,1,0,,,
2025-08-18 14:10:33,1.17.2,Bandit100,34,4.19,,20,0,100,Left,Right,1,1,1,1,,,0.08
2025-08-18 14:10:52,1.17.2,Bandit100,34,4.19,,20,0,100,Left,Right,2,1,1,1,,,0.08
2025-08-18 14:11:20,1.17.2,Bandit100,34,4.19,,20,0,100,Left,Right,3,1,1,1,,,0.02
2025-08-18 14:11:21,1.17.2,Bandit100,34,4.19,,20,0,100,LeftinTimeOut,Right,3,1,1,1,,,
2025-08-18 14:11:59,1.17.2,Bandit100,34,4.19,,20,0,100,Left,Right,4,1,1,1,,,0.17
2025-08-18 14:12:19,1.17.2,Bandit100,34,4.19,,20,0,100,Left,Right,5,1,1,1,,,0.84
2025-08-18 14:12:29,1.17.2,Bandit100,34,4.19,,20,0,100,RightinTimeout,Right,5,1,1,1,,,0.0
2025-08-18 14:12:30,1.17.2,Bandit100,34,4.19,,20,0,100,RightinTimeout,Right,5,1,1,1,,,0.0
2025-08-18 14:12:30,1.17.2,Bandit100,34,4.19,,20,0,100,RightinTimeout,Right,5,1,1,1,,,0.0
2025-08-18 14:12:30,1.17.2,Bandit100,34,4.18,,20,0,100,RightinTimeout,Right,5,1,1,1,,,0.0
2025-08-18 14:14:41,1.17.2,Bandit100,34,4.19,,20,0,100,Right,Right,5,2,1,1,,,0.28
2025-08-18 14:14:51,1.17.2,Bandit100,34,4.19,3.0,20,0,100,Pellet,Right,5,2,2,1,6.75,278.0,
2025-08-18 14:15:22,1.17.2,Bandit100,34,4.19,,20,0,100,Left,Right,6,2,2,2,,,0.15
2025-08-18 14:16:10,1.17.2,Bandit100,34,4.19,,20,0,100,Right,Right,6,3,2,2,,,0.76
2025-08-18 14:16:21,1.17.2,Bandit100,34,4.18,2.0,20,0,100,Pellet,Right,6,3,3,2,10.75,90.0,
2025-08-18 14:16:46,1.17.2,Bandit100,34,4.19,,20,0,100,Left,Right,7,3,3,3,,,0.1
2025-08-18 14:16:58,1.17.2,Bandit100,34,4.19,,20,0,100,Left,Right,8,3,3,3,,,0.09
2025-08-18 14:18:20,1.17.2,Bandit100,34,4.18,,20,0,100,Left,Right,9,3,3,3,,,0.03
2025-08-18 14:18:21,1.17.2,Bandit100,34,4.19,,20,0,100,LeftinTimeOut,Right,9,3,3,3,,,
2025-08-18 14:18:47,1.17.2,Bandit100,34,4.19,,20,0,100,Right,Right,9,4,3,3,,,0.11
2025-08-18 14:18:56,1.17.2,Bandit100,34,4.19,2.0,20,0,100,Pellet,Right,9,4,4,3,6.01,155.0,
2025-08-18 14:19:24,1.17.2,Bandit100,34,4.18,,20,0,100,Right,Right,9,5,4,4,,,0.0
2025-08-18 14:19:25,1.17.2,Bandit100,34,4.18,,20,0,100,RightWithPellet,Right,9,6,4,4,,,0.21
2025-08-18 14:19:26,1.17.2,Bandit100,34,4.19,,20,0,100,RightWithPellet,Right,9,7,4,4,,,0.16
2025-08-18 14:19:36,1.17.2,Bandit100,34,4.18,1.0,20,0,100,Pellet,Right,9,7,5,4,11.81,40.0,
2025-08-18 14:20:26,1.17.2,Bandit100,34,4.18,,20,0,100,Left,Right,10,7,5,5,,,0.07
2025-08-18 14:20:42,1.17.2,Bandit100,34,4.18,,20,0,100,Right,Right,10,8,5,5,,,0.07
2025-08-18 14:20:45,1.17.2,Bandit100,34,4.19,1.0,20,0,100,Pellet,Right,10,8,6,5,2.45,69.0,
