MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-10-06 15:34:15,1.17.2,Bandit100,26,4.17,,20,0,100,Right,Right,0,1,0,0,,,0.29
2025-10-06 15:40:32,1.17.2,Bandit100,26,4.17,4.0,20,0,100,Pellet,Right,0,1,1,0,,,
2025-10-06 15:41:46,1.17.2,Bandit100,26,4.17,,20,0,100,Left,Right,1,1,1,1,,,0.47
2025-10-06 15:41:47,1.17.2,Bandit100,26,4.17,,20,0,100,LeftinTimeOut,Right,1,1,1,1,,,
2025-10-06 15:44:01,1.17.2,Bandit100,26,4.17,,20,0,100,Right,Right,1,2,1,1,,,0.93
2025-10-06 15:44:09,1.17.2,Bandit100,26,4.16,1.0,20,0,100,Pellet,Right,1,2,2,1,7.42,217.0,
2025-10-06 15:46:40,1.17.2,Bandit100,26,4.17,,20,0,100,Left,Right,2,2,2,2,,,0.23
2025-10-06 15:46:41,1.17.2,Bandit100,26,4.17,,20,0,100,LeftinTimeOut,Right,2,2,2,2,,,
2025-10-06 15:46:41,1.17.2,Bandit100,26,4.17,,20,0,100,LeftinTimeOut,Right,2,2,2,2,,,
2025-10-06 15:46:42,1.17.2,Bandit100,26,4.17,,20,0,100,LeftinTimeOut,Right,2,2,2,2,,,
2025-10-06 15:46:44,1.17.2,Bandit100,26,4.17,,20,0,100,LeftinTimeOut,Right,2,2,2,2,,,
2025-10-06 15:46:44,1.17.2,Bandit100,26,4.16,,20,0,100,LeftinTimeOut,Right,2,2,2,2,,,
2025-10-06 15:46:44,1.17.2,Bandit100,26,4.16,,20,0,100,LeftinTimeOut,Right,2,2,2,2,,,
2025-10-06 15:46:45,1.17.2,Bandit100,26,4.16,,20,0,100,LeftinTimeOut,Right,2,2,2,2,,,
2025-10-06 15:46:49,1.17.2,Bandit100,26,4.17,,20,0,100,RightinTimeout,Right,2,2,2,2,,,0.0
2025-10-06 15:46:49,1.17.2,Bandit100,26,4.17,,20,0,100,RightinTimeout,Right,2,2,2,2,,,0.0
2025-10-06 15:48:38,1.17.2,Bandit100,26,4.17,,20,0,100,Left,Right,3,2,2,2,,,0.04
2025-10-06 15:48:38,1.17.2,Bandit100,26,4.17,,20,0,100,LeftinTimeOut,Right,3,2,2,2,,,
2025-10-06 15:48:39,1.17.2,Bandit100,26,4.17,,20,0,100,LeftinTimeOut,Right,3,2,2,2,,,
2025-10-06 15:48:40,1.17.2,Bandit100,26,4.18,,20,0,100,LeftinTimeOut,Right,3,2,2,2,,,
2025-10-06 15:48:57,1.17.2,Bandit100,26,4.17,,20,0,100,Right,Right,3,3,2,2,,,0.01
2025-10-06 15:49:02,1.17.2,Bandit100,26,4.17,,20,0,100,RightWithPellet,Right,3,4,2,2,,,0.08
2025-10-06 15:49:03,1.17.2,Bandit100,26,4.16,,20,0,100,RightWithPellet,Right,3,5,2,2,,,0.08
2025-10-06 15:49:25,1.17.2,Bandit100,26,4.17,1.0,20,0,100,Pellet,Right,3,5,3,2,27.65,316.0,
2025-10-06 15:50:04,1.17.2,Bandit100,26,4.17,,20,0,100,Right,Right,3,6,3,3,,,0.2
2025-10-06 15:50:09,1.17.2,Bandit100,26,4.17,1.0,20,0,100,Pellet,Right,3,6,4,3,4.48,44.0,
2025-10-06 15:50:24,1.17.2,Bandit100,26,4.17,,20,0,100,Right,Right,3,7,4,4,,,0.48
2025-10-06 15:50:25,1.17.2,Bandit100,26,4.17,,20,0,100,RightDuringDispense,Right,3,7,4,4,,,0.45
2025-10-06 15:50:26,1.17.2,Bandit100,26,4.17,,20,0,100,RightDuringDispense,Right,3,7,4,4,,,0.63
2025-10-06 15:50:27,1.17.2,Bandit100,26,4.17,,20,0,100,RightDuringDispense,Right,3,7,4,4,,,0.13
2025-10-06 15:50:27,1.17.2,Bandit100,26,4.16,,20,0,100,RightDuringDispense,Right,3,7,4,4,,,0.49
2025-10-06 15:50:38,1.17.2,Bandit100,26,4.17,,20,0,100,RightWithPellet,Right,3,8,4,4,,,0.01
2025-10-06 15:50:53,1.17.2,Bandit100,26,4.17,3.0,20,0,100,Pellet,Right,3,8,5,4,21.16,44.0,
2025-10-06 15:51:16,1.17.2,Bandit100,26,4.17,,20,0,100,Right,Right,3,9,5,5,,,0.06
2025-10-06 15:51:17,1.17.2,Bandit100,26,4.17,,20,0,100,RightDuringDispense,Right,3,9,5,5,,,0.09
2025-10-06 15:51:21,1.17.2,Bandit100,26,4.17,2.0,20,0,100,Pellet,Right,3,9,6,5,1.89,28.0,
2025-10-06 15:52:10,1.17.2,Bandit100,26,4.16,,20,0,100,Left,Right,4,9,6,6,,,0.17
2025-10-06 15:52:38,1.17.2,Bandit100,26,4.17,,20,0,100,Left,Right,5,9,6,6,,,0.04
2025-10-06 15:52:38,1.17.2,Bandit100,26,4.17,,20,0,100,LeftinTimeOut,Right,5,9,6,6,,,
2025-10-06 15:52:39,1.17.2,Bandit100,26,4.17,,20,0,100,LeftinTimeOut,Right,5,9,6,6,,,
2025-10-06 15:52:39,1.17.2,Bandit100,26,4.17,,20,0,100,LeftinTimeOut,Right,5,9,6,6,,,
2025-10-06 15:52:49,1.17.2,Bandit100,26,4.17,,20,0,100,RightinTimeout,Right,5,9,6,6,,,0.0
2025-10-06 15:53:30,1.17.2,Bandit100,26,4.16,,20,0,100,Left,Right,6,9,6,6,,,0.1
2025-10-06 15:54:43,1.17.2,Bandit100,26,4.16,,20,0,100,Left,Right,7,9,6,6,,,0.09
2025-10-06 15:55:08,1.17.2,Bandit100,26,4.17,,20,0,100,Right,Right,7,10,6,6,,,0.08
2025-10-06 15:55:16,1.17.2,Bandit100,26,4.17,1.0,20,0,100,Pellet,Right,7,10,7,6,7.18,235.0,
2025-10-06 15:55:41,1.17.2,Bandit100,26,4.17,,20,0,100,Right,Right,7,11,7,7,,,0.05
2025-10-06 15:55:42,1.17.2,Bandit100,26,4.17,,20,0,100,RightDuringDispense,Right,7,11,7,7,,,0.54
2025-10-06 15:55:42,1.17.2,Bandit100,26,4.17,,20,0,100,RightDuringDispense,Right,7,11,7,7,,,0.12
2025-10-06 15:55:43,1.17.2,Bandit100,26,4.17,,20,0,100,RightDuringDispense,Right,7,11,7,7,,,0.26
2025-10-06 15:55:49,1.17.2,Bandit100,26,4.17,2.0,20,0,100,Pellet,Right,7,11,8,7,3.98,33.0,
