MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-10-20 12:42:00,1.17.0,Bandit100,11,4.18,,20,0,100,Right,Right,0,1,0,0,,,0.58
2025-10-20 12:48:57,1.17.0,Bandit100,11,4.18,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.83
2025-10-20 12:52:07,1.17.0,Bandit100,11,4.18,2.0,20,0,100,Pellet,Right,0,1,1,0,,,
2025-10-20 12:55:04,1.17.0,Bandit100,11,4.18,,20,0,100,Left,Right,1,1,1,1,,,0.85
2025-10-20 12:55:05,1.17.0,Bandit100,11,4.18,,20,0,100,LeftinTimeOut,Right,1,1,1,1,,,
2025-10-20 13:02:47,1.17.0,Bandit100,11,4.18,,20,0,100,Right,Right,1,2,1,1,,,0.03
2025-10-20 13:02:47,1.17.0,Bandit100,11,4.18,,20,0,100,RightDuringDispense,Right,1,2,1,1,,,0.16
2025-10-20 13:02:59,1.17.0,Bandit100,11,4.18,4.0,20,0,100,Pellet,Right,1,2,2,1,6.77,652.0,
2025-10-20 13:04:47,1.17.0,Bandit100,11,4.18,,20,0,100,Left,Right,2,2,2,2,,,0.02
2025-10-20 13:04:47,1.17.0,Bandit100,11,4.18,,20,0,100,LeftinTimeOut,Right,2,2,2,2,,,
2025-10-20 13:08:29,1.17.0,Bandit100,11,4.18,,20,0,100,Left,Right,3,2,2,2,,,0.36
2025-10-20 13:08:34,1.17.0,Bandit100,11,4.18,,20,0,100,LeftinTimeOut,Right,3,2,2,2,,,
2025-10-20 13:12:39,1.17.0,Bandit100,11,4.18,,20,0,100,Right,Right,3,3,2,2,,,0.0
2025-10-20 13:12:46,1.17.0,Bandit100,11,4.18,2.0,20,0,100,Pellet,Right,3,3,3,2,6.46,587.0,
2025-10-20 13:13:21,1.17.0,Bandit100,11,4.18,,20,0,100,Left,Right,4,3,3,3,,,0.11
2025-10-20 13:20:59,1.17.0,Bandit100,11,4.19,,20,0,100,Left,Right,5,3,3,3,,,0.15
2025-10-20 13:30:47,1.17.0,Bandit100,11,4.18,,20,0,100,Right,Right,5,4,3,3,,,0.3
2025-10-20 13:31:02,1.17.0,Bandit100,11,4.18,2.0,20,0,100,Pellet,Right,5,4,4,3,13.63,1096.0,
2025-10-20 16:24:45,1.17.0,Bandit100,11,4.18,,20,0,100,Left,Right,6,4,4,4,,,0.05
2025-10-20 18:40:46,1.17.0,Bandit100,11,4.16,,20,0,100,Left,Right,7,4,4,4,,,0.05
2025-10-20 19:22:00,1.17.0,Bandit100,11,4.16,,20,0,100,Right,Right,7,5,4,4,,,0.13
2025-10-20 19:22:08,1.17.0,Bandit100,11,4.16,1.0,20,0,100,Pellet,Right,7,5,5,4,7.35,21066.0,
2025-10-20 19:28:06,1.17.0,Bandit100,11,4.16,,20,0,100,Right,Right,7,6,5,5,,,0.07
2025-10-20 19:28:17,1.17.0,Bandit100,11,4.16,1.0,20,0,100,Pellet,Right,7,6,6,5,10.2,369.0,
2025-10-20 19:59:49,1.17.0,Bandit100,11,4.16,,20,0,100,Right,Right,7,7,6,6,,,0.01
2025-10-20 19:59:58,1.17.0,Bandit100,11,4.16,1.0,20,0,100,Pellet,Right,7,7,7,6,8.23,1901.0,
2025-10-20 20:00:18,1.17.0,Bandit100,11,4.16,,20,0,100,Left,Right,8,7,7,7,,,0.17
2025-10-20 20:06:55,1.17.0,Bandit100,11,4.16,,20,0,100,Left,Right,9,7,7,7,,,0.11
2025-10-20 20:07:48,1.17.0,Bandit100,11,4.16,,20,0,100,Left,Right,10,7,7,7,,,0.02
2025-10-20 20:15:23,1.17.0,Bandit100,11,4.16,,20,0,100,Left,Right,11,7,7,7,,,0.09
2025-10-20 20:44:18,1.17.0,Bandit100,11,4.16,,20,0,100,Right,Right,11,8,7,7,,,0.01
2025-10-20 20:44:23,1.17.0,Bandit100,11,4.16,1.0,20,0,100,Pellet,Right,11,8,8,7,4.55,2665.0,
2025-10-20 20:53:40,1.17.0,Bandit100,11,4.16,,20,0,100,Left,Right,12,8,8,8,,,0.02
2025-10-20 21:05:04,1.17.0,Bandit100,11,4.16,,20,0,100,Left,Right,13,8,8,8,,,0.12
2025-10-20 21:18:08,1.17.0,Bandit100,11,4.15,,20,0,100,Left,Right,14,8,8,8,,,0.0
2025-10-20 21:30:20,1.17.0,Bandit100,11,4.16,,20,0,100,Right,Right,14,9,8,8,,,0.04
2025-10-20 21:30:29,1.17.0,Bandit100,11,4.16,2.0,20,0,100,Pellet,Right,14,9,9,8,8.36,2766.0,
2025-10-20 21:31:35,1.17.0,Bandit100,11,4.16,,20,0,100,Right,Right,14,10,9,9,,,0.32
2025-10-20 21:31:41,1.17.0,Bandit100,11,4.16,2.0,20,0,100,Pellet,Right,14,10,10,9,3.22,72.0,
2025-10-20 21:31:51,1.17.0,Bandit100,11,4.16,,20,0,100,Left,Right,15,10,10,10,,,0.02
2025-10-20 21:32:19,1.17.0,Bandit100,11,4.16,,20,0,100,Right,Right,15,11,10,10,,,0.14
2025-10-20 21:32:22,1.17.0,Bandit100,11,4.16,1.0,20,0,100,Pellet,Right,15,11,11,10,1.96,41.0,
2025-10-20 21:32:39,1.17.0,Bandit100,11,4.16,,20,0,100,Left,Right,16,11,11,11,,,0.04
2025-10-20 21:33:02,1.17.0,Bandit100,11,4.16,,20,0,100,Left,Right,17,11,11,11,,,0.1
2025-10-20 21:33:17,1.17.0,Bandit100,11,4.16,,20,0,100,Right,Right,17,12,11,11,,,0.14
2025-10-20 21:33:28,1.17.0,Bandit100,11,4.15,1.0,20,0,100,Pellet,Right,17,12,12,11,10.46,66.0,
2025-10-20 21:33:51,1.17.0,Bandit100,11,4.15,,20,0,100,Left,Right,18,12,12,12,,,0.1
2025-10-20 21:34:19,1.17.0,Bandit100,11,4.16,,20,0,100,Right,Right,18,13,12,12,,,0.21
2025-10-20 21:34:23,1.17.0,Bandit100,11,4.16,1.0,20,0,100,Pellet,Right,18,13,13,12,2.46,55.0,
2025-10-20 21:34:48,1.17.0,Bandit100,11,4.16,,20,0,100,Left,Right,19,13,13,13,,,0.23
2025-10-20 21:35:03,1.17.0,Bandit100,11,4.16,,20,0,100,Left,Right,20,13,13,13,,,0.05
2025-10-20 21:35:05,1.17.0,Bandit100,11,4.16,,20,0,100,LeftinTimeOut,Right,20,13,13,13,,,
2025-10-20 21:35:06,1.17.0,Bandit100,11,4.15,,20,0,100,LeftinTimeOut,Right,20,13,13,13,,,
2025-10-20 21:35:10,1.17.0,Bandit100,11,4.16,,20,0,100,RightinTimeout,Right,20,13,13,13,,,0.0
2025-10-20 21:35:30,1.17.0,Bandit100,11,4.16,,20,0,100,Right,Right,20,14,13,13,,,0.19
2025-10-20 21:35:34,1.17.0,Bandit100,11,4.16,1.0,20,0,100,Pellet,Right,20,14,14,13,2.91,71.0,
2025-10-20 21:35:58,1.17.0,Bandit100,11,4.16,,20,0,100,Right,Right,20,15,14,14,,,0.05
2025-10-20 21:36:02,1.17.0,Bandit100,11,4.16,1.0,20,0,100,Pellet,Right,20,15,15,14,2.97,28.0,
2025-10-20 21:36:21,1.17.0,Bandit100,11,4.16,,20,0,100,Left,Right,21,15,15,15,,,0.05
2025-10-20 21:36:40,1.17.0,Bandit100,11,4.16,,20,0,100,Right,Right,21,16,15,15,,,0.07
