MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-11-24 13:46:12,1.17.2,Bandit80,51,4.2,,20,20,80,Right,Right,0,1,0,0,,,0.39
2025-11-24 13:49:13,1.17.2,Bandit80,51,4.21,4.0,20,20,80,Pellet,Right,0,1,1,0,,,
2025-11-24 13:49:51,1.17.2,Bandit80,51,4.21,,20,20,80,Right,Right,0,2,1,1,,,0.09
2025-11-24 13:49:55,1.17.2,Bandit80,51,4.21,3.0,20,20,80,Pellet,Right,0,2,2,1,0.36,42.0,
2025-11-24 13:50:09,1.17.2,Bandit80,51,4.21,,20,20,80,Right,Right,0,3,2,2,,,0.08
2025-11-24 13:50:10,1.17.2,Bandit80,51,4.2,1.0,20,20,80,Pellet,Right,0,3,3,2,0.73,15.0,
2025-11-24 13:50:38,1.17.2,Bandit80,51,4.2,,20,20,80,Left,Right,1,3,3,3,,,0.12
2025-11-24 13:51:09,1.17.2,Bandit80,51,4.2,,20,20,80,Left,Right,2,3,3,3,,,0.27
2025-11-24 13:51:40,1.17.2,Bandit80,51,4.2,,20,20,80,Right,Right,2,4,3,3,,,0.06
2025-11-24 13:52:49,1.17.2,Bandit80,51,4.21,,20,20,80,Left,Right,3,4,3,3,,,0.25
2025-11-24 13:53:21,1.17.2,Bandit80,51,4.2,,20,20,80,Right,Right,3,5,3,3,,,0.02
2025-11-24 13:53:23,1.17.2,Bandit80,51,4.2,1.0,20,20,80,Pellet,Right,3,5,4,3,0.61,193.0,
2025-11-24 13:53:53,1.17.2,Bandit80,51,4.21,,20,20,80,Right,Right,3,6,4,4,,,0.42
2025-11-24 13:53:54,1.17.2,Bandit80,51,4.2,1.0,20,20,80,Pellet,Right,3,6,5,4,0.36,31.0,
2025-11-24 13:54:09,1.17.2,Bandit80,51,4.21,,20,20,80,Right,Right,3,7,5,5,,,0.29
2025-11-24 13:54:11,1.17.2,Bandit80,51,4.21,,20,20,80,RightinTimeout,Right,3,7,5,5,,,0.0
2025-11-24 13:55:43,1.17.2,Bandit80,51,4.21,,20,20,80,Left,Right,4,7,5,5,,,0.08
2025-11-24 13:55:46,1.17.2,Bandit80,51,4.2,,20,20,80,LeftinTimeOut,Right,4,7,5,5,,,
2025-11-24 13:56:29,1.17.2,Bandit80,51,4.21,,20,20,80,Left,Right,5,7,5,5,,,0.21
2025-11-24 13:58:01,1.17.2,Bandit80,51,4.2,,20,20,80,Left,Right,6,7,5,5,,,0.09
2025-11-24 13:58:03,1.17.2,Bandit80,51,4.21,1.0,20,20,80,Pellet,Right,6,7,6,5,0.73,249.0,
2025-11-24 13:58:27,1.17.2,Bandit80,51,4.21,,20,20,80,Left,Right,7,7,6,6,,,0.31
2025-11-24 13:58:30,1.17.2,Bandit80,51,4.2,,20,20,80,LeftinTimeOut,Right,7,7,6,6,,,
2025-11-24 13:58:32,1.17.2,Bandit80,51,4.2,,20,20,80,LeftinTimeOut,Right,7,7,6,6,,,
2025-11-24 13:59:00,1.17.2,Bandit80,51,4.2,,20,20,80,Right,Right,7,8,6,6,,,0.37
2025-11-24 14:00:55,1.17.2,Bandit80,51,4.21,,20,20,80,Left,Right,8,8,6,6,,,0.02
2025-11-24 14:01:09,1.17.2,Bandit80,51,4.2,,20,20,80,Left,Right,9,8,6,6,,,0.17
2025-11-24 14:02:25,1.17.2,Bandit80,51,4.21,,20,20,80,Right,Right,9,9,6,6,,,0.23
2025-11-24 14:02:26,1.17.2,Bandit80,51,4.21,1.0,20,20,80,Pellet,Right,9,9,7,6,0.3,263.0,
2025-11-24 14:02:52,1.17.2,Bandit80,51,4.21,,20,20,80,Right,Right,9,10,7,7,,,0.19
2025-11-24 14:02:58,1.17.2,Bandit80,51,4.2,1.0,20,20,80,Pellet,Right,9,10,8,7,5.83,32.0,
2025-11-24 14:03:21,1.17.2,Bandit80,51,4.21,,20,20,80,Right,Right,9,11,8,8,,,0.61
2025-11-24 14:03:22,1.17.2,Bandit80,51,4.2,1.0,20,20,80,Pellet,Right,9,11,9,8,0.55,24.0,
2025-11-24 14:03:50,1.17.2,Bandit80,51,4.2,,20,20,80,Right,Right,9,12,9,9,,,0.09
2025-11-24 14:04:04,1.17.2,Bandit80,51,4.21,1.0,20,20,80,Pellet,Right,9,12,10,9,12.84,42.0,
2025-11-24 14:05:24,1.17.2,Bandit80,51,4.2,,20,20,80,Left,Right,10,12,10,10,,,0.19
2025-11-24 14:05:26,1.17.2,Bandit80,51,4.21,1.0,20,20,80,Pellet,Right,10,12,11,10,1.1,82.0,
2025-11-24 14:05:56,1.17.2,Bandit80,51,4.2,,20,20,80,Left,Right,11,12,11,11,,,0.19
2025-11-24 14:05:58,1.17.2,Bandit80,51,4.2,,20,20,80,LeftinTimeOut,Right,11,12,11,11,,,
2025-11-24 14:06:13,1.17.2,Bandit80,51,4.2,,20,20,80,Right,Right,11,13,11,11,,,0.16
2025-11-24 14:06:30,1.17.2,Bandit80,51,4.2,1.0,20,20,80,Pellet,Right,11,13,12,11,15.92,64.0,
2025-11-24 14:07:00,1.17.2,Bandit80,51,4.21,,20,20,80,Left,Right,12,13,12,12,,,0.16
2025-11-24 14:08:20,1.17.2,Bandit80,51,4.21,,20,20,80,Left,Right,13,13,12,12,,,0.14
2025-11-24 14:10:04,1.17.2,Bandit80,51,4.21,,20,20,80,Right,Right,13,14,12,12,,,0.37
2025-11-24 14:14:22,1.17.2,Bandit80,51,4.21,,20,20,80,Left,Right,14,14,12,12,,,0.05
