MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-07-28 15:42:30,1.17.0,Bandit80,80,4.16,,20,20,80,Right,Right,0,1,0,0,,,0.39
2025-07-28 15:46:25,1.17.0,Bandit80,80,4.16,,20,20,80,LeftWithPellet,Right,0,1,0,0,,,0.04
2025-07-28 15:46:27,1.17.0,Bandit80,80,4.16,3.0,20,20,80,Pellet,Right,0,1,1,0,,,
2025-07-28 15:46:40,1.17.0,Bandit80,80,4.16,,20,20,80,Left,Right,1,1,1,1,,,0.05
2025-07-28 15:47:09,1.17.0,Bandit80,80,4.16,,20,20,80,Right,Right,1,2,1,1,,,0.29
2025-07-28 15:47:14,1.17.0,Bandit80,80,4.16,2.0,20,20,80,Pellet,Right,1,2,2,1,1.35,46.0,
2025-07-28 15:47:54,1.17.0,Bandit80,80,4.16,,20,20,80,Right,Right,1,3,2,2,,,0.23
2025-07-28 15:47:54,1.17.0,Bandit80,80,4.16,,20,20,80,RightDuringDispense,Right,1,3,2,2,,,0.09
2025-07-28 15:47:58,1.17.0,Bandit80,80,4.16,2.0,20,20,80,Pellet,Right,1,3,3,2,0.66,45.0,
2025-07-28 15:48:28,1.17.0,Bandit80,80,4.16,,20,20,80,Right,Right,1,4,3,3,,,0.0
2025-07-28 15:48:36,1.17.0,Bandit80,80,4.16,,20,20,80,LeftWithPellet,Right,1,4,3,3,,,0.6
2025-07-28 15:48:50,1.17.0,Bandit80,80,4.16,,20,20,80,LeftWithPellet,Right,1,4,3,3,,,0.54
2025-07-28 15:50:11,1.17.0,Bandit80,80,4.16,,20,20,80,LeftWithPellet,Right,1,4,3,3,,,0.28
2025-07-28 15:50:16,1.17.0,Bandit80,80,4.16,,20,20,80,LeftWithPellet,Right,1,4,3,3,,,0.46
2025-07-28 15:50:28,1.17.0,Bandit80,80,4.16,,20,20,80,RightWithPellet,Right,1,4,3,3,,,1.5
2025-07-28 15:50:30,1.17.0,Bandit80,80,4.16,2.0,20,20,80,Pellet,Right,1,4,4,3,,152.0,
2025-07-28 15:50:53,1.17.0,Bandit80,80,4.16,,20,20,80,Right,Right,1,5,4,4,,,0.34
2025-07-28 15:50:55,1.17.0,Bandit80,80,4.17,1.0,20,20,80,Pellet,Right,1,5,5,4,1.54,25.0,
2025-07-28 15:52:49,1.17.0,Bandit80,80,4.16,,20,20,80,Left,Right,2,5,5,5,,,0.24
2025-07-28 15:53:03,1.17.0,Bandit80,80,4.16,,20,20,80,Right,Right,2,6,5,5,,,0.98
2025-07-28 15:53:10,1.17.0,Bandit80,80,4.16,,20,20,80,RightWithPellet,Right,2,7,5,5,,,0.16
2025-07-28 15:53:24,1.17.0,Bandit80,80,4.16,,20,20,80,LeftWithPellet,Right,2,7,5,5,,,0.17
2025-07-28 15:56:29,1.17.0,Bandit80,80,4.16,,20,20,80,RightWithPellet,Right,2,7,5,5,,,0.26
2025-07-28 15:58:14,1.17.0,Bandit80,80,4.16,,20,20,80,RightWithPellet,Right,2,7,5,5,,,0.52
2025-07-28 15:58:16,1.17.0,Bandit80,80,4.16,1.0,20,20,80,Pellet,Right,2,7,6,5,,441.0,
2025-07-28 15:58:35,1.17.0,Bandit80,80,4.16,,20,20,80,Right,Right,2,8,6,6,,,0.35
2025-07-28 15:58:37,1.17.0,Bandit80,80,4.16,1.0,20,20,80,Pellet,Right,2,8,7,6,1.17,21.0,
2025-07-28 15:59:05,1.17.0,Bandit80,80,4.16,,20,20,80,Right,Right,2,9,7,7,,,0.21
2025-07-28 15:59:07,1.17.0,Bandit80,80,4.16,2.0,20,20,80,Pellet,Right,2,9,8,7,0.72,30.0,
2025-07-28 15:59:51,1.17.0,Bandit80,80,4.16,,20,20,80,Right,Right,2,10,8,8,,,0.15
2025-07-28 16:17:56,1.17.0,Bandit80,80,4.16,1.0,20,20,80,Pellet,Right,2,10,9,8,,1129.0,
2025-07-28 16:23:34,1.17.0,Bandit80,80,4.16,,20,20,80,Left,Right,3,10,9,9,,,0.2
2025-07-28 16:23:37,1.17.0,Bandit80,80,4.16,,20,20,80,LeftinTimeOut,Right,3,10,9,9,,,
2025-07-28 16:24:21,1.17.0,Bandit80,80,4.16,,20,20,80,Left,Right,4,10,9,9,,,0.69
2025-07-28 16:24:34,1.17.0,Bandit80,80,4.16,,20,20,80,Left,Right,5,10,9,9,,,0.09
2025-07-28 16:24:35,1.17.0,Bandit80,80,4.16,,20,20,80,LeftDuringDispense,Right,5,10,9,9,,,0.01
2025-07-28 16:24:40,1.17.0,Bandit80,80,4.16,1.0,20,20,80,Pellet,Right,5,10,10,9,4.97,404.0,
2025-07-28 16:24:58,1.17.0,Bandit80,80,4.16,,20,20,80,Left,Right,6,10,10,10,,,0.37
2025-07-28 16:25:23,1.17.0,Bandit80,80,4.16,,20,20,80,Right,Right,6,11,10,10,,,0.43
2025-07-28 16:25:29,1.17.0,Bandit80,80,4.16,,20,20,80,RightWithPellet,Right,6,12,10,10,,,0.18
2025-07-28 16:26:46,1.17.0,Bandit80,80,4.16,2.0,20,20,80,Pellet,Right,6,12,11,10,,126.0,
2025-07-28 16:27:02,1.17.0,Bandit80,80,4.16,,20,20,80,Left,Right,7,12,11,11,,,0.47
2025-07-28 16:31:28,1.17.0,Bandit80,80,4.16,,20,20,80,Left,Right,8,12,11,11,,,0.15
2025-07-28 17:16:53,1.17.0,Bandit80,80,4.16,2.0,20,20,80,Pellet,Right,8,12,12,11,,3007.0,
2025-07-28 17:17:13,1.17.0,Bandit80,80,4.16,,20,20,80,Right,Right,8,13,12,12,,,0.19
2025-07-28 17:17:14,1.17.0,Bandit80,80,4.16,1.0,20,20,80,Pellet,Right,8,13,13,12,0.66,21.0,
2025-07-28 17:17:32,1.17.0,Bandit80,80,4.16,,20,20,80,Right,Right,8,14,13,13,,,0.04
2025-07-28 17:17:34,1.17.0,Bandit80,80,4.15,1.0,20,20,80,Pellet,Right,8,14,14,13,0.79,20.0,
2025-07-28 17:17:48,1.17.0,Bandit80,80,4.16,,20,20,80,Right,Right,8,15,14,14,,,0.19
2025-07-28 17:17:50,1.17.0,Bandit80,80,4.16,1.0,20,20,80,Pellet,Right,8,15,15,14,0.79,16.0,
2025-07-28 17:18:06,1.17.0,Bandit80,80,4.16,,20,20,80,Right,Right,8,16,15,15,,,0.01
2025-07-28 17:18:07,1.17.0,Bandit80,80,4.16,1.0,20,20,80,Pellet,Right,8,16,16,15,0.72,17.0,
2025-07-28 17:18:28,1.17.0,Bandit80,80,4.16,,20,20,80,Right,Right,8,17,16,16,,,0.05
2025-07-28 17:18:30,1.17.0,Bandit80,80,4.16,,20,20,80,RightinTimeout,Right,8,17,16,16,,,0.0
2025-07-28 17:18:39,1.17.0,Bandit80,80,4.16,,20,20,80,RightinTimeout,Right,8,17,16,16,,,0.0
2025-07-28 17:18:41,1.17.0,Bandit80,80,4.16,,20,20,80,LeftinTimeOut,Right,8,17,16,16,,,
2025-07-28 17:18:43,1.17.0,Bandit80,80,4.16,,20,20,80,RightinTimeout,Right,8,17,16,16,,,0.0
2025-07-28 17:18:43,1.17.0,Bandit80,80,4.16,,20,20,80,RightinTimeout,Right,8,17,16,16,,,0.0
2025-07-28 17:18:45,1.17.0,Bandit80,80,4.16,,20,20,80,RightinTimeout,Right,8,17,16,16,,,0.0
2025-07-28 17:18:46,1.17.0,Bandit80,80,4.16,,20,20,80,RightinTimeout,Right,8,17,16,16,,,0.0
2025-07-28 17:18:46,1.17.0,Bandit80,80,4.16,,20,20,80,RightinTimeout,Right,8,17,16,16,,,0.0
2025-07-28 17:18:48,1.17.0,Bandit80,80,4.16,,20,20,80,RightinTimeout,Right,8,17,16,16,,,0.0
2025-07-28 17:18:48,1.17.0,Bandit80,80,4.16,,20,20,80,RightinTimeout,Right,8,17,16,16,,,0.0
2025-07-28 17:18:50,1.17.0,Bandit80,80,4.15,,20,20,80,RightinTimeout,Right,8,17,16,16,,,0.0
2025-07-28 17:18:54,1.17.0,Bandit80,80,4.16,,20,20,80,RightinTimeout,Right,8,17,16,16,,,0.0
2025-07-28 17:18:54,1.17.0,Bandit80,80,4.16,,20,20,80,RightinTimeout,Right,8,17,16,16,,,0.0
2025-07-28 17:18:58,1.17.0,Bandit80,80,4.16,,20,20,80,LeftinTimeOut,Right,8,17,16,16,,,
2025-07-28 17:19:01,1.17.0,Bandit80,80,4.16,,20,20,80,LeftinTimeOut,Right,8,17,16,16,,,
2025-07-28 17:19:10,1.17.0,Bandit80,80,4.16,,20,20,80,RightinTimeout,Right,8,17,16,16,,,0.0
2025-07-28 17:19:10,1.17.0,Bandit80,80,4.16,,20,20,80,RightinTimeout,Right,8,17,16,16,,,0.0
2025-07-28 17:19:10,1.17.0,Bandit80,80,4.16,,20,20,80,RightinTimeout,Right,8,17,16,16,,,0.0
2025-07-28 17:19:15,1.17.0,Bandit80,80,4.16,,20,20,80,LeftinTimeOut,Right,8,17,16,16,,,
2025-07-28 17:19:24,1.17.0,Bandit80,80,4.16,,20,20,80,RightinTimeout,Right,8,17,16,16,,,0.0
