MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-08-11 14:13:38,1.17.0,Bandit80,40,4.2,,20,20,80,Right,Right,0,1,0,0,,,0.35
2025-08-11 14:15:17,1.17.0,Bandit80,40,4.2,4.0,20,20,80,Pellet,Right,0,1,1,0,,,
2025-08-11 14:16:45,1.17.0,Bandit80,40,4.2,,20,20,80,Left,Right,1,1,1,1,,,0.43
2025-08-11 14:16:47,1.17.0,Bandit80,40,4.2,,20,20,80,RightinTimeout,Right,1,1,1,1,,,0.0
2025-08-11 14:16:47,1.17.0,Bandit80,40,4.2,,20,20,80,RightinTimeout,Right,1,1,1,1,,,0.0
2025-08-11 14:16:51,1.17.0,Bandit80,40,4.2,,20,20,80,RightinTimeout,Right,1,1,1,1,,,0.0
2025-08-11 14:16:52,1.17.0,Bandit80,40,4.2,,20,20,80,RightinTimeout,Right,1,1,1,1,,,0.0
2025-08-11 14:18:04,1.17.0,Bandit80,40,4.2,,20,20,80,Left,Right,2,1,1,1,,,0.09
2025-08-11 14:18:06,1.17.0,Bandit80,40,4.2,2.0,20,20,80,Pellet,Right,2,1,2,1,0.72,169.0,
2025-08-11 14:18:16,1.17.0,Bandit80,40,4.2,,20,20,80,Left,Right,3,1,2,2,,,0.06
2025-08-11 14:18:18,1.17.0,Bandit80,40,4.2,2.0,20,20,80,Pellet,Right,3,1,3,2,0.66,12.0,
2025-08-11 14:19:21,1.17.0,Bandit80,40,4.2,,20,20,80,Left,Right,4,1,3,3,,,0.21
2025-08-11 14:19:23,1.17.0,Bandit80,40,4.2,,20,20,80,RightinTimeout,Right,4,1,3,3,,,0.0
2025-08-11 14:19:47,1.17.0,Bandit80,40,4.2,,20,20,80,Left,Right,5,1,3,3,,,0.19
2025-08-11 14:19:48,1.17.0,Bandit80,40,4.2,2.0,20,20,80,Pellet,Right,5,1,4,3,0.66,90.0,
2025-08-11 14:19:58,1.17.0,Bandit80,40,4.2,,20,20,80,Left,Right,6,1,4,4,,,0.07
2025-08-11 14:19:58,1.17.0,Bandit80,40,4.2,,20,20,80,LeftinTimeOut,Right,6,1,4,4,,,
2025-08-11 14:20:02,1.17.0,Bandit80,40,4.2,,20,20,80,LeftinTimeOut,Right,6,1,4,4,,,
2025-08-11 14:22:05,1.17.0,Bandit80,40,4.2,,20,20,80,Left,Right,7,1,4,4,,,0.06
2025-08-11 14:23:03,1.17.0,Bandit80,40,4.2,,20,20,80,Right,Right,7,2,4,4,,,0.26
2025-08-11 14:23:05,1.17.0,Bandit80,40,4.2,1.0,20,20,80,Pellet,Right,7,2,5,4,1.42,197.0,
2025-08-11 14:23:15,1.17.0,Bandit80,40,4.2,,20,20,80,Right,Right,7,3,5,5,,,0.13
2025-08-11 14:23:15,1.17.0,Bandit80,40,4.2,,20,20,80,RightinTimeout,Right,7,3,5,5,,,0.0
2025-08-11 14:23:18,1.17.0,Bandit80,40,4.2,,20,20,80,RightinTimeout,Right,7,3,5,5,,,0.0
2025-08-11 14:23:18,1.17.0,Bandit80,40,4.2,,20,20,80,RightinTimeout,Right,7,3,5,5,,,0.0
2025-08-11 14:23:21,1.17.0,Bandit80,40,4.2,,20,20,80,RightinTimeout,Right,7,3,5,5,,,0.0
2025-08-11 14:23:21,1.17.0,Bandit80,40,4.2,,20,20,80,RightinTimeout,Right,7,3,5,5,,,0.0
2025-08-11 14:23:28,1.17.0,Bandit80,40,4.2,,20,20,80,RightinTimeout,Right,7,3,5,5,,,0.0
2025-08-11 14:23:37,1.17.0,Bandit80,40,4.2,,20,20,80,RightinTimeout,Right,7,3,5,5,,,0.0
2025-08-11 14:23:38,1.17.0,Bandit80,40,4.2,,20,20,80,RightinTimeout,Right,7,3,5,5,,,0.0
2025-08-11 14:23:46,1.17.0,Bandit80,40,4.2,,20,20,80,LeftinTimeOut,Right,7,3,5,5,,,
2025-08-11 14:23:51,1.17.0,Bandit80,40,4.2,,20,20,80,LeftinTimeOut,Right,7,3,5,5,,,
2025-08-11 14:24:09,1.17.0,Bandit80,40,4.2,,20,20,80,Right,Right,7,4,5,5,,,0.17
2025-08-11 14:24:11,1.17.0,Bandit80,40,4.2,1.0,20,20,80,Pellet,Right,7,4,6,5,1.1,66.0,
2025-08-11 14:24:40,1.17.0,Bandit80,40,4.2,,20,20,80,Left,Right,8,4,6,6,,,0.01
2025-08-11 14:28:03,1.17.0,Bandit80,40,4.2,,20,20,80,Left,Right,9,4,6,6,,,0.21
2025-08-11 14:28:45,1.17.0,Bandit80,40,4.2,,20,20,80,Right,Right,9,5,6,6,,,0.23
2025-08-11 14:28:46,1.17.0,Bandit80,40,4.2,1.0,20,20,80,Pellet,Right,9,5,7,6,0.72,275.0,
2025-08-11 14:29:00,1.17.0,Bandit80,40,4.2,,20,20,80,Left,Right,10,5,7,7,,,0.18
2025-08-11 14:29:01,1.17.0,Bandit80,40,4.2,1.0,20,20,80,Pellet,Right,10,5,8,7,0.66,15.0,
2025-08-11 14:29:20,1.17.0,Bandit80,40,4.2,,20,20,80,Right,Right,10,6,8,8,,,0.11
2025-08-11 14:29:22,1.17.0,Bandit80,40,4.2,,20,20,80,RightinTimeout,Right,10,6,8,8,,,0.0
2025-08-11 14:29:30,1.17.0,Bandit80,40,4.2,,20,20,80,LeftinTimeOut,Right,10,6,8,8,,,
2025-08-11 14:29:49,1.17.0,Bandit80,40,4.2,,20,20,80,Right,Right,10,7,8,8,,,0.16
2025-08-11 14:29:51,1.17.0,Bandit80,40,4.2,1.0,20,20,80,Pellet,Right,10,7,9,8,0.66,50.0,
2025-08-11 14:36:04,1.17.0,Bandit80,40,4.2,,20,20,80,Right,Right,10,8,9,9,,,0.2
2025-08-11 14:36:06,1.17.0,Bandit80,40,4.2,,20,20,80,LeftinTimeOut,Right,10,8,9,9,,,
2025-08-11 14:36:07,1.17.0,Bandit80,40,4.2,,20,20,80,LeftinTimeOut,Right,10,8,9,9,,,
2025-08-11 14:36:11,1.17.0,Bandit80,40,4.2,,20,20,80,LeftinTimeOut,Right,10,8,9,9,,,
2025-08-11 14:36:13,1.17.0,Bandit80,40,4.2,,20,20,80,RightinTimeout,Right,10,8,9,9,,,0.0
2025-08-11 14:36:14,1.17.0,Bandit80,40,4.2,,20,20,80,RightinTimeout,Right,10,8,9,9,,,0.0
2025-08-11 14:36:15,1.17.0,Bandit80,40,4.2,,20,20,80,RightinTimeout,Right,10,8,9,9,,,0.0
2025-08-11 14:36:16,1.17.0,Bandit80,40,4.2,,20,20,80,LeftinTimeOut,Right,10,8,9,9,,,
2025-08-11 14:36:42,1.17.0,Bandit80,40,4.2,,20,20,80,Left,Right,11,8,9,9,,,0.13
2025-08-11 14:36:57,1.17.0,Bandit80,40,4.2,,20,20,80,Left,Right,12,8,9,9,,,0.12
2025-08-11 14:39:37,1.17.0,Bandit80,40,4.2,,20,20,80,Right,Right,12,9,9,9,,,0.12
2025-08-11 14:39:39,1.17.0,Bandit80,40,4.2,1.0,20,20,80,Pellet,Right,12,9,10,9,0.66,587.0,
2025-08-11 14:40:03,1.17.0,Bandit80,40,4.2,,20,20,80,Left,Right,13,9,10,10,,,0.17
2025-08-11 14:40:03,1.17.0,Bandit80,40,4.2,,20,20,80,LeftinTimeOut,Right,13,9,10,10,,,
2025-08-11 14:40:10,1.17.0,Bandit80,40,4.2,,20,20,80,RightinTimeout,Right,13,9,10,10,,,0.0
2025-08-11 14:40:11,1.17.0,Bandit80,40,4.2,,20,20,80,RightinTimeout,Right,13,9,10,10,,,0.0
2025-08-11 14:40:11,1.17.0,Bandit80,40,4.2,,20,20,80,RightinTimeout,Right,13,9,10,10,,,0.0
2025-08-11 14:40:19,1.17.0,Bandit80,40,4.2,,20,20,80,RightinTimeout,Right,13,9,10,10,,,0.0
2025-08-11 14:40:27,1.17.0,Bandit80,40,4.2,,20,20,80,LeftinTimeOut,Right,13,9,10,10,,,
2025-08-11 14:40:49,1.17.0,Bandit80,40,4.2,,20,20,80,Right,Right,13,10,10,10,,,0.3
2025-08-11 14:41:04,1.17.0,Bandit80,40,4.2,1.0,20,20,80,Pellet,Right,13,10,11,10,14.11,86.0,
2025-08-11 14:41:43,1.17.0,Bandit80,40,4.2,,20,20,80,Left,Right,14,10,11,11,,,0.26
2025-08-11 14:41:44,1.17.0,Bandit80,40,4.2,1.0,20,20,80,Pellet,Right,14,10,12,11,0.66,40.0,
2025-08-11 14:42:40,1.17.0,Bandit80,40,4.2,,20,20,80,Right,Right,14,11,12,12,,,0.2
2025-08-11 14:42:41,1.17.0,Bandit80,40,4.2,1.0,20,20,80,Pellet,Right,14,11,13,12,0.66,57.0,
2025-08-11 14:42:56,1.17.0,Bandit80,40,4.2,,20,20,80,Right,Right,14,12,13,13,,,0.01
2025-08-11 14:42:58,1.17.0,Bandit80,40,4.2,1.0,20,20,80,Pellet,Right,14,12,14,13,1.29,17.0,
2025-08-11 14:43:07,1.17.0,Bandit80,40,4.2,,20,20,80,Right,Right,14,13,14,14,,,0.05
2025-08-11 14:43:15,1.17.0,Bandit80,40,4.2,,20,20,80,RightinTimeout,Right,14,13,14,14,,,0.0
2025-08-11 14:48:45,1.17.0,Bandit80,40,4.2,,20,20,80,Right,Right,14,14,14,14,,,0.05
2025-08-11 14:48:59,1.17.0,Bandit80,40,4.2,1.0,20,20,80,Pellet,Right,14,14,15,14,12.84,361.0,
2025-08-11 14:55:18,1.17.0,Bandit80,40,4.2,,20,20,80,Right,Right,14,15,15,15,,,0.19
2025-08-11 14:55:35,1.17.0,Bandit80,40,4.2,1.0,20,20,80,Pellet,Right,14,15,16,15,15.9,396.0,
2025-08-11 14:55:49,1.17.0,Bandit80,40,4.2,,20,20,80,Right,Right,14,16,16,16,,,0.14
2025-08-11 14:55:51,1.17.0,Bandit80,40,4.2,1.0,20,20,80,Pellet,Right,14,16,17,16,0.66,16.0,
2025-08-11 14:56:05,1.17.0,Bandit80,40,4.2,,20,20,80,Right,Right,14,17,17,17,,,0.02
2025-08-11 14:56:06,1.17.0,Bandit80,40,4.2,1.0,20,20,80,Pellet,Right,14,17,18,17,0.72,15.0,
2025-08-11 14:56:23,1.17.0,Bandit80,40,4.2,,20,20,80,Right,Right,14,18,18,18,,,0.07
2025-08-11 14:56:24,1.17.0,Bandit80,40,4.2,,20,20,80,RightDuringDispense,Right,14,18,18,18,,,0.09
2025-08-11 14:56:27,1.17.0,Bandit80,40,4.2,2.0,20,20,80,Pellet,Right,14,18,19,18,0.79,21.0,
2025-08-11 14:56:43,1.17.0,Bandit80,40,4.2,,20,20,80,Right,Right,14,19,19,19,,,0.1
2025-08-11 14:56:44,1.17.0,Bandit80,40,4.2,1.0,20,20,80,Pellet,Right,14,19,20,19,0.66,17.0,
2025-08-11 14:57:17,1.17.0,Bandit80,40,4.2,,20,80,20,Right,Left,14,20,20,0,,,0.09
2025-08-11 14:57:21,1.17.0,Bandit80,40,4.2,,20,80,20,LeftinTimeOut,Left,14,20,20,0,,,
2025-08-11 14:57:22,1.17.0,Bandit80,40,4.2,,20,80,20,LeftinTimeOut,Left,14,20,20,0,,,
2025-08-11 14:57:22,1.17.0,Bandit80,40,4.2,,20,80,20,LeftinTimeOut,Left,14,20,20,0,,,
2025-08-11 15:00:01,1.17.0,Bandit80,40,4.2,,20,80,20,Left,Left,15,20,20,0,,,0.02
2025-08-11 15:00:09,1.17.0,Bandit80,40,4.2,,20,80,20,LeftWithPellet,Left,15,20,20,0,,,0.03
2025-08-11 15:14:00,1.17.0,Bandit80,40,4.2,1.0,20,80,20,Pellet,Left,15,20,21,0,,1036.0,
2025-08-11 16:07:15,1.17.0,Bandit80,40,4.2,,20,80,20,Left,Left,16,20,21,1,,,0.08
2025-08-11 16:07:17,1.17.0,Bandit80,40,4.2,1.0,20,80,20,Pellet,Left,16,20,22,1,0.66,3197.0,
2025-08-11 16:07:31,1.17.0,Bandit80,40,4.2,,20,80,20,Left,Left,17,20,22,2,,,0.04
2025-08-11 16:07:33,1.17.0,Bandit80,40,4.19,,20,80,20,LeftinTimeOut,Left,17,20,22,2,,,
2025-08-11 16:07:34,1.17.0,Bandit80,40,4.19,,20,80,20,LeftinTimeOut,Left,17,20,22,2,,,
2025-08-11 16:07:35,1.17.0,Bandit80,40,4.2,,20,80,20,LeftinTimeOut,Left,17,20,22,2,,,
2025-08-11 16:07:36,1.17.0,Bandit80,40,4.2,,20,80,20,LeftinTimeOut,Left,17,20,22,2,,,
2025-08-11 16:07:40,1.17.0,Bandit80,40,4.2,,20,80,20,LeftinTimeOut,Left,17,20,22,2,,,
2025-08-11 16:07:40,1.17.0,Bandit80,40,4.19,,20,80,20,LeftinTimeOut,Left,17,20,22,2,,,
2025-08-11 16:07:45,1.17.0,Bandit80,40,4.19,,20,80,20,LeftinTimeOut,Left,17,20,22,2,,,
2025-08-11 16:07:46,1.17.0,Bandit80,40,4.19,,20,80,20,LeftinTimeOut,Left,17,20,22,2,,,
2025-08-11 16:07:47,1.17.0,Bandit80,40,4.2,,20,80,20,LeftinTimeOut,Left,17,20,22,2,,,
2025-08-11 16:07:48,1.17.0,Bandit80,40,4.2,,20,80,20,LeftinTimeOut,Left,17,20,22,2,,,
2025-08-11 16:07:48,1.17.0,Bandit80,40,4.19,,20,80,20,LeftinTimeOut,Left,17,20,22,2,,,
2025-08-11 16:07:49,1.17.0,Bandit80,40,4.2,,20,80,20,LeftinTimeOut,Left,17,20,22,2,,,
