MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-08-25 14:47:41,1.17.2,Bandit80,24,4.14,,20,20,80,Right,Right,0,1,0,0,,,0.11
2025-08-25 14:47:55,1.17.2,Bandit80,24,4.14,,20,20,80,RightWithPellet,Right,0,2,0,0,,,0.19
2025-08-25 14:47:57,1.17.2,Bandit80,24,4.15,2.0,20,20,80,Pellet,Right,0,2,1,0,13.06,,
2025-08-25 14:48:53,1.17.2,Bandit80,24,4.14,,20,20,80,Right,Right,0,3,1,1,,,0.3
2025-08-25 14:48:54,1.17.2,Bandit80,24,4.14,1.0,20,20,80,Pellet,Right,0,3,2,1,0.67,57.0,
2025-08-25 14:50:18,1.17.2,Bandit80,24,4.14,,20,20,80,Right,Right,0,4,2,2,,,0.07
2025-08-25 14:50:20,1.17.2,Bandit80,24,4.14,1.0,20,20,80,Pellet,Right,0,4,3,2,0.73,86.0,
2025-08-25 14:50:45,1.17.2,Bandit80,24,4.14,,20,20,80,Right,Right,0,5,3,3,,,0.07
2025-08-25 14:50:46,1.17.2,Bandit80,24,4.14,1.0,20,20,80,Pellet,Right,0,5,4,3,0.48,26.0,
2025-08-25 14:51:11,1.17.2,Bandit80,24,4.14,,20,20,80,Left,Right,1,5,4,4,,,0.42
2025-08-25 14:51:41,1.17.2,Bandit80,24,4.14,,20,20,80,Left,Right,2,5,4,4,,,0.18
2025-08-25 14:51:43,1.17.2,Bandit80,24,4.14,,20,20,80,LeftinTimeOut,Right,2,5,4,4,,,
2025-08-25 14:52:13,1.17.2,Bandit80,24,4.14,,20,20,80,Right,Right,2,6,4,4,,,0.34
2025-08-25 14:52:15,1.17.2,Bandit80,24,4.14,1.0,20,20,80,Pellet,Right,2,6,5,4,0.98,89.0,
2025-08-25 14:52:38,1.17.2,Bandit80,24,4.14,,20,20,80,Left,Right,3,6,5,5,,,0.11
2025-08-25 14:53:18,1.17.2,Bandit80,24,4.14,,20,20,80,Left,Right,4,6,5,5,,,0.16
2025-08-25 14:53:27,1.17.2,Bandit80,24,4.14,,20,20,80,RightinTimeout,Right,4,6,5,5,,,0.0
2025-08-25 14:53:28,1.17.2,Bandit80,24,4.14,,20,20,80,RightinTimeout,Right,4,6,5,5,,,0.0
2025-08-25 14:53:34,1.17.2,Bandit80,24,4.14,,20,20,80,LeftinTimeOut,Right,4,6,5,5,,,
2025-08-25 14:53:57,1.17.2,Bandit80,24,4.14,,20,20,80,Left,Right,5,6,5,5,,,0.0
2025-08-25 14:55:26,1.17.2,Bandit80,24,4.14,,20,20,80,Left,Right,6,6,5,5,,,0.19
2025-08-25 14:55:27,1.17.2,Bandit80,24,4.14,,20,20,80,LeftinTimeOut,Right,6,6,5,5,,,
2025-08-25 14:55:28,1.17.2,Bandit80,24,4.14,,20,20,80,LeftinTimeOut,Right,6,6,5,5,,,
2025-08-25 14:57:19,1.17.2,Bandit80,24,4.14,,20,20,80,Right,Right,6,7,5,5,,,0.27
2025-08-25 14:57:20,1.17.2,Bandit80,24,4.14,1.0,20,20,80,Pellet,Right,6,7,6,5,0.36,305.0,
2025-08-25 14:58:59,1.17.2,Bandit80,24,4.14,,20,20,80,Right,Right,6,8,6,6,,,0.07
2025-08-25 14:59:01,1.17.2,Bandit80,24,4.14,1.0,20,20,80,Pellet,Right,6,8,7,6,0.67,101.0,
2025-08-25 14:59:24,1.17.2,Bandit80,24,4.14,,20,20,80,Right,Right,6,9,7,7,,,0.05
2025-08-25 14:59:29,1.17.2,Bandit80,24,4.14,,20,20,80,RightinTimeout,Right,6,9,7,7,,,0.0
2025-08-25 14:59:32,1.17.2,Bandit80,24,4.14,,20,20,80,RightinTimeout,Right,6,9,7,7,,,0.0
2025-08-25 14:59:32,1.17.2,Bandit80,24,4.15,,20,20,80,RightinTimeout,Right,6,9,7,7,,,0.0
2025-08-25 14:59:44,1.17.2,Bandit80,24,4.14,,20,20,80,Right,Right,6,10,7,7,,,0.28
2025-08-25 14:59:45,1.17.2,Bandit80,24,4.14,1.0,20,20,80,Pellet,Right,6,10,8,7,0.3,44.0,
2025-08-25 15:01:04,1.17.2,Bandit80,24,4.14,,20,20,80,Right,Right,6,11,8,8,,,0.24
2025-08-25 15:01:06,1.17.2,Bandit80,24,4.14,1.0,20,20,80,Pellet,Right,6,11,9,8,0.61,81.0,
2025-08-25 15:01:31,1.17.2,Bandit80,24,4.14,,20,20,80,Right,Right,6,12,9,9,,,0.08
