MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-10-27 12:38:14,1.17.0,Bandit80,10,4.14,,20,20,80,Right,Right,0,1,0,0,,,0.27
2025-10-27 12:39:17,1.17.0,Bandit80,10,4.14,,20,20,80,LeftWithPellet,Right,0,1,0,0,,,0.19
2025-10-27 12:39:31,1.17.0,Bandit80,10,4.14,,20,20,80,LeftWithPellet,Right,0,1,0,0,,,0.06
2025-10-27 12:39:37,1.17.0,Bandit80,10,4.14,,20,20,80,RightWithPellet,Right,0,1,0,0,,,0.17
2025-10-27 12:40:08,1.17.0,Bandit80,10,4.14,3.0,20,20,80,Pellet,Right,0,1,1,0,,,
2025-10-27 12:41:03,1.17.0,Bandit80,10,4.14,,20,20,80,Right,Right,0,2,1,1,,,0.49
2025-10-27 12:41:08,1.17.0,Bandit80,10,4.14,2.0,20,20,80,Pellet,Right,0,2,2,1,2.02,60.0,
2025-10-27 12:41:48,1.17.0,Bandit80,10,4.14,,20,20,80,Right,Right,0,3,2,2,,,0.32
2025-10-27 12:41:52,1.17.0,Bandit80,10,4.14,1.0,20,20,80,Pellet,Right,0,3,3,2,2.84,44.0,
2025-10-27 12:42:24,1.17.0,Bandit80,10,4.14,,20,20,80,Right,Right,0,4,3,3,,,0.06
2025-10-27 12:42:28,1.17.0,Bandit80,10,4.14,1.0,20,20,80,Pellet,Right,0,4,4,3,2.53,35.0,
2025-10-27 12:42:48,1.17.0,Bandit80,10,4.14,,20,20,80,Right,Right,0,5,4,4,,,0.29
2025-10-27 12:42:50,1.17.0,Bandit80,10,4.14,1.0,20,20,80,Pellet,Right,0,5,5,4,1.45,23.0,
2025-10-27 12:43:06,1.17.0,Bandit80,10,4.14,,20,20,80,Right,Right,0,6,5,5,,,0.42
2025-10-27 12:43:36,1.17.0,Bandit80,10,4.14,,20,20,80,Right,Right,0,7,5,5,,,0.02
2025-10-27 12:43:36,1.17.0,Bandit80,10,4.14,,20,20,80,RightDuringDispense,Right,0,7,5,5,,,0.02
2025-10-27 12:43:40,1.17.0,Bandit80,10,4.14,2.0,20,20,80,Pellet,Right,0,7,6,5,0.75,50.0,
2025-10-27 12:44:01,1.17.0,Bandit80,10,4.14,,20,20,80,Right,Right,0,8,6,6,,,0.2
2025-10-27 12:44:04,1.17.0,Bandit80,10,4.14,,20,20,80,LeftinTimeOut,Right,0,8,6,6,,,
2025-10-27 12:44:05,1.17.0,Bandit80,10,4.13,,20,20,80,LeftinTimeOut,Right,0,8,6,6,,,
