MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-07-28 15:29:05,1.17.0,Bandit80,61,4.17,,20,20,80,Right,Right,0,1,0,0,,,0.2
2025-07-28 15:30:08,1.17.0,Bandit80,61,4.18,1.0,20,20,80,Pellet,Right,0,1,1,0,,,
2025-07-28 15:32:33,1.17.0,Bandit80,61,4.18,,20,20,80,Left,Right,1,1,1,1,,,0.12
2025-07-28 15:32:58,1.17.0,Bandit80,61,4.17,,20,20,80,Left,Right,2,1,1,1,,,0.18
2025-07-28 15:33:10,1.17.0,Bandit80,61,4.17,,20,20,80,Left,Right,3,1,1,1,,,0.18
2025-07-28 15:33:30,1.17.0,Bandit80,61,4.17,,20,20,80,Right,Right,3,2,1,1,,,0.11
2025-07-28 15:33:32,1.17.0,Bandit80,61,4.17,1.0,20,20,80,Pellet,Right,3,2,2,1,0.66,204.0,
2025-07-28 15:33:50,1.17.0,Bandit80,61,4.17,,20,20,80,Left,Right,4,2,2,2,,,0.13
2025-07-28 15:33:51,1.17.0,Bandit80,61,4.17,,20,20,80,LeftinTimeOut,Right,4,2,2,2,,,
2025-07-28 15:33:54,1.17.0,Bandit80,61,4.17,,20,20,80,RightinTimeout,Right,4,2,2,2,,,0.0
2025-07-28 15:33:54,1.17.0,Bandit80,61,4.18,,20,20,80,RightinTimeout,Right,4,2,2,2,,,0.0
2025-07-28 15:34:07,1.17.0,Bandit80,61,4.17,,20,20,80,Right,Right,4,3,2,2,,,0.18
2025-07-28 15:34:08,1.17.0,Bandit80,61,4.17,1.0,20,20,80,Pellet,Right,4,3,3,2,0.66,36.0,
2025-07-28 15:34:20,1.17.0,Bandit80,61,4.17,,20,20,80,Right,Right,4,4,3,3,,,0.2
2025-07-28 15:34:21,1.17.0,Bandit80,61,4.17,1.0,20,20,80,Pellet,Right,4,4,4,3,0.72,13.0,
2025-07-28 15:34:39,1.17.0,Bandit80,61,4.17,,20,20,80,Right,Right,4,5,4,4,,,0.14
2025-07-28 15:34:41,1.17.0,Bandit80,61,4.17,2.0,20,20,80,Pellet,Right,4,5,5,4,0.85,20.0,
