MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2024-09-02 12:33:19,1.17.0,Bandit,8,4.18,,30,80,20,Left,Left,1,0,0,0,,,0.1
2024-09-02 12:33:28,1.17.0,Bandit,8,4.18,4.0,30,80,20,Pellet,Left,1,0,1,0,1.4,,
2024-09-02 12:33:41,1.17.0,Bandit,8,4.18,,30,80,20,Left,Left,2,0,1,1,,,0.16
2024-09-02 12:33:44,1.17.0,Bandit,8,4.18,,30,80,20,RightDuringDispense,Left,2,0,1,1,,,0.06
2024-09-02 12:33:55,1.17.0,Bandit,8,4.18,2.0,30,80,20,Pellet,Left,2,0,2,1,8.21,27.0,
2024-09-02 12:33:59,1.17.0,Bandit,8,4.18,,30,80,20,Right,Left,2,1,2,2,,,0.05
2024-09-02 12:34:20,1.17.0,Bandit,8,4.17,,30,80,20,Left,Left,3,1,2,2,,,0.16
2024-09-02 12:34:35,1.17.0,Bandit,8,4.18,1.0,30,80,20,Pellet,Left,3,1,3,2,12.2,40.0,
2024-09-02 12:34:46,1.17.0,Bandit,8,4.18,,30,80,20,Left,Left,4,1,3,3,,,0.03
2024-09-02 12:35:02,1.17.0,Bandit,8,4.18,1.0,30,80,20,Pellet,Left,4,1,4,3,13.24,27.0,
2024-09-02 12:35:05,1.17.0,Bandit,8,4.17,,30,80,20,Right,Left,4,2,4,4,,,0.25
2024-09-02 12:35:10,1.17.0,Bandit,8,4.18,,30,80,20,LeftinTimeOut,Left,4,2,4,4,,,
2024-09-02 12:35:22,1.17.0,Bandit,8,4.18,,30,80,20,Right,Left,4,3,4,4,,,0.3
2024-09-02 12:35:30,1.17.0,Bandit,8,4.18,,30,80,20,LeftinTimeOut,Left,4,3,4,4,,,
2024-09-02 12:35:31,1.17.0,Bandit,8,4.18,,30,80,20,LeftinTimeOut,Left,4,3,4,4,,,
2024-09-02 12:35:32,1.17.0,Bandit,8,4.18,,30,80,20,LeftinTimeOut,Left,4,3,4,4,,,
2024-09-02 12:35:44,1.17.0,Bandit,8,4.18,,30,80,20,Right,Left,4,4,4,4,,,0.29
2024-09-02 12:36:14,1.17.0,Bandit,8,4.18,,30,80,20,Right,Left,4,5,4,4,,,0.32
2024-09-02 12:38:36,1.17.0,Bandit,8,4.18,,30,80,20,Left,Left,5,5,4,4,,,0.17
2024-09-02 12:38:40,1.17.0,Bandit,8,4.18,1.0,30,80,20,Pellet,Left,5,5,5,4,0.67,218.0,
2024-09-02 12:39:04,1.17.0,Bandit,8,4.17,,30,80,20,Left,Left,6,5,5,5,,,0.14
2024-09-02 12:39:17,1.17.0,Bandit,8,4.17,1.0,30,80,20,Pellet,Left,6,5,6,5,9.99,37.0,
2024-09-02 12:39:43,1.17.0,Bandit,8,4.18,,30,80,20,Right,Left,6,6,6,6,,,0.09
2024-09-02 12:43:03,1.17.0,Bandit,8,4.18,,30,80,20,Left,Left,7,6,6,6,,,0.19
2024-09-02 12:43:59,1.17.0,Bandit,8,4.18,,30,80,20,LeftWithPellet,Left,7,6,6,6,,,0.02
2024-09-02 12:44:15,1.17.0,Bandit,8,4.18,1.0,30,80,20,Pellet,Left,7,6,7,6,,298.0,
2024-09-02 12:46:36,1.17.0,Bandit,8,4.18,,30,80,20,Right,Left,7,7,7,7,,,0.09
2024-09-02 12:48:40,1.17.0,Bandit,8,4.17,,30,80,20,Right,Left,7,8,7,7,,,0.38
2024-09-02 12:50:50,1.17.0,Bandit,8,4.17,,30,80,20,Right,Left,7,9,7,7,,,0.08
2024-09-02 12:51:16,1.17.0,Bandit,8,4.17,,30,80,20,Right,Left,7,10,7,7,,,0.24
2024-09-02 12:53:25,1.17.0,Bandit,8,4.17,,30,80,20,Left,Left,8,10,7,7,,,0.01
2024-09-02 12:53:30,1.17.0,Bandit,8,4.17,1.0,30,80,20,Pellet,Left,8,10,8,7,1.71,555.0,
2024-09-02 12:54:09,1.17.0,Bandit,8,4.17,,30,80,20,Left,Left,9,10,8,8,,,0.02
2024-09-02 12:54:14,1.17.0,Bandit,8,4.17,,30,80,20,RightWithPellet,Left,9,11,8,8,,,0.02
2024-09-02 12:54:27,1.17.0,Bandit,8,4.18,1.0,30,80,20,Pellet,Left,9,11,9,8,15.08,57.0,
2024-09-02 12:55:18,1.17.0,Bandit,8,4.17,,30,80,20,Left,Left,10,11,9,9,,,0.22
2024-09-02 12:56:43,1.17.0,Bandit,8,4.17,2.0,30,80,20,Pellet,Left,10,11,10,9,,136.0,
2024-09-02 12:59:47,1.17.0,Bandit,8,4.17,,30,80,20,Left,Left,11,11,10,10,,,0.05
2024-09-02 12:59:52,1.17.0,Bandit,8,4.17,1.0,30,80,20,Pellet,Left,11,11,11,10,1.77,189.0,
2024-09-02 13:01:39,1.17.0,Bandit,8,4.17,,30,80,20,Right,Left,11,12,11,11,,,0.23
