MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-08-25 13:22:14,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,0,1,0,0,,,0.33
2025-08-25 13:23:47,1.17.0,Bandit80,8,4.16,,20,20,80,RightWithPellet,Right,0,1,0,0,,,0.03
2025-08-25 13:24:05,1.17.0,Bandit80,8,4.16,3.0,20,20,80,Pellet,Right,0,1,1,0,,,
2025-08-25 13:24:29,1.17.0,Bandit80,8,4.16,,20,20,80,Left,Right,1,1,1,1,,,0.59
2025-08-25 13:25:40,1.17.0,Bandit80,8,4.16,,20,20,80,Left,Right,2,1,1,1,,,0.17
2025-08-25 13:25:41,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,2,1,1,1,,,0.0
2025-08-25 13:25:41,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,2,1,1,1,,,0.0
2025-08-25 13:25:54,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,2,2,1,1,,,0.51
2025-08-25 13:25:59,1.17.0,Bandit80,8,4.16,2.0,20,20,80,Pellet,Right,2,2,2,1,4.42,114.0,
2025-08-25 13:26:16,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,2,3,2,2,,,0.31
2025-08-25 13:26:16,1.17.0,Bandit80,8,4.16,,20,20,80,RightDuringDispense,Right,2,3,2,2,,,0.02
2025-08-25 13:26:21,1.17.0,Bandit80,8,4.16,3.0,20,20,80,Pellet,Right,2,3,3,2,1.77,22.0,
2025-08-25 13:26:35,1.17.0,Bandit80,8,4.16,,20,20,80,Left,Right,3,3,3,3,,,0.24
2025-08-25 13:26:38,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,3,3,3,3,,,0.0
2025-08-25 13:26:55,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,3,4,3,3,,,0.42
2025-08-25 13:26:57,1.17.0,Bandit80,8,4.16,2.0,20,20,80,Pellet,Right,3,4,4,3,0.49,36.0,
2025-08-25 13:27:09,1.17.0,Bandit80,8,4.16,,20,20,80,Left,Right,4,4,4,4,,,0.36
2025-08-25 13:27:11,1.17.0,Bandit80,8,4.16,,20,20,80,LeftinTimeOut,Right,4,4,4,4,,,
2025-08-25 13:27:22,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,4,5,4,4,,,0.29
2025-08-25 13:27:23,1.17.0,Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,4,5,5,4,0.55,26.0,
2025-08-25 13:28:01,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,4,6,5,5,,,0.26
2025-08-25 13:28:03,1.17.0,Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,4,6,6,5,1.96,40.0,
2025-08-25 13:28:37,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,4,7,6,6,,,0.45
2025-08-25 13:28:39,1.17.0,Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,4,7,7,6,1.53,36.0,
2025-08-25 13:28:51,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,4,8,7,7,,,0.3
2025-08-25 13:29:25,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,4,9,7,7,,,0.21
2025-08-25 13:29:27,1.17.0,Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,4,9,8,7,1.1,48.0,
2025-08-25 13:30:57,1.17.0,Bandit80,8,4.16,,20,20,80,Left,Right,5,9,8,8,,,0.45
2025-08-25 13:31:16,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,5,10,8,8,,,0.18
2025-08-25 13:31:18,1.17.0,Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,5,10,9,8,1.22,111.0,
2025-08-25 13:32:13,1.17.0,Bandit80,8,4.16,,20,20,80,Left,Right,6,10,9,9,,,0.19
2025-08-25 13:32:18,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,6,10,9,9,,,0.0
2025-08-25 13:32:18,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,6,10,9,9,,,0.0
2025-08-25 13:32:19,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,6,10,9,9,,,0.0
2025-08-25 13:32:20,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,6,10,9,9,,,0.0
2025-08-25 13:32:31,1.17.0,Bandit80,8,4.16,,20,20,80,Left,Right,7,10,9,9,,,0.3
2025-08-25 13:34:16,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,7,11,9,9,,,0.21
2025-08-25 13:34:18,1.17.0,Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,7,11,10,9,0.85,180.0,
2025-08-25 13:34:40,1.17.0,Bandit80,8,4.16,,20,20,80,Left,Right,8,11,10,10,,,0.21
2025-08-25 13:34:40,1.17.0,Bandit80,8,4.16,,20,20,80,LeftinTimeOut,Right,8,11,10,10,,,
2025-08-25 13:34:43,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,8,11,10,10,,,0.0
2025-08-25 13:34:43,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,8,11,10,10,,,0.0
2025-08-25 13:36:24,1.17.0,Bandit80,8,4.16,,20,20,80,Left,Right,9,11,10,10,,,0.13
2025-08-25 13:36:25,1.17.0,Bandit80,8,4.16,,20,20,80,LeftinTimeOut,Right,9,11,10,10,,,
2025-08-25 13:36:32,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,9,11,10,10,,,0.0
2025-08-25 13:36:33,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,9,11,10,10,,,0.0
2025-08-25 13:36:33,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,9,11,10,10,,,0.0
2025-08-25 13:36:34,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,9,11,10,10,,,0.0
2025-08-25 13:36:34,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,9,11,10,10,,,0.0
2025-08-25 13:36:35,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,9,11,10,10,,,0.0
2025-08-25 13:36:43,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,9,11,10,10,,,0.0
2025-08-25 13:36:43,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,9,11,10,10,,,0.0
2025-08-25 13:38:35,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,9,12,10,10,,,0.16
2025-08-25 13:38:37,1.17.0,Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,9,12,11,10,1.22,259.0,
2025-08-25 13:39:11,1.17.0,Bandit80,8,4.16,,20,20,80,Left,Right,10,12,11,11,,,0.23
2025-08-25 13:39:16,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,10,12,11,11,,,0.0
2025-08-25 13:39:16,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,10,12,11,11,,,0.0
2025-08-25 13:39:17,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,10,12,11,11,,,0.0
2025-08-25 13:39:17,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,10,12,11,11,,,0.0
2025-08-25 13:39:17,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,10,12,11,11,,,0.0
2025-08-25 13:39:41,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,10,13,11,11,,,0.15
2025-08-25 13:39:43,1.17.0,Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,10,13,12,11,1.34,66.0,
2025-08-25 13:40:49,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,10,14,12,12,,,0.0
2025-08-25 13:41:36,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,10,15,12,12,,,0.0
2025-08-25 13:41:37,1.17.0,Bandit80,8,4.16,2.0,20,20,80,Pellet,Right,10,15,13,12,0.98,114.0,
2025-08-25 13:42:59,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,10,16,13,13,,,0.16
2025-08-25 13:43:02,1.17.0,Bandit80,8,4.16,,20,20,80,LeftinTimeOut,Right,10,16,13,13,,,
2025-08-25 13:43:03,1.17.0,Bandit80,8,4.16,,20,20,80,LeftinTimeOut,Right,10,16,13,13,,,
2025-08-25 13:43:05,1.17.0,Bandit80,8,4.16,,20,20,80,LeftinTimeOut,Right,10,16,13,13,,,
2025-08-25 13:43:26,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,10,17,13,13,,,0.87
2025-08-25 13:46:24,1.17.0,Bandit80,8,4.16,,20,20,80,Left,Right,11,17,13,13,,,0.11
2025-08-25 13:46:26,1.17.0,Bandit80,8,4.16,,20,20,80,LeftinTimeOut,Right,11,17,13,13,,,
2025-08-25 13:46:27,1.17.0,Bandit80,8,4.16,,20,20,80,LeftinTimeOut,Right,11,17,13,13,,,
2025-08-25 13:46:28,1.17.0,Bandit80,8,4.16,,20,20,80,LeftinTimeOut,Right,11,17,13,13,,,
2025-08-25 13:47:59,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,11,18,13,13,,,0.09
2025-08-25 13:48:02,1.17.0,Bandit80,8,4.16,,20,20,80,LeftinTimeOut,Right,11,18,13,13,,,
2025-08-25 13:49:46,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,11,19,13,13,,,0.85
2025-08-25 13:49:46,1.17.0,Bandit80,8,4.16,,20,20,80,RightDuringDispense,Right,11,19,13,13,,,0.02
2025-08-25 13:49:50,1.17.0,Bandit80,8,4.16,2.0,20,20,80,Pellet,Right,11,19,14,13,1.34,493.0,
2025-08-25 13:50:11,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,11,20,14,14,,,0.27
2025-08-25 13:50:16,1.17.0,Bandit80,8,4.16,,20,20,80,LeftinTimeOut,Right,11,20,14,14,,,
2025-08-25 13:50:18,1.17.0,Bandit80,8,4.16,,20,20,80,LeftinTimeOut,Right,11,20,14,14,,,
2025-08-25 13:50:19,1.17.0,Bandit80,8,4.16,,20,20,80,LeftinTimeOut,Right,11,20,14,14,,,
2025-08-25 13:50:19,1.17.0,Bandit80,8,4.16,,20,20,80,LeftinTimeOut,Right,11,20,14,14,,,
2025-08-25 13:50:20,1.17.0,Bandit80,8,4.16,,20,20,80,LeftinTimeOut,Right,11,20,14,14,,,
2025-08-25 13:50:24,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,11,20,14,14,,,0.0
2025-08-25 13:50:24,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,11,20,14,14,,,0.0
2025-08-25 13:50:25,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,11,20,14,14,,,0.0
2025-08-25 13:50:38,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,11,21,14,14,,,0.1
2025-08-25 13:50:39,1.17.0,Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,11,21,15,14,0.48,49.0,
2025-08-25 13:51:39,1.17.0,Bandit80,8,4.16,,20,20,80,Left,Right,12,21,15,15,,,0.1
2025-08-25 13:54:23,1.17.0,Bandit80,8,4.16,,20,20,80,Left,Right,13,21,15,15,,,0.2
2025-08-25 13:54:24,1.17.0,Bandit80,8,4.16,,20,20,80,LeftinTimeOut,Right,13,21,15,15,,,
2025-08-25 13:54:28,1.17.0,Bandit80,8,4.16,,20,20,80,LeftinTimeOut,Right,13,21,15,15,,,
2025-08-25 13:56:27,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,13,22,15,15,,,0.18
2025-08-25 13:56:27,1.17.0,Bandit80,8,4.16,,20,20,80,RightDuringDispense,Right,13,22,15,15,,,0.02
2025-08-25 13:56:33,1.17.0,Bandit80,8,4.16,2.0,20,20,80,Pellet,Right,13,22,16,15,3.0,354.0,
2025-08-25 13:57:06,1.17.0,Bandit80,8,4.16,,20,20,80,Left,Right,14,22,16,16,,,0.16
2025-08-25 13:57:18,1.17.0,Bandit80,8,4.16,,20,20,80,Left,Right,15,22,16,16,,,0.02
2025-08-25 13:57:19,1.17.0,Bandit80,8,4.16,,20,20,80,LeftinTimeOut,Right,15,22,16,16,,,
2025-08-25 13:57:30,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,15,23,16,16,,,0.56
2025-08-25 13:57:31,1.17.0,Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,15,23,17,16,0.49,58.0,
2025-08-25 13:58:05,1.17.0,Bandit80,8,4.16,,20,20,80,Left,Right,16,23,17,17,,,0.1
2025-08-25 14:02:28,1.17.0,Bandit80,8,4.16,,20,20,80,Left,Right,17,23,17,17,,,0.03
2025-08-25 14:05:02,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,17,24,17,17,,,0.26
2025-08-25 14:05:04,1.17.0,Bandit80,8,4.15,1.0,20,20,80,Pellet,Right,17,24,18,17,1.34,453.0,
2025-08-25 14:05:21,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,17,25,18,18,,,0.05
2025-08-25 14:05:24,1.17.0,Bandit80,8,4.16,,20,20,80,RightWithPellet,Right,17,26,18,18,,,0.18
2025-08-25 14:05:24,1.17.0,Bandit80,8,4.15,1.0,20,20,80,Pellet,Right,17,26,19,18,2.12,20.0,
