MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-07-24 14:20:08,1.17.0,FR1,71,3.81,,1,Left,Left,1,0,0,0,,,0.35
2025-07-24 14:23:10,1.17.0,FR1,71,3.82,,1,LeftWithPellet,Left,2,0,0,0,,,0.29
2025-07-24 14:23:21,1.17.0,FR1,71,3.82,,1,RightWithPellet,Left,2,1,0,0,,,0.18
2025-07-24 14:25:03,1.17.0,FR1,71,3.82,,1,LeftWithPellet,Left,3,1,0,0,,,0.01
2025-07-24 14:30:05,1.17.0,FR1,71,3.81,1.0,1,Pellet,Left,3,1,1,0,,,
2025-07-24 14:30:34,1.17.0,FR1,71,3.82,,1,Left,Left,4,1,1,0,,,0.13
2025-07-24 14:34:15,1.17.0,FR1,71,3.82,1.0,1,Pellet,Left,4,1,2,0,,250.0,
2025-07-24 14:34:36,1.17.0,FR1,71,3.82,,1,Right,Left,4,2,2,0,,,0.27
2025-07-24 14:34:38,1.17.0,FR1,71,3.82,,1,Right,Left,4,3,2,0,,,0.39
2025-07-24 14:34:43,1.17.0,FR1,71,3.81,,1,Right,Left,4,4,2,0,,,0.09
2025-07-24 15:16:23,1.17.0,FR1,71,3.82,,1,Right,Left,4,5,2,0,,,0.37
2025-07-24 15:16:25,1.17.0,FR1,71,3.82,,1,Right,Left,4,6,2,0,,,0.4
2025-07-24 15:16:28,1.17.0,FR1,71,3.82,,1,Left,Left,5,6,2,0,,,0.14
2025-07-24 15:16:29,1.17.0,FR1,71,3.82,1.0,1,Pellet,Left,5,6,3,0,0.72,2534.0,
2025-07-24 15:16:51,1.17.0,FR1,71,3.82,,1,Left,Left,6,6,3,0,,,0.16
2025-07-24 15:16:52,1.17.0,FR1,71,3.81,1.0,1,Pellet,Left,6,6,4,0,0.66,23.0,
2025-07-24 15:19:55,1.17.0,FR1,71,3.81,,1,Right,Left,6,7,4,0,,,0.26
2025-07-24 15:19:57,1.17.0,FR1,71,3.82,,1,Left,Left,7,7,4,0,,,0.09
2025-07-24 15:20:17,1.17.0,FR1,71,3.82,,1,RightWithPellet,Left,7,8,4,0,,,0.05
2025-07-24 15:20:45,1.17.0,FR1,71,3.82,,1,LeftWithPellet,Left,8,8,4,0,,,0.09
2025-07-24 15:20:46,1.17.0,FR1,71,3.82,,1,LeftWithPellet,Left,9,8,4,0,,,0.01
2025-07-24 15:24:19,1.17.0,FR1,71,3.81,,1,LeftWithPellet,Left,10,8,4,0,,,0.02
2025-07-24 15:24:20,1.17.0,FR1,71,3.82,,1,LeftWithPellet,Left,11,8,4,0,,,0.19
2025-07-24 15:24:24,1.17.0,FR1,71,3.81,,1,LeftWithPellet,Left,12,8,4,0,,,1.6
2025-07-24 15:46:14,1.17.0,FR1,71,3.81,,1,RightWithPellet,Left,12,9,4,0,,,0.16
2025-07-24 15:46:15,1.17.0,FR1,71,3.81,,1,RightWithPellet,Left,12,10,4,0,,,0.44
2025-07-24 15:46:18,1.17.0,FR1,71,3.81,,1,RightWithPellet,Left,12,11,4,0,,,0.46
2025-07-24 16:06:08,1.17.0,FR1,71,3.81,,1,RightWithPellet,Left,12,12,4,0,,,0.78
2025-07-24 16:06:10,1.17.0,FR1,71,3.81,3.0,1,Pellet,Left,12,12,5,0,,2958.0,
2025-07-24 16:06:26,1.17.0,FR1,71,3.81,,1,Right,Left,12,13,5,0,,,0.23
2025-07-24 16:06:28,1.17.0,FR1,71,3.81,,1,Right,Left,12,14,5,0,,,0.35
2025-07-24 16:06:30,1.17.0,FR1,71,3.81,,1,Right,Left,12,15,5,0,,,0.1
2025-07-24 16:06:34,1.17.0,FR1,71,3.81,,1,Right,Left,12,16,5,0,,,0.66
2025-07-24 16:06:36,1.17.0,FR1,71,3.82,,1,Right,Left,12,17,5,0,,,0.35
2025-07-24 16:06:40,1.17.0,FR1,71,3.82,,1,Left,Left,13,17,5,0,,,0.34
2025-07-24 16:06:41,1.17.0,FR1,71,3.82,1.0,1,Pellet,Left,13,17,6,0,0.85,31.0,
2025-07-24 16:06:56,1.17.0,FR1,71,3.81,,1,Right,Left,13,18,6,0,,,0.85
2025-07-24 16:07:00,1.17.0,FR1,71,3.81,,1,Right,Left,13,19,6,0,,,0.27
2025-07-24 16:07:01,1.17.0,FR1,71,3.81,,1,Right,Left,13,20,6,0,,,0.46
2025-07-24 16:07:02,1.17.0,FR1,71,3.81,,1,Right,Left,13,21,6,0,,,0.27
2025-07-24 16:07:07,1.17.0,FR1,71,3.81,,1,Left,Left,14,21,6,0,,,0.15
2025-07-24 16:07:08,1.17.0,FR1,71,3.81,1.0,1,Pellet,Left,14,21,7,0,0.66,27.0,
2025-07-24 16:07:30,1.17.0,FR1,71,3.81,,1,Right,Left,14,22,7,0,,,0.24
2025-07-24 16:07:36,1.17.0,FR1,71,3.81,,1,Left,Left,15,22,7,0,,,0.18
2025-07-24 16:07:38,1.17.0,FR1,71,3.81,1.0,1,Pellet,Left,15,22,8,0,1.1,30.0,
2025-07-24 16:07:53,1.17.0,FR1,71,3.81,,1,Left,Left,16,22,8,0,,,0.09
2025-07-24 16:07:55,1.17.0,FR1,71,3.81,1.0,1,Pellet,Left,16,22,9,0,0.66,17.0,
2025-07-24 16:08:13,1.17.0,FR1,71,3.81,,1,Right,Left,16,23,9,0,,,0.19
2025-07-24 16:08:16,1.17.0,FR1,71,3.81,,1,Left,Left,17,23,9,0,,,0.08
2025-07-24 16:08:17,1.17.0,FR1,71,3.81,1.0,1,Pellet,Left,17,23,10,0,0.66,22.0,
2025-07-24 16:08:54,1.17.0,FR1,71,3.81,,1,Right,Left,17,24,10,0,,,0.07
2025-07-24 16:08:55,1.17.0,FR1,71,3.82,,1,Right,Left,17,25,10,0,,,0.12
2025-07-24 16:08:58,1.17.0,FR1,71,3.82,,1,Right,Left,17,26,10,0,,,0.45
2025-07-24 16:09:02,1.17.0,FR1,71,3.81,,1,Left,Left,18,26,10,0,,,0.24
2025-07-24 16:09:03,1.17.0,FR1,71,3.82,1.0,1,Pellet,Left,18,26,11,0,0.66,46.0,
2025-07-24 16:09:25,1.17.0,FR1,71,3.81,,1,Left,Left,19,26,11,0,,,0.03
2025-07-24 16:09:26,1.17.0,FR1,71,3.81,1.0,1,Pellet,Left,19,26,12,0,0.66,23.0,
2025-07-24 16:17:28,1.17.0,FR1,71,3.81,,1,Right,Left,19,27,12,0,,,0.49
