MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-10-09 14:52:58,1.17.2,FR1,26,4.0,,1,Left,Left,1,0,0,0,,,0.22
2025-10-09 14:53:01,1.17.2,FR1,26,4.0,2.0,1,Pellet,Left,1,0,1,0,0.61,,
2025-10-09 14:53:15,1.17.2,FR1,26,4.0,,1,Left,Left,2,0,1,0,,,0.12
2025-10-09 14:53:16,1.17.2,FR1,26,4.0,1.0,1,Pellet,Left,2,0,2,0,0.97,15.0,
2025-10-09 14:54:04,1.17.2,FR1,26,4.0,,1,Right,Left,2,1,2,0,,,0.04
2025-10-09 14:55:22,1.17.2,FR1,26,4.0,,1,Right,Left,2,2,2,0,,,0.15
2025-10-09 14:59:12,1.17.2,FR1,26,4.0,,1,Right,Left,2,3,2,0,,,0.14
2025-10-09 14:59:13,1.17.2,FR1,26,4.0,,1,Right,Left,2,4,2,0,,,0.19
2025-10-09 14:59:16,1.17.2,FR1,26,4.0,,1,Right,Left,2,5,2,0,,,0.27
2025-10-09 14:59:31,1.17.2,FR1,26,4.0,,1,Right,Left,2,6,2,0,,,0.22
2025-10-09 15:00:06,1.17.2,FR1,26,4.0,,1,Right,Left,2,7,2,0,,,0.05
2025-10-09 15:00:22,1.17.2,FR1,26,4.0,,1,Right,Left,2,8,2,0,,,0.1
2025-10-09 15:00:35,1.17.2,FR1,26,4.0,,1,Right,Left,2,9,2,0,,,0.06
2025-10-09 15:00:59,1.17.2,FR1,26,4.0,,1,Right,Left,2,10,2,0,,,0.25
2025-10-09 15:04:05,1.17.2,FR1,26,4.0,,1,Left,Left,3,10,2,0,,,0.35
2025-10-09 15:04:06,1.17.2,FR1,26,4.0,1.0,1,Pellet,Left,3,10,3,0,0.91,650.0,
2025-10-09 15:04:28,1.17.2,FR1,26,4.0,,1,Left,Left,4,10,3,0,,,0.04
2025-10-09 15:04:29,1.17.2,FR1,26,4.0,1.0,1,Pellet,Left,4,10,4,0,0.36,23.0,
2025-10-09 15:08:24,1.17.2,FR1,26,4.0,,1,Right,Left,4,11,4,0,,,0.2
2025-10-09 15:08:25,1.17.2,FR1,26,4.0,,1,Right,Left,4,12,4,0,,,0.0
2025-10-09 16:30:28,1.17.2,FR1,26,4.0,,1,Left,Left,5,12,4,0,,,0.35
2025-10-09 16:30:30,1.17.2,FR1,26,4.0,1.0,1,Pellet,Left,5,12,5,0,1.28,5161.0,
2025-10-09 16:30:51,1.17.2,FR1,26,4.0,,1,Left,Left,6,12,5,0,,,0.26
2025-10-09 16:30:52,1.17.2,FR1,26,4.0,1.0,1,Pellet,Left,6,12,6,0,0.73,22.0,
2025-10-09 16:31:16,1.17.2,FR1,26,4.0,,1,Left,Left,7,12,6,0,,,0.0
2025-10-09 16:31:18,1.17.2,FR1,26,4.0,1.0,1,Pellet,Left,7,12,7,0,0.55,26.0,
2025-10-09 16:31:39,1.17.2,FR1,26,4.0,,1,Left,Left,8,12,7,0,,,0.53
2025-10-09 16:31:39,1.17.2,FR1,26,4.0,,1,LeftDuringDispense,Left,9,12,7,0,,,0.05
2025-10-09 16:31:42,1.17.2,FR1,26,3.98,2.0,1,Pellet,Left,9,12,8,0,0.36,24.0,
2025-10-09 16:31:58,1.17.2,FR1,26,4.0,,1,Left,Left,10,12,8,0,,,0.03
2025-10-09 16:31:59,1.17.2,FR1,26,4.0,,1,LeftDuringDispense,Left,11,12,8,0,,,0.03
2025-10-09 16:32:02,1.17.2,FR1,26,4.0,2.0,1,Pellet,Left,11,12,9,0,0.3,20.0,
2025-10-09 16:32:19,1.17.2,FR1,26,4.0,,1,Left,Left,12,12,9,0,,,0.18
2025-10-09 16:32:20,1.17.2,FR1,26,4.0,1.0,1,Pellet,Left,12,12,10,0,0.36,18.0,
2025-10-09 16:32:38,1.17.2,FR1,26,4.0,,1,Left,Left,13,12,10,0,,,0.17
2025-10-09 16:32:40,1.17.2,FR1,26,4.0,1.0,1,Pellet,Left,13,12,11,0,0.55,20.0,
2025-10-09 16:32:59,1.17.2,FR1,26,4.0,,1,Left,Left,14,12,11,0,,,0.11
2025-10-09 16:33:00,1.17.2,FR1,26,4.0,1.0,1,Pellet,Left,14,12,12,0,0.61,20.0,
2025-10-09 16:33:17,1.17.2,FR1,26,4.0,,1,Left,Left,15,12,12,0,,,0.28
2025-10-09 16:33:18,1.17.2,FR1,26,4.0,1.0,1,Pellet,Left,15,12,13,0,0.49,18.0,
2025-10-09 16:33:42,1.17.2,FR1,26,4.0,,1,Left,Left,16,12,13,0,,,0.14
2025-10-09 16:33:43,1.17.2,FR1,26,4.0,1.0,1,Pellet,Left,16,12,14,0,0.48,25.0,
2025-10-09 16:34:04,1.17.2,FR1,26,4.0,,1,Left,Left,17,12,14,0,,,0.18
2025-10-09 16:34:05,1.17.2,FR1,26,4.0,1.0,1,Pellet,Left,17,12,15,0,0.42,22.0,
2025-10-09 16:34:28,1.17.2,FR1,26,4.0,,1,Left,Left,18,12,15,0,,,0.1
2025-10-09 16:34:29,1.17.2,FR1,26,3.99,1.0,1,Pellet,Left,18,12,16,0,0.61,24.0,
2025-10-09 16:34:54,1.17.2,FR1,26,4.0,,1,Left,Left,19,12,16,0,,,0.12
2025-10-09 16:34:56,1.17.2,FR1,26,4.0,1.0,1,Pellet,Left,19,12,17,0,0.55,27.0,
2025-10-09 16:42:07,1.17.2,FR1,26,4.0,,1,Left,Left,20,12,17,0,,,0.07
2025-10-09 16:42:09,1.17.2,FR1,26,4.0,1.0,1,Pellet,Left,20,12,18,0,1.03,433.0,
2025-10-09 16:44:48,1.17.2,FR1,26,4.0,,1,Left,Left,21,12,18,0,,,0.05
2025-10-09 16:44:50,1.17.2,FR1,26,4.0,1.0,1,Pellet,Left,21,12,19,0,0.97,161.0,
2025-10-09 18:16:15,1.17.2,FR1,26,4.0,,1,Left,Left,22,12,19,0,,,0.12
2025-10-09 18:16:17,1.17.2,FR1,26,3.99,1.0,1,Pellet,Left,22,12,20,0,1.03,5487.0,
2025-10-09 18:16:31,1.17.2,FR1,26,3.99,,1,Left,Left,23,12,20,0,,,0.08
2025-10-09 18:16:33,1.17.2,FR1,26,4.0,1.0,1,Pellet,Left,23,12,21,0,0.55,16.0,
2025-10-09 18:16:51,1.17.2,FR1,26,4.0,,1,Left,Left,24,12,21,0,,,0.06
2025-10-09 18:16:52,1.17.2,FR1,26,3.99,1.0,1,Pellet,Left,24,12,22,0,0.73,19.0,
2025-10-09 18:17:09,1.17.2,FR1,26,4.0,,1,Left,Left,25,12,22,0,,,0.21
2025-10-09 18:17:10,1.17.2,FR1,26,4.0,1.0,1,Pellet,Left,25,12,23,0,0.49,18.0,
2025-10-09 18:17:32,1.17.2,FR1,26,3.99,,1,Left,Left,26,12,23,0,,,0.09
2025-10-09 18:17:33,1.17.2,FR1,26,3.99,1.0,1,Pellet,Left,26,12,24,0,0.42,23.0,
2025-10-09 18:17:50,1.17.2,FR1,26,4.0,,1,Left,Left,27,12,24,0,,,0.07
2025-10-09 18:17:52,1.17.2,FR1,26,3.99,1.0,1,Pellet,Left,27,12,25,0,0.61,19.0,
2025-10-09 18:27:05,1.17.2,FR1,26,4.0,,1,Left,Left,28,12,25,0,,,0.1
2025-10-09 18:27:08,1.17.2,FR1,26,4.0,1.0,1,Pellet,Left,28,12,26,0,2.2,556.0,
2025-10-09 18:30:00,1.17.2,FR1,26,4.0,,1,Right,Left,28,13,26,0,,,0.11
2025-10-09 18:33:56,1.17.2,FR1,26,4.0,,1,Right,Left,28,14,26,0,,,0.23
2025-10-09 18:33:58,1.17.2,FR1,26,4.0,,1,Right,Left,28,15,26,0,,,0.19
2025-10-09 18:50:38,1.17.2,FR1,26,4.0,,1,Right,Left,28,16,26,0,,,0.31
2025-10-09 18:51:49,1.17.2,FR1,26,4.0,,1,Right,Left,28,17,26,0,,,0.14
2025-10-09 18:59:27,1.17.2,FR1,26,4.0,,1,Right,Left,28,18,26,0,,,0.05
2025-10-09 18:59:38,1.17.2,FR1,26,4.0,,1,Left,Left,29,18,26,0,,,0.21
2025-10-09 18:59:40,1.17.2,FR1,26,4.0,1.0,1,Pellet,Left,29,18,27,0,0.48,1952.0,
2025-10-09 19:00:02,1.17.2,FR1,26,4.0,,1,Left,Left,30,18,27,0,,,0.18
2025-10-09 19:00:04,1.17.2,FR1,26,3.99,1.0,1,Pellet,Left,30,18,28,0,0.55,24.0,
2025-10-09 19:00:19,1.17.2,FR1,26,3.99,,1,Left,Left,31,18,28,0,,,0.12
2025-10-09 19:00:20,1.17.2,FR1,26,3.99,1.0,1,Pellet,Left,31,18,29,0,0.36,16.0,
2025-10-09 19:00:35,1.17.2,FR1,26,4.0,,1,Left,Left,32,18,29,0,,,0.15
2025-10-09 19:00:37,1.17.2,FR1,26,4.0,1.0,1,Pellet,Left,32,18,30,0,0.61,17.0,
2025-10-09 19:00:50,1.17.2,FR1,26,4.0,,1,Left,Left,33,18,30,0,,,0.04
2025-10-09 19:00:51,1.17.2,FR1,26,3.99,1.0,1,Pellet,Left,33,18,31,0,0.36,14.0,
