MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-10-09 15:10:24,1.17.2,FR1,39,4.04,,1,Right,Left,0,1,0,0,,,0.48
2025-10-09 15:10:46,1.17.2,FR1,39,4.04,,1,Left,Left,1,1,0,0,,,0.1
2025-10-09 15:10:52,1.17.2,FR1,39,4.04,3.0,1,Pellet,Left,1,1,1,0,1.09,,
2025-10-09 15:11:08,1.17.2,FR1,39,4.04,,1,Left,Left,2,1,1,0,,,0.04
2025-10-09 15:11:09,1.17.2,FR1,39,4.04,1.0,1,Pellet,Left,2,1,2,0,0.97,17.0,
2025-10-09 15:11:47,1.17.2,FR1,39,4.03,,1,Left,Left,3,1,2,0,,,0.09
2025-10-09 15:11:48,1.17.2,FR1,39,4.04,1.0,1,Pellet,Left,3,1,3,0,0.42,39.0,
2025-10-09 15:12:13,1.17.2,FR1,39,4.04,,1,Left,Left,4,1,3,0,,,0.01
2025-10-09 15:12:15,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,4,1,4,0,1.34,27.0,
2025-10-09 15:16:05,1.17.2,FR1,39,4.04,,1,Right,Left,4,2,4,0,,,0.02
2025-10-09 15:16:09,1.17.2,FR1,39,4.04,,1,Right,Left,4,3,4,0,,,0.18
2025-10-09 15:16:11,1.17.2,FR1,39,4.04,,1,Right,Left,4,4,4,0,,,0.22
2025-10-09 15:30:41,1.17.2,FR1,39,4.04,,1,Right,Left,4,5,4,0,,,0.01
2025-10-09 17:30:36,1.17.2,FR1,39,4.04,,1,Left,Left,5,5,4,0,,,0.21
2025-10-09 17:30:38,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,5,5,5,0,1.95,8303.0,
2025-10-09 17:31:05,1.17.2,FR1,39,4.04,,1,Left,Left,6,5,5,0,,,0.08
2025-10-09 17:31:06,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,6,5,6,0,1.03,28.0,
2025-10-09 17:32:02,1.17.2,FR1,39,4.03,,1,Right,Left,6,6,6,0,,,0.76
2025-10-09 17:34:02,1.17.2,FR1,39,4.04,,1,Right,Left,6,7,6,0,,,0.5
2025-10-09 17:34:08,1.17.2,FR1,39,4.04,,1,Right,Left,6,8,6,0,,,0.56
2025-10-09 17:34:13,1.17.2,FR1,39,4.03,,1,Left,Left,7,8,6,0,,,0.03
2025-10-09 17:34:15,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,7,8,7,0,0.79,189.0,
2025-10-09 17:34:43,1.17.2,FR1,39,4.04,,1,Left,Left,8,8,7,0,,,0.04
2025-10-09 17:34:45,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,8,8,8,0,0.79,30.0,
2025-10-09 17:38:19,1.17.2,FR1,39,4.03,,1,Left,Left,9,8,8,0,,,0.06
2025-10-09 17:38:20,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,9,8,9,0,0.55,215.0,
2025-10-09 17:38:57,1.17.2,FR1,39,4.03,,1,Left,Left,10,8,9,0,,,0.2
2025-10-09 17:38:58,1.17.2,FR1,39,4.04,1.0,1,Pellet,Left,10,8,10,0,0.24,38.0,
2025-10-09 17:40:12,1.17.2,FR1,39,4.03,,1,Right,Left,10,9,10,0,,,0.3
2025-10-09 17:41:10,1.17.2,FR1,39,4.04,,1,Left,Left,11,9,10,0,,,0.12
2025-10-09 17:41:38,1.17.2,FR1,39,4.04,1.0,1,Pellet,Left,11,9,11,0,27.1,160.0,
2025-10-09 17:42:39,1.17.2,FR1,39,4.03,,1,Left,Left,12,9,11,0,,,0.04
2025-10-09 17:42:40,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,12,9,12,0,0.3,62.0,
2025-10-09 17:50:23,1.17.2,FR1,39,4.04,,1,Right,Left,12,10,12,0,,,0.11
2025-10-09 17:50:25,1.17.2,FR1,39,4.03,,1,Right,Left,12,11,12,0,,,0.18
2025-10-09 17:50:27,1.17.2,FR1,39,4.03,,1,Right,Left,12,12,12,0,,,0.2
2025-10-09 17:55:43,1.17.2,FR1,39,4.03,,1,Left,Left,13,12,12,0,,,0.28
2025-10-09 17:55:44,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,13,12,13,0,0.3,784.0,
2025-10-09 17:58:56,1.17.2,FR1,39,4.03,,1,Left,Left,14,12,13,0,,,0.24
2025-10-09 17:58:57,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,14,12,14,0,0.3,193.0,
2025-10-09 18:11:31,1.17.2,FR1,39,4.05,,1,Right,Left,14,13,14,0,,,0.0
2025-10-09 18:11:35,1.17.2,FR1,39,4.04,,1,Right,Left,14,14,14,0,,,0.25
2025-10-09 18:11:39,1.17.2,FR1,39,4.03,,1,Right,Left,14,15,14,0,,,0.28
2025-10-09 18:11:44,1.17.2,FR1,39,4.03,,1,Right,Left,14,16,14,0,,,1.98
2025-10-09 18:11:46,1.17.2,FR1,39,4.03,,1,Right,Left,14,17,14,0,,,0.42
2025-10-09 18:11:49,1.17.2,FR1,39,4.03,,1,Right,Left,14,18,14,0,,,0.17
2025-10-09 18:11:52,1.17.2,FR1,39,4.04,,1,Right,Left,14,19,14,0,,,0.28
2025-10-09 18:12:01,1.17.2,FR1,39,4.03,,1,Left,Left,15,19,14,0,,,0.03
2025-10-09 18:12:02,1.17.2,FR1,39,4.03,,1,LeftDuringDispense,Left,16,19,14,0,,,0.01
2025-10-09 18:12:05,1.17.2,FR1,39,4.03,2.0,1,Pellet,Left,16,19,15,0,0.48,788.0,
2025-10-09 18:12:24,1.17.2,FR1,39,4.03,,1,Right,Left,16,20,15,0,,,0.25
2025-10-09 18:12:25,1.17.2,FR1,39,4.03,,1,Right,Left,16,21,15,0,,,0.27
2025-10-09 18:12:26,1.17.2,FR1,39,4.03,,1,Right,Left,16,22,15,0,,,0.23
2025-10-09 18:12:28,1.17.2,FR1,39,4.04,,1,Right,Left,16,23,15,0,,,0.11
2025-10-09 18:12:30,1.17.2,FR1,39,4.04,,1,Right,Left,16,24,15,0,,,0.53
2025-10-09 18:12:32,1.17.2,FR1,39,4.04,,1,Right,Left,16,25,15,0,,,0.22
2025-10-09 18:12:34,1.17.2,FR1,39,4.03,,1,Right,Left,16,26,15,0,,,0.32
2025-10-09 18:12:36,1.17.2,FR1,39,4.04,,1,Right,Left,16,27,15,0,,,0.16
2025-10-09 18:12:38,1.17.2,FR1,39,4.04,,1,Right,Left,16,28,15,0,,,0.24
2025-10-09 18:12:41,1.17.2,FR1,39,4.04,,1,Left,Left,17,28,15,0,,,0.17
2025-10-09 18:12:43,1.17.2,FR1,39,4.04,1.0,1,Pellet,Left,17,28,16,0,0.91,38.0,
2025-10-09 18:12:59,1.17.2,FR1,39,4.03,,1,Left,Left,18,28,16,0,,,0.19
2025-10-09 18:13:01,1.17.2,FR1,39,4.04,2.0,1,Pellet,Left,18,28,17,0,1.22,18.0,
2025-10-09 18:13:23,1.17.2,FR1,39,4.04,,1,Left,Left,19,28,17,0,,,0.3
2025-10-09 18:13:25,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,19,28,18,0,0.79,24.0,
2025-10-09 18:13:50,1.17.2,FR1,39,4.04,,1,Right,Left,19,29,18,0,,,0.26
2025-10-09 18:13:53,1.17.2,FR1,39,4.03,,1,Left,Left,20,29,18,0,,,0.09
2025-10-09 18:13:53,1.17.2,FR1,39,4.03,,1,LeftDuringDispense,Left,21,29,18,0,,,0.02
2025-10-09 18:13:54,1.17.2,FR1,39,4.03,,1,LeftDuringDispense,Left,22,29,18,0,,,0.21
2025-10-09 18:13:57,1.17.2,FR1,39,4.03,2.0,1,Pellet,Left,22,29,19,0,0.61,32.0,
2025-10-09 18:14:23,1.17.2,FR1,39,4.04,,1,Left,Left,23,29,19,0,,,0.04
2025-10-09 18:14:25,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,23,29,20,0,0.79,28.0,
2025-10-09 18:14:49,1.17.2,FR1,39,4.03,,1,Right,Left,23,30,20,0,,,0.05
2025-10-09 18:14:54,1.17.2,FR1,39,4.03,,1,Left,Left,24,30,20,0,,,0.02
2025-10-09 18:14:56,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,24,30,21,0,0.73,31.0,
2025-10-09 18:24:48,1.17.2,FR1,39,4.03,,1,Left,Left,25,30,21,0,,,0.1
2025-10-09 18:24:50,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,25,30,22,0,1.4,594.0,
2025-10-09 18:32:44,1.17.2,FR1,39,4.03,,1,Right,Left,25,31,22,0,,,0.05
2025-10-09 18:33:36,1.17.2,FR1,39,4.03,,1,Right,Left,25,32,22,0,,,0.1
2025-10-09 18:33:39,1.17.2,FR1,39,4.03,,1,Right,Left,25,33,22,0,,,0.05
2025-10-09 18:33:42,1.17.2,FR1,39,4.04,,1,Left,Left,26,33,22,0,,,0.2
2025-10-09 18:33:44,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,26,33,23,0,0.55,533.0,
2025-10-09 18:34:55,1.17.2,FR1,39,4.04,,1,Left,Left,27,33,23,0,,,0.03
2025-10-09 18:34:56,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,27,33,24,0,1.22,73.0,
2025-10-09 18:35:09,1.17.2,FR1,39,4.04,,1,Left,Left,28,33,24,0,,,0.09
2025-10-09 18:35:10,1.17.2,FR1,39,4.04,1.0,1,Pellet,Left,28,33,25,0,0.18,14.0,
2025-10-09 18:35:50,1.17.2,FR1,39,4.03,,1,Left,Left,29,33,25,0,,,0.13
2025-10-09 18:35:51,1.17.2,FR1,39,4.03,,1,LeftDuringDispense,Left,30,33,25,0,,,0.04
2025-10-09 18:35:54,1.17.2,FR1,39,4.03,2.0,1,Pellet,Left,30,33,26,0,0.42,44.0,
2025-10-09 18:36:10,1.17.2,FR1,39,4.03,,1,Left,Left,31,33,26,0,,,0.07
2025-10-09 18:36:11,1.17.2,FR1,39,4.04,1.0,1,Pellet,Left,31,33,27,0,0.3,17.0,
2025-10-09 18:38:18,1.17.2,FR1,39,4.03,,1,Left,Left,32,33,27,0,,,0.05
2025-10-09 18:38:34,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,32,33,28,0,14.75,143.0,
2025-10-09 18:43:00,1.17.2,FR1,39,4.03,,1,Left,Left,33,33,28,0,,,0.15
2025-10-09 18:43:02,1.17.2,FR1,39,4.04,1.0,1,Pellet,Left,33,33,29,0,0.36,268.0,
2025-10-09 18:43:38,1.17.2,FR1,39,4.03,,1,Right,Left,33,34,29,0,,,0.13
2025-10-09 18:52:57,1.17.2,FR1,39,4.03,,1,Left,Left,34,34,29,0,,,0.26
2025-10-09 18:52:58,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,34,34,30,0,0.61,596.0,
2025-10-09 18:53:22,1.17.2,FR1,39,4.03,,1,Left,Left,35,34,30,0,,,0.07
2025-10-09 18:53:23,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,35,34,31,0,0.42,25.0,
2025-10-09 19:01:30,1.17.2,FR1,39,4.03,,1,Left,Left,36,34,31,0,,,0.1
2025-10-09 19:01:31,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,36,34,32,0,0.42,488.0,
2025-10-09 19:02:11,1.17.2,FR1,39,4.03,,1,Left,Left,37,34,32,0,,,0.05
2025-10-09 19:02:14,1.17.2,FR1,39,4.03,2.0,1,Pellet,Left,37,34,33,0,0.42,43.0,
2025-10-09 19:15:20,1.17.2,FR1,39,4.04,,1,Left,Left,38,34,33,0,,,0.12
2025-10-09 19:15:23,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,38,34,34,0,2.45,789.0,
2025-10-09 19:15:40,1.17.2,FR1,39,4.03,,1,Left,Left,39,34,34,0,,,0.03
2025-10-09 19:15:41,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,39,34,35,0,0.79,18.0,
2025-10-09 19:16:08,1.17.2,FR1,39,4.03,,1,Left,Left,40,34,35,0,,,0.09
2025-10-09 19:16:18,1.17.2,FR1,39,4.04,1.0,1,Pellet,Left,40,34,36,0,9.14,37.0,
2025-10-09 19:16:42,1.17.2,FR1,39,4.03,,1,Left,Left,41,34,36,0,,,0.11
2025-10-09 19:16:44,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,41,34,37,0,0.48,26.0,
2025-10-09 19:18:43,1.17.2,FR1,39,4.03,,1,Right,Left,41,35,37,0,,,0.88
2025-10-09 19:18:53,1.17.2,FR1,39,4.03,,1,Left,Left,42,35,37,0,,,0.1
2025-10-09 19:18:54,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,42,35,38,0,0.67,130.0,
2025-10-09 19:19:36,1.17.2,FR1,39,4.03,,1,Left,Left,43,35,38,0,,,0.04
2025-10-09 19:19:37,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,43,35,39,0,0.42,43.0,
2025-10-09 19:27:24,1.17.2,FR1,39,4.04,,1,Left,Left,44,35,39,0,,,0.09
2025-10-09 19:27:26,1.17.2,FR1,39,4.04,1.0,1,Pellet,Left,44,35,40,0,1.03,469.0,
2025-10-09 19:27:53,1.17.2,FR1,39,4.03,,1,Left,Left,45,35,40,0,,,0.03
2025-10-09 19:27:54,1.17.2,FR1,39,4.04,1.0,1,Pellet,Left,45,35,41,0,0.55,28.0,
2025-10-09 19:33:36,1.17.2,FR1,39,4.03,,1,Right,Left,45,36,41,0,,,0.0
2025-10-09 19:34:33,1.17.2,FR1,39,4.03,,1,Left,Left,46,36,41,0,,,0.13
2025-10-09 19:34:34,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,46,36,42,0,0.67,400.0,
2025-10-09 20:26:39,1.17.2,FR1,39,4.03,,1,Right,Left,46,37,42,0,,,0.39
2025-10-09 20:26:42,1.17.2,FR1,39,4.03,,1,Right,Left,46,38,42,0,,,0.32
2025-10-09 20:26:56,1.17.2,FR1,39,4.03,,1,Left,Left,47,38,42,0,,,0.2
2025-10-09 20:26:58,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,47,38,43,0,1.46,3144.0,
2025-10-09 20:27:28,1.17.2,FR1,39,4.04,,1,Right,Left,47,39,43,0,,,0.16
2025-10-09 20:27:33,1.17.2,FR1,39,4.03,,1,Right,Left,47,40,43,0,,,0.27
2025-10-09 20:27:37,1.17.2,FR1,39,4.04,,1,Left,Left,48,40,43,0,,,0.26
2025-10-09 20:27:38,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,48,40,44,0,0.48,40.0,
2025-10-09 20:28:20,1.17.2,FR1,39,4.03,,1,Left,Left,49,40,44,0,,,0.0
2025-10-09 20:28:22,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,49,40,45,0,0.85,44.0,
2025-10-09 20:28:41,1.17.2,FR1,39,4.03,,1,Right,Left,49,41,45,0,,,0.02
2025-10-09 20:28:43,1.17.2,FR1,39,4.04,,1,Right,Left,49,42,45,0,,,0.02
2025-10-09 20:29:12,1.17.2,FR1,39,4.03,,1,Right,Left,49,43,45,0,,,0.38
2025-10-09 20:29:14,1.17.2,FR1,39,4.03,,1,Right,Left,49,44,45,0,,,0.3
2025-10-09 20:30:27,1.17.2,FR1,39,4.03,,1,Left,Left,50,44,45,0,,,0.07
2025-10-09 20:30:29,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,50,44,46,0,0.91,127.0,
2025-10-09 20:30:55,1.17.2,FR1,39,4.03,,1,Left,Left,51,44,46,0,,,0.16
2025-10-09 20:30:57,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,51,44,47,0,0.67,28.0,
2025-10-09 20:31:20,1.17.2,FR1,39,4.03,,1,Left,Left,52,44,47,0,,,0.09
2025-10-09 20:31:21,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,52,44,48,0,0.24,24.0,
2025-10-09 20:31:36,1.17.2,FR1,39,4.03,,1,Left,Left,53,44,48,0,,,0.1
2025-10-09 20:31:47,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,53,44,49,0,9.94,26.0,
2025-10-09 20:32:18,1.17.2,FR1,39,4.03,,1,Left,Left,54,44,49,0,,,0.05
2025-10-09 20:32:21,1.17.2,FR1,39,4.03,2.0,1,Pellet,Left,54,44,50,0,0.3,34.0,
2025-10-09 20:32:50,1.17.2,FR1,39,4.03,,1,Left,Left,55,44,50,0,,,0.07
2025-10-09 20:32:51,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,55,44,51,0,0.3,30.0,
2025-10-09 20:33:18,1.17.2,FR1,39,4.03,,1,Left,Left,56,44,51,0,,,0.12
2025-10-09 20:33:19,1.17.2,FR1,39,4.04,1.0,1,Pellet,Left,56,44,52,0,0.24,28.0,
2025-10-09 20:33:44,1.17.2,FR1,39,4.03,,1,Left,Left,57,44,52,0,,,0.22
2025-10-09 20:33:45,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,57,44,53,0,0.24,26.0,
2025-10-09 20:43:40,1.17.2,FR1,39,4.03,,1,Right,Left,57,45,53,0,,,0.21
2025-10-09 20:53:32,1.17.2,FR1,39,4.03,,1,Left,Left,58,45,53,0,,,0.26
2025-10-09 20:53:33,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,58,45,54,0,0.36,1188.0,
2025-10-09 21:03:18,1.17.2,FR1,39,4.03,,1,Left,Left,59,45,54,0,,,0.43
2025-10-09 21:03:19,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,59,45,55,0,0.49,586.0,
2025-10-09 21:03:43,1.17.2,FR1,39,4.03,,1,Left,Left,60,45,55,0,,,0.15
2025-10-09 21:03:44,1.17.2,FR1,39,4.03,1.0,1,Pellet,Left,60,45,56,0,0.67,25.0,
2025-10-09 21:04:09,1.17.2,FR1,39,4.03,,1,Left,Left,61,45,56,0,,,0.06
2025-10-09 21:04:13,1.17.2,FR1,39,4.03,2.0,1,Pellet,Left,61,45,57,0,0.55,29.0,
