MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-11-20 13:58:26,1.17.2,FR1,43,3.98,,1,Right,Left,0,1,0,0,,,0.59
2025-11-20 13:59:20,1.17.2,FR1,43,3.98,,1,Left,Left,1,1,0,0,,,0.0
2025-11-20 13:59:27,1.17.2,FR1,43,3.98,,1,LeftWithPellet,Left,2,1,0,0,,,0.14
2025-11-20 14:00:22,1.17.2,FR1,43,3.98,,1,RightWithPellet,Left,2,2,0,0,,,0.06
2025-11-20 14:00:22,1.17.2,FR1,43,3.98,,1,RightWithPellet,Left,2,3,0,0,,,0.06
2025-11-20 14:00:24,1.17.2,FR1,43,3.98,,1,RightWithPellet,Left,2,4,0,0,,,0.03
2025-11-20 14:00:28,1.17.2,FR1,43,3.98,2.0,1,Pellet,Left,2,4,1,0,,,
2025-11-20 14:01:09,1.17.2,FR1,43,3.97,,1,Left,Left,3,4,1,0,,,0.05
2025-11-20 14:01:13,1.17.2,FR1,43,3.98,1.0,1,Pellet,Left,3,4,2,0,2.63,45.0,
2025-11-20 14:01:52,1.17.2,FR1,43,3.97,,1,Left,Left,4,4,2,0,,,0.2
2025-11-20 14:03:28,1.17.2,FR1,43,3.98,2.0,1,Pellet,Left,4,4,3,0,,135.0,
2025-11-20 14:03:46,1.17.2,FR1,43,3.97,,1,Right,Left,4,5,3,0,,,0.11
2025-11-20 14:03:50,1.17.2,FR1,43,3.98,,1,Right,Left,4,6,3,0,,,0.05
2025-11-20 14:04:35,1.17.2,FR1,43,3.98,,1,Right,Left,4,7,3,0,,,0.04
2025-11-20 14:08:31,1.17.2,FR1,43,3.98,,1,Left,Left,5,7,3,0,,,0.25
2025-11-20 14:09:56,1.17.2,FR1,43,3.98,,1,RightWithPellet,Left,5,8,3,0,,,0.16
2025-11-20 14:09:58,1.17.2,FR1,43,3.98,1.0,1,Pellet,Left,5,8,4,0,,390.0,
2025-11-20 14:10:56,1.17.2,FR1,43,3.98,,1,Right,Left,5,9,4,0,,,0.11
2025-11-20 16:39:21,1.17.2,FR1,43,3.97,,1,Right,Left,5,10,4,0,,,0.2
2025-11-20 16:39:26,1.17.2,FR1,43,3.96,,1,Left,Left,6,10,4,0,,,0.11
