MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-04-03 13:18:55,1.17.0,FR1,7,4.03,,1,Right,Left,0,1,0,0,,,0.05
2025-04-03 13:21:17,1.17.0,FR1,7,4.03,,1,Left,Left,1,1,0,0,,,0.04
2025-04-03 13:21:21,1.17.0,FR1,7,4.03,,1,LeftWithPellet,Left,2,1,0,0,,,0.09
2025-04-03 13:22:11,1.17.0,FR1,7,4.03,,1,LeftWithPellet,Left,3,1,0,0,,,0.02
2025-04-03 13:24:39,1.17.0,FR1,7,4.03,,1,LeftWithPellet,Left,4,1,0,0,,,0.07
2025-04-03 13:28:30,1.17.0,FR1,7,4.02,1.0,1,Pellet,Left,4,1,1,0,,,
2025-04-03 13:35:27,1.17.0,FR1,7,4.03,,1,Right,Left,4,2,1,0,,,0.15
2025-04-03 14:31:29,1.17.0,FR1,7,4.03,,1,Right,Left,4,3,1,0,,,0.18
2025-04-03 14:48:16,1.17.0,FR1,7,4.02,,1,Right,Left,4,4,1,0,,,0.04
2025-04-03 14:48:18,1.17.0,FR1,7,4.02,,1,Right,Left,4,5,1,0,,,0.02
2025-04-03 14:48:20,1.17.0,FR1,7,4.02,,1,Right,Left,4,6,1,0,,,0.22
2025-04-03 14:48:21,1.17.0,FR1,7,4.02,,1,Right,Left,4,7,1,0,,,0.24
2025-04-03 14:48:22,1.17.0,FR1,7,4.02,,1,Right,Left,4,8,1,0,,,0.24
2025-04-03 14:48:24,1.17.0,FR1,7,4.02,,1,Right,Left,4,9,1,0,,,0.91
2025-04-03 14:48:25,1.17.0,FR1,7,4.02,,1,Right,Left,4,10,1,0,,,0.25
2025-04-03 14:48:27,1.17.0,FR1,7,4.02,,1,Right,Left,4,11,1,0,,,0.23
2025-04-03 14:48:29,1.17.0,FR1,7,4.03,,1,Left,Left,5,11,1,0,,,0.1
2025-04-03 14:48:32,1.17.0,FR1,7,4.03,1.0,1,Pellet,Left,5,11,2,0,2.33,4802.0,
2025-04-03 14:49:03,1.17.0,FR1,7,4.02,,1,Right,Left,5,12,2,0,,,0.22
2025-04-03 14:49:05,1.17.0,FR1,7,4.02,,1,Right,Left,5,13,2,0,,,0.04
2025-04-03 14:49:06,1.17.0,FR1,7,4.02,,1,Right,Left,5,14,2,0,,,0.33
2025-04-03 14:49:09,1.17.0,FR1,7,4.03,,1,Right,Left,5,15,2,0,,,0.37
2025-04-03 14:49:12,1.17.0,FR1,7,4.02,,1,Left,Left,6,15,2,0,,,0.19
2025-04-03 14:49:13,1.17.0,FR1,7,4.02,1.0,1,Pellet,Left,6,15,3,0,0.88,41.0,
2025-04-03 14:49:52,1.17.0,FR1,7,4.03,,1,Left,Left,7,15,3,0,,,0.05
2025-04-03 14:49:53,1.17.0,FR1,7,4.03,1.0,1,Pellet,Left,7,15,4,0,0.75,40.0,
2025-04-03 14:50:20,1.17.0,FR1,7,4.03,,1,Right,Left,7,16,4,0,,,0.31
2025-04-03 14:50:24,1.17.0,FR1,7,4.02,,1,Right,Left,7,17,4,0,,,0.33
2025-04-03 14:50:25,1.17.0,FR1,7,4.02,,1,Right,Left,7,18,4,0,,,0.48
2025-04-03 14:50:29,1.17.0,FR1,7,4.03,,1,Right,Left,7,19,4,0,,,0.28
2025-04-03 14:50:31,1.17.0,FR1,7,4.03,,1,Right,Left,7,20,4,0,,,0.23
2025-04-03 14:50:37,1.17.0,FR1,7,4.02,,1,Left,Left,8,20,4,0,,,0.38
2025-04-03 14:50:38,1.17.0,FR1,7,4.02,1.0,1,Pellet,Left,8,20,5,0,0.5,45.0,
2025-04-03 14:51:03,1.17.0,FR1,7,4.02,,1,Right,Left,8,21,5,0,,,0.2
2025-04-03 14:51:04,1.17.0,FR1,7,4.03,,1,Right,Left,8,22,5,0,,,0.28
2025-04-03 14:51:09,1.17.0,FR1,7,4.02,,1,Right,Left,8,23,5,0,,,0.22
2025-04-03 14:51:10,1.17.0,FR1,7,4.02,,1,Right,Left,8,24,5,0,,,0.3
