MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-11-06 14:41:11,1.17.0,FR1,13,4.05,,1,Left,Left,1,0,0,0,,,1.69
2025-11-06 14:41:14,1.17.0,FR1,13,4.05,2.0,1,Pellet,Left,1,0,1,0,0.69,,
2025-11-06 14:41:51,1.17.0,FR1,13,4.04,,1,Right,Left,1,1,1,0,,,0.03
2025-11-06 14:42:14,1.17.0,FR1,13,4.04,,1,Left,Left,2,1,1,0,,,0.11
2025-11-06 14:42:14,1.17.0,FR1,13,4.04,,1,LeftDuringDispense,Left,3,1,1,0,,,0.03
2025-11-06 14:42:17,1.17.0,FR1,13,4.04,,1,LeftWithPellet,Left,4,1,1,0,,,0.15
2025-11-06 14:42:19,1.17.0,FR1,13,4.05,2.0,1,Pellet,Left,4,1,2,0,1.51,64.0,
2025-11-06 14:42:43,1.17.0,FR1,13,4.04,,1,Left,Left,5,1,2,0,,,0.01
2025-11-06 14:42:44,1.17.0,FR1,13,4.05,1.0,1,Pellet,Left,5,1,3,0,0.25,26.0,
2025-11-06 14:42:57,1.17.0,FR1,13,4.05,,1,Left,Left,6,1,3,0,,,0.08
2025-11-06 14:42:58,1.17.0,FR1,13,4.03,1.0,1,Pellet,Left,6,1,4,0,0.18,14.0,
2025-11-06 14:43:16,1.17.0,FR1,13,4.04,,1,Left,Left,7,1,4,0,,,0.14
2025-11-06 14:43:17,1.17.0,FR1,13,4.05,1.0,1,Pellet,Left,7,1,5,0,0.25,19.0,
2025-11-06 14:43:44,1.17.0,FR1,13,4.04,,1,Right,Left,7,2,5,0,,,0.22
2025-11-06 14:44:57,1.17.0,FR1,13,4.05,,1,Left,Left,8,2,5,0,,,0.1
2025-11-06 14:44:58,1.17.0,FR1,13,4.04,1.0,1,Pellet,Left,8,2,6,0,0.81,101.0,
2025-11-06 14:46:51,1.17.0,FR1,13,4.05,,1,Left,Left,9,2,6,0,,,0.04
2025-11-06 14:46:52,1.17.0,FR1,13,4.04,1.0,1,Pellet,Left,9,2,7,0,0.31,114.0,
2025-11-06 14:47:59,1.17.0,FR1,13,4.05,,1,Left,Left,10,2,7,0,,,0.59
2025-11-06 14:48:13,1.17.0,FR1,13,4.05,2.0,1,Pellet,Left,10,2,8,0,12.15,81.0,
2025-11-06 14:48:35,1.17.0,FR1,13,4.05,,1,Right,Left,10,3,8,0,,,0.14
2025-11-06 14:55:38,1.17.0,FR1,13,4.04,,1,Left,Left,11,3,8,0,,,0.02
2025-11-06 14:55:38,1.17.0,FR1,13,4.04,,1,LeftDuringDispense,Left,12,3,8,0,,,0.07
2025-11-06 14:55:39,1.17.0,FR1,13,4.05,,1,LeftDuringDispense,Left,13,3,8,0,,,0.01
2025-11-06 14:55:46,1.17.0,FR1,13,4.04,2.0,1,Pellet,Left,13,3,9,0,5.12,453.0,
2025-11-06 14:56:08,1.17.0,FR1,13,4.05,,1,Left,Left,14,3,9,0,,,0.2
2025-11-06 14:56:09,1.17.0,FR1,13,4.04,1.0,1,Pellet,Left,14,3,10,0,0.56,23.0,
2025-11-06 14:56:28,1.17.0,FR1,13,4.05,,1,Left,Left,15,3,10,0,,,0.04
2025-11-06 14:56:29,1.17.0,FR1,13,4.04,1.0,1,Pellet,Left,15,3,11,0,0.31,20.0,
2025-11-06 14:56:51,1.17.0,FR1,13,4.04,,1,Left,Left,16,3,11,0,,,0.04
2025-11-06 14:56:53,1.17.0,FR1,13,4.04,1.0,1,Pellet,Left,16,3,12,0,0.5,24.0,
2025-11-06 14:57:09,1.17.0,FR1,13,4.05,,1,Left,Left,17,3,12,0,,,0.12
2025-11-06 14:57:27,1.17.0,FR1,13,4.05,1.0,1,Pellet,Left,17,3,13,0,16.92,34.0,
2025-11-06 14:57:53,1.17.0,FR1,13,4.05,,1,Left,Left,18,3,13,0,,,0.12
2025-11-06 14:57:54,1.17.0,FR1,13,4.04,1.0,1,Pellet,Left,18,3,14,0,0.5,27.0,
2025-11-06 14:58:12,1.17.0,FR1,13,4.04,,1,Left,Left,19,3,14,0,,,0.05
2025-11-06 14:58:13,1.17.0,FR1,13,4.05,1.0,1,Pellet,Left,19,3,15,0,0.44,19.0,
2025-11-06 14:58:33,1.17.0,FR1,13,4.04,,1,Left,Left,20,3,15,0,,,0.12
2025-11-06 14:59:01,1.17.0,FR1,13,4.05,1.0,1,Pellet,Left,20,3,16,0,26.66,48.0,
2025-11-06 15:04:27,1.17.0,FR1,13,4.05,,1,Left,Left,21,3,16,0,,,1.1
2025-11-06 15:04:29,1.17.0,FR1,13,4.05,1.0,1,Pellet,Left,21,3,17,0,0.88,328.0,
2025-11-06 15:28:41,1.17.0,FR1,13,4.05,,1,Left,Left,22,3,17,0,,,0.62
2025-11-06 15:28:45,1.17.0,FR1,13,4.05,2.0,1,Pellet,Left,22,3,18,0,1.7,1456.0,
2025-11-06 15:42:30,1.17.0,FR1,13,4.04,,1,Left,Left,23,3,18,0,,,0.13
2025-11-06 15:42:32,1.17.0,FR1,13,4.04,1.0,1,Pellet,Left,23,3,19,0,1.07,827.0,
2025-11-06 16:26:10,1.17.0,FR1,13,4.04,,1,Left,Left,24,3,19,0,,,0.91
2025-11-06 16:26:12,1.17.0,FR1,13,4.04,1.0,1,Pellet,Left,24,3,20,0,0.82,2620.0,
2025-11-06 16:26:33,1.17.0,FR1,13,4.04,,1,Left,Left,25,3,20,0,,,0.03
2025-11-06 16:26:34,1.17.0,FR1,13,4.05,1.0,1,Pellet,Left,25,3,21,0,0.56,22.0,
2025-11-06 16:26:58,1.17.0,FR1,13,4.04,,1,Left,Left,26,3,21,0,,,0.04
2025-11-06 16:26:59,1.17.0,FR1,13,4.04,1.0,1,Pellet,Left,26,3,22,0,0.63,25.0,
2025-11-06 16:27:19,1.17.0,FR1,13,4.04,,1,Left,Left,27,3,22,0,,,0.04
2025-11-06 16:27:21,1.17.0,FR1,13,4.05,1.0,1,Pellet,Left,27,3,23,0,0.5,22.0,
2025-11-06 16:27:39,1.17.0,FR1,13,4.04,,1,Left,Left,28,3,23,0,,,0.04
2025-11-06 16:27:40,1.17.0,FR1,13,4.05,,1,LeftDuringDispense,Left,29,3,23,0,,,0.02
2025-11-06 16:27:59,1.17.0,FR1,13,4.04,2.0,1,Pellet,Left,29,3,24,0,16.23,38.0,
2025-11-06 16:28:19,1.17.0,FR1,13,4.05,,1,Left,Left,30,3,24,0,,,0.1
2025-11-06 16:28:20,1.17.0,FR1,13,4.05,1.0,1,Pellet,Left,30,3,25,0,0.25,21.0,
2025-11-06 16:41:54,1.17.0,FR1,13,4.04,,1,Left,Left,31,3,25,0,,,0.54
2025-11-06 16:41:55,1.17.0,FR1,13,4.03,1.0,1,Pellet,Left,31,3,26,0,0.75,815.0,
2025-11-06 16:42:29,1.17.0,FR1,13,4.05,,1,Left,Left,32,3,26,0,,,0.26
2025-11-06 16:42:32,1.17.0,FR1,13,4.04,3.0,1,Pellet,Left,32,3,27,0,0.18,37.0,
2025-11-06 16:54:39,1.17.0,FR1,13,4.05,,1,Left,Left,33,3,27,0,,,0.01
2025-11-06 16:54:41,1.17.0,FR1,13,4.04,1.0,1,Pellet,Left,33,3,28,0,1.07,729.0,
2025-11-06 16:55:10,1.17.0,FR1,13,4.05,,1,Left,Left,34,3,28,0,,,0.03
2025-11-06 16:55:11,1.17.0,FR1,13,4.04,1.0,1,Pellet,Left,34,3,29,0,0.5,30.0,
2025-11-06 16:55:33,1.17.0,FR1,13,4.04,,1,Left,Left,35,3,29,0,,,0.03
2025-11-06 16:55:35,1.17.0,FR1,13,4.05,2.0,1,Pellet,Left,35,3,30,0,0.31,24.0,
2025-11-06 16:56:00,1.17.0,FR1,13,4.04,,1,Left,Left,36,3,30,0,,,0.37
