MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-03-06 15:36:06,1.17.0,FR1,40,4.04,,1,Left,Left,1,0,0,0,,,0.3
2025-03-06 15:36:54,1.17.0,FR1,40,4.04,,1,LeftWithPellet,Left,2,0,0,0,,,0.1
2025-03-06 15:37:18,1.17.0,FR1,40,4.04,,1,LeftWithPellet,Left,3,0,0,0,,,0.14
2025-03-06 15:37:57,1.17.0,FR1,40,4.04,,1,RightWithPellet,Left,3,1,0,0,,,0.06
2025-03-06 15:37:59,1.17.0,FR1,40,4.04,,1,RightWithPellet,Left,3,2,0,0,,,0.45
2025-03-06 15:38:38,1.17.0,FR1,40,4.04,,1,LeftWithPellet,Left,4,2,0,0,,,0.37
2025-03-06 15:38:48,1.17.0,FR1,40,4.04,,1,LeftWithPellet,Left,5,2,0,0,,,0.26
2025-03-06 15:38:58,1.17.0,FR1,40,4.04,,1,RightWithPellet,Left,5,3,0,0,,,0.27
2025-03-06 15:39:17,1.17.0,FR1,40,4.04,,1,LeftWithPellet,Left,6,3,0,0,,,0.27
2025-03-06 15:39:43,1.17.0,FR1,40,4.04,,1,RightWithPellet,Left,6,4,0,0,,,0.22
2025-03-06 15:40:53,1.17.0,FR1,40,4.04,,1,LeftWithPellet,Left,7,4,0,0,,,0.38
2025-03-06 15:40:57,1.17.0,FR1,40,4.03,1.0,1,Pellet,Left,7,4,1,0,,,
2025-03-06 15:41:16,1.17.0,FR1,40,4.04,,1,Left,Left,8,4,1,0,,,0.09
2025-03-06 15:41:20,1.17.0,FR1,40,4.04,1.0,1,Pellet,Left,8,4,2,0,3.73,23.0,
2025-03-06 15:41:33,1.17.0,FR1,40,4.04,,1,Right,Left,8,5,2,0,,,0.04
2025-03-06 15:41:40,1.17.0,FR1,40,4.04,,1,Right,Left,8,6,2,0,,,0.12
2025-03-06 15:42:38,1.17.0,FR1,40,4.03,,1,Right,Left,8,7,2,0,,,0.21
2025-03-06 15:43:41,1.17.0,FR1,40,4.04,,1,Left,Left,9,7,2,0,,,0.4
2025-03-06 15:43:42,1.17.0,FR1,40,4.03,1.0,1,Pellet,Left,9,7,3,0,0.56,142.0,
2025-03-06 15:44:14,1.17.0,FR1,40,4.04,,1,Right,Left,9,8,3,0,,,0.27
2025-03-06 15:44:53,1.17.0,FR1,40,4.04,,1,Left,Left,10,8,3,0,,,0.08
2025-03-06 15:44:54,1.17.0,FR1,40,4.04,1.0,1,Pellet,Left,10,8,4,0,0.56,72.0,
2025-03-06 15:47:13,1.17.0,FR1,40,4.04,,1,Right,Left,10,9,4,0,,,0.1
2025-03-06 15:47:35,1.17.0,FR1,40,4.04,,1,Right,Left,10,10,4,0,,,0.35
2025-03-06 15:48:14,1.17.0,FR1,40,4.04,,1,Left,Left,11,10,4,0,,,0.04
