MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-03-06 15:21:31,1.17.0,FR1,18,4.0,,1,Left,Left,1,0,0,0,,,0.47
2025-03-06 15:21:32,1.17.0,FR1,18,4.0,1.0,1,Pellet,Left,1,0,1,0,0.06,,
2025-03-06 16:25:22,1.17.0,FR1,18,4.0,,1,Right,Left,1,1,1,0,,,0.17
2025-03-06 16:27:50,1.17.0,FR1,18,4.0,,1,Left,Left,2,1,1,0,,,0.1
2025-03-06 16:27:52,1.17.0,FR1,18,4.0,2.0,1,Pellet,Left,2,1,2,0,1.26,3980.0,
2025-03-06 16:28:19,1.17.0,FR1,18,4.0,,1,Right,Left,2,2,2,0,,,0.21
2025-03-06 16:28:20,1.17.0,FR1,18,4.0,,1,Right,Left,2,3,2,0,,,0.21
2025-03-06 16:28:27,1.17.0,FR1,18,4.0,,1,Left,Left,3,3,2,0,,,0.0
2025-03-06 16:28:29,1.17.0,FR1,18,4.0,1.0,1,Pellet,Left,3,3,3,0,1.45,37.0,
2025-03-06 16:28:52,1.17.0,FR1,18,4.0,,1,Left,Left,4,3,3,0,,,0.4
2025-03-06 16:28:53,1.17.0,FR1,18,4.0,1.0,1,Pellet,Left,4,3,4,0,0.75,24.0,
2025-03-06 16:29:16,1.17.0,FR1,18,4.0,,1,Left,Left,5,3,4,0,,,0.14
2025-03-06 16:29:17,1.17.0,FR1,18,4.0,1.0,1,Pellet,Left,5,3,5,0,1.13,24.0,
2025-03-06 16:29:43,1.17.0,FR1,18,4.0,,1,Right,Left,5,4,5,0,,,0.25
2025-03-06 16:29:44,1.17.0,FR1,18,4.0,,1,Right,Left,5,5,5,0,,,0.21
2025-03-06 16:29:47,1.17.0,FR1,18,4.0,,1,Right,Left,5,6,5,0,,,0.14
