MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-08-07 13:30:58,1.17.0,FR1,71,3.98,,1,Left,Left,1,0,0,0,,,0.28
2025-08-07 13:33:35,1.17.0,FR1,71,3.98,,1,LeftWithPellet,Left,2,0,0,0,,,0.22
2025-08-07 13:33:36,1.17.0,FR1,71,3.98,2.0,1,Pellet,Left,2,0,1,0,,,
2025-08-07 13:35:00,1.17.0,FR1,71,3.97,,1,Right,Left,2,1,1,0,,,0.17
2025-08-07 13:37:29,1.17.0,FR1,71,3.97,,1,Right,Left,2,2,1,0,,,0.08
2025-08-07 13:41:18,1.17.0,FR1,71,3.97,,1,Left,Left,3,2,1,0,,,0.1
2025-08-07 13:41:30,1.17.0,FR1,71,3.97,1.0,1,Pellet,Left,3,2,2,0,11.81,474.0,
2025-08-07 13:41:48,1.17.0,FR1,71,3.97,,1,Right,Left,3,3,2,0,,,0.03
2025-08-07 13:41:51,1.17.0,FR1,71,3.97,,1,Right,Left,3,4,2,0,,,0.22
2025-08-07 13:42:17,1.17.0,FR1,71,3.98,,1,Left,Left,4,4,2,0,,,0.22
2025-08-07 13:42:33,1.17.0,FR1,71,3.97,1.0,1,Pellet,Left,4,4,3,0,15.04,63.0,
2025-08-07 13:47:19,1.17.0,FR1,71,3.97,,1,Right,Left,4,5,3,0,,,0.13
2025-08-07 15:42:52,1.17.0,FR1,71,3.97,,1,Right,Left,4,6,3,0,,,0.17
2025-08-07 15:42:54,1.17.0,FR1,71,3.96,,1,Right,Left,4,7,3,0,,,0.18
2025-08-07 15:42:56,1.17.0,FR1,71,3.97,,1,Right,Left,4,8,3,0,,,0.22
2025-08-07 15:43:08,1.17.0,FR1,71,3.97,,1,Left,Left,5,8,3,0,,,0.0
2025-08-07 15:43:28,1.17.0,FR1,71,3.97,1.0,1,Pellet,Left,5,8,4,0,19.3,7255.0,
2025-08-07 15:44:28,1.17.0,FR1,71,3.97,,1,Right,Left,5,9,4,0,,,0.03
2025-08-07 15:44:29,1.17.0,FR1,71,3.97,,1,Right,Left,5,10,4,0,,,0.29
2025-08-07 15:44:30,1.17.0,FR1,71,3.97,,1,Right,Left,5,11,4,0,,,0.22
2025-08-07 15:44:39,1.17.0,FR1,71,3.96,,1,Right,Left,5,12,4,0,,,0.03
2025-08-07 15:44:41,1.17.0,FR1,71,3.97,,1,Left,Left,6,12,4,0,,,0.15
2025-08-07 15:44:42,1.17.0,FR1,71,3.96,1.0,1,Pellet,Left,6,12,5,0,0.66,74.0,
2025-08-07 15:45:04,1.17.0,FR1,71,3.97,,1,Left,Left,7,12,5,0,,,0.03
2025-08-07 15:45:05,1.17.0,FR1,71,3.96,1.0,1,Pellet,Left,7,12,6,0,0.66,23.0,
2025-08-07 15:45:21,1.17.0,FR1,71,3.97,,1,Left,Left,8,12,6,0,,,0.12
2025-08-07 15:45:23,1.17.0,FR1,71,3.96,1.0,1,Pellet,Left,8,12,7,0,0.66,18.0,
2025-08-07 15:45:42,1.17.0,FR1,71,3.97,,1,Left,Left,9,12,7,0,,,0.13
2025-08-07 15:45:43,1.17.0,FR1,71,3.96,,1,LeftDuringDispense,Left,10,12,7,0,,,0.28
2025-08-07 15:45:46,1.17.0,FR1,71,3.96,2.0,1,Pellet,Left,10,12,8,0,0.66,23.0,
2025-08-07 15:46:07,1.17.0,FR1,71,3.96,,1,Left,Left,11,12,8,0,,,0.18
2025-08-07 15:46:08,1.17.0,FR1,71,3.97,1.0,1,Pellet,Left,11,12,9,0,0.66,22.0,
2025-08-07 15:46:33,1.17.0,FR1,71,3.96,,1,Left,Left,12,12,9,0,,,0.11
2025-08-07 15:46:34,1.17.0,FR1,71,3.96,1.0,1,Pellet,Left,12,12,10,0,0.66,26.0,
2025-08-07 15:46:53,1.17.0,FR1,71,3.97,,1,Left,Left,13,12,10,0,,,0.35
2025-08-07 15:46:55,1.17.0,FR1,71,3.96,1.0,1,Pellet,Left,13,12,11,0,0.66,21.0,
2025-08-07 15:47:13,1.17.0,FR1,71,3.97,,1,Left,Left,14,12,11,0,,,0.04
2025-08-07 15:47:14,1.17.0,FR1,71,3.97,1.0,1,Pellet,Left,14,12,12,0,0.66,19.0,
2025-08-07 15:47:30,1.17.0,FR1,71,3.97,,1,Left,Left,15,12,12,0,,,0.05
2025-08-07 15:47:34,1.17.0,FR1,71,3.96,2.0,1,Pellet,Left,15,12,13,0,0.66,20.0,
2025-08-07 15:47:40,1.17.0,FR1,71,3.97,,1,Left,Left,16,12,13,0,,,0.17
2025-08-07 17:17:19,1.17.0,FR1,71,3.96,,1,LeftWithPellet,Left,17,12,13,0,,,0.16
2025-08-07 17:17:21,1.17.0,FR1,71,3.97,,1,LeftWithPellet,Left,18,12,13,0,,,0.11
2025-08-07 17:17:24,1.17.0,FR1,71,3.96,,1,LeftWithPellet,Left,19,12,13,0,,,0.2
2025-08-07 17:17:29,1.17.0,FR1,71,3.96,1.0,1,Pellet,Left,19,12,14,0,,5395.0,
2025-08-07 17:17:34,1.17.0,FR1,71,3.97,,1,Right,Left,19,13,14,0,,,0.14
2025-08-07 17:17:35,1.17.0,FR1,71,3.96,,1,Right,Left,19,14,14,0,,,0.23
2025-08-07 17:17:37,1.17.0,FR1,71,3.96,,1,Right,Left,19,15,14,0,,,0.52
2025-08-07 17:17:38,1.17.0,FR1,71,3.97,,1,Right,Left,19,16,14,0,,,0.45
2025-08-07 17:17:41,1.17.0,FR1,71,3.96,,1,Left,Left,20,16,14,0,,,0.06
2025-08-07 17:17:43,1.17.0,FR1,71,3.96,1.0,1,Pellet,Left,20,16,15,0,0.66,14.0,
2025-08-07 17:17:59,1.17.0,FR1,71,3.96,,1,Left,Left,21,16,15,0,,,0.1
2025-08-07 17:18:00,1.17.0,FR1,71,3.96,1.0,1,Pellet,Left,21,16,16,0,0.66,17.0,
2025-08-07 17:18:22,1.17.0,FR1,71,3.97,,1,Left,Left,22,16,16,0,,,0.16
2025-08-07 17:18:24,1.17.0,FR1,71,3.96,1.0,1,Pellet,Left,22,16,17,0,0.66,24.0,
2025-08-07 17:18:42,1.17.0,FR1,71,3.96,,1,Left,Left,23,16,17,0,,,0.15
2025-08-07 17:18:43,1.17.0,FR1,71,3.96,1.0,1,Pellet,Left,23,16,18,0,0.66,19.0,
2025-08-07 17:19:00,1.17.0,FR1,71,3.97,,1,Left,Left,24,16,18,0,,,0.23
2025-08-07 17:19:01,1.17.0,FR1,71,3.96,1.0,1,Pellet,Left,24,16,19,0,0.66,18.0,
2025-08-07 17:19:22,1.17.0,FR1,71,3.96,,1,Left,Left,25,16,19,0,,,0.32
2025-08-07 17:19:24,1.17.0,FR1,71,3.96,1.0,1,Pellet,Left,25,16,20,0,0.66,23.0,
2025-08-07 17:32:25,1.17.0,FR1,71,3.96,,1,Left,Left,26,16,20,0,,,0.02
2025-08-07 17:37:25,1.17.0,FR1,71,3.96,,1,RightWithPellet,Left,26,17,20,0,,,0.19
2025-08-07 17:37:28,1.17.0,FR1,71,3.96,,1,RightWithPellet,Left,26,18,20,0,,,0.22
2025-08-07 17:37:30,1.17.0,FR1,71,3.96,1.0,1,Pellet,Left,26,18,21,0,,1086.0,
2025-08-07 17:37:45,1.17.0,FR1,71,3.96,,1,Right,Left,26,19,21,0,,,0.26
2025-08-07 17:37:46,1.17.0,FR1,71,3.96,,1,Right,Left,26,20,21,0,,,0.19
2025-08-07 17:37:47,1.17.0,FR1,71,3.96,,1,Right,Left,26,21,21,0,,,0.24
2025-08-07 17:37:50,1.17.0,FR1,71,3.96,,1,Right,Left,26,22,21,0,,,0.08
2025-08-07 17:37:53,1.17.0,FR1,71,3.96,,1,Right,Left,26,23,21,0,,,0.19
2025-08-07 18:28:06,1.17.0,FR1,71,3.96,,1,Right,Left,26,24,21,0,,,0.01
2025-08-07 18:48:02,1.17.0,FR1,71,3.96,,1,Right,Left,26,25,21,0,,,0.03
2025-08-07 18:48:12,1.17.0,FR1,71,3.96,,1,Right,Left,26,26,21,0,,,0.01
2025-08-07 18:48:14,1.17.0,FR1,71,3.96,,1,Right,Left,26,27,21,0,,,0.44
2025-08-07 18:48:16,1.17.0,FR1,71,3.96,,1,Right,Left,26,28,21,0,,,0.15
2025-08-07 18:48:18,1.17.0,FR1,71,3.96,,1,Left,Left,27,28,21,0,,,0.01
2025-08-07 18:48:21,1.17.0,FR1,71,3.96,1.0,1,Pellet,Left,27,28,22,0,1.48,4251.0,
2025-08-07 18:48:33,1.17.0,FR1,71,3.96,,1,Right,Left,27,29,22,0,,,0.04
2025-08-07 18:52:59,1.17.0,FR1,71,3.96,,1,Right,Left,27,30,22,0,,,0.03
2025-08-07 18:53:10,1.17.0,FR1,71,3.96,,1,Right,Left,27,31,22,0,,,0.14
2025-08-07 18:53:13,1.17.0,FR1,71,3.96,,1,Left,Left,28,31,22,0,,,0.1
2025-08-07 18:53:15,1.17.0,FR1,71,3.96,1.0,1,Pellet,Left,28,31,23,0,1.42,294.0,
2025-08-07 18:58:33,1.17.0,FR1,71,3.96,,1,Right,Left,28,32,23,0,,,0.11
2025-08-07 18:58:39,1.17.0,FR1,71,3.97,,1,Right,Left,28,33,23,0,,,0.06
2025-08-07 18:58:40,1.17.0,FR1,71,3.96,,1,Right,Left,28,34,23,0,,,0.06
2025-08-07 18:59:02,1.17.0,FR1,71,3.96,,1,Left,Left,29,34,23,0,,,0.02
2025-08-07 19:07:20,1.17.0,FR1,71,3.96,1.0,1,Pellet,Left,29,34,24,0,,845.0,
2025-08-07 19:07:33,1.17.0,FR1,71,3.96,,1,Right,Left,29,35,24,0,,,0.05
2025-08-07 19:12:15,1.17.0,FR1,71,3.96,,1,Left,Left,30,35,24,0,,,0.06
2025-08-07 19:12:53,1.17.0,FR1,71,3.96,,1,LeftWithPellet,Left,31,35,24,0,,,0.06
2025-08-07 19:17:02,1.17.0,FR1,71,3.96,1.0,1,Pellet,Left,31,35,25,0,,582.0,
2025-08-07 19:17:21,1.17.0,FR1,71,3.96,,1,Left,Left,32,35,25,0,,,0.18
2025-08-07 19:17:23,1.17.0,FR1,71,3.96,1.0,1,Pellet,Left,32,35,26,0,1.04,21.0,
2025-08-07 19:17:40,1.17.0,FR1,71,3.96,,1,Left,Left,33,35,26,0,,,0.21
2025-08-07 19:17:42,1.17.0,FR1,71,3.96,1.0,1,Pellet,Left,33,35,27,0,0.66,18.0,
2025-08-07 19:17:52,1.17.0,FR1,71,3.96,,1,Left,Left,34,35,27,0,,,0.26
2025-08-07 19:17:54,1.17.0,FR1,71,3.96,2.0,1,Pellet,Left,34,35,28,0,0.66,13.0,
2025-08-07 19:18:02,1.17.0,FR1,71,3.96,,1,Left,Left,35,35,28,0,,,0.1
2025-08-07 19:18:03,1.17.0,FR1,71,3.96,1.0,1,Pellet,Left,35,35,29,0,0.66,9.0,
2025-08-07 19:18:15,1.17.0,FR1,71,3.96,,1,Left,Left,36,35,29,0,,,0.2
2025-08-07 19:18:16,1.17.0,FR1,71,3.96,1.0,1,Pellet,Left,36,35,30,0,0.66,13.0,
2025-08-07 19:18:28,1.17.0,FR1,71,3.96,,1,Left,Left,37,35,30,0,,,0.24
2025-08-07 19:18:30,1.17.0,FR1,71,3.96,1.0,1,Pellet,Left,37,35,31,0,0.66,14.0,
2025-08-07 19:18:43,1.17.0,FR1,71,3.96,,1,Left,Left,38,35,31,0,,,0.33
2025-08-07 19:18:44,1.17.0,FR1,71,3.96,1.0,1,Pellet,Left,38,35,32,0,0.66,14.0,
2025-08-07 19:18:54,1.17.0,FR1,71,3.96,,1,Left,Left,39,35,32,0,,,0.07
2025-08-07 19:18:55,1.17.0,FR1,71,3.96,1.0,1,Pellet,Left,39,35,33,0,0.66,11.0,
2025-08-07 19:19:06,1.17.0,FR1,71,3.96,,1,Left,Left,40,35,33,0,,,0.13
2025-08-07 19:19:08,1.17.0,FR1,71,3.96,1.0,1,Pellet,Left,40,35,34,0,1.42,13.0,
2025-08-07 19:24:54,1.17.0,FR1,71,3.96,,1,Right,Left,40,36,34,0,,,0.02
2025-08-07 19:26:38,1.17.0,FR1,71,3.96,,1,Left,Left,41,36,34,0,,,0.02
2025-08-07 19:35:32,1.17.0,FR1,71,3.96,,1,LeftWithPellet,Left,42,36,34,0,,,0.03
2025-08-07 19:37:53,1.17.0,FR1,71,3.96,,1,LeftWithPellet,Left,43,36,34,0,,,0.03
