MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-08-21 15:39:39,1.17.2,FR1,23,4.12,,1,Right,Left,0,1,0,0,,,0.1
2025-08-21 15:40:08,1.17.2,FR1,23,4.12,,1,Right,Left,0,2,0,0,,,0.05
2025-08-21 15:40:58,1.17.2,FR1,23,4.12,,1,Right,Left,0,3,0,0,,,0.07
2025-08-21 15:42:05,1.17.2,FR1,23,4.13,,1,Left,Left,1,3,0,0,,,0.0
2025-08-21 15:42:14,1.17.2,FR1,23,4.12,2.0,1,Pellet,Left,1,3,1,0,6.31,,
2025-08-21 15:44:51,1.17.2,FR1,23,4.12,,1,Right,Left,1,4,1,0,,,0.05
2025-08-21 15:46:27,1.17.2,FR1,23,4.12,,1,Left,Left,2,4,1,0,,,0.03
2025-08-21 15:46:59,1.17.2,FR1,23,4.12,1.0,1,Pellet,Left,2,4,2,0,30.75,284.0,
2025-08-21 15:47:27,1.17.2,FR1,23,4.13,,1,Right,Left,2,5,2,0,,,0.11
2025-08-21 15:47:29,1.17.2,FR1,23,4.12,,1,Right,Left,2,6,2,0,,,0.58
2025-08-21 15:47:30,1.17.2,FR1,23,4.12,,1,Right,Left,2,7,2,0,,,0.34
2025-08-21 15:50:15,1.17.2,FR1,23,4.13,,1,Left,Left,3,7,2,0,,,0.31
2025-08-21 15:50:23,1.17.2,FR1,23,4.13,1.0,1,Pellet,Left,3,7,3,0,6.74,205.0,
2025-08-21 15:50:47,1.17.2,FR1,23,4.12,,1,Left,Left,4,7,3,0,,,0.32
2025-08-21 15:50:50,1.17.2,FR1,23,4.12,1.0,1,Pellet,Left,4,7,4,0,1.46,27.0,
2025-08-21 17:02:14,1.17.2,FR1,23,4.12,,1,Right,Left,4,8,4,0,,,0.01
2025-08-21 17:02:19,1.17.2,FR1,23,4.12,,1,Left,Left,5,8,4,0,,,0.55
2025-08-21 17:02:20,1.17.2,FR1,23,4.12,1.0,1,Pellet,Left,5,8,5,0,1.1,4290.0,
2025-08-21 17:02:52,1.17.2,FR1,23,4.12,,1,Left,Left,6,8,5,0,,,0.27
2025-08-21 17:02:53,1.17.2,FR1,23,4.12,1.0,1,Pellet,Left,6,8,6,0,0.42,33.0,
2025-08-21 17:03:25,1.17.2,FR1,23,4.12,,1,Left,Left,7,8,6,0,,,0.09
2025-08-21 17:03:26,1.17.2,FR1,23,4.12,1.0,1,Pellet,Left,7,8,7,0,0.36,33.0,
2025-08-21 17:03:56,1.17.2,FR1,23,4.12,,1,Left,Left,8,8,7,0,,,0.12
2025-08-21 17:03:57,1.17.2,FR1,23,4.12,1.0,1,Pellet,Left,8,8,8,0,0.3,31.0,
2025-08-21 17:04:23,1.17.2,FR1,23,4.12,,1,Left,Left,9,8,8,0,,,0.31
2025-08-21 17:04:24,1.17.2,FR1,23,4.12,1.0,1,Pellet,Left,9,8,9,0,0.67,27.0,
2025-08-21 17:04:50,1.17.2,FR1,23,4.12,,1,Left,Left,10,8,9,0,,,0.03
2025-08-21 17:04:51,1.17.2,FR1,23,4.12,1.0,1,Pellet,Left,10,8,10,0,0.3,27.0,
