MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-08-21 15:59:58,1.17.2,FR1,53,4.02,,1,Left,Left,1,0,0,0,,,0.11
2025-08-21 16:00:00,1.17.2,FR1,53,4.01,1.0,1,Pellet,Left,1,0,1,0,0.61,,
2025-08-21 16:58:26,1.17.2,FR1,53,4.02,,1,Left,Left,2,0,1,0,,,0.5
2025-08-21 16:58:30,1.17.2,FR1,53,4.01,,1,LeftWithPellet,Left,3,0,1,0,,,0.02
2025-08-21 16:58:31,1.17.2,FR1,53,4.02,1.0,1,Pellet,Left,3,0,2,0,4.34,3511.0,
2025-08-21 16:58:58,1.17.2,FR1,53,4.02,,1,Left,Left,4,0,2,0,,,0.41
2025-08-21 16:59:00,1.17.2,FR1,53,4.02,1.0,1,Pellet,Left,4,0,3,0,0.73,29.0,
2025-08-21 16:59:37,1.17.2,FR1,53,4.02,,1,Left,Left,5,0,3,0,,,0.23
2025-08-21 16:59:38,1.17.2,FR1,53,4.01,1.0,1,Pellet,Left,5,0,4,0,0.73,38.0,
2025-08-21 17:00:07,1.17.2,FR1,53,4.01,,1,Left,Left,6,0,4,0,,,0.22
2025-08-21 17:00:08,1.17.2,FR1,53,4.01,1.0,1,Pellet,Left,6,0,5,0,0.42,30.0,
2025-08-21 17:00:37,1.17.2,FR1,53,4.02,,1,Left,Left,7,0,5,0,,,0.04
2025-08-21 17:00:40,1.17.2,FR1,53,4.02,1.0,1,Pellet,Left,7,0,6,0,1.52,32.0,
2025-08-21 17:01:03,1.17.2,FR1,53,4.01,,1,Left,Left,8,0,6,0,,,0.07
2025-08-21 17:01:03,1.17.2,FR1,53,4.01,,1,LeftDuringDispense,Left,9,0,6,0,,,0.04
2025-08-21 17:01:08,1.17.2,FR1,53,4.01,2.0,1,Pellet,Left,9,0,7,0,1.34,28.0,
2025-08-21 17:01:42,1.17.2,FR1,53,4.02,,1,Left,Left,10,0,7,0,,,0.09
2025-08-21 17:01:43,1.17.2,FR1,53,4.02,1.0,1,Pellet,Left,10,0,8,0,0.48,35.0,
2025-08-21 17:02:16,1.17.2,FR1,53,4.02,,1,Left,Left,11,0,8,0,,,0.07
2025-08-21 17:02:17,1.17.2,FR1,53,4.01,1.0,1,Pellet,Left,11,0,9,0,0.42,34.0,
2025-08-21 17:02:43,1.17.2,FR1,53,4.01,,1,Left,Left,12,0,9,0,,,0.22
2025-08-21 17:02:45,1.17.2,FR1,53,4.02,1.0,1,Pellet,Left,12,0,10,0,0.61,28.0,
2025-08-21 17:03:53,1.17.2,FR1,53,4.01,,1,Left,Left,13,0,10,0,,,0.31
2025-08-21 17:03:54,1.17.2,FR1,53,4.01,1.0,1,Pellet,Left,13,0,11,0,0.55,69.0,
2025-08-21 17:26:03,1.17.2,FR1,53,4.01,,1,Left,Left,14,0,11,0,,,1.05
2025-08-21 17:26:05,1.17.2,FR1,53,4.01,1.0,1,Pellet,Left,14,0,12,0,1.58,1331.0,
2025-08-21 17:26:28,1.17.2,FR1,53,4.02,,1,Left,Left,15,0,12,0,,,0.28
2025-08-21 17:26:31,1.17.2,FR1,53,4.01,1.0,1,Pellet,Left,15,0,13,0,1.34,26.0,
2025-08-21 17:26:50,1.17.2,FR1,53,4.01,,1,Left,Left,16,0,13,0,,,0.07
2025-08-21 17:26:51,1.17.2,FR1,53,4.02,1.0,1,Pellet,Left,16,0,14,0,0.42,20.0,
2025-08-21 17:27:25,1.17.2,FR1,53,4.0,,1,Left,Left,17,0,14,0,,,0.06
2025-08-21 17:27:27,1.17.2,FR1,53,4.01,1.0,1,Pellet,Left,17,0,15,0,0.79,36.0,
2025-08-21 17:27:51,1.17.2,FR1,53,4.02,,1,Left,Left,18,0,15,0,,,0.0
2025-08-21 17:44:37,1.17.2,FR1,53,4.02,1.0,1,Pellet,Left,18,0,16,0,,1030.0,
2025-08-21 17:45:01,1.17.2,FR1,53,4.01,,1,Left,Left,19,0,16,0,,,0.09
