MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-10-23 12:31:50,1.17.0,FR1,5,4.05,,1,Right,Left,0,1,0,0,,,0.13
2025-10-23 12:34:03,1.17.0,FR1,5,4.05,,1,Right,Left,0,2,0,0,,,0.02
2025-10-23 12:34:22,1.17.0,FR1,5,4.04,,1,Right,Left,0,3,0,0,,,0.11
2025-10-23 12:34:24,1.17.0,FR1,5,4.05,,1,Left,Left,1,3,0,0,,,0.16
2025-10-23 12:38:57,1.17.0,FR1,5,4.05,,1,RightWithPellet,Left,1,4,0,0,,,0.21
2025-10-23 12:40:23,1.17.0,FR1,5,4.05,3.0,1,Pellet,Left,1,4,1,0,,,
2025-10-23 12:43:29,1.17.0,FR1,5,4.05,,1,Left,Left,2,4,1,0,,,0.03
2025-10-23 12:44:01,1.17.0,FR1,5,4.05,1.0,1,Pellet,Left,2,4,2,0,30.53,218.0,
2025-10-23 12:44:40,1.17.0,FR1,5,4.05,,1,Left,Left,3,4,2,0,,,0.04
2025-10-23 12:44:42,1.17.0,FR1,5,4.05,1.0,1,Pellet,Left,3,4,3,0,1.45,41.0,
2025-10-23 12:48:02,1.17.0,FR1,5,4.05,,1,Left,Left,4,4,3,0,,,0.05
2025-10-23 12:54:35,1.17.0,FR1,5,4.04,,1,RightWithPellet,Left,4,5,3,0,,,0.02
2025-10-23 12:55:10,1.17.0,FR1,5,4.05,,1,LeftWithPellet,Left,5,5,3,0,,,0.52
2025-10-23 12:56:19,1.17.0,FR1,5,4.05,1.0,1,Pellet,Left,5,5,4,0,,697.0,
2025-10-23 12:58:43,1.17.0,FR1,5,4.05,,1,Left,Left,6,5,4,0,,,0.11
2025-10-23 13:00:52,1.17.0,FR1,5,4.05,1.0,1,Pellet,Left,6,5,5,0,,273.0,
2025-10-23 13:04:07,1.17.0,FR1,5,4.05,,1,Left,Left,7,5,5,0,,,0.03
2025-10-23 13:04:10,1.17.0,FR1,5,4.05,,1,LeftWithPellet,Left,8,5,5,0,,,0.15
2025-10-23 13:04:58,1.17.0,FR1,5,4.05,1.0,1,Pellet,Left,8,5,6,0,50.26,246.0,
2025-10-23 13:42:49,1.17.0,FR1,5,4.05,,1,Left,Left,9,5,6,0,,,0.13
2025-10-23 13:42:53,1.17.0,FR1,5,4.05,,1,LeftWithPellet,Left,10,5,6,0,,,0.4
2025-10-23 13:42:56,1.17.0,FR1,5,4.05,1.0,1,Pellet,Left,10,5,7,0,6.0,2278.0,
2025-10-23 14:12:15,1.17.0,FR1,5,4.05,,1,Left,Left,11,5,7,0,,,0.1
2025-10-23 14:12:24,1.17.0,FR1,5,4.04,1.0,1,Pellet,Left,11,5,8,0,7.46,1768.0,
2025-10-23 14:12:59,1.17.0,FR1,5,4.05,,1,Left,Left,12,5,8,0,,,0.19
2025-10-23 14:13:02,1.17.0,FR1,5,4.05,1.0,1,Pellet,Left,12,5,9,0,2.4,38.0,
2025-10-23 14:13:45,1.17.0,FR1,5,4.05,,1,Left,Left,13,5,9,0,,,0.46
2025-10-23 14:13:47,1.17.0,FR1,5,4.05,1.0,1,Pellet,Left,13,5,10,0,1.13,45.0,
2025-10-23 14:14:20,1.17.0,FR1,5,4.05,,1,Left,Left,14,5,10,0,,,0.14
2025-10-23 14:14:23,1.17.0,FR1,5,4.05,1.0,1,Pellet,Left,14,5,11,0,1.45,36.0,
2025-10-23 14:15:01,1.17.0,FR1,5,4.05,,1,Left,Left,15,5,11,0,,,0.09
2025-10-23 14:15:03,1.17.0,FR1,5,4.05,1.0,1,Pellet,Left,15,5,12,0,1.07,40.0,
2025-10-23 14:15:36,1.17.0,FR1,5,4.04,,1,Left,Left,16,5,12,0,,,0.02
2025-10-23 14:15:38,1.17.0,FR1,5,4.05,1.0,1,Pellet,Left,16,5,13,0,0.94,35.0,
2025-10-23 14:16:07,1.17.0,FR1,5,4.05,,1,Left,Left,17,5,13,0,,,0.28
2025-10-23 14:16:10,1.17.0,FR1,5,4.05,,1,LeftWithPellet,Left,18,5,13,0,,,0.01
2025-10-23 14:31:04,1.17.0,FR1,5,4.05,1.0,1,Pellet,Left,18,5,14,0,,926.0,
2025-10-23 14:44:31,1.17.0,FR1,5,4.05,,1,Left,Left,19,5,14,0,,,0.13
2025-10-23 14:44:35,1.17.0,FR1,5,4.04,1.0,1,Pellet,Left,19,5,15,0,3.28,811.0,
2025-10-23 14:45:20,1.17.0,FR1,5,4.05,,1,Left,Left,20,5,15,0,,,0.03
2025-10-23 14:45:22,1.17.0,FR1,5,4.05,1.0,1,Pellet,Left,20,5,16,0,1.89,47.0,
2025-10-23 14:46:11,1.17.0,FR1,5,4.05,,1,Left,Left,21,5,16,0,,,0.14
2025-10-23 14:46:11,1.17.0,FR1,5,4.05,,1,LeftDuringDispense,Left,22,5,16,0,,,0.13
2025-10-23 14:46:15,1.17.0,FR1,5,4.04,2.0,1,Pellet,Left,22,5,17,0,0.88,53.0,
2025-10-23 14:46:51,1.17.0,FR1,5,4.04,,1,Left,Left,23,5,17,0,,,0.15
2025-10-23 14:46:54,1.17.0,FR1,5,4.05,2.0,1,Pellet,Left,23,5,18,0,1.26,39.0,
2025-10-23 15:27:46,1.17.0,FR1,5,4.05,,1,Left,Left,24,5,18,0,,,0.56
2025-10-23 15:27:49,1.17.0,FR1,5,4.05,1.0,1,Pellet,Left,24,5,19,0,1.83,2455.0,
2025-10-23 15:29:07,1.17.0,FR1,5,4.05,,1,Left,Left,25,5,19,0,,,0.3
2025-10-23 15:29:09,1.17.0,FR1,5,4.05,1.0,1,Pellet,Left,25,5,20,0,1.13,80.0,
2025-10-23 15:29:51,1.17.0,FR1,5,4.05,,1,Left,Left,26,5,20,0,,,0.15
2025-10-23 15:29:51,1.17.0,FR1,5,4.05,,1,LeftDuringDispense,Left,27,5,20,0,,,0.17
2025-10-23 15:29:55,1.17.0,FR1,5,4.05,2.0,1,Pellet,Left,27,5,21,0,0.75,46.0,
2025-10-23 15:31:11,1.17.0,FR1,5,4.05,,1,Left,Left,28,5,21,0,,,0.36
2025-10-23 15:31:14,1.17.0,FR1,5,4.05,1.0,1,Pellet,Left,28,5,22,0,2.15,79.0,
2025-10-23 15:31:54,1.17.0,FR1,5,4.05,,1,Left,Left,29,5,22,0,,,0.09
2025-10-23 15:31:54,1.17.0,FR1,5,4.04,,1,LeftDuringDispense,Left,30,5,22,0,,,0.14
2025-10-23 15:32:00,1.17.0,FR1,5,4.04,2.0,1,Pellet,Left,30,5,23,0,2.84,46.0,
2025-10-23 15:58:37,1.17.0,FR1,5,4.05,,1,Left,Left,31,5,23,0,,,0.08
2025-10-23 15:58:40,1.17.0,FR1,5,4.05,1.0,1,Pellet,Left,31,5,24,0,2.02,1599.0,
2025-10-23 16:07:28,1.17.0,FR1,5,4.04,,1,Left,Left,32,5,24,0,,,0.0
2025-10-23 16:07:31,1.17.0,FR1,5,4.04,1.0,1,Pellet,Left,32,5,25,0,2.08,532.0,
2025-10-23 16:08:14,1.17.0,FR1,5,4.05,,1,Left,Left,33,5,25,0,,,1.0
2025-10-23 16:08:16,1.17.0,FR1,5,4.05,1.0,1,Pellet,Left,33,5,26,0,1.26,45.0,
2025-10-23 16:09:12,1.17.0,FR1,5,4.05,,1,Left,Left,34,5,26,0,,,0.32
2025-10-23 16:09:14,1.17.0,FR1,5,4.04,1.0,1,Pellet,Left,34,5,27,0,1.96,58.0,
