MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-10-23 12:30:13,1.17.0,FR1,2,4.03,,1,Right,Left,0,1,0,0,,,0.51
2025-10-23 12:31:34,1.17.0,FR1,2,4.03,,1,Right,Left,0,2,0,0,,,0.38
2025-10-23 12:31:56,1.17.0,FR1,2,4.03,,1,Right,Left,0,3,0,0,,,0.16
2025-10-23 12:32:01,1.17.0,FR1,2,4.03,,1,Right,Left,0,4,0,0,,,0.21
2025-10-23 12:33:49,1.17.0,FR1,2,4.03,,1,Right,Left,0,5,0,0,,,0.6
2025-10-23 12:33:52,1.17.0,FR1,2,4.02,,1,Right,Left,0,6,0,0,,,0.33
2025-10-23 12:34:42,1.17.0,FR1,2,4.02,,1,Left,Left,1,6,0,0,,,0.23
2025-10-23 12:34:46,1.17.0,FR1,2,4.03,2.0,1,Pellet,Left,1,6,1,0,1.26,,
2025-10-23 12:35:11,1.17.0,FR1,2,4.03,,1,Left,Left,2,6,1,0,,,0.15
2025-10-23 12:35:12,1.17.0,FR1,2,4.03,1.0,1,Pellet,Left,2,6,2,0,0.31,26.0,
2025-10-23 12:35:41,1.17.0,FR1,2,4.03,,1,Left,Left,3,6,2,0,,,0.29
2025-10-23 12:35:42,1.17.0,FR1,2,4.03,1.0,1,Pellet,Left,3,6,3,0,0.88,30.0,
2025-10-23 12:36:04,1.17.0,FR1,2,4.03,,1,Left,Left,4,6,3,0,,,0.29
2025-10-23 12:36:06,1.17.0,FR1,2,4.03,1.0,1,Pellet,Left,4,6,4,0,0.69,24.0,
2025-10-23 12:36:23,1.17.0,FR1,2,4.03,,1,Left,Left,5,6,4,0,,,0.2
2025-10-23 12:36:25,1.17.0,FR1,2,4.02,1.0,1,Pellet,Left,5,6,5,0,0.69,19.0,
2025-10-23 12:36:49,1.17.0,FR1,2,4.02,,1,Left,Left,6,6,5,0,,,0.18
2025-10-23 12:36:51,1.17.0,FR1,2,4.03,1.0,1,Pellet,Left,6,6,6,0,1.07,26.0,
2025-10-23 12:39:05,1.17.0,FR1,2,4.03,,1,Left,Left,7,6,6,0,,,0.0
2025-10-23 12:40:26,1.17.0,FR1,2,4.02,,1,LeftWithPellet,Left,8,6,6,0,,,0.02
2025-10-23 12:45:54,1.17.0,FR1,2,4.03,1.0,1,Pellet,Left,8,6,7,0,,543.0,
2025-10-23 12:47:53,1.17.0,FR1,2,4.03,,1,Left,Left,9,6,7,0,,,0.17
2025-10-23 12:47:58,1.17.0,FR1,2,4.03,1.0,1,Pellet,Left,9,6,8,0,4.3,124.0,
2025-10-23 12:51:13,1.17.0,FR1,2,4.03,,1,Left,Left,10,6,8,0,,,0.38
2025-10-23 12:51:37,1.17.0,FR1,2,4.03,,1,LeftWithPellet,Left,11,6,8,0,,,0.24
2025-10-23 12:58:23,1.17.0,FR1,2,4.03,1.0,1,Pellet,Left,11,6,9,0,,625.0,
2025-10-23 14:45:59,1.17.0,FR1,2,4.02,,1,Right,Left,11,7,9,0,,,0.05
2025-10-23 14:46:00,1.17.0,FR1,2,4.02,,1,Right,Left,11,8,9,0,,,0.03
2025-10-23 14:46:05,1.17.0,FR1,2,4.02,,1,Right,Left,11,9,9,0,,,0.91
2025-10-23 14:46:10,1.17.0,FR1,2,4.03,,1,Right,Left,11,10,9,0,,,1.12
2025-10-23 14:46:13,1.17.0,FR1,2,4.03,,1,Right,Left,11,11,9,0,,,0.56
2025-10-23 14:46:20,1.17.0,FR1,2,4.03,,1,Right,Left,11,12,9,0,,,0.02
2025-10-23 14:46:27,1.17.0,FR1,2,4.02,,1,Right,Left,11,13,9,0,,,0.6
2025-10-23 14:46:31,1.17.0,FR1,2,4.02,,1,Right,Left,11,14,9,0,,,0.35
2025-10-23 14:46:35,1.17.0,FR1,2,4.03,,1,Right,Left,11,15,9,0,,,0.43
2025-10-23 14:46:52,1.17.0,FR1,2,4.03,,1,Right,Left,11,16,9,0,,,0.79
2025-10-23 14:46:54,1.17.0,FR1,2,4.03,,1,Right,Left,11,17,9,0,,,0.57
2025-10-23 14:46:56,1.17.0,FR1,2,4.03,,1,Right,Left,11,18,9,0,,,0.97
2025-10-23 14:46:59,1.17.0,FR1,2,4.02,,1,Right,Left,11,19,9,0,,,0.98
2025-10-23 14:47:03,1.17.0,FR1,2,4.02,,1,Right,Left,11,20,9,0,,,0.09
2025-10-23 14:47:05,1.17.0,FR1,2,4.02,,1,Right,Left,11,21,9,0,,,1.25
2025-10-23 14:47:16,1.17.0,FR1,2,4.03,,1,Left,Left,12,21,9,0,,,0.2
2025-10-23 14:47:44,1.17.0,FR1,2,4.03,1.0,1,Pellet,Left,12,21,10,0,27.67,6561.0,
2025-10-23 14:48:28,1.17.0,FR1,2,4.02,,1,Right,Left,12,22,10,0,,,0.26
2025-10-23 14:48:41,1.17.0,FR1,2,4.02,,1,Right,Left,12,23,10,0,,,0.0
2025-10-23 14:48:44,1.17.0,FR1,2,4.02,,1,Right,Left,12,24,10,0,,,0.57
2025-10-23 14:48:46,1.17.0,FR1,2,4.03,,1,Right,Left,12,25,10,0,,,0.27
2025-10-23 14:48:47,1.17.0,FR1,2,4.03,,1,Right,Left,12,26,10,0,,,0.74
2025-10-23 14:48:49,1.17.0,FR1,2,4.02,,1,Right,Left,12,27,10,0,,,0.26
