MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-07-24 14:22:40,1.17.0,FR1,66,3.81,,1,Left,Left,1,0,0,0,,,0.39
2025-07-24 14:23:48,1.17.0,FR1,66,3.8,,1,RightWithPellet,Left,1,1,0,0,,,0.04
2025-07-24 14:23:58,1.17.0,FR1,66,3.8,1.0,1,Pellet,Left,1,1,1,0,,,
2025-07-24 14:25:10,1.17.0,FR1,66,3.81,,1,Left,Left,2,1,1,0,,,0.31
2025-07-24 14:25:12,1.17.0,FR1,66,3.81,1.0,1,Pellet,Left,2,1,2,0,0.97,74.0,
2025-07-24 14:26:46,1.17.0,FR1,66,3.8,,1,Left,Left,3,1,2,0,,,0.48
2025-07-24 14:26:48,1.17.0,FR1,66,3.8,1.0,1,Pellet,Left,3,1,3,0,0.66,96.0,
2025-07-24 15:24:07,1.17.0,FR1,66,3.8,,1,Left,Left,4,1,3,0,,,0.49
2025-07-24 15:24:13,1.17.0,FR1,66,3.8,3.0,1,Pellet,Left,4,1,4,0,0.91,3445.0,
2025-07-24 15:24:27,1.17.0,FR1,66,3.8,,1,Left,Left,5,1,4,0,,,0.14
2025-07-24 15:24:30,1.17.0,FR1,66,3.81,2.0,1,Pellet,Left,5,1,5,0,0.66,17.0,
2025-07-24 15:27:17,1.17.0,FR1,66,3.8,,1,Right,Left,5,2,5,0,,,0.27
2025-07-24 15:27:20,1.17.0,FR1,66,3.8,,1,Right,Left,5,3,5,0,,,0.19
2025-07-24 15:27:42,1.17.0,FR1,66,3.8,,1,Right,Left,5,4,5,0,,,0.03
2025-07-24 15:27:44,1.17.0,FR1,66,3.8,,1,Right,Left,5,5,5,0,,,0.27
2025-07-24 15:27:48,1.17.0,FR1,66,3.8,,1,Left,Left,6,5,5,0,,,0.29
2025-07-24 15:27:48,1.17.0,FR1,66,3.8,,1,LeftDuringDispense,Left,7,5,5,0,,,0.02
