MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/24/2025 14:30:00,1.17.0,FR1,60,3.97,nan,1,Left,Left,1,0,0,0,nan,nan,0.35
7/24/2025 14:30:55,1.17.0,FR1,60,3.97,3,1,Pellet,Left,1,0,1,0,49.82,nan,nan
7/24/2025 14:36:57,1.17.0,FR1,60,3.97,nan,1,Left,Left,2,0,1,0,nan,nan,0.02
7/24/2025 14:47:29,1.17.0,FR1,60,3.97,1,1,Pellet,Left,2,0,2,0,Timed_out,994,nan
7/24/2025 14:47:51,1.17.0,FR1,60,3.97,nan,1,Right,Left,2,1,2,0,nan,nan,0.27
7/24/2025 14:48:00,1.17.0,FR1,60,3.97,nan,1,Left,Left,3,1,2,0,nan,nan,0.67
7/24/2025 14:48:04,1.17.0,FR1,60,3.97,1,1,Pellet,Left,3,1,3,0,2.87,35,nan
7/24/2025 16:25:25,1.17.0,FR1,60,3.96,nan,1,Left,Left,4,1,3,0,nan,nan,0.07
7/24/2025 16:25:25,1.17.0,FR1,60,3.96,nan,1,LeftDuringDispense,Left,5,1,3,0,nan,nan,0.05
7/24/2025 16:25:32,1.17.0,FR1,60,3.96,3,1,Pellet,Left,5,1,4,0,1.92,5848,nan
7/24/2025 16:25:49,1.17.0,FR1,60,3.96,nan,1,Left,Left,6,1,4,0,nan,nan,0.23
7/24/2025 16:25:51,1.17.0,FR1,60,3.97,1,1,Pellet,Left,6,1,5,0,1.23,19,nan
7/24/2025 16:26:08,1.17.0,FR1,60,3.97,nan,1,Left,Left,7,1,5,0,nan,nan,0.14
7/24/2025 16:26:09,1.17.0,FR1,60,3.96,1,1,Pellet,Left,7,1,6,0,0.66,18,nan
7/24/2025 16:26:27,1.17.0,FR1,60,3.97,nan,1,Left,Left,8,1,6,0,nan,nan,0.30
7/24/2025 16:26:28,1.17.0,FR1,60,3.97,1,1,Pellet,Left,8,1,7,0,0.66,19,nan
7/24/2025 16:26:49,1.17.0,FR1,60,3.97,nan,1,Left,Left,9,1,7,0,nan,nan,0.01
7/24/2025 16:26:50,1.17.0,FR1,60,3.97,1,1,Pellet,Left,9,1,8,0,0.66,22,nan
7/24/2025 16:27:12,1.17.0,FR1,60,3.96,nan,1,Left,Left,10,1,8,0,nan,nan,0.34
7/24/2025 16:27:13,1.17.0,FR1,60,3.96,1,1,Pellet,Left,10,1,9,0,0.66,23,nan
7/24/2025 16:27:29,1.17.0,FR1,60,3.97,nan,1,Left,Left,11,1,9,0,nan,nan,0.21
7/24/2025 16:27:29,1.17.0,FR1,60,3.97,nan,1,LeftDuringDispense,Left,12,1,9,0,nan,nan,0.04
7/24/2025 16:27:33,1.17.0,FR1,60,3.96,2,1,Pellet,Left,12,1,10,0,0.97,20,nan
7/24/2025 16:27:51,1.17.0,FR1,60,3.96,nan,1,Left,Left,13,1,10,0,nan,nan,0.49
7/24/2025 16:27:52,1.17.0,FR1,60,3.97,1,1,Pellet,Left,13,1,11,0,0.72,19,nan
7/24/2025 16:28:22,1.17.0,FR1,60,3.96,nan,1,Right,Left,13,2,11,0,nan,nan,0.69
7/24/2025 16:34:52,1.17.0,FR1,60,3.97,nan,1,Right,Left,13,3,11,0,nan,nan,0.84
7/24/2025 16:38:07,1.17.0,FR1,60,3.97,nan,1,Left,Left,14,3,11,0,nan,nan,0.41
7/24/2025 17:09:45,1.17.0,FR1,60,3.96,nan,1,LeftWithPellet,Left,15,3,11,0,nan,nan,0.03
7/24/2025 17:09:47,1.17.0,FR1,60,3.96,1,1,Pellet,Left,15,3,12,0,Timed_out,2515,nan
7/24/2025 17:10:07,1.17.0,FR1,60,3.96,nan,1,Left,Left,16,3,12,0,nan,nan,0.52
7/24/2025 17:10:09,1.17.0,FR1,60,3.96,1,1,Pellet,Left,16,3,13,0,0.85,22,nan
7/24/2025 17:10:35,1.17.0,FR1,60,3.96,nan,1,Left,Left,17,3,13,0,nan,nan,0.27
7/24/2025 17:10:37,1.17.0,FR1,60,3.96,1,1,Pellet,Left,17,3,14,0,0.72,28,nan
7/24/2025 17:10:54,1.17.0,FR1,60,3.96,nan,1,Left,Left,18,3,14,0,nan,nan,0.14
7/24/2025 17:10:55,1.17.0,FR1,60,3.96,1,1,Pellet,Left,18,3,15,0,0.66,18,nan
7/24/2025 17:11:16,1.17.0,FR1,60,3.97,nan,1,Left,Left,19,3,15,0,nan,nan,0.43
7/24/2025 17:11:17,1.17.0,FR1,60,3.96,1,1,Pellet,Left,19,3,16,0,0.66,22,nan
7/24/2025 17:11:34,1.17.0,FR1,60,3.96,nan,1,Left,Left,20,3,16,0,nan,nan,0.23
7/24/2025 17:11:36,1.17.0,FR1,60,3.96,1,1,Pellet,Left,20,3,17,0,0.66,19,nan
7/24/2025 17:11:55,1.17.0,FR1,60,3.96,nan,1,Left,Left,21,3,17,0,nan,nan,0.21
7/24/2025 17:11:56,1.17.0,FR1,60,3.96,1,1,Pellet,Left,21,3,18,0,0.66,20,nan
