MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-10-09 15:09:11,1.17.2,FR1,40,4.03,,1,Right,Left,0,1,0,0,,,0.28
2025-10-09 15:10:31,1.17.2,FR1,40,4.03,,1,Left,Left,1,1,0,0,,,0.33
2025-10-09 15:10:40,1.17.2,FR1,40,4.03,3.0,1,Pellet,Left,1,1,1,0,5.75,,
2025-10-09 15:13:24,1.17.2,FR1,40,4.03,,1,Left,Left,2,1,1,0,,,0.28
2025-10-09 15:13:26,1.17.2,FR1,40,4.03,2.0,1,Pellet,Left,2,1,2,0,0.85,166.0,
2025-10-09 15:15:03,1.17.2,FR1,40,4.03,,1,Right,Left,2,2,2,0,,,0.14
2025-10-09 15:15:47,1.17.2,FR1,40,4.03,,1,Right,Left,2,3,2,0,,,0.32
2025-10-09 15:18:13,1.17.2,FR1,40,4.03,,1,Left,Left,3,3,2,0,,,0.2
2025-10-09 15:18:31,1.17.2,FR1,40,4.03,2.0,1,Pellet,Left,3,3,3,0,16.21,305.0,
2025-10-09 15:26:00,1.17.2,FR1,40,4.03,,1,Left,Left,4,3,3,0,,,0.44
2025-10-09 15:26:06,1.17.2,FR1,40,4.03,2.0,1,Pellet,Left,4,3,4,0,4.35,455.0,
2025-10-09 15:28:34,1.17.2,FR1,40,4.03,,1,Left,Left,5,3,4,0,,,0.34
2025-10-09 15:28:35,1.17.2,FR1,40,4.03,1.0,1,Pellet,Left,5,3,5,0,0.48,149.0,
2025-10-09 15:32:25,1.17.2,FR1,40,4.03,,1,Left,Left,6,3,5,0,,,0.01
2025-10-09 15:32:49,1.17.2,FR1,40,4.03,,1,LeftDuringDispense,Left,7,3,5,0,,,23.88
2025-10-09 15:32:53,1.17.2,FR1,40,4.03,2.0,1,Pellet,Left,7,3,6,0,1.03,258.0,
2025-10-09 15:37:39,1.17.2,FR1,40,4.03,,1,Left,Left,8,3,6,0,,,0.37
2025-10-09 15:37:44,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,8,3,7,0,4.1,291.0,
2025-10-09 15:41:11,1.17.2,FR1,40,4.03,,1,Right,Left,8,4,7,0,,,0.18
2025-10-09 15:41:35,1.17.2,FR1,40,4.03,,1,Left,Left,9,4,7,0,,,0.01
2025-10-09 15:41:55,1.17.2,FR1,40,4.03,,1,LeftWithPellet,Left,10,4,7,0,,,0.03
2025-10-09 15:42:04,1.17.2,FR1,40,4.03,1.0,1,Pellet,Left,10,4,8,0,27.66,260.0,
2025-10-09 15:43:46,1.17.2,FR1,40,4.03,,1,Right,Left,10,5,8,0,,,0.21
2025-10-09 15:44:21,1.17.2,FR1,40,4.03,,1,Right,Left,10,6,8,0,,,0.15
2025-10-09 15:47:28,1.17.2,FR1,40,4.03,,1,Right,Left,10,7,8,0,,,0.18
2025-10-09 15:49:16,1.17.2,FR1,40,4.03,,1,Left,Left,11,7,8,0,,,0.76
2025-10-09 15:49:23,1.17.2,FR1,40,4.03,,1,LeftWithPellet,Left,12,7,8,0,,,6.04
2025-10-09 15:49:28,1.17.2,FR1,40,4.03,,1,LeftWithPellet,Left,13,7,8,0,,,2.64
2025-10-09 15:49:30,1.17.2,FR1,40,4.03,,1,LeftWithPellet,Left,14,7,8,0,,,0.07
2025-10-09 15:49:31,1.17.2,FR1,40,4.03,,1,LeftWithPellet,Left,15,7,8,0,,,0.02
2025-10-09 15:49:33,1.17.2,FR1,40,4.03,,1,LeftWithPellet,Left,16,7,8,0,,,0.72
2025-10-09 15:49:42,1.17.2,FR1,40,4.03,,1,LeftWithPellet,Left,17,7,8,0,,,8.29
2025-10-09 15:49:58,1.17.2,FR1,40,4.03,,1,LeftWithPellet,Left,18,7,8,0,,,14.49
2025-10-09 15:50:00,1.17.2,FR1,40,4.03,,1,LeftWithPellet,Left,19,7,8,0,,,0.63
2025-10-09 15:50:00,1.17.2,FR1,40,4.03,,1,LeftWithPellet,Left,20,7,8,0,,,0.13
2025-10-09 15:50:01,1.17.2,FR1,40,4.03,,1,LeftWithPellet,Left,21,7,8,0,,,0.25
2025-10-09 15:50:26,1.17.2,FR1,40,4.02,,1,LeftWithPellet,Left,22,7,8,0,,,0.06
2025-10-09 15:50:28,1.17.2,FR1,40,4.03,1.0,1,Pellet,Left,22,7,9,0,,504.0,
2025-10-09 15:52:14,1.17.2,FR1,40,4.03,,1,Left,Left,23,7,9,0,,,0.06
2025-10-09 15:52:41,1.17.2,FR1,40,4.03,2.0,1,Pellet,Left,23,7,10,0,24.96,133.0,
2025-10-09 15:54:03,1.17.2,FR1,40,4.03,,1,Left,Left,24,7,10,0,,,0.03
2025-10-09 15:54:16,1.17.2,FR1,40,4.03,,1,LeftWithPellet,Left,25,7,10,0,,,2.35
2025-10-09 15:54:17,1.17.2,FR1,40,4.02,2.0,1,Pellet,Left,25,7,11,0,13.31,96.0,
2025-10-09 15:54:36,1.17.2,FR1,40,4.03,,1,Left,Left,26,7,11,0,,,16.96
2025-10-09 15:54:41,1.17.2,FR1,40,4.03,,1,LeftDuringDispense,Left,27,7,11,0,,,5.01
2025-10-09 15:58:17,1.17.2,FR1,40,4.02,,1,LeftDuringDispense,Left,28,7,11,0,,,213.03
2025-10-09 15:58:23,1.17.2,FR1,40,4.02,4.0,1,Pellet,Left,28,7,12,0,3.37,246.0,
2025-10-09 16:01:54,1.17.2,FR1,40,4.02,,1,Left,Left,29,7,12,0,,,128.9
2025-10-09 16:01:56,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,29,7,13,0,1.28,213.0,
2025-10-09 16:02:39,1.17.2,FR1,40,4.02,,1,Left,Left,30,7,13,0,,,1.31
2025-10-09 16:02:46,1.17.2,FR1,40,4.01,1.0,1,Pellet,Left,30,7,14,0,6.56,50.0,
2025-10-09 16:05:04,1.17.2,FR1,40,4.02,,1,Right,Left,30,8,14,0,,,0.33
2025-10-09 16:05:05,1.17.2,FR1,40,4.02,,1,Right,Left,30,9,14,0,,,0.19
2025-10-09 16:09:01,1.17.2,FR1,40,4.02,,1,Right,Left,30,10,14,0,,,0.06
2025-10-09 17:14:02,1.17.2,FR1,40,4.02,,1,Left,Left,31,10,14,0,,,0.2
2025-10-09 17:14:03,1.17.2,FR1,40,4.03,1.0,1,Pellet,Left,31,10,15,0,0.3,4277.0,
2025-10-09 17:14:30,1.17.2,FR1,40,4.02,,1,Left,Left,32,10,15,0,,,0.13
2025-10-09 17:14:31,1.17.2,FR1,40,4.03,1.0,1,Pellet,Left,32,10,16,0,0.79,28.0,
2025-10-09 17:14:50,1.17.2,FR1,40,4.02,,1,Left,Left,33,10,16,0,,,0.44
2025-10-09 17:14:51,1.17.2,FR1,40,4.03,1.0,1,Pellet,Left,33,10,17,0,0.67,20.0,
2025-10-09 17:15:08,1.17.2,FR1,40,4.02,,1,Left,Left,34,10,17,0,,,0.51
2025-10-09 17:15:09,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,34,10,18,0,0.42,18.0,
2025-10-09 17:15:21,1.17.2,FR1,40,4.02,,1,Left,Left,35,10,18,0,,,0.07
2025-10-09 17:15:22,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,35,10,19,0,0.42,13.0,
2025-10-09 17:15:47,1.17.2,FR1,40,4.02,,1,Left,Left,36,10,19,0,,,0.28
2025-10-09 17:15:48,1.17.2,FR1,40,4.03,1.0,1,Pellet,Left,36,10,20,0,0.36,26.0,
2025-10-09 17:16:00,1.17.2,FR1,40,4.02,,1,Left,Left,37,10,20,0,,,0.13
2025-10-09 17:16:00,1.17.2,FR1,40,4.02,,1,LeftDuringDispense,Left,38,10,20,0,,,0.04
2025-10-09 17:16:04,1.17.2,FR1,40,4.02,3.0,1,Pellet,Left,38,10,21,0,0.18,16.0,
2025-10-09 17:16:17,1.17.2,FR1,40,4.02,,1,Left,Left,39,10,21,0,,,0.04
2025-10-09 17:16:17,1.17.2,FR1,40,4.02,,1,LeftDuringDispense,Left,40,10,21,0,,,0.07
2025-10-09 17:16:20,1.17.2,FR1,40,4.03,2.0,1,Pellet,Left,40,10,22,0,0.61,16.0,
2025-10-09 17:16:37,1.17.2,FR1,40,4.03,,1,Left,Left,41,10,22,0,,,0.36
2025-10-09 17:16:39,1.17.2,FR1,40,4.02,2.0,1,Pellet,Left,41,10,23,0,0.55,19.0,
2025-10-09 17:23:00,1.17.2,FR1,40,4.02,,1,Right,Left,41,11,23,0,,,0.18
2025-10-09 17:24:31,1.17.2,FR1,40,4.02,,1,Right,Left,41,12,23,0,,,0.01
2025-10-09 17:27:58,1.17.2,FR1,40,4.02,,1,Right,Left,41,13,23,0,,,0.28
2025-10-09 17:29:15,1.17.2,FR1,40,4.02,,1,Left,Left,42,13,23,0,,,0.06
2025-10-09 17:29:27,1.17.2,FR1,40,4.02,6.0,1,Pellet,Left,42,13,24,0,0.55,768.0,
2025-10-09 17:29:50,1.17.2,FR1,40,4.02,,1,Left,Left,43,13,24,0,,,0.26
2025-10-09 17:29:52,1.17.2,FR1,40,4.03,2.0,1,Pellet,Left,43,13,25,0,0.42,25.0,
2025-10-09 17:30:05,1.17.2,FR1,40,4.03,,1,Left,Left,44,13,25,0,,,0.07
2025-10-09 17:30:06,1.17.2,FR1,40,4.03,1.0,1,Pellet,Left,44,13,26,0,0.55,14.0,
2025-10-09 17:30:26,1.17.2,FR1,40,4.03,,1,Left,Left,45,13,26,0,,,0.27
2025-10-09 17:30:37,1.17.2,FR1,40,4.03,1.0,1,Pellet,Left,45,13,27,0,10.99,31.0,
2025-10-09 17:31:20,1.17.2,FR1,40,4.03,,1,Left,Left,46,13,27,0,,,0.34
2025-10-09 17:31:22,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,46,13,28,0,0.42,45.0,
2025-10-09 17:31:38,1.17.2,FR1,40,4.02,,1,Left,Left,47,13,28,0,,,0.26
2025-10-09 17:31:39,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,47,13,29,0,0.3,17.0,
2025-10-09 17:32:06,1.17.2,FR1,40,4.02,,1,Left,Left,48,13,29,0,,,0.14
2025-10-09 17:32:07,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,48,13,30,0,0.55,28.0,
2025-10-09 17:56:10,1.17.2,FR1,40,4.02,,1,Right,Left,48,14,30,0,,,0.29
2025-10-09 18:04:34,1.17.2,FR1,40,4.02,,1,Left,Left,49,14,30,0,,,0.11
2025-10-09 18:04:34,1.17.2,FR1,40,4.02,,1,LeftDuringDispense,Left,50,14,30,0,,,0.11
2025-10-09 18:04:37,1.17.2,FR1,40,4.03,2.0,1,Pellet,Left,50,14,31,0,0.3,1950.0,
2025-10-09 18:04:59,1.17.2,FR1,40,4.02,,1,Left,Left,51,14,31,0,,,0.24
2025-10-09 18:05:15,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,51,14,32,0,16.14,38.0,
2025-10-09 18:05:39,1.17.2,FR1,40,4.02,,1,Left,Left,52,14,32,0,,,0.23
2025-10-09 18:05:39,1.17.2,FR1,40,4.02,,1,LeftDuringDispense,Left,53,14,32,0,,,0.03
2025-10-09 18:05:42,1.17.2,FR1,40,4.02,2.0,1,Pellet,Left,53,14,33,0,0.36,27.0,
2025-10-09 18:18:26,1.17.2,FR1,40,4.02,,1,Right,Left,53,15,33,0,,,0.08
2025-10-09 18:23:03,1.17.2,FR1,40,4.02,,1,Left,Left,54,15,33,0,,,0.19
2025-10-09 18:23:06,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,54,15,34,0,1.77,1044.0,
2025-10-09 18:23:23,1.17.2,FR1,40,4.02,,1,Left,Left,55,15,34,0,,,0.23
2025-10-09 18:23:25,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,55,15,35,0,1.22,19.0,
2025-10-09 18:23:36,1.17.2,FR1,40,4.02,,1,Left,Left,56,15,35,0,,,0.32
2025-10-09 18:23:38,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,56,15,36,0,1.22,13.0,
2025-10-09 18:25:12,1.17.2,FR1,40,4.02,,1,Right,Left,56,16,36,0,,,0.06
2025-10-09 18:34:23,1.17.2,FR1,40,4.02,,1,Left,Left,57,16,36,0,,,0.23
2025-10-09 18:34:25,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,57,16,37,0,0.55,647.0,
2025-10-09 18:34:46,1.17.2,FR1,40,4.02,,1,Left,Left,58,16,37,0,,,0.21
2025-10-09 18:34:47,1.17.2,FR1,40,4.03,1.0,1,Pellet,Left,58,16,38,0,0.42,22.0,
2025-10-09 18:34:59,1.17.2,FR1,40,4.03,,1,Left,Left,59,16,38,0,,,0.11
2025-10-09 18:35:00,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,59,16,39,0,0.61,13.0,
2025-10-09 18:36:23,1.17.2,FR1,40,4.02,,1,Right,Left,59,17,39,0,,,0.16
2025-10-09 18:36:29,1.17.2,FR1,40,4.02,,1,Left,Left,60,17,39,0,,,0.15
2025-10-09 18:36:32,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,60,17,40,0,2.02,91.0,
2025-10-09 18:36:46,1.17.2,FR1,40,4.02,,1,Left,Left,61,17,40,0,,,0.26
2025-10-09 18:36:48,1.17.2,FR1,40,4.03,1.0,1,Pellet,Left,61,17,41,0,1.34,17.0,
2025-10-09 18:37:03,1.17.2,FR1,40,4.02,,1,Left,Left,62,17,41,0,,,0.21
2025-10-09 18:37:04,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,62,17,42,0,0.97,16.0,
2025-10-09 18:38:24,1.17.2,FR1,40,4.02,,1,Right,Left,62,18,42,0,,,0.35
2025-10-09 18:42:07,1.17.2,FR1,40,4.02,,1,Left,Left,63,18,42,0,,,0.18
2025-10-09 18:42:10,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,63,18,43,0,2.57,306.0,
2025-10-09 18:50:29,1.17.2,FR1,40,4.02,,1,Left,Left,64,18,43,0,,,0.19
2025-10-09 18:50:31,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,64,18,44,0,1.52,501.0,
2025-10-09 18:51:03,1.17.2,FR1,40,4.02,,1,Right,Left,64,19,44,0,,,0.56
2025-10-09 18:51:05,1.17.2,FR1,40,4.02,,1,Right,Left,64,20,44,0,,,0.35
2025-10-09 18:51:08,1.17.2,FR1,40,4.02,,1,Right,Left,64,21,44,0,,,0.27
2025-10-09 18:51:12,1.17.2,FR1,40,4.02,,1,Left,Left,65,21,44,0,,,0.11
2025-10-09 18:51:15,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,65,21,45,0,2.63,44.0,
2025-10-09 18:51:33,1.17.2,FR1,40,4.02,,1,Left,Left,66,21,45,0,,,0.13
2025-10-09 18:51:34,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,66,21,46,0,0.97,19.0,
2025-10-09 18:51:47,1.17.2,FR1,40,4.02,,1,Left,Left,67,21,46,0,,,0.19
2025-10-09 18:51:48,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,67,21,47,0,0.24,14.0,
2025-10-09 19:00:03,1.17.2,FR1,40,4.02,,1,Left,Left,68,21,47,0,,,0.26
2025-10-09 19:00:04,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,68,21,48,0,0.55,496.0,
2025-10-09 19:07:48,1.17.2,FR1,40,4.03,,1,Right,Left,68,22,48,0,,,0.12
2025-10-09 19:08:53,1.17.2,FR1,40,4.02,,1,Right,Left,68,23,48,0,,,0.08
2025-10-09 19:09:05,1.17.2,FR1,40,4.02,,1,Right,Left,68,24,48,0,,,0.11
2025-10-09 19:24:34,1.17.2,FR1,40,4.02,,1,Left,Left,69,24,48,0,,,0.1
2025-10-09 19:24:37,1.17.2,FR1,40,4.02,2.0,1,Pellet,Left,69,24,49,0,0.67,1473.0,
2025-10-09 19:24:53,1.17.2,FR1,40,4.02,,1,Left,Left,70,24,49,0,,,0.36
2025-10-09 19:24:54,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,70,24,50,0,0.85,17.0,
2025-10-09 19:25:04,1.17.2,FR1,40,4.02,,1,Left,Left,71,24,50,0,,,0.15
2025-10-09 19:25:06,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,71,24,51,0,0.85,12.0,
2025-10-09 19:25:18,1.17.2,FR1,40,4.02,,1,Left,Left,72,24,51,0,,,0.2
2025-10-09 19:25:19,1.17.2,FR1,40,4.03,2.0,1,Pellet,Left,72,24,52,0,0.3,13.0,
2025-10-09 19:25:31,1.17.2,FR1,40,4.02,,1,Left,Left,73,24,52,0,,,0.67
2025-10-09 19:25:33,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,73,24,53,0,0.85,14.0,
2025-10-09 19:25:47,1.17.2,FR1,40,4.02,,1,Left,Left,74,24,53,0,,,0.24
2025-10-09 19:25:48,1.17.2,FR1,40,4.03,1.0,1,Pellet,Left,74,24,54,0,0.36,15.0,
2025-10-09 19:26:06,1.17.2,FR1,40,4.02,,1,Left,Left,75,24,54,0,,,0.48
2025-10-09 19:26:07,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,75,24,55,0,0.36,19.0,
2025-10-09 19:26:22,1.17.2,FR1,40,4.02,,1,Left,Left,76,24,55,0,,,0.05
2025-10-09 19:26:23,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,76,24,56,0,0.42,16.0,
2025-10-09 19:26:40,1.17.2,FR1,40,4.02,,1,Left,Left,77,24,56,0,,,0.15
2025-10-09 19:26:41,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,77,24,57,0,0.36,18.0,
2025-10-09 19:27:01,1.17.2,FR1,40,4.02,,1,Left,Left,78,24,57,0,,,0.29
2025-10-09 19:27:02,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,78,24,58,0,0.36,21.0,
2025-10-09 19:27:21,1.17.2,FR1,40,4.02,,1,Right,Left,78,25,58,0,,,0.09
2025-10-09 19:27:23,1.17.2,FR1,40,4.02,,1,Right,Left,78,26,58,0,,,0.22
2025-10-09 19:53:45,1.17.2,FR1,40,4.02,,1,Right,Left,78,27,58,0,,,0.1
2025-10-09 19:53:50,1.17.2,FR1,40,4.02,,1,Left,Left,79,27,58,0,,,0.71
2025-10-09 19:53:51,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,79,27,59,0,0.36,1609.0,
2025-10-09 19:54:06,1.17.2,FR1,40,4.02,,1,Left,Left,80,27,59,0,,,0.07
2025-10-09 19:54:07,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,80,27,60,0,0.79,16.0,
2025-10-09 19:54:17,1.17.2,FR1,40,4.02,,1,Left,Left,81,27,60,0,,,0.1
2025-10-09 19:54:18,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,81,27,61,0,0.42,11.0,
2025-10-09 19:54:30,1.17.2,FR1,40,4.03,,1,Left,Left,82,27,61,0,,,0.39
2025-10-09 19:54:31,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,82,27,62,0,0.49,13.0,
2025-10-09 19:54:45,1.17.2,FR1,40,4.02,,1,Left,Left,83,27,62,0,,,0.09
2025-10-09 19:54:46,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,83,27,63,0,0.61,15.0,
2025-10-09 19:54:57,1.17.2,FR1,40,4.02,,1,Left,Left,84,27,63,0,,,0.22
2025-10-09 19:54:58,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,84,27,64,0,0.3,12.0,
2025-10-09 19:55:13,1.17.2,FR1,40,4.02,,1,Left,Left,85,27,64,0,,,0.17
2025-10-09 19:55:14,1.17.2,FR1,40,4.02,1.0,1,Pellet,Left,85,27,65,0,0.3,16.0,
