MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-10-09 15:16:39,1.17.2,FR1,50,4.04,,1,Left,Left,1,0,0,0,,,0.44
2025-10-09 15:16:50,1.17.2,FR1,50,4.04,3.0,1,Pellet,Left,1,0,1,0,6.31,,
2025-10-09 15:17:18,1.17.2,FR1,50,4.04,,1,Left,Left,2,0,1,0,,,0.26
2025-10-09 15:17:19,1.17.2,FR1,50,4.04,1.0,1,Pellet,Left,2,0,2,0,0.79,29.0,
2025-10-09 15:21:22,1.17.2,FR1,50,4.05,,1,Right,Left,2,1,2,0,,,0.19
2025-10-09 15:23:49,1.17.2,FR1,50,4.03,,1,Left,Left,3,1,2,0,,,0.18
2025-10-09 15:23:52,1.17.2,FR1,50,4.04,1.0,1,Pellet,Left,3,1,3,0,2.44,393.0,
2025-10-09 15:29:22,1.17.2,FR1,50,4.04,,1,Right,Left,3,2,3,0,,,0.19
2025-10-09 16:38:03,1.17.2,FR1,50,4.04,,1,Left,Left,4,2,3,0,,,0.06
2025-10-09 16:38:03,1.17.2,FR1,50,4.04,,1,LeftDuringDispense,Left,5,2,3,0,,,0.05
2025-10-09 16:38:09,1.17.2,FR1,50,4.03,2.0,1,Pellet,Left,5,2,4,0,3.18,4457.0,
2025-10-09 16:39:06,1.17.2,FR1,50,4.04,,1,Left,Left,6,2,4,0,,,0.61
2025-10-09 16:39:08,1.17.2,FR1,50,4.04,1.0,1,Pellet,Left,6,2,5,0,1.71,59.0,
2025-10-09 16:40:15,1.17.2,FR1,50,4.04,,1,Left,Left,7,2,5,0,,,0.38
2025-10-09 16:40:41,1.17.2,FR1,50,4.04,1.0,1,Pellet,Left,7,2,6,0,24.71,93.0,
2025-10-09 16:43:21,1.17.2,FR1,50,4.04,,1,Left,Left,8,2,6,0,,,0.47
