MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-04-03 15:04:47,1.17.0,FR1,6,4.01,,1,Left,Left,1,0,0,0,,,0.8
2025-04-03 15:04:52,1.17.0,FR1,6,4.01,3.0,1,Pellet,Left,1,0,1,0,0.63,,
2025-04-03 15:05:03,1.17.0,FR1,6,4.01,,1,Left,Left,2,0,1,0,,,0.21
2025-04-03 15:05:04,1.17.0,FR1,6,4.01,1.0,1,Pellet,Left,2,0,2,0,0.56,12.0,
2025-04-03 15:05:15,1.17.0,FR1,6,4.01,,1,Left,Left,3,0,2,0,,,0.04
2025-04-03 15:05:16,1.17.0,FR1,6,4.01,1.0,1,Pellet,Left,3,0,3,0,0.44,12.0,
2025-04-03 15:05:34,1.17.0,FR1,6,4.0,,1,Left,Left,4,0,3,0,,,0.09
2025-04-03 15:05:35,1.17.0,FR1,6,4.01,1.0,1,Pellet,Left,4,0,4,0,0.44,19.0,
2025-04-03 15:05:50,1.17.0,FR1,6,4.01,,1,Left,Left,5,0,4,0,,,0.02
2025-04-03 15:05:51,1.17.0,FR1,6,4.01,1.0,1,Pellet,Left,5,0,5,0,0.44,16.0,
2025-04-03 15:07:37,1.17.0,FR1,6,4.01,,1,Right,Left,5,1,5,0,,,0.56
2025-04-03 15:07:58,1.17.0,FR1,6,4.0,,1,Right,Left,5,2,5,0,,,0.1
2025-04-03 15:10:27,1.17.0,FR1,6,4.01,,1,Left,Left,6,2,5,0,,,0.19
2025-04-03 15:10:32,1.17.0,FR1,6,4.01,2.0,1,Pellet,Left,6,2,6,0,1.32,281.0,
2025-04-03 15:14:56,1.17.0,FR1,6,4.02,,1,Left,Left,7,2,6,0,,,0.14
2025-04-03 15:15:00,1.17.0,FR1,6,4.01,2.0,1,Pellet,Left,7,2,7,0,0.88,268.0,
2025-04-03 15:15:13,1.17.0,FR1,6,4.02,,1,Left,Left,8,2,7,0,,,0.09
2025-04-03 15:15:15,1.17.0,FR1,6,4.01,2.0,1,Pellet,Left,8,2,8,0,0.31,15.0,
2025-04-03 15:18:24,1.17.0,FR1,6,4.01,,1,Left,Left,9,2,8,0,,,0.01
2025-04-03 15:19:49,1.17.0,FR1,6,4.01,2.0,1,Pellet,Left,9,2,9,0,,274.0,
2025-04-03 15:20:32,1.17.0,FR1,6,4.01,,1,Right,Left,9,3,9,0,,,0.16
2025-04-03 15:23:10,1.17.0,FR1,6,4.01,,1,Right,Left,9,4,9,0,,,0.04
2025-04-03 16:46:51,1.17.0,FR1,6,4.0,,1,Left,Left,10,4,9,0,,,0.16
