MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-03-06 15:37:42,1.17.0,FR1,33,4.0,,1,Left,Left,1,0,0,0,,,0.08
2025-03-06 15:37:44,1.17.0,FR1,33,4.0,1.0,1,Pellet,Left,1,0,1,0,1.32,,
2025-03-06 15:38:56,1.17.0,FR1,33,4.0,,1,Left,Left,2,0,1,0,,,0.07
2025-03-06 15:38:58,1.17.0,FR1,33,4.01,1.0,1,Pellet,Left,2,0,2,0,1.64,74.0,
2025-03-06 15:39:27,1.17.0,FR1,33,4.01,,1,Right,Left,2,1,2,0,,,0.06
2025-03-06 15:39:28,1.17.0,FR1,33,4.01,,1,Right,Left,2,2,2,0,,,0.0
2025-03-06 16:44:15,1.17.0,FR1,33,4.01,,1,Left,Left,3,2,2,0,,,0.08
2025-03-06 16:44:18,1.17.0,FR1,33,4.01,1.0,1,Pellet,Left,3,2,3,0,1.57,3919.0,
2025-03-06 16:44:49,1.17.0,FR1,33,4.0,,1,Left,Left,4,2,3,0,,,0.0
2025-03-06 16:45:00,1.17.0,FR1,33,4.01,1.0,1,Pellet,Left,4,2,4,0,11.08,43.0,
2025-03-06 16:46:02,1.17.0,FR1,33,4.0,,1,Right,Left,4,3,4,0,,,0.15
2025-03-06 16:46:11,1.17.0,FR1,33,4.0,,1,Left,Left,5,3,4,0,,,0.35
2025-03-06 16:46:12,1.17.0,FR1,33,4.01,,1,LeftDuringDispense,Left,6,3,4,0,,,0.06
2025-03-06 16:46:17,1.17.0,FR1,33,4.0,2.0,1,Pellet,Left,6,3,5,0,2.27,77.0,
2025-03-06 16:46:39,1.17.0,FR1,33,4.01,,1,Left,Left,7,3,5,0,,,0.07
2025-03-06 16:46:40,1.17.0,FR1,33,4.0,1.0,1,Pellet,Left,7,3,6,0,0.94,23.0,
2025-03-06 16:46:55,1.17.0,FR1,33,4.0,,1,Left,Left,8,3,6,0,,,0.27
2025-03-06 16:46:58,1.17.0,FR1,33,4.0,1.0,1,Pellet,Left,8,3,7,0,2.59,18.0,
2025-03-06 16:47:14,1.17.0,FR1,33,4.0,,1,Left,Left,9,3,7,0,,,0.08
2025-03-06 16:47:16,1.17.0,FR1,33,4.0,1.0,1,Pellet,Left,9,3,8,0,0.82,18.0,
2025-03-06 17:04:26,1.17.0,FR1,33,4.0,,1,Left,Left,10,3,8,0,,,0.4
2025-03-06 17:04:30,1.17.0,FR1,33,4.01,1.0,1,Pellet,Left,10,3,9,0,3.35,1034.0,
2025-03-06 17:04:50,1.17.0,FR1,33,4.0,,1,Left,Left,11,3,9,0,,,0.02
2025-03-06 17:04:52,1.17.0,FR1,33,4.0,1.0,1,Pellet,Left,11,3,10,0,1.32,22.0,
2025-03-06 17:05:12,1.17.0,FR1,33,4.0,,1,Left,Left,12,3,10,0,,,0.04
2025-03-06 17:05:16,1.17.0,FR1,33,4.0,2.0,1,Pellet,Left,12,3,11,0,1.13,24.0,
2025-03-06 17:05:32,1.17.0,FR1,33,4.0,,1,Left,Left,13,3,11,0,,,0.01
2025-03-06 17:05:35,1.17.0,FR1,33,4.0,1.0,1,Pellet,Left,13,3,12,0,1.95,19.0,
2025-03-06 17:05:52,1.17.0,FR1,33,4.01,,1,Left,Left,14,3,12,0,,,0.09
2025-03-06 17:05:54,1.17.0,FR1,33,4.0,1.0,1,Pellet,Left,14,3,13,0,1.26,19.0,
2025-03-06 17:52:24,1.17.0,FR1,33,4.0,,1,Right,Left,14,4,13,0,,,0.01
