MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/7/2025 13:01:17,1.17.0,FR1,47,3.99,nan,1,Left,Left,1,0,0,0,nan,nan,0.43
8/7/2025 13:02:31,1.17.0,FR1,47,3.99,3,1,Pellet,Left,1,0,1,0,Timed_out,nan,nan
8/7/2025 13:02:47,1.17.0,FR1,47,3.99,nan,1,Left,Left,2,0,1,0,nan,nan,0.37
8/7/2025 13:02:48,1.17.0,FR1,47,3.99,1,1,Pellet,Left,2,0,2,0,0.61,17,nan
8/7/2025 13:03:00,1.17.0,FR1,47,3.99,nan,1,Left,Left,3,0,2,0,nan,nan,0.14
8/7/2025 13:03:02,1.17.0,FR1,47,3.99,1,1,Pellet,Left,3,0,3,0,0.73,14,nan
8/7/2025 13:05:12,1.17.0,FR1,47,4.00,nan,1,Right,Left,3,1,3,0,nan,nan,0.95
8/7/2025 13:06:44,1.17.0,FR1,47,3.98,nan,1,Left,Left,4,1,3,0,nan,nan,0.03
8/7/2025 13:06:51,1.17.0,FR1,47,3.99,1,1,Pellet,Left,4,1,4,0,6.55,229,nan
8/7/2025 13:07:45,1.17.0,FR1,47,3.99,nan,1,Left,Left,5,1,4,0,nan,nan,0.08
8/7/2025 13:08:23,1.17.0,FR1,47,3.99,1,1,Pellet,Left,5,1,5,0,37.20,92,nan
8/7/2025 13:11:43,1.17.0,FR1,47,3.99,nan,1,Left,Left,6,1,5,0,nan,nan,0.68
8/7/2025 13:11:44,1.17.0,FR1,47,3.99,1,1,Pellet,Left,6,1,6,0,0.73,201,nan
8/7/2025 13:12:28,1.17.0,FR1,47,3.99,nan,1,Left,Left,7,1,6,0,nan,nan,0.05
8/7/2025 13:12:29,1.17.0,FR1,47,3.99,nan,1,LeftDuringDispense,Left,8,1,6,0,nan,nan,0.01
8/7/2025 13:12:47,1.17.0,FR1,47,3.99,2,1,Pellet,Left,8,1,7,0,15.03,63,nan
8/7/2025 13:19:44,1.17.0,FR1,47,3.99,nan,1,Left,Left,9,1,7,0,nan,nan,0.03
8/7/2025 13:20:37,1.17.0,FR1,47,3.99,1,1,Pellet,Left,9,1,8,0,52.16,470,nan
