MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-08-07 12:58:44,1.17.0,FR1,32,4.05,,1,Left,Left,1,0,0,0,,,0.33
2025-08-07 13:04:35,1.17.0,FR1,32,4.05,,1,RightWithPellet,Left,1,1,0,0,,,0.48
2025-08-07 13:04:38,1.17.0,FR1,32,4.05,,1,RightWithPellet,Left,1,2,0,0,,,0.41
2025-08-07 13:04:52,1.17.0,FR1,32,4.05,,1,LeftWithPellet,Left,2,2,0,0,,,0.05
2025-08-07 13:05:18,1.17.0,FR1,32,4.05,,1,LeftWithPellet,Left,3,2,0,0,,,0.18
2025-08-07 13:05:21,1.17.0,FR1,32,4.05,2.0,1,Pellet,Left,3,2,1,0,,,
2025-08-07 13:05:46,1.17.0,FR1,32,4.05,,1,Left,Left,4,2,1,0,,,0.07
2025-08-07 13:05:50,1.17.0,FR1,32,4.05,2.0,1,Pellet,Left,4,2,2,0,0.55,29.0,
2025-08-07 13:06:14,1.17.0,FR1,32,4.05,,1,Left,Left,5,2,2,0,,,0.03
2025-08-07 13:06:14,1.17.0,FR1,32,4.05,,1,LeftDuringDispense,Left,6,2,2,0,,,0.06
2025-08-07 13:06:18,1.17.0,FR1,32,4.05,2.0,1,Pellet,Left,6,2,3,0,0.67,28.0,
2025-08-07 13:08:30,1.17.0,FR1,32,4.05,,1,Left,Left,7,2,3,0,,,0.28
2025-08-07 13:08:31,1.17.0,FR1,32,4.05,1.0,1,Pellet,Left,7,2,4,0,0.67,133.0,
2025-08-07 13:08:53,1.17.0,FR1,32,4.05,,1,Left,Left,8,2,4,0,,,0.35
2025-08-07 13:08:55,1.17.0,FR1,32,4.05,1.0,1,Pellet,Left,8,2,5,0,1.4,24.0,
2025-08-07 13:09:16,1.17.0,FR1,32,4.05,,1,Left,Left,9,2,5,0,,,0.05
2025-08-07 13:09:18,1.17.0,FR1,32,4.05,1.0,1,Pellet,Left,9,2,6,0,0.79,23.0,
2025-08-07 15:25:51,1.17.0,FR1,32,4.05,,1,Left,Left,10,2,6,0,,,0.42
