MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-08-07 13:35:38,1.17.0,FR1,74,4.02,,1,Left,Left,1,0,0,0,,,0.53
2025-08-07 13:36:55,1.17.0,FR1,74,4.02,,1,RightWithPellet,Left,1,1,0,0,,,0.12
2025-08-07 13:37:45,1.17.0,FR1,74,4.02,,1,RightWithPellet,Left,1,2,0,0,,,0.19
2025-08-07 13:38:05,1.17.0,FR1,74,4.02,,1,LeftWithPellet,Left,2,2,0,0,,,0.26
2025-08-07 13:40:21,1.17.0,FR1,74,4.02,,1,RightWithPellet,Left,2,3,0,0,,,0.16
2025-08-07 13:40:31,1.17.0,FR1,74,4.02,,1,LeftWithPellet,Left,3,3,0,0,,,0.33
2025-08-07 13:42:22,1.17.0,FR1,74,4.02,,1,RightWithPellet,Left,3,4,0,0,,,0.13
2025-08-07 13:42:29,1.17.0,FR1,74,4.02,,1,LeftWithPellet,Left,4,4,0,0,,,0.2
2025-08-07 13:42:45,1.17.0,FR1,74,4.02,1.0,1,Pellet,Left,4,4,1,0,,,
2025-08-07 13:45:42,1.17.0,FR1,74,4.02,,1,Left,Left,5,4,1,0,,,0.17
2025-08-07 13:46:42,1.17.0,FR1,74,4.02,2.0,1,Pellet,Left,5,4,2,0,56.95,237.0,
2025-08-07 13:48:07,1.17.0,FR1,74,4.02,,1,Left,Left,6,4,2,0,,,0.16
2025-08-07 13:48:10,1.17.0,FR1,74,4.02,1.0,1,Pellet,Left,6,4,3,0,1.73,88.0,
2025-08-07 13:52:36,1.17.0,FR1,74,4.02,,1,Left,Left,7,4,3,0,,,0.21
2025-08-07 13:52:38,1.17.0,FR1,74,4.02,1.0,1,Pellet,Left,7,4,4,0,0.66,268.0,
2025-08-07 13:57:32,1.17.0,FR1,74,4.02,,1,Left,Left,8,4,4,0,,,0.02
2025-08-07 13:57:34,1.17.0,FR1,74,4.02,,1,LeftWithPellet,Left,9,4,4,0,,,0.04
2025-08-07 13:57:36,1.17.0,FR1,74,4.02,1.0,1,Pellet,Left,9,4,5,0,4.08,298.0,
2025-08-07 13:57:50,1.17.0,FR1,74,4.02,,1,Left,Left,10,4,5,0,,,0.24
2025-08-07 13:57:52,1.17.0,FR1,74,4.02,1.0,1,Pellet,Left,10,4,6,0,0.66,16.0,
2025-08-07 13:58:05,1.17.0,FR1,74,4.02,,1,Left,Left,11,4,6,0,,,0.24
