MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/21/2025 15:18:13,1.17.0,FR1,8,3.86,nan,1,Left,Left,1,0,0,0,nan,nan,0.19
8/21/2025 15:19:04,1.17.0,FR1,8,3.86,2,1,Pellet,Left,1,0,1,0,48.75,nan,nan
8/21/2025 15:21:31,1.17.0,FR1,8,3.86,nan,1,Right,Left,1,1,1,0,nan,nan,0.90
8/21/2025 15:22:10,1.17.0,FR1,8,3.86,nan,1,Right,Left,1,2,1,0,nan,nan,0.02
8/21/2025 15:23:11,1.17.0,FR1,8,3.86,nan,1,Right,Left,1,3,1,0,nan,nan,0.21
8/21/2025 15:25:10,1.17.0,FR1,8,3.86,nan,1,Right,Left,1,4,1,0,nan,nan,0.07
8/21/2025 15:27:28,1.17.0,FR1,8,3.87,nan,1,Right,Left,1,5,1,0,nan,nan,0.28
8/21/2025 15:27:30,1.17.0,FR1,8,3.85,nan,1,Right,Left,1,6,1,0,nan,nan,0.09
8/21/2025 15:27:33,1.17.0,FR1,8,3.86,nan,1,Right,Left,1,7,1,0,nan,nan,0.04
8/21/2025 15:28:24,1.17.0,FR1,8,3.86,nan,1,Right,Left,1,8,1,0,nan,nan,0.31
8/21/2025 15:28:25,1.17.0,FR1,8,3.86,nan,1,Right,Left,1,9,1,0,nan,nan,0.10
8/21/2025 15:28:42,1.17.0,FR1,8,3.86,nan,1,Left,Left,2,9,1,0,nan,nan,0.24
8/21/2025 15:28:42,1.17.0,FR1,8,3.87,nan,1,LeftDuringDispense,Left,3,9,1,0,nan,nan,0.02
8/21/2025 15:28:47,1.17.0,FR1,8,3.86,2,1,Pellet,Left,3,9,2,0,1.40,583,nan
8/21/2025 15:29:19,1.17.0,FR1,8,3.85,nan,1,Right,Left,3,10,2,0,nan,nan,0.11
8/21/2025 15:30:07,1.17.0,FR1,8,3.85,nan,1,Right,Left,3,11,2,0,nan,nan,0.08
8/21/2025 15:32:33,1.17.0,FR1,8,3.86,nan,1,Right,Left,3,12,2,0,nan,nan,0.28
8/21/2025 15:33:25,1.17.0,FR1,8,3.85,nan,1,Left,Left,4,12,2,0,nan,nan,0.33
8/21/2025 15:33:26,1.17.0,FR1,8,3.86,nan,1,LeftDuringDispense,Left,5,12,2,0,nan,nan,0.76
8/21/2025 15:33:32,1.17.0,FR1,8,3.86,2,1,Pellet,Left,5,12,3,0,3.43,285,nan
8/21/2025 15:33:54,1.17.0,FR1,8,3.86,nan,1,Left,Left,6,12,3,0,nan,nan,0.15
8/21/2025 15:33:56,1.17.0,FR1,8,3.86,1,1,Pellet,Left,6,12,4,0,1.16,24,nan
8/21/2025 15:34:26,1.17.0,FR1,8,3.86,nan,1,Left,Left,7,12,4,0,nan,nan,0.10
8/21/2025 15:34:29,1.17.0,FR1,8,3.86,1,1,Pellet,Left,7,12,5,0,1.77,32,nan
8/21/2025 15:34:48,1.17.0,FR1,8,3.85,nan,1,Left,Left,8,12,5,0,nan,nan,0.22
8/21/2025 15:36:11,1.17.0,FR1,8,3.86,1,1,Pellet,Left,8,12,6,0,Timed_out,103,nan
8/21/2025 16:53:20,1.17.0,FR1,8,3.86,nan,1,Right,Left,8,13,6,0,nan,nan,0.50
8/21/2025 16:53:24,1.17.0,FR1,8,3.86,nan,1,Left,Left,9,13,6,0,nan,nan,0.80
8/21/2025 16:53:25,1.17.0,FR1,8,3.86,1,1,Pellet,Left,9,13,7,0,0.85,4634,nan
8/21/2025 16:53:49,1.17.0,FR1,8,3.85,nan,1,Left,Left,10,13,7,0,nan,nan,0.02
8/21/2025 16:53:50,1.17.0,FR1,8,3.85,1,1,Pellet,Left,10,13,8,0,1.22,25,nan
8/21/2025 16:54:10,1.17.0,FR1,8,3.86,nan,1,Right,Left,10,14,8,0,nan,nan,0.20
8/21/2025 16:54:12,1.17.0,FR1,8,3.86,nan,1,Left,Left,11,14,8,0,nan,nan,0.19
8/21/2025 16:54:14,1.17.0,FR1,8,3.86,1,1,Pellet,Left,11,14,9,0,1.34,24,nan
8/21/2025 16:54:29,1.17.0,FR1,8,3.85,nan,1,Left,Left,12,14,9,0,nan,nan,0.12
8/21/2025 16:54:31,1.17.0,FR1,8,3.86,1,1,Pellet,Left,12,14,10,0,1.03,17,nan
8/21/2025 16:54:51,1.17.0,FR1,8,3.86,nan,1,Left,Left,13,14,10,0,nan,nan,0.02
8/21/2025 16:54:53,1.17.0,FR1,8,3.86,1,1,Pellet,Left,13,14,11,0,1.16,22,nan
8/21/2025 16:55:23,1.17.0,FR1,8,3.86,nan,1,Left,Left,14,14,11,0,nan,nan,0.28
8/21/2025 16:55:24,1.17.0,FR1,8,3.85,1,1,Pellet,Left,14,14,12,0,0.79,31,nan
8/21/2025 16:55:44,1.17.0,FR1,8,3.86,nan,1,Left,Left,15,14,12,0,nan,nan,0.35
8/21/2025 16:55:46,1.17.0,FR1,8,3.86,1,1,Pellet,Left,15,14,13,0,1.16,22,nan
8/21/2025 16:56:07,1.17.0,FR1,8,3.86,nan,1,Left,Left,16,14,13,0,nan,nan,0.03
8/21/2025 16:56:08,1.17.0,FR1,8,3.85,1,1,Pellet,Left,16,14,14,0,0.91,22,nan
8/21/2025 16:56:27,1.17.0,FR1,8,3.85,nan,1,Left,Left,17,14,14,0,nan,nan,0.00
8/21/2025 16:56:28,1.17.0,FR1,8,3.85,1,1,Pellet,Left,17,14,15,0,0.48,20,nan
8/21/2025 16:56:45,1.17.0,FR1,8,3.85,nan,1,Left,Left,18,14,15,0,nan,nan,0.04
8/21/2025 16:56:47,1.17.0,FR1,8,3.85,1,1,Pellet,Left,18,14,16,0,0.97,19,nan
8/21/2025 17:09:33,1.17.0,FR1,8,3.85,nan,1,Right,Left,18,15,16,0,nan,nan,0.88
8/21/2025 18:02:27,1.17.0,FR1,8,3.86,nan,1,Right,Left,18,16,16,0,nan,nan,0.03
8/21/2025 18:03:00,1.17.0,FR1,8,3.85,nan,1,Right,Left,18,17,16,0,nan,nan,0.38
8/21/2025 18:09:01,1.17.0,FR1,8,3.85,nan,1,Left,Left,19,17,16,0,nan,nan,0.00
8/21/2025 18:09:03,1.17.0,FR1,8,3.85,1,1,Pellet,Left,19,17,17,0,0.97,4336,nan
8/21/2025 18:10:08,1.17.0,FR1,8,3.85,nan,1,Right,Left,19,18,17,0,nan,nan,0.73
8/21/2025 18:12:23,1.17.0,FR1,8,3.86,nan,1,Left,Left,20,18,17,0,nan,nan,0.50
8/21/2025 18:12:26,1.17.0,FR1,8,3.85,1,1,Pellet,Left,20,18,18,0,2.26,203,nan
8/21/2025 18:12:41,1.17.0,FR1,8,3.85,nan,1,Left,Left,21,18,18,0,nan,nan,0.16
8/21/2025 18:12:42,1.17.0,FR1,8,3.86,1,1,Pellet,Left,21,18,19,0,1.10,16,nan
8/21/2025 18:14:23,1.17.0,FR1,8,3.86,nan,1,Right,Left,21,19,19,0,nan,nan,0.06
8/21/2025 18:17:38,1.17.0,FR1,8,3.86,nan,1,Right,Left,21,20,19,0,nan,nan,0.23
8/21/2025 18:18:22,1.17.0,FR1,8,3.86,nan,1,Left,Left,22,20,19,0,nan,nan,0.36
8/21/2025 18:18:25,1.17.0,FR1,8,3.86,1,1,Pellet,Left,22,20,20,0,1.90,343,nan
8/21/2025 18:28:49,1.17.0,FR1,8,3.85,nan,1,Left,Left,23,20,20,0,nan,nan,0.26
8/21/2025 18:28:52,1.17.0,FR1,8,3.85,1,1,Pellet,Left,23,20,21,0,2.69,627,nan
8/21/2025 18:29:59,1.17.0,FR1,8,3.86,nan,1,Left,Left,24,20,21,0,nan,nan,0.00
8/21/2025 18:30:01,1.17.0,FR1,8,3.85,1,1,Pellet,Left,24,20,22,0,1.03,69,nan
8/21/2025 18:30:35,1.17.0,FR1,8,3.86,nan,1,Left,Left,25,20,22,0,nan,nan,0.22
8/21/2025 18:30:39,1.17.0,FR1,8,3.85,1,1,Pellet,Left,25,20,23,0,2.82,37,nan
