MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/21/2025 15:48:19,1.17.2,FR1,33,4.01,nan,1,Right,Left,0,1,0,0,nan,nan,0.11
8/21/2025 15:48:22,1.17.2,FR1,33,4.01,nan,1,Right,Left,0,2,0,0,nan,nan,0.13
8/21/2025 15:48:28,1.17.2,FR1,33,4.00,nan,1,Right,Left,0,3,0,0,nan,nan,0.00
8/21/2025 15:48:31,1.17.2,FR1,33,4.01,nan,1,Left,Left,1,3,0,0,nan,nan,0.48
8/21/2025 15:48:35,1.17.2,FR1,33,4.00,2,1,Pellet,Left,1,3,1,0,1.71,nan,nan
8/21/2025 15:49:16,1.17.2,FR1,33,4.00,nan,1,Left,Left,2,3,1,0,nan,nan,0.12
8/21/2025 15:49:17,1.17.2,FR1,33,4.00,1,1,Pellet,Left,2,3,2,0,0.91,42,nan
8/21/2025 17:07:35,1.17.2,FR1,33,4.00,nan,1,Right,Left,2,4,2,0,nan,nan,0.45
8/21/2025 17:07:35,1.17.2,FR1,33,4.00,nan,1,Right,Left,2,5,2,0,nan,nan,0.16
8/21/2025 17:07:42,1.17.2,FR1,33,4.00,nan,1,Left,Left,3,5,2,0,nan,nan,0.00
8/21/2025 17:07:44,1.17.2,FR1,33,4.00,1,1,Pellet,Left,3,5,3,0,1.95,4707,nan
8/21/2025 17:08:31,1.17.2,FR1,33,4.00,nan,1,Left,Left,4,5,3,0,nan,nan,0.17
8/21/2025 17:08:33,1.17.2,FR1,33,4.01,1,1,Pellet,Left,4,5,4,0,1.09,49,nan
8/21/2025 17:09:41,1.17.2,FR1,33,4.01,nan,1,Left,Left,5,5,4,0,nan,nan,0.04
8/21/2025 17:09:43,1.17.2,FR1,33,4.01,1,1,Pellet,Left,5,5,5,0,1.28,70,nan
8/21/2025 17:10:18,1.17.2,FR1,33,4.00,nan,1,Left,Left,6,5,5,0,nan,nan,0.08
8/21/2025 17:10:19,1.17.2,FR1,33,4.00,1,1,Pellet,Left,6,5,6,0,0.48,36,nan
8/21/2025 17:11:06,1.17.2,FR1,33,4.00,nan,1,Left,Left,7,5,6,0,nan,nan,0.05
8/21/2025 17:11:08,1.17.2,FR1,33,4.00,1,1,Pellet,Left,7,5,7,0,0.67,49,nan
8/21/2025 17:11:45,1.17.2,FR1,33,4.00,nan,1,Left,Left,8,5,7,0,nan,nan,0.45
8/21/2025 17:11:46,1.17.2,FR1,33,4.01,1,1,Pellet,Left,8,5,8,0,0.85,38,nan
8/21/2025 17:12:28,1.17.2,FR1,33,4.00,nan,1,Left,Left,9,5,8,0,nan,nan,0.86
8/21/2025 17:12:31,1.17.2,FR1,33,4.00,1,1,Pellet,Left,9,5,9,0,2.08,45,nan
8/21/2025 17:13:09,1.17.2,FR1,33,4.00,nan,1,Left,Left,10,5,9,0,nan,nan,0.62
8/21/2025 17:13:11,1.17.2,FR1,33,4.00,1,1,Pellet,Left,10,5,10,0,0.79,40,nan
8/21/2025 17:13:45,1.17.2,FR1,33,4.01,nan,1,Left,Left,11,5,10,0,nan,nan,0.16
8/21/2025 17:13:47,1.17.2,FR1,33,4.00,1,1,Pellet,Left,11,5,11,0,1.22,36,nan
8/21/2025 17:14:31,1.17.2,FR1,33,4.00,nan,1,Left,Left,12,5,11,0,nan,nan,0.08
8/21/2025 17:14:32,1.17.2,FR1,33,4.00,1,1,Pellet,Left,12,5,12,0,0.73,45,nan
8/21/2025 17:15:17,1.17.2,FR1,33,4.00,nan,1,Left,Left,13,5,12,0,nan,nan,0.05
8/21/2025 17:15:18,1.17.2,FR1,33,4.01,nan,1,LeftDuringDispense,Left,14,5,12,0,nan,nan,0.10
8/21/2025 17:15:21,1.17.2,FR1,33,4.01,2,1,Pellet,Left,14,5,13,0,0.61,49,nan
8/21/2025 17:17:57,1.17.2,FR1,33,4.00,nan,1,Right,Left,14,6,13,0,nan,nan,0.30
8/21/2025 17:44:08,1.17.2,FR1,33,4.00,nan,1,Left,Left,15,6,13,0,nan,nan,0.44
8/21/2025 17:44:11,1.17.2,FR1,33,4.00,2,1,Pellet,Left,15,6,14,0,2.14,1730,nan
8/21/2025 17:45:48,1.17.2,FR1,33,4.00,nan,1,Left,Left,16,6,14,0,nan,nan,0.05
8/21/2025 17:45:49,1.17.2,FR1,33,4.00,1,1,Pellet,Left,16,6,15,0,1.16,98,nan
8/21/2025 17:46:38,1.17.2,FR1,33,4.00,nan,1,Left,Left,17,6,15,0,nan,nan,0.33
8/21/2025 17:46:40,1.17.2,FR1,33,4.00,1,1,Pellet,Left,17,6,16,0,1.28,51,nan
8/21/2025 17:47:18,1.17.2,FR1,33,4.01,nan,1,Left,Left,18,6,16,0,nan,nan,0.06
8/21/2025 17:47:18,1.17.2,FR1,33,4.00,nan,1,LeftDuringDispense,Left,19,6,16,0,nan,nan,0.08
8/21/2025 17:47:22,1.17.2,FR1,33,4.00,2,1,Pellet,Left,19,6,17,0,0.79,42,nan
8/21/2025 17:56:25,1.17.2,FR1,33,4.00,nan,1,Right,Left,19,7,17,0,nan,nan,1.25
