MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/21/2025 13:32:54,1.17.0,Bandit100,74,4.0,,20,0,100,Right,Right,0,1,0,0,,,0.28
7/21/2025 13:44:41,1.17.0,Bandit100,74,4.0,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.68
7/21/2025 13:44:43,1.17.0,Bandit100,74,4.0,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.08
7/21/2025 13:44:58,1.17.0,Bandit100,74,4.0,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.14
7/21/2025 13:55:45,1.17.0,Bandit100,74,4.0,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.76
7/21/2025 13:56:18,1.17.0,Bandit100,74,4.01,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.94
7/21/2025 13:56:41,1.17.0,Bandit100,74,4.0,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.12
7/21/2025 14:01:21,1.17.0,Bandit100,74,4.0,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.04
7/21/2025 14:01:23,1.17.0,Bandit100,74,4.0,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.35
7/21/2025 14:01:33,1.17.0,Bandit100,74,4.01,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.08
7/21/2025 14:03:43,1.17.0,Bandit100,74,4.0,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.67
7/21/2025 14:04:03,1.17.0,Bandit100,74,4.01,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.06
7/21/2025 14:04:15,1.17.0,Bandit100,74,4.01,3.0,20,0,100,Pellet,Right,0,1,1,0,Timed_out,,
7/21/2025 14:06:31,1.17.0,Bandit100,74,4.0,,20,0,100,Left,Right,1,1,1,1,,,0.56
7/21/2025 14:08:23,1.17.0,Bandit100,74,4.01,,20,0,100,Right,Right,1,2,1,1,,,1.14
7/21/2025 14:08:31,1.17.0,Bandit100,74,4.01,2.0,20,0,100,Pellet,Right,1,2,2,1,6.80,256.0,
7/21/2025 14:09:05,1.17.0,Bandit100,74,4.0,,20,0,100,Left,Right,2,2,2,2,,,0.07
7/21/2025 14:10:16,1.17.0,Bandit100,74,4.01,,20,0,100,Left,Right,3,2,2,2,,,0.37
7/21/2025 14:13:01,1.17.0,Bandit100,74,4.01,,20,0,100,Left,Right,4,2,2,2,,,0.09
7/21/2025 14:18:43,1.17.0,Bandit100,74,4.0,,20,0,100,Right,Right,4,3,2,2,,,0.55
7/21/2025 14:18:49,1.17.0,Bandit100,74,4.01,2.0,20,0,100,Pellet,Right,4,3,3,2,4.84,618.0,
7/21/2025 14:23:42,1.17.0,Bandit100,74,4.0,,20,0,100,Right,Right,4,4,3,3,,,0.1
7/21/2025 14:23:43,1.17.0,Bandit100,74,4.0,,20,0,100,RightDuringDispense,Right,4,4,3,3,,,0.5
7/21/2025 14:24:28,1.17.0,Bandit100,74,4.0,2.0,20,0,100,Pellet,Right,4,4,4,3,42.16,339.0,
7/21/2025 14:25:29,1.17.0,Bandit100,74,4.0,,20,0,100,Left,Right,5,4,4,4,,,0.1
7/21/2025 14:34:04,1.17.0,Bandit100,74,4.01,,20,0,100,Right,Right,5,5,4,4,,,0.82
7/21/2025 14:34:11,1.17.0,Bandit100,74,4.0,1.0,20,0,100,Pellet,Right,5,5,5,4,6.04,583.0,
7/21/2025 14:34:55,1.17.0,Bandit100,74,4.0,,20,0,100,Left,Right,6,5,5,5,,,0.06
7/21/2025 14:36:27,1.17.0,Bandit100,74,4.0,,20,0,100,Left,Right,7,5,5,5,,,0.59
7/21/2025 16:24:32,1.17.0,Bandit100,74,4.0,,20,0,100,Left,Right,8,5,5,5,,,0.58
7/21/2025 16:28:17,1.17.0,Bandit100,74,4.0,,20,0,100,Right,Right,8,6,5,5,,,0.46
7/21/2025 16:28:20,1.17.0,Bandit100,74,4.0,1.0,20,0,100,Pellet,Right,8,6,6,5,1.92,6849.0,
7/21/2025 16:29:17,1.17.0,Bandit100,74,4.0,,20,0,100,Right,Right,8,7,6,6,,,0.4
7/21/2025 16:29:19,1.17.0,Bandit100,74,4.0,,20,0,100,RightWithPellet,Right,8,8,6,6,,,0.21
7/21/2025 16:29:39,1.17.0,Bandit100,74,4.0,1.0,20,0,100,Pellet,Right,8,8,7,6,20.84,79.0,
7/21/2025 16:32:34,1.17.0,Bandit100,74,4.0,,20,0,100,Right,Right,8,9,7,7,,,0.22
7/21/2025 16:32:36,1.17.0,Bandit100,74,4.0,1.0,20,0,100,Pellet,Right,8,9,8,7,1.86,177.0,
7/21/2025 16:33:07,1.17.0,Bandit100,74,4.0,,20,0,100,Right,Right,8,10,8,8,,,0.29
7/21/2025 16:33:10,1.17.0,Bandit100,74,4.0,1.0,20,0,100,Pellet,Right,8,10,9,8,2.43,34.0,
7/21/2025 16:33:37,1.17.0,Bandit100,74,4.01,,20,0,100,Left,Right,9,10,9,9,,,0.61
7/21/2025 16:33:54,1.17.0,Bandit100,74,4.0,,20,0,100,Left,Right,10,10,9,9,,,0.05
7/21/2025 17:08:54,1.17.0,Bandit100,74,4.0,,20,0,100,Right,Right,10,11,9,9,,,0.28
7/21/2025 17:09:13,1.17.0,Bandit100,74,4.0,1.0,20,0,100,Pellet,Right,10,11,10,9,17.34,2163.0,
7/21/2025 17:09:45,1.17.0,Bandit100,74,4.0,,20,0,100,Left,Right,11,11,10,10,,,0.37
7/21/2025 17:10:09,1.17.0,Bandit100,74,4.0,,20,0,100,Right,Right,11,12,10,10,,,0.04
7/21/2025 17:10:12,1.17.0,Bandit100,74,4.0,1.0,20,0,100,Pellet,Right,11,12,11,10,2.30,59.0,
7/21/2025 17:10:38,1.17.0,Bandit100,74,4.0,,20,0,100,Right,Right,11,13,11,11,,,0.51
7/21/2025 17:10:42,1.17.0,Bandit100,74,4.0,1.0,20,0,100,Pellet,Right,11,13,12,11,3.57,30.0,
7/21/2025 17:10:58,1.17.0,Bandit100,74,4.0,,20,0,100,Right,Right,11,14,12,12,,,0.13
7/21/2025 17:11:01,1.17.0,Bandit100,74,4.0,1.0,20,0,100,Pellet,Right,11,14,13,12,2.30,19.0,
7/21/2025 17:11:20,1.17.0,Bandit100,74,4.0,,20,0,100,Right,Right,11,15,13,13,,,0.2
7/21/2025 17:11:24,1.17.0,Bandit100,74,4.0,,20,0,100,RightWithPellet,Right,11,16,13,13,,,0.09
7/21/2025 17:11:26,1.17.0,Bandit100,74,4.0,1.0,20,0,100,Pellet,Right,11,16,14,13,5.72,25.0,
7/21/2025 17:11:56,1.17.0,Bandit100,74,4.0,,20,0,100,Left,Right,12,16,14,14,,,0.0
7/21/2025 17:12:04,1.17.0,Bandit100,74,4.0,,20,0,100,LeftinTimeOut,Right,12,16,14,14,,,
7/21/2025 17:12:11,1.17.0,Bandit100,74,4.0,,20,0,100,RightinTimeout,Right,12,16,14,14,,,0.0
7/21/2025 17:12:11,1.17.0,Bandit100,74,4.0,,20,0,100,RightinTimeout,Right,12,16,14,14,,,0.0
7/21/2025 17:12:12,1.17.0,Bandit100,74,4.0,,20,0,100,RightinTimeout,Right,12,16,14,14,,,0.0
7/21/2025 17:12:13,1.17.0,Bandit100,74,4.0,,20,0,100,RightinTimeout,Right,12,16,14,14,,,0.0
7/21/2025 17:12:13,1.17.0,Bandit100,74,4.0,,20,0,100,RightinTimeout,Right,12,16,14,14,,,0.0
7/21/2025 17:12:48,1.17.0,Bandit100,74,4.0,,20,0,100,Right,Right,12,17,14,14,,,0.59
7/21/2025 17:12:50,1.17.0,Bandit100,74,4.0,1.0,20,0,100,Pellet,Right,12,17,15,14,1.73,84.0,
7/21/2025 17:13:16,1.17.0,Bandit100,74,4.0,,20,0,100,Right,Right,12,18,15,15,,,0.1
7/21/2025 17:13:18,1.17.0,Bandit100,74,4.0,1.0,20,0,100,Pellet,Right,12,18,16,15,0.91,28.0,
7/21/2025 17:13:47,1.17.0,Bandit100,74,4.0,,20,0,100,Right,Right,12,19,16,16,,,0.08
7/21/2025 17:13:48,1.17.0,Bandit100,74,4.0,1.0,20,0,100,Pellet,Right,12,19,17,16,0.91,30.0,
7/21/2025 17:14:03,1.17.0,Bandit100,74,4.0,,20,0,100,Right,Right,12,20,17,17,,,0.08
7/21/2025 17:14:04,1.17.0,Bandit100,74,4.0,1.0,20,0,100,Pellet,Right,12,20,18,17,0.72,16.0,
7/21/2025 17:14:41,1.17.0,Bandit100,74,4.0,,20,0,100,Left,Right,13,20,18,18,,,0.0
7/21/2025 17:16:05,1.17.0,Bandit100,74,4.0,,20,0,100,Right,Right,13,21,18,18,,,0.35
7/21/2025 17:16:06,1.17.0,Bandit100,74,4.0,,20,0,100,RightWithPellet,Right,13,22,18,18,,,0.16
7/21/2025 17:16:08,1.17.0,Bandit100,74,4.0,,20,0,100,RightWithPellet,Right,13,23,18,18,,,0.03
7/21/2025 17:16:09,1.17.0,Bandit100,74,4.0,,20,0,100,RightWithPellet,Right,13,24,18,18,,,0.18
7/21/2025 17:16:09,1.17.0,Bandit100,74,4.0,1.0,20,0,100,Pellet,Right,13,24,19,18,4.15,125.0,
7/21/2025 17:16:37,1.17.0,Bandit100,74,4.0,,20,0,100,Right,Right,13,25,19,19,,,0.42
7/21/2025 17:16:39,1.17.0,Bandit100,74,4.0,,20,0,100,RightWithPellet,Right,13,26,19,19,,,0.1
7/21/2025 17:16:40,1.17.0,Bandit100,74,4.0,1.0,20,0,100,Pellet,Right,13,26,20,19,2.24,31.0,
7/21/2025 17:17:04,1.17.0,Bandit100,74,4.0,,20,100,0,Right,Left,13,27,20,0,,,0.35
7/21/2025 17:17:06,1.17.0,Bandit100,74,4.0,,20,100,0,RightinTimeout,Left,13,27,20,0,,,0.0
7/21/2025 17:19:50,1.17.0,Bandit100,74,4.0,,20,100,0,Left,Left,14,27,20,0,,,0.13
7/21/2025 17:19:53,1.17.0,Bandit100,74,4.0,1.0,20,100,0,Pellet,Left,14,27,21,0,1.54,193.0,
7/21/2025 17:55:14,1.17.0,Bandit100,74,4.0,,20,100,0,Right,Left,14,28,21,1,,,0.8
7/21/2025 17:57:30,1.17.0,Bandit100,74,4.0,,20,100,0,Right,Left,14,29,21,1,,,0.31
7/21/2025 17:59:17,1.17.0,Bandit100,74,3.99,,20,100,0,Right,Left,14,30,21,1,,,0.18
7/21/2025 18:07:46,1.17.0,Bandit100,74,4.0,,20,100,0,Right,Left,14,31,21,1,,,0.47
7/21/2025 18:07:49,1.17.0,Bandit100,74,4.0,,20,100,0,RightinTimeout,Left,14,31,21,1,,,0.0
7/21/2025 18:07:53,1.17.0,Bandit100,74,4.0,,20,100,0,LeftinTimeOut,Left,14,31,21,1,,,
7/21/2025 18:09:58,1.17.0,Bandit100,74,4.0,,20,100,0,Right,Left,14,32,21,1,,,0.27
7/21/2025 18:10:01,1.17.0,Bandit100,74,4.0,,20,100,0,RightinTimeout,Left,14,32,21,1,,,0.0
7/21/2025 18:10:01,1.17.0,Bandit100,74,4.0,,20,100,0,RightinTimeout,Left,14,32,21,1,,,0.0
7/21/2025 18:11:29,1.17.0,Bandit100,74,4.0,,20,100,0,Right,Left,14,33,21,1,,,0.4
7/21/2025 18:11:37,1.17.0,Bandit100,74,4.0,,20,100,0,RightinTimeout,Left,14,33,21,1,,,0.0
7/21/2025 18:11:37,1.17.0,Bandit100,74,4.0,,20,100,0,RightinTimeout,Left,14,33,21,1,,,0.0
7/21/2025 18:15:37,1.17.0,Bandit100,74,4.0,,20,100,0,Right,Left,14,34,21,1,,,0.16
7/21/2025 18:18:42,1.17.0,Bandit100,74,3.99,,20,100,0,Right,Left,14,35,21,1,,,0.0
7/21/2025 18:19:35,1.17.0,Bandit100,74,3.99,,20,100,0,Right,Left,14,36,21,1,,,0.28
7/21/2025 18:19:43,1.17.0,Bandit100,74,4.0,,20,100,0,LeftinTimeOut,Left,14,36,21,1,,,
7/21/2025 18:21:07,1.17.0,Bandit100,74,3.99,,20,100,0,Right,Left,14,37,21,1,,,0.37
7/21/2025 18:21:13,1.17.0,Bandit100,74,4.0,,20,100,0,RightinTimeout,Left,14,37,21,1,,,0.0
7/21/2025 18:29:06,1.17.0,Bandit100,74,3.99,,20,100,0,Left,Left,15,37,21,1,,,0.56
7/21/2025 18:29:12,1.17.0,Bandit100,74,4.0,1.0,20,100,0,Pellet,Left,15,37,22,1,4.71,4159.0,
7/21/2025 18:30:06,1.17.0,Bandit100,74,3.99,,20,100,0,Right,Left,15,38,22,2,,,0.4
7/21/2025 18:30:08,1.17.0,Bandit100,74,4.0,,20,100,0,RightinTimeout,Left,15,38,22,2,,,0.0
7/21/2025 18:31:31,1.17.0,Bandit100,74,4.0,,20,100,0,Left,Left,16,38,22,2,,,0.07
7/21/2025 18:31:33,1.17.0,Bandit100,74,3.99,1.0,20,100,0,Pellet,Left,16,38,23,2,1.42,141.0,
7/21/2025 18:32:24,1.17.0,Bandit100,74,4.0,,20,100,0,Right,Left,16,39,23,3,,,0.41
