MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-10-06 16:02:59,1.17.2,Bandit100,33,4.16,,20,0,100,Right,Right,0,1,0,0,,,0.31
2025-10-06 16:11:52,1.17.2,Bandit100,33,4.16,4.0,20,0,100,Pellet,Right,0,1,1,0,,,
2025-10-06 16:28:10,1.17.2,Bandit100,33,4.16,,20,0,100,Left,Right,1,1,1,1,,,0.35
2025-10-06 16:28:11,1.17.2,Bandit100,33,4.15,,20,0,100,LeftinTimeOut,Right,1,1,1,1,,,
2025-10-06 16:39:29,1.17.2,Bandit100,33,4.15,,20,0,100,Right,Right,1,2,1,1,,,0.03
2025-10-06 16:39:38,1.17.2,Bandit100,33,4.16,1.0,20,0,100,Pellet,Right,1,2,2,1,8.53,1666.0,
2025-10-06 16:40:10,1.17.2,Bandit100,33,4.16,,20,0,100,Left,Right,2,2,2,2,,,0.0
2025-10-06 16:40:11,1.17.2,Bandit100,33,4.16,,20,0,100,LeftinTimeOut,Right,2,2,2,2,,,
2025-10-06 16:45:27,1.17.2,Bandit100,33,4.16,,20,0,100,Left,Right,3,2,2,2,,,0.05
2025-10-06 16:45:28,1.17.2,Bandit100,33,4.16,,20,0,100,LeftinTimeOut,Right,3,2,2,2,,,
2025-10-06 16:50:58,1.17.2,Bandit100,33,4.15,,20,0,100,Left,Right,4,2,2,2,,,0.2
2025-10-06 17:01:15,1.17.2,Bandit100,33,4.16,,20,0,100,Right,Right,4,3,2,2,,,0.61
2025-10-06 17:01:22,1.17.2,Bandit100,33,4.16,,20,0,100,LeftWithPellet,Right,4,3,2,2,,,0.41
2025-10-06 17:01:28,1.17.2,Bandit100,33,4.16,1.0,20,0,100,Pellet,Right,4,3,3,2,12.06,1310.0,
2025-10-06 17:02:19,1.17.2,Bandit100,33,4.16,,20,0,100,Left,Right,5,3,3,3,,,0.03
2025-10-06 17:02:19,1.17.2,Bandit100,33,4.16,,20,0,100,LeftinTimeOut,Right,5,3,3,3,,,
2025-10-06 17:03:04,1.17.2,Bandit100,33,4.16,,20,0,100,Right,Right,5,4,3,3,,,0.6
2025-10-06 17:03:15,1.17.2,Bandit100,33,4.15,1.0,20,0,100,Pellet,Right,5,4,4,3,10.81,107.0,
2025-10-06 17:03:50,1.17.2,Bandit100,33,4.16,,20,0,100,Left,Right,6,4,4,4,,,0.26
2025-10-06 17:04:09,1.17.2,Bandit100,33,4.16,,20,0,100,Left,Right,7,4,4,4,,,0.23
2025-10-06 17:05:04,1.17.2,Bandit100,33,4.16,,20,0,100,Right,Right,7,5,4,4,,,0.46
2025-10-06 17:05:11,1.17.2,Bandit100,33,4.15,1.0,20,0,100,Pellet,Right,7,5,5,4,6.5,116.0,
2025-10-06 17:05:37,1.17.2,Bandit100,33,4.15,,20,0,100,Right,Right,7,6,5,5,,,0.7
2025-10-06 17:05:45,1.17.2,Bandit100,33,4.14,1.0,20,0,100,Pellet,Right,7,6,6,5,7.12,34.0,
2025-10-06 17:07:35,1.17.2,Bandit100,33,4.16,,20,0,100,Right,Right,7,7,6,6,,,0.06
2025-10-06 17:07:41,1.17.2,Bandit100,33,4.16,1.0,20,0,100,Pellet,Right,7,7,7,6,5.27,116.0,
2025-10-06 17:08:03,1.17.2,Bandit100,33,4.16,,20,0,100,Right,Right,7,8,7,7,,,0.03
2025-10-06 17:08:15,1.17.2,Bandit100,33,4.16,1.0,20,0,100,Pellet,Right,7,8,8,7,11.05,34.0,
2025-10-06 17:10:04,1.17.2,Bandit100,33,4.16,,20,0,100,Left,Right,8,8,8,8,,,0.0
2025-10-06 17:10:29,1.17.2,Bandit100,33,4.15,,20,0,100,Left,Right,9,8,8,8,,,0.35
2025-10-06 17:11:14,1.17.2,Bandit100,33,4.16,,20,0,100,Right,Right,9,9,8,8,,,0.55
2025-10-06 17:11:19,1.17.2,Bandit100,33,4.15,1.0,20,0,100,Pellet,Right,9,9,9,8,4.54,184.0,
2025-10-06 17:11:53,1.17.2,Bandit100,33,4.15,,20,0,100,Left,Right,10,9,9,9,,,0.52
2025-10-06 17:12:00,1.17.2,Bandit100,33,4.15,,20,0,100,LeftinTimeOut,Right,10,9,9,9,,,
2025-10-06 17:12:15,1.17.2,Bandit100,33,4.15,,20,0,100,Left,Right,11,9,9,9,,,0.23
2025-10-06 17:12:37,1.17.2,Bandit100,33,4.16,,20,0,100,Right,Right,11,10,9,9,,,0.0
2025-10-06 17:12:43,1.17.2,Bandit100,33,4.16,1.0,20,0,100,Pellet,Right,11,10,10,9,5.15,84.0,
