MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-04-28 12:22:42,1.17.0,Bandit100,20,3.8,,20,0,100,Right,Right,0,1,0,0,,,0.37
2025-04-28 12:24:42,1.17.0,Bandit100,20,3.8,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.15
2025-04-28 12:24:57,1.17.0,Bandit100,20,3.8,3.0,20,0,100,Pellet,Right,0,1,1,0,,,
2025-04-28 12:27:05,1.17.0,Bandit100,20,3.8,,20,0,100,Right,Right,0,2,1,1,,,0.28
2025-04-28 12:28:07,1.17.0,Bandit100,20,3.8,,20,0,100,LeftWithPellet,Right,0,2,1,1,,,0.23
2025-04-28 12:29:59,1.17.0,Bandit100,20,3.8,,20,0,100,RightWithPellet,Right,0,2,1,1,,,0.18
2025-04-28 12:33:27,1.17.0,Bandit100,20,3.8,,20,0,100,RightWithPellet,Right,0,2,1,1,,,0.26
2025-04-28 12:33:29,1.17.0,Bandit100,20,3.8,2.0,20,0,100,Pellet,Right,0,2,2,1,,512.0,
2025-04-28 12:33:54,1.17.0,Bandit100,20,3.8,,20,0,100,Left,Right,1,2,2,2,,,0.32
2025-04-28 12:36:07,1.17.0,Bandit100,20,3.8,,20,0,100,Left,Right,2,2,2,2,,,0.09
2025-04-28 12:37:09,1.17.0,Bandit100,20,3.8,,20,0,100,Left,Right,3,2,2,2,,,0.23
2025-04-28 12:40:40,1.17.0,Bandit100,20,3.8,,20,0,100,Left,Right,4,2,2,2,,,0.18
2025-04-28 12:41:03,1.17.0,Bandit100,20,3.8,,20,0,100,Right,Right,4,3,2,2,,,0.06
2025-04-28 12:41:05,1.17.0,Bandit100,20,3.8,2.0,20,0,100,Pellet,Right,4,3,3,2,1.89,456.0,
2025-04-28 12:45:45,1.17.0,Bandit100,20,3.8,,20,0,100,Left,Right,5,3,3,3,,,0.06
2025-04-28 12:56:38,1.17.0,Bandit100,20,3.8,,20,0,100,Left,Right,6,3,3,3,,,0.26
2025-04-28 12:58:12,1.17.0,Bandit100,20,3.8,,20,0,100,Left,Right,7,3,3,3,,,0.19
2025-04-28 12:58:35,1.17.0,Bandit100,20,3.8,,20,0,100,Left,Right,8,3,3,3,,,0.29
2025-04-28 13:01:45,1.17.0,Bandit100,20,3.8,,20,0,100,Left,Right,9,3,3,3,,,0.16
2025-04-28 14:57:28,1.17.0,Bandit100,20,3.79,,20,0,100,Left,Right,10,3,3,3,,,0.2
2025-04-28 14:59:49,1.17.0,Bandit100,20,3.79,,20,0,100,Left,Right,11,3,3,3,,,0.3
2025-04-28 14:59:50,1.17.0,Bandit100,20,3.79,,20,0,100,LeftinTimeOut,Right,11,3,3,3,,,
2025-04-28 14:59:53,1.17.0,Bandit100,20,3.79,,20,0,100,LeftinTimeOut,Right,11,3,3,3,,,
2025-04-28 14:59:58,1.17.0,Bandit100,20,3.79,,20,0,100,LeftinTimeOut,Right,11,3,3,3,,,
2025-04-28 15:00:00,1.17.0,Bandit100,20,3.8,,20,0,100,LeftinTimeOut,Right,11,3,3,3,,,
2025-04-28 15:00:04,1.17.0,Bandit100,20,3.8,,20,0,100,RightinTimeout,Right,11,3,3,3,,,0.0
2025-04-28 15:00:04,1.17.0,Bandit100,20,3.79,,20,0,100,RightinTimeout,Right,11,3,3,3,,,0.0
2025-04-28 15:00:04,1.17.0,Bandit100,20,3.79,,20,0,100,RightinTimeout,Right,11,3,3,3,,,0.0
2025-04-28 15:00:05,1.17.0,Bandit100,20,3.79,,20,0,100,RightinTimeout,Right,11,3,3,3,,,0.0
2025-04-28 15:00:05,1.17.0,Bandit100,20,3.8,,20,0,100,RightinTimeout,Right,11,3,3,3,,,0.0
2025-04-28 15:00:19,1.17.0,Bandit100,20,3.8,,20,0,100,Left,Right,12,3,3,3,,,0.12
