MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/5/2025 13:47:37,1.17.0,Bandit100,51,4.15,,20,0,100,Right,Right,0,1,0,0,,,0.34
8/5/2025 13:47:39,1.17.0,Bandit100,51,4.15,,20,0,100,LeftDuringDispense,Right,0,1,0,0,,,0.22
8/5/2025 13:47:46,1.17.0,Bandit100,51,4.15,4.0,20,0,100,Pellet,Right,0,1,1,0,3.00,,
8/5/2025 13:48:34,1.17.0,Bandit100,51,4.14,,20,0,100,Right,Right,0,2,1,1,,,0.05
8/5/2025 13:49:00,1.17.0,Bandit100,51,4.15,3.0,20,0,100,Pellet,Right,0,2,2,1,22.81,74.0,
8/5/2025 13:50:16,1.17.0,Bandit100,51,4.14,,20,0,100,Right,Right,0,3,2,2,,,0.17
8/5/2025 13:50:43,1.17.0,Bandit100,51,4.15,2.0,20,0,100,Pellet,Right,0,3,3,2,25.35,103.0,
8/5/2025 13:50:56,1.17.0,Bandit100,51,4.15,,20,0,100,Left,Right,1,3,3,3,,,0.18
8/5/2025 13:51:23,1.17.0,Bandit100,51,4.14,,20,0,100,Left,Right,2,3,3,3,,,0.28
8/5/2025 14:02:31,1.17.0,Bandit100,51,4.14,,20,0,100,Left,Right,3,3,3,3,,,0.29
8/5/2025 14:02:45,1.17.0,Bandit100,51,4.14,,20,0,100,Left,Right,4,3,3,3,,,0.27
8/5/2025 14:03:07,1.17.0,Bandit100,51,4.14,,20,0,100,Left,Right,5,3,3,3,,,0.33
8/5/2025 14:03:11,1.17.0,Bandit100,51,4.15,,20,0,100,RightinTimeout,Right,5,3,3,3,,,0.0
8/5/2025 14:03:11,1.17.0,Bandit100,51,4.14,,20,0,100,RightinTimeout,Right,5,3,3,3,,,0.0
8/5/2025 14:03:26,1.17.0,Bandit100,51,4.14,,20,0,100,Left,Right,6,3,3,3,,,0.34
8/5/2025 14:07:28,1.17.0,Bandit100,51,4.14,,20,0,100,Left,Right,7,3,3,3,,,0.32
8/5/2025 14:11:05,1.17.0,Bandit100,51,4.15,,20,0,100,Left,Right,8,3,3,3,,,0.33
8/5/2025 14:11:09,1.17.0,Bandit100,51,4.13,,20,0,100,LeftinTimeOut,Right,8,3,3,3,,,
8/5/2025 15:22:40,1.17.0,Bandit100,51,4.14,,20,0,100,Left,Right,9,3,3,3,,,0.35
8/5/2025 15:23:14,1.17.0,Bandit100,51,4.14,,20,0,100,Left,Right,10,3,3,3,,,0.34
8/5/2025 15:23:16,1.17.0,Bandit100,51,4.14,,20,0,100,LeftinTimeOut,Right,10,3,3,3,,,
8/5/2025 15:23:19,1.17.0,Bandit100,51,4.14,,20,0,100,LeftinTimeOut,Right,10,3,3,3,,,
8/5/2025 15:23:22,1.17.0,Bandit100,51,4.14,,20,0,100,LeftinTimeOut,Right,10,3,3,3,,,
8/5/2025 15:23:29,1.17.0,Bandit100,51,4.14,,20,0,100,LeftinTimeOut,Right,10,3,3,3,,,
8/5/2025 15:23:33,1.17.0,Bandit100,51,4.14,,20,0,100,LeftinTimeOut,Right,10,3,3,3,,,
8/5/2025 15:23:35,1.17.0,Bandit100,51,4.14,,20,0,100,LeftinTimeOut,Right,10,3,3,3,,,
8/5/2025 15:23:39,1.17.0,Bandit100,51,4.14,,20,0,100,LeftinTimeOut,Right,10,3,3,3,,,
8/5/2025 15:23:43,1.17.0,Bandit100,51,4.14,,20,0,100,LeftinTimeOut,Right,10,3,3,3,,,
8/5/2025 16:22:04,1.17.0,Bandit100,51,4.14,,20,0,100,Left,Right,11,3,3,3,,,0.41
8/5/2025 16:30:49,1.17.0,Bandit100,51,4.14,,20,0,100,Left,Right,12,3,3,3,,,0.31
8/5/2025 16:30:54,1.17.0,Bandit100,51,4.14,,20,0,100,LeftinTimeOut,Right,12,3,3,3,,,
8/5/2025 16:30:56,1.17.0,Bandit100,51,4.14,,20,0,100,LeftinTimeOut,Right,12,3,3,3,,,
8/5/2025 16:31:00,1.17.0,Bandit100,51,4.14,,20,0,100,LeftinTimeOut,Right,12,3,3,3,,,
8/5/2025 16:42:07,1.17.0,Bandit100,51,4.14,,20,0,100,Left,Right,13,3,3,3,,,0.24
8/5/2025 16:42:13,1.17.0,Bandit100,51,4.14,,20,0,100,LeftinTimeOut,Right,13,3,3,3,,,
8/5/2025 17:32:44,1.17.0,Bandit100,51,4.14,,20,0,100,Left,Right,14,3,3,3,,,0.46
8/5/2025 17:32:47,1.17.0,Bandit100,51,4.14,,20,0,100,LeftinTimeOut,Right,14,3,3,3,,,
8/5/2025 17:32:48,1.17.0,Bandit100,51,4.13,,20,0,100,LeftinTimeOut,Right,14,3,3,3,,,
8/5/2025 17:32:51,1.17.0,Bandit100,51,4.14,,20,0,100,LeftinTimeOut,Right,14,3,3,3,,,
8/5/2025 17:43:37,1.17.0,Bandit100,51,4.13,,20,0,100,Left,Right,15,3,3,3,,,0.02
8/5/2025 17:43:37,1.17.0,Bandit100,51,4.14,,20,0,100,LeftinTimeOut,Right,15,3,3,3,,,
8/5/2025 17:43:40,1.17.0,Bandit100,51,4.14,,20,0,100,LeftinTimeOut,Right,15,3,3,3,,,
8/5/2025 17:43:42,1.17.0,Bandit100,51,4.14,,20,0,100,LeftinTimeOut,Right,15,3,3,3,,,
8/5/2025 17:43:48,1.17.0,Bandit100,51,4.13,,20,0,100,LeftinTimeOut,Right,15,3,3,3,,,
8/5/2025 17:43:51,1.17.0,Bandit100,51,4.14,,20,0,100,LeftinTimeOut,Right,15,3,3,3,,,
8/5/2025 17:43:54,1.17.0,Bandit100,51,4.14,,20,0,100,LeftinTimeOut,Right,15,3,3,3,,,
8/5/2025 17:43:56,1.17.0,Bandit100,51,4.13,,20,0,100,LeftinTimeOut,Right,15,3,3,3,,,
8/5/2025 17:44:36,1.17.0,Bandit100,51,4.14,,20,0,100,Right,Right,15,4,3,3,,,0.22
8/5/2025 17:44:41,1.17.0,Bandit100,51,4.13,2.0,20,0,100,Pellet,Right,15,4,4,3,4.41,14038.0,
8/5/2025 17:45:07,1.17.0,Bandit100,51,4.14,,20,0,100,Left,Right,16,4,4,4,,,0.24
8/5/2025 17:45:09,1.17.0,Bandit100,51,4.14,,20,0,100,LeftinTimeOut,Right,16,4,4,4,,,
8/5/2025 17:45:11,1.17.0,Bandit100,51,4.14,,20,0,100,LeftinTimeOut,Right,16,4,4,4,,,
8/5/2025 17:45:35,1.17.0,Bandit100,51,4.13,,20,0,100,Left,Right,17,4,4,4,,,0.33
8/5/2025 17:45:37,1.17.0,Bandit100,51,4.14,,20,0,100,LeftinTimeOut,Right,17,4,4,4,,,
8/5/2025 17:45:40,1.17.0,Bandit100,51,4.14,,20,0,100,RightinTimeout,Right,17,4,4,4,,,0.0
8/5/2025 17:45:40,1.17.0,Bandit100,51,4.14,,20,0,100,RightinTimeout,Right,17,4,4,4,,,0.0
8/5/2025 17:46:31,1.17.0,Bandit100,51,4.14,,20,0,100,Left,Right,18,4,4,4,,,0.65
8/5/2025 17:46:32,1.17.0,Bandit100,51,4.13,,20,0,100,LeftinTimeOut,Right,18,4,4,4,,,
8/5/2025 18:21:54,1.17.0,Bandit100,51,4.14,,20,0,100,Left,Right,19,4,4,4,,,0.2
8/5/2025 18:22:11,1.17.0,Bandit100,51,4.14,,20,0,100,Left,Right,20,4,4,4,,,0.11
8/5/2025 18:22:13,1.17.0,Bandit100,51,4.14,,20,0,100,LeftinTimeOut,Right,20,4,4,4,,,
8/5/2025 18:31:53,1.17.0,Bandit100,51,4.14,,20,0,100,Left,Right,21,4,4,4,,,0.59
8/5/2025 18:34:53,1.17.0,Bandit100,51,4.13,,20,0,100,Left,Right,22,4,4,4,,,0.27
8/5/2025 18:35:07,1.17.0,Bandit100,51,4.13,,20,0,100,Left,Right,23,4,4,4,,,0.29
8/5/2025 18:39:41,1.17.0,Bandit100,51,4.14,,20,0,100,Left,Right,24,4,4,4,,,0.09
8/5/2025 18:42:31,1.17.0,Bandit100,51,4.14,,20,0,100,Right,Right,24,5,4,4,,,0.01
8/5/2025 18:42:35,1.17.0,Bandit100,51,4.13,,20,0,100,RightWithPellet,Right,24,6,4,4,,,0.28
8/5/2025 18:42:41,1.17.0,Bandit100,51,4.13,1.0,20,0,100,Pellet,Right,24,6,5,4,9.15,3480.0,
8/5/2025 18:44:41,1.17.0,Bandit100,51,4.13,,20,0,100,Left,Right,25,6,5,5,,,0.53
8/5/2025 18:45:52,1.17.0,Bandit100,51,4.13,,20,0,100,Left,Right,26,6,5,5,,,0.3
8/5/2025 18:45:54,1.17.0,Bandit100,51,4.13,,20,0,100,LeftinTimeOut,Right,26,6,5,5,,,
8/5/2025 18:46:01,1.17.0,Bandit100,51,4.13,,20,0,100,LeftinTimeOut,Right,26,6,5,5,,,
8/5/2025 18:46:03,1.17.0,Bandit100,51,4.13,,20,0,100,LeftinTimeOut,Right,26,6,5,5,,,
8/5/2025 18:46:08,1.17.0,Bandit100,51,4.14,,20,0,100,LeftinTimeOut,Right,26,6,5,5,,,
8/5/2025 18:46:22,1.17.0,Bandit100,51,4.13,,20,0,100,Left,Right,27,6,5,5,,,0.24
8/5/2025 18:46:25,1.17.0,Bandit100,51,4.13,,20,0,100,LeftinTimeOut,Right,27,6,5,5,,,
8/5/2025 18:51:28,1.17.0,Bandit100,51,4.14,,20,0,100,Left,Right,28,6,5,5,,,0.35
8/5/2025 18:51:31,1.17.0,Bandit100,51,4.13,,20,0,100,LeftinTimeOut,Right,28,6,5,5,,,
8/5/2025 18:51:35,1.17.0,Bandit100,51,4.13,,20,0,100,LeftinTimeOut,Right,28,6,5,5,,,
8/5/2025 18:51:37,1.17.0,Bandit100,51,4.13,,20,0,100,LeftinTimeOut,Right,28,6,5,5,,,
8/5/2025 18:51:39,1.17.0,Bandit100,51,4.13,,20,0,100,LeftinTimeOut,Right,28,6,5,5,,,
8/5/2025 18:51:42,1.17.0,Bandit100,51,4.13,,20,0,100,LeftinTimeOut,Right,28,6,5,5,,,
8/5/2025 18:59:21,1.17.0,Bandit100,51,4.14,,20,0,100,Right,Right,28,7,5,5,,,0.37
8/5/2025 18:59:25,1.17.0,Bandit100,51,4.13,1.0,20,0,100,Pellet,Right,28,7,6,5,3.37,1004.0,
8/5/2025 19:00:39,1.17.0,Bandit100,51,4.14,,20,0,100,Right,Right,28,8,6,6,,,0.29
8/5/2025 19:00:41,1.17.0,Bandit100,51,4.13,,20,0,100,RightWithPellet,Right,28,9,6,6,,,0.04
8/5/2025 19:00:43,1.17.0,Bandit100,51,4.13,1.0,20,0,100,Pellet,Right,28,9,7,6,3.26,78.0,
8/5/2025 19:01:03,1.17.0,Bandit100,51,4.13,,20,0,100,Left,Right,29,9,7,7,,,0.46
8/5/2025 19:01:06,1.17.0,Bandit100,51,4.13,,20,0,100,LeftinTimeOut,Right,29,9,7,7,,,
8/5/2025 19:01:10,1.17.0,Bandit100,51,4.13,,20,0,100,RightinTimeout,Right,29,9,7,7,,,0.0
8/5/2025 19:01:10,1.17.0,Bandit100,51,4.13,,20,0,100,RightinTimeout,Right,29,9,7,7,,,0.0
8/5/2025 19:01:10,1.17.0,Bandit100,51,4.13,,20,0,100,RightinTimeout,Right,29,9,7,7,,,0.0
8/5/2025 19:01:12,1.17.0,Bandit100,51,4.13,,20,0,100,RightinTimeout,Right,29,9,7,7,,,0.0
