MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-08-04 14:18:53,1.17.0,Bandit100,72,4.16,,20,0,100,Right,Right,0,1,0,0,,,0.42
2025-08-04 14:29:22,1.17.0,Bandit100,72,4.16,11.0,20,0,100,Pellet,Right,0,1,1,0,Timed_out,,
2025-08-04 14:30:06,1.17.0,Bandit100,72,4.16,,20,0,100,Left,Right,1,1,1,1,,,0.05
2025-08-04 14:30:07,1.17.0,Bandit100,72,4.16,,20,0,100,LeftinTimeOut,Right,1,1,1,1,,,
2025-08-04 14:31:54,1.17.0,Bandit100,72,4.16,,20,0,100,Right,Right,1,2,1,1,,,0.02
2025-08-04 14:32:48,1.17.0,Bandit100,72,4.16,3.0,20,0,100,Pellet,Right,1,2,2,1,49.34,206.0,
2025-08-04 14:35:25,1.17.0,Bandit100,72,4.16,,20,0,100,Left,Right,2,2,2,2,,,0.04
2025-08-04 14:35:26,1.17.0,Bandit100,72,4.16,,20,0,100,LeftinTimeOut,Right,2,2,2,2,,,
2025-08-04 14:35:27,1.17.0,Bandit100,72,4.16,,20,0,100,LeftinTimeOut,Right,2,2,2,2,,,
2025-08-04 14:47:11,1.17.0,Bandit100,72,4.16,,20,0,100,Left,Right,3,2,2,2,,,0.03
2025-08-04 14:48:44,1.17.0,Bandit100,72,4.16,,20,0,100,Right,Right,3,3,2,2,,,0.0
2025-08-04 14:48:57,1.17.0,Bandit100,72,4.16,2.0,20,0,100,Pellet,Right,3,3,3,2,11.63,969.0,
2025-08-04 14:49:42,1.17.0,Bandit100,72,4.16,,20,0,100,Right,Right,3,4,3,3,,,1.52
2025-08-04 14:50:02,1.17.0,Bandit100,72,4.16,10.0,20,0,100,Pellet,Right,3,4,4,3,0.66,65.0,
2025-08-04 14:59:18,1.17.0,Bandit100,72,4.16,,20,0,100,Right,Right,3,5,4,4,,,0.6
2025-08-04 15:00:08,1.17.0,Bandit100,72,4.16,11.0,20,0,100,Pellet,Right,3,5,5,4,21.41,606.0,
2025-08-04 15:01:11,1.17.0,Bandit100,72,4.16,,20,0,100,Left,Right,4,5,5,5,,,0.13
2025-08-04 17:48:57,1.17.0,Bandit100,72,4.15,,20,0,100,Right,Right,4,6,5,5,,,0.05
2025-08-04 17:49:08,1.17.0,Bandit100,72,4.15,4.0,20,0,100,Pellet,Right,4,6,6,5,5.54,10140.0,
2025-08-04 17:55:40,1.17.0,Bandit100,72,4.15,,20,0,100,Left,Right,5,6,6,6,,,0.1
2025-08-04 17:55:41,1.17.0,Bandit100,72,4.16,,20,0,100,LeftinTimeOut,Right,5,6,6,6,,,
2025-08-04 17:55:41,1.17.0,Bandit100,72,4.15,,20,0,100,LeftinTimeOut,Right,5,6,6,6,,,
2025-08-04 18:17:28,1.17.0,Bandit100,72,4.15,,20,0,100,Right,Right,5,7,6,6,,,0.0
2025-08-04 18:17:34,1.17.0,Bandit100,72,4.15,2.0,20,0,100,Pellet,Right,5,7,7,6,5.41,1706.0,
2025-08-04 18:17:49,1.17.0,Bandit100,72,4.15,,20,0,100,Left,Right,6,7,7,7,,,0.03
2025-08-04 18:35:53,1.17.0,Bandit100,72,4.15,,20,0,100,Left,Right,7,7,7,7,,,0.0
2025-08-04 18:56:07,1.17.0,Bandit100,72,4.15,,20,0,100,Right,Right,7,8,7,7,,,0.05
2025-08-04 18:56:11,1.17.0,Bandit100,72,4.15,1.0,20,0,100,Pellet,Right,7,8,8,7,3.07,2317.0,
2025-08-04 19:27:56,1.17.0,Bandit100,72,4.14,,20,0,100,Left,Right,8,8,8,8,,,0.08
2025-08-04 19:52:31,1.17.0,Bandit100,72,4.14,,20,0,100,Right,Right,8,9,8,8,,,0.05
2025-08-04 19:52:44,1.17.0,Bandit100,72,4.15,6.0,20,0,100,Pellet,Right,8,9,9,8,3.26,3393.0,
2025-08-04 20:33:46,1.17.0,Bandit100,72,4.14,,20,0,100,Left,Right,9,9,9,9,,,0.06
2025-08-04 20:33:51,1.17.0,Bandit100,72,4.14,,20,0,100,LeftinTimeOut,Right,9,9,9,9,,,
2025-08-04 20:33:51,1.17.0,Bandit100,72,4.14,,20,0,100,LeftinTimeOut,Right,9,9,9,9,,,
2025-08-04 21:10:57,1.17.0,Bandit100,72,4.14,,20,0,100,Left,Right,10,9,9,9,,,0.12
2025-08-04 21:56:40,1.17.0,Bandit100,72,4.14,,20,0,100,Right,Right,10,10,9,9,,,0.42
2025-08-04 21:56:52,1.17.0,Bandit100,72,4.14,6.0,20,0,100,Pellet,Right,10,10,10,9,0.98,7448.0,
2025-08-04 22:17:45,1.17.0,Bandit100,72,4.14,,20,0,100,Right,Right,10,11,10,10,,,0.07
2025-08-04 22:17:51,1.17.0,Bandit100,72,4.14,4.0,20,0,100,Pellet,Right,10,11,11,10,0.66,1259.0,
2025-08-04 22:39:17,1.17.0,Bandit100,72,4.14,,20,0,100,Right,Right,10,12,11,11,,,0.02
2025-08-04 22:39:20,1.17.0,Bandit100,72,4.14,2.0,20,0,100,Pellet,Right,10,12,12,11,0.66,1289.0,
2025-08-04 22:54:57,1.17.0,Bandit100,72,4.14,,20,0,100,Left,Right,11,12,12,12,,,0.03
2025-08-04 22:55:00,1.17.0,Bandit100,72,4.14,,20,0,100,RightinTimeout,Right,11,12,12,12,,,0.0
2025-08-04 23:12:09,1.17.0,Bandit100,72,4.14,,20,0,100,Right,Right,11,13,12,12,,,0.03
2025-08-04 23:12:14,1.17.0,Bandit100,72,4.13,3.0,20,0,100,Pellet,Right,11,13,13,12,1.54,1974.0,
2025-08-04 23:12:43,1.17.0,Bandit100,72,4.14,,20,0,100,Right,Right,11,14,13,13,,,0.06
2025-08-04 23:12:58,1.17.0,Bandit100,72,4.13,7.0,20,0,100,Pellet,Right,11,14,14,13,3.32,44.0,
2025-08-04 23:13:15,1.17.0,Bandit100,72,4.13,,20,0,100,Right,Right,11,15,14,14,,,0.04
2025-08-04 23:13:47,1.17.0,Bandit100,72,4.13,11.0,20,0,100,Pellet,Right,11,15,15,14,6.74,49.0,
2025-08-04 23:14:12,1.17.0,Bandit100,72,4.13,,20,0,100,Right,Right,11,16,15,15,,,0.27
2025-08-04 23:15:21,1.17.0,Bandit100,72,4.13,21.0,20,0,100,Pellet,Right,11,16,16,15,13.46,94.0,
2025-08-04 23:20:12,1.17.0,Bandit100,72,4.13,,20,0,100,Right,Right,11,17,16,16,,,0.08
2025-08-04 23:20:13,1.17.0,Bandit100,72,4.13,,20,0,100,RightDuringDispense,Right,11,17,16,16,,,0.16
2025-08-04 23:20:18,1.17.0,Bandit100,72,4.13,3.0,20,0,100,Pellet,Right,11,17,17,16,1.29,297.0,
2025-08-04 23:21:21,1.17.0,Bandit100,72,4.14,,20,0,100,Left,Right,12,17,17,17,,,0.08
2025-08-04 23:21:22,1.17.0,Bandit100,72,4.14,,20,0,100,LeftinTimeOut,Right,12,17,17,17,,,
2025-08-04 23:21:29,1.17.0,Bandit100,72,4.14,,20,0,100,LeftinTimeOut,Right,12,17,17,17,,,
2025-08-04 23:21:46,1.17.0,Bandit100,72,4.14,,20,0,100,Left,Right,13,17,17,17,,,0.19
2025-08-04 23:38:13,1.17.0,Bandit100,72,4.14,,20,0,100,Right,Right,13,18,17,17,,,0.04
2025-08-04 23:38:27,1.17.0,Bandit100,72,4.13,6.0,20,0,100,Pellet,Right,13,18,18,17,3.77,1089.0,
2025-08-05 00:22:03,1.17.0,Bandit100,72,4.13,,20,0,100,Right,Right,13,19,18,18,,,0.04
