MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/4/2025 14:19:54,1.17.0,Bandit100,71,4.14,,20,0,100,Right,Right,0,1,0,0,,,0.38
8/4/2025 14:28:09,1.17.0,Bandit100,71,4.15,3.0,20,0,100,Pellet,Right,0,1,1,0,Timed_out,,
8/4/2025 14:29:51,1.17.0,Bandit100,71,4.14,,20,0,100,Right,Right,0,2,1,1,,,0.03
8/4/2025 14:30:19,1.17.0,Bandit100,71,4.14,2.0,20,0,100,Pellet,Right,0,2,2,1,25.16,130.0,
8/4/2025 14:31:01,1.17.0,Bandit100,71,4.14,,20,0,100,Right,Right,0,3,2,2,,,0.11
8/4/2025 14:31:16,1.17.0,Bandit100,71,4.14,2.0,20,0,100,Pellet,Right,0,3,3,2,14.16,57.0,
8/4/2025 14:33:11,1.17.0,Bandit100,71,4.14,,20,0,100,Right,Right,0,4,3,3,,,0.15
8/4/2025 14:33:12,1.17.0,Bandit100,71,4.14,,20,0,100,RightDuringDispense,Right,0,4,3,3,,,0.06
8/4/2025 14:33:12,1.17.0,Bandit100,71,4.14,,20,0,100,RightDuringDispense,Right,0,4,3,3,,,0.08
8/4/2025 14:33:32,1.17.0,Bandit100,71,4.15,2.0,20,0,100,Pellet,Right,0,4,4,3,17.02,136.0,
8/4/2025 14:34:08,1.17.0,Bandit100,71,4.14,,20,0,100,Left,Right,1,4,4,4,,,0.05
8/4/2025 16:38:13,1.17.0,Bandit100,71,4.14,,20,0,100,Right,Right,1,5,4,4,,,0.0
8/4/2025 16:38:32,1.17.0,Bandit100,71,4.14,1.0,20,0,100,Pellet,Right,1,5,5,4,17.91,7500.0,
8/4/2025 16:38:51,1.17.0,Bandit100,71,4.14,,20,0,100,Right,Right,1,6,5,5,,,0.06
8/4/2025 16:38:59,1.17.0,Bandit100,71,4.14,1.0,20,0,100,Pellet,Right,1,6,6,5,7.56,27.0,
8/4/2025 17:29:56,1.17.0,Bandit100,71,4.14,,20,0,100,Right,Right,1,7,6,6,,,0.56
8/4/2025 17:30:04,1.17.0,Bandit100,71,4.14,1.0,20,0,100,Pellet,Right,1,7,7,6,7.37,3065.0,
8/4/2025 18:23:22,1.17.0,Bandit100,71,4.14,,20,0,100,Right,Right,1,8,7,7,,,0.01
8/4/2025 18:23:43,1.17.0,Bandit100,71,4.14,1.0,20,0,100,Pellet,Right,1,8,8,7,20.45,3219.0,
8/4/2025 18:46:06,1.17.0,Bandit100,71,4.13,,20,0,100,Right,Right,1,9,8,8,,,0.01
8/4/2025 18:46:17,1.17.0,Bandit100,71,4.14,1.0,20,0,100,Pellet,Right,1,9,9,8,10.67,1354.0,
8/4/2025 18:53:36,1.17.0,Bandit100,71,4.14,,20,0,100,Right,Right,1,10,9,9,,,0.01
8/4/2025 18:53:41,1.17.0,Bandit100,71,4.14,2.0,20,0,100,Pellet,Right,1,10,10,9,4.39,444.0,
8/4/2025 20:11:59,1.17.0,Bandit100,71,4.14,,20,0,100,Right,Right,1,11,10,10,,,0.04
8/4/2025 20:12:10,1.17.0,Bandit100,71,4.12,1.0,20,0,100,Pellet,Right,1,11,11,10,10.16,4709.0,
8/4/2025 20:12:49,1.17.0,Bandit100,71,4.13,,20,0,100,Left,Right,2,11,11,11,,,0.55
8/4/2025 20:14:45,1.17.0,Bandit100,71,4.13,,20,0,100,Left,Right,3,11,11,11,,,0.29
8/4/2025 20:18:47,1.17.0,Bandit100,71,4.13,,20,0,100,Left,Right,4,11,11,11,,,0.01
8/4/2025 21:32:34,1.17.0,Bandit100,71,4.12,,20,0,100,Left,Right,5,11,11,11,,,0.0
8/4/2025 21:35:31,1.17.0,Bandit100,71,4.12,,20,0,100,Right,Right,5,12,11,11,,,0.0
8/4/2025 21:35:50,1.17.0,Bandit100,71,4.12,1.0,20,0,100,Pellet,Right,5,12,12,11,18.61,5020.0,
8/4/2025 21:42:59,1.17.0,Bandit100,71,4.12,,20,0,100,Left,Right,6,12,12,12,,,0.0
8/4/2025 21:50:35,1.17.0,Bandit100,71,4.13,,20,0,100,Left,Right,7,12,12,12,,,0.0
8/4/2025 22:35:22,1.17.0,Bandit100,71,4.12,,20,0,100,Left,Right,8,12,12,12,,,0.0
8/4/2025 22:42:32,1.17.0,Bandit100,71,4.12,,20,0,100,Left,Right,9,12,12,12,,,0.15
8/4/2025 23:02:55,1.17.0,Bandit100,71,4.13,,20,0,100,Right,Right,9,13,12,12,,,0.0
8/4/2025 23:03:13,1.17.0,Bandit100,71,4.12,1.0,20,0,100,Pellet,Right,9,13,13,12,17.80,5243.0,
8/4/2025 23:04:26,1.17.0,Bandit100,71,4.12,,20,0,100,Left,Right,10,13,13,13,,,0.27
8/4/2025 23:04:31,1.17.0,Bandit100,71,4.12,,20,0,100,RightinTimeout,Right,10,13,13,13,,,0.0
