MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2024-08-27 11:06:22,1.17.0,Bandit,17,4.21,,30,100,0,Left,Left,1,0,0,0,,,0.52
2024-08-27 11:46:50,1.17.0,Bandit,17,4.2,,30,100,0,RightWithPellet,Left,1,0,0,0,,,0.34
2024-08-27 11:54:32,1.17.0,Bandit,17,4.2,,30,100,0,RightWithPellet,Left,1,0,0,0,,,0.04
2024-08-27 11:57:23,1.17.0,Bandit,17,4.2,,30,100,0,RightWithPellet,Left,1,0,0,0,,,0.3
2024-08-27 12:00:40,1.17.0,Bandit,17,4.2,,30,100,0,RightWithPellet,Left,1,0,0,0,,,0.25
2024-08-27 12:01:06,1.17.0,Bandit,17,4.2,,30,100,0,RightWithPellet,Left,1,0,0,0,,,0.16
2024-08-27 12:07:09,1.17.0,Bandit,17,4.19,,30,100,0,RightWithPellet,Left,1,0,0,0,,,0.36
2024-08-27 12:09:00,1.17.0,Bandit,17,4.2,,30,100,0,RightWithPellet,Left,1,0,0,0,,,0.26
2024-08-27 12:12:19,1.17.0,Bandit,17,4.2,,30,100,0,RightWithPellet,Left,1,0,0,0,,,0.92
2024-08-27 12:12:26,1.17.0,Bandit,17,4.19,,30,100,0,LeftWithPellet,Left,1,0,0,0,,,0.13
2024-08-27 12:21:10,1.17.0,Bandit,17,4.19,,30,100,0,LeftWithPellet,Left,1,0,0,0,,,0.46
2024-08-27 12:28:02,1.17.0,Bandit,17,4.2,,30,100,0,RightWithPellet,Left,1,0,0,0,,,0.13
2024-08-27 12:30:48,1.17.0,Bandit,17,4.19,,30,100,0,RightWithPellet,Left,1,0,0,0,,,0.1
2024-08-27 12:51:31,1.17.0,Bandit,17,4.19,,30,100,0,RightWithPellet,Left,1,0,0,0,,,0.37
2024-08-27 12:51:33,1.17.0,Bandit,17,4.19,,30,100,0,LeftWithPellet,Left,1,0,0,0,,,0.16
2024-08-27 13:41:04,1.17.0,Bandit,17,4.18,,30,100,0,LeftWithPellet,Left,1,0,0,0,,,0.27
2024-08-27 13:45:51,1.17.0,Bandit,17,4.18,,30,100,0,RightWithPellet,Left,1,0,0,0,,,0.31
2024-08-27 15:43:37,1.17.0,Bandit,17,4.17,,30,100,0,RightWithPellet,Left,1,0,0,0,,,0.33
2024-08-27 15:44:18,1.17.0,Bandit,17,4.16,,30,100,0,RightWithPellet,Left,1,0,0,0,,,1.78
2024-08-27 15:44:20,1.17.0,Bandit,17,4.17,,30,100,0,RightWithPellet,Left,1,0,0,0,,,0.3
2024-08-27 15:44:21,1.17.0,Bandit,17,4.17,,30,100,0,RightWithPellet,Left,1,0,0,0,,,0.03
2024-08-27 15:44:26,1.17.0,Bandit,17,4.16,,30,100,0,RightWithPellet,Left,1,0,0,0,,,0.22
2024-08-27 15:48:39,1.17.0,Bandit,17,4.16,,30,100,0,LeftWithPellet,Left,1,0,0,0,,,0.11
2024-08-27 15:49:17,1.17.0,Bandit,17,4.16,5.0,30,100,0,Pellet,Left,1,0,1,0,,,
2024-08-27 15:49:51,1.17.0,Bandit,17,4.17,,30,100,0,Left,Left,2,0,1,1,,,0.21
2024-08-27 17:25:01,1.17.0,Bandit,17,4.15,3.0,30,100,0,Pellet,Left,2,0,2,1,,5744.0,
