MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/18/2025 14:12:20,1.17.2,Bandit100,35,4.18,nan,20,0,100,Right,Right,0,1,0,0,nan,nan,0.34
8/18/2025 14:23:35,1.17.2,Bandit100,35,4.18,4,20,0,100,Pellet,Right,0,1,1,0,Timed_out,nan,nan
8/18/2025 14:24:54,1.17.2,Bandit100,35,4.18,nan,20,0,100,Left,Right,1,1,1,1,nan,nan,0.54
8/18/2025 14:24:54,1.17.2,Bandit100,35,4.18,nan,20,0,100,LeftinTimeOut,Right,1,1,1,1,nan,nan,nan
8/18/2025 14:27:26,1.17.2,Bandit100,35,4.18,nan,20,0,100,Right,Right,1,2,1,1,nan,nan,0.54
8/18/2025 14:27:59,1.17.2,Bandit100,35,4.18,2,20,0,100,Pellet,Right,1,2,2,1,31.09,264,nan
8/18/2025 14:28:32,1.17.2,Bandit100,35,4.18,nan,20,0,100,Left,Right,2,2,2,2,nan,nan,0.41
8/18/2025 14:29:18,1.17.2,Bandit100,35,4.18,nan,20,0,100,Right,Right,2,3,2,2,nan,nan,0.17
8/18/2025 14:29:32,1.17.2,Bandit100,35,4.18,1,20,0,100,Pellet,Right,2,3,3,2,13.22,93,nan
8/18/2025 14:30:03,1.17.2,Bandit100,35,4.18,nan,20,0,100,Right,Right,2,4,3,3,nan,nan,0.33
8/18/2025 14:30:09,1.17.2,Bandit100,35,4.18,2,20,0,100,Pellet,Right,2,4,4,3,3.74,37,nan
8/18/2025 14:33:59,1.17.2,Bandit100,35,4.18,nan,20,0,100,Left,Right,3,4,4,4,nan,nan,0.21
8/18/2025 14:36:07,1.17.2,Bandit100,35,4.17,nan,20,0,100,Right,Right,3,5,4,4,nan,nan,0.18
8/18/2025 14:36:11,1.17.2,Bandit100,35,4.18,1,20,0,100,Pellet,Right,3,5,5,4,3.25,362,nan
8/18/2025 14:37:02,1.17.2,Bandit100,35,4.18,nan,20,0,100,Left,Right,4,5,5,5,nan,nan,0.35
8/18/2025 14:39:12,1.17.2,Bandit100,35,4.17,nan,20,0,100,Left,Right,5,5,5,5,nan,nan,0.00
8/18/2025 14:47:10,1.17.2,Bandit100,35,4.18,nan,20,0,100,Left,Right,6,5,5,5,nan,nan,0.15
