MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/18/2025 13:40:26,1.17.2,Bandit100,24,4.00,nan,20,0,100,Right,Right,0,1,0,0,nan,nan,0.40
8/18/2025 18:40:16,1.17.2,Bandit100,24,4.00,nan,20,0,100,RightWithPellet,Right,0,1,0,0,nan,nan,0.07
8/18/2025 18:41:59,1.17.2,Bandit100,24,3.99,nan,20,0,100,LeftWithPellet,Right,0,1,0,0,nan,nan,0.03
8/18/2025 18:42:06,1.17.2,Bandit100,24,3.98,3,20,0,100,Pellet,Right,0,1,1,0,Timed_out,nan,nan
8/18/2025 18:42:46,1.17.2,Bandit100,24,3.99,nan,20,0,100,Left,Right,1,1,1,1,nan,nan,0.04
8/18/2025 18:44:40,1.17.2,Bandit100,24,3.99,nan,20,0,100,Right,Right,1,2,1,1,nan,nan,0.10
8/18/2025 18:45:15,1.17.2,Bandit100,24,4.00,1,20,0,100,Pellet,Right,1,2,2,1,34.16,189,nan
8/18/2025 18:48:09,1.17.2,Bandit100,24,3.99,nan,20,0,100,Left,Right,2,2,2,2,nan,nan,0.04
8/18/2025 18:48:09,1.17.2,Bandit100,24,3.99,nan,20,0,100,LeftinTimeOut,Right,2,2,2,2,nan,nan,nan
8/18/2025 18:50:15,1.17.2,Bandit100,24,3.99,nan,20,0,100,Left,Right,3,2,2,2,nan,nan,0.43
8/18/2025 18:57:58,1.17.2,Bandit100,24,3.99,nan,20,0,100,Left,Right,4,2,2,2,nan,nan,0.23
8/18/2025 19:03:40,1.17.2,Bandit100,24,3.99,nan,20,0,100,Left,Right,5,2,2,2,nan,nan,0.29
8/18/2025 19:16:09,1.17.2,Bandit100,24,3.99,nan,20,0,100,Left,Right,6,2,2,2,nan,nan,0.02
8/18/2025 19:17:59,1.17.2,Bandit100,24,3.99,nan,20,0,100,Right,Right,6,3,2,2,nan,nan,0.61
8/18/2025 19:18:20,1.17.2,Bandit100,24,3.99,1,20,0,100,Pellet,Right,6,3,3,2,19.68,1985,nan
8/18/2025 19:22:50,1.17.2,Bandit100,24,4.00,nan,20,0,100,Right,Right,6,4,3,3,nan,nan,0.00
8/18/2025 19:22:58,1.17.2,Bandit100,24,3.99,1,20,0,100,Pellet,Right,6,4,4,3,6.87,278,nan
8/18/2025 19:54:37,1.17.2,Bandit100,24,3.99,nan,20,0,100,Left,Right,7,4,4,4,nan,nan,0.11
8/18/2025 19:55:09,1.17.2,Bandit100,24,3.99,nan,20,0,100,Right,Right,7,5,4,4,nan,nan,0.03
8/18/2025 19:55:14,1.17.2,Bandit100,24,3.99,1,20,0,100,Pellet,Right,7,5,5,4,4.41,1936,nan
8/18/2025 19:57:14,1.17.2,Bandit100,24,3.99,nan,20,0,100,Left,Right,8,5,5,5,nan,nan,0.00
8/18/2025 20:03:03,1.17.2,Bandit100,24,3.98,nan,20,0,100,Right,Right,8,6,5,5,nan,nan,0.14
8/18/2025 20:03:10,1.17.2,Bandit100,24,3.99,1,20,0,100,Pellet,Right,8,6,6,5,5.95,476,nan
8/18/2025 20:09:37,1.17.2,Bandit100,24,3.99,nan,20,0,100,Right,Right,8,7,6,6,nan,nan,0.06
8/18/2025 20:09:46,1.17.2,Bandit100,24,3.99,1,20,0,100,Pellet,Right,8,7,7,6,8.35,396,nan
8/18/2025 20:11:20,1.17.2,Bandit100,24,3.99,nan,20,0,100,Right,Right,8,8,7,7,nan,nan,0.25
8/18/2025 20:11:24,1.17.2,Bandit100,24,3.99,1,20,0,100,Pellet,Right,8,8,8,7,3.80,98,nan
8/18/2025 20:11:54,1.17.2,Bandit100,24,3.99,nan,20,0,100,Right,Right,8,9,8,8,nan,nan,0.04
8/18/2025 20:12:00,1.17.2,Bandit100,24,4.00,1,20,0,100,Pellet,Right,8,9,9,8,5.33,36,nan
8/18/2025 20:13:16,1.17.2,Bandit100,24,3.99,nan,20,0,100,Left,Right,9,9,9,9,nan,nan,0.65
8/18/2025 20:13:45,1.17.2,Bandit100,24,3.99,nan,20,0,100,Right,Right,9,10,9,9,nan,nan,0.00
8/18/2025 20:13:52,1.17.2,Bandit100,24,3.99,1,20,0,100,Pellet,Right,9,10,10,9,6.57,112,nan
8/18/2025 20:14:13,1.17.2,Bandit100,24,3.99,nan,20,0,100,Right,Right,9,11,10,10,nan,nan,0.06
8/18/2025 20:14:16,1.17.2,Bandit100,24,3.99,1,20,0,100,Pellet,Right,9,11,11,10,2.32,24,nan
8/18/2025 20:14:49,1.17.2,Bandit100,24,3.99,nan,20,0,100,Left,Right,10,11,11,11,nan,nan,0.53
8/18/2025 20:14:57,1.17.2,Bandit100,24,3.99,nan,20,0,100,RightinTimeout,Right,10,11,11,11,nan,nan,0.00
8/18/2025 20:15:13,1.17.2,Bandit100,24,4.00,nan,20,0,100,Right,Right,10,12,11,11,nan,nan,0.00
8/18/2025 20:15:21,1.17.2,Bandit100,24,3.99,1,20,0,100,Pellet,Right,10,12,12,11,6.57,65,nan
8/18/2025 20:15:43,1.17.2,Bandit100,24,3.99,nan,20,0,100,Left,Right,11,12,12,12,nan,nan,0.56
8/18/2025 20:15:46,1.17.2,Bandit100,24,3.99,nan,20,0,100,RightinTimeout,Right,11,12,12,12,nan,nan,0.00
8/18/2025 20:16:03,1.17.2,Bandit100,24,3.99,nan,20,0,100,Right,Right,11,13,12,12,nan,nan,0.27
8/18/2025 20:16:06,1.17.2,Bandit100,24,3.99,1,20,0,100,Pellet,Right,11,13,13,12,1.89,45,nan
8/18/2025 20:16:31,1.17.2,Bandit100,24,3.99,nan,20,0,100,Left,Right,12,13,13,13,nan,nan,0.01
8/18/2025 20:16:31,1.17.2,Bandit100,24,3.99,nan,20,0,100,LeftinTimeOut,Right,12,13,13,13,nan,nan,nan
8/18/2025 20:16:34,1.17.2,Bandit100,24,3.99,nan,20,0,100,LeftinTimeOut,Right,12,13,13,13,nan,nan,nan
8/18/2025 20:16:36,1.17.2,Bandit100,24,3.99,nan,20,0,100,RightinTimeout,Right,12,13,13,13,nan,nan,0.00
8/18/2025 20:16:39,1.17.2,Bandit100,24,3.99,nan,20,0,100,RightinTimeout,Right,12,13,13,13,nan,nan,0.00
