MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-08-18 13:11:57,1.17.0,Bandit100,17,4.12,,20,0,100,Right,Right,0,1,0,0,,,0.47
2025-08-18 13:15:14,1.17.0,Bandit100,17,4.12,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.3
2025-08-18 13:16:28,1.17.0,Bandit100,17,4.12,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.08
2025-08-18 13:18:16,1.17.0,Bandit100,17,4.12,3.0,20,0,100,Pellet,Right,0,1,1,0,,,
2025-08-18 13:19:03,1.17.0,Bandit100,17,4.12,,20,0,100,Right,Right,0,2,1,1,,,0.08
2025-08-18 13:19:03,1.17.0,Bandit100,17,4.12,,20,0,100,RightDuringDispense,Right,0,2,1,1,,,0.48
2025-08-18 13:19:05,1.17.0,Bandit100,17,4.12,,20,0,100,RightDuringDispense,Right,0,2,1,1,,,0.19
2025-08-18 13:19:29,1.17.0,Bandit100,17,4.12,3.0,20,0,100,Pellet,Right,0,2,2,1,19.72,73.0,
2025-08-18 13:22:39,1.17.0,Bandit100,17,4.13,,20,0,100,Left,Right,1,2,2,2,,,0.01
2025-08-18 13:22:41,1.17.0,Bandit100,17,4.12,,20,0,100,LeftinTimeOut,Right,1,2,2,2,,,
2025-08-18 13:22:41,1.17.0,Bandit100,17,4.12,,20,0,100,LeftinTimeOut,Right,1,2,2,2,,,
2025-08-18 13:23:05,1.17.0,Bandit100,17,4.12,,20,0,100,Left,Right,2,2,2,2,,,0.18
2025-08-18 13:23:06,1.17.0,Bandit100,17,4.12,,20,0,100,LeftinTimeOut,Right,2,2,2,2,,,
2025-08-18 13:23:07,1.17.0,Bandit100,17,4.12,,20,0,100,LeftinTimeOut,Right,2,2,2,2,,,
2025-08-18 13:23:08,1.17.0,Bandit100,17,4.12,,20,0,100,LeftinTimeOut,Right,2,2,2,2,,,
2025-08-18 13:23:35,1.17.0,Bandit100,17,4.12,,20,0,100,Right,Right,2,3,2,2,,,0.21
2025-08-18 13:23:37,1.17.0,Bandit100,17,4.12,,20,0,100,RightWithPellet,Right,2,4,2,2,,,0.04
2025-08-18 13:23:40,1.17.0,Bandit100,17,4.12,1.0,20,0,100,Pellet,Right,2,4,3,2,4.44,251.0,
2025-08-18 13:24:14,1.17.0,Bandit100,17,4.12,,20,0,100,Left,Right,3,4,3,3,,,0.19
2025-08-18 13:25:30,1.17.0,Bandit100,17,4.12,,20,0,100,Right,Right,3,5,3,3,,,0.9
2025-08-18 13:25:51,1.17.0,Bandit100,17,4.12,1.0,20,0,100,Pellet,Right,3,5,4,3,20.5,131.0,
2025-08-18 13:30:07,1.17.0,Bandit100,17,4.12,,20,0,100,Left,Right,4,5,4,4,,,0.28
2025-08-18 13:30:23,1.17.0,Bandit100,17,4.12,,20,0,100,Left,Right,5,5,4,4,,,0.02
2025-08-18 13:31:46,1.17.0,Bandit100,17,4.12,,20,0,100,Right,Right,5,6,4,4,,,0.66
2025-08-18 13:32:00,1.17.0,Bandit100,17,4.12,1.0,20,0,100,Pellet,Right,5,6,5,4,13.75,369.0,
2025-08-18 13:33:33,1.17.0,Bandit100,17,4.12,,20,0,100,Right,Right,5,7,5,5,,,0.21
2025-08-18 13:33:36,1.17.0,Bandit100,17,4.12,1.0,20,0,100,Pellet,Right,5,7,6,5,2.21,96.0,
2025-08-18 13:34:51,1.17.0,Bandit100,17,4.12,,20,0,100,Right,Right,5,8,6,6,,,0.11
2025-08-18 13:34:51,1.17.0,Bandit100,17,4.12,,20,0,100,RightDuringDispense,Right,5,8,6,6,,,0.06
