MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/28/2025 15:31:58,1.17.0,Bandit80,74,4.18,,20,20,80,Right,Right,0,1,0,0,,,0.34
7/28/2025 15:33:11,1.17.0,Bandit80,74,4.18,,20,20,80,RightWithPellet,Right,0,1,0,0,,,0.2
7/28/2025 15:33:12,1.17.0,Bandit80,74,4.18,,20,20,80,RightWithPellet,Right,0,1,0,0,,,0.27
7/28/2025 15:33:38,1.17.0,Bandit80,74,4.18,,20,20,80,LeftWithPellet,Right,0,1,0,0,,,0.12
7/28/2025 15:34:04,1.17.0,Bandit80,74,4.19,1.0,20,20,80,Pellet,Right,0,1,1,0,Timed_out,,
7/28/2025 15:34:32,1.17.0,Bandit80,74,4.18,,20,20,80,Left,Right,1,1,1,1,,,0.35
7/28/2025 15:35:08,1.17.0,Bandit80,74,4.19,,20,20,80,Right,Right,1,2,1,1,,,0.05
7/28/2025 15:35:12,1.17.0,Bandit80,74,4.19,2.0,20,20,80,Pellet,Right,1,2,2,1,1.16,68.0,
7/28/2025 15:35:23,1.17.0,Bandit80,74,4.18,,20,20,80,Right,Right,1,3,2,2,,,0.21
7/28/2025 15:35:25,1.17.0,Bandit80,74,4.19,1.0,20,20,80,Pellet,Right,1,3,3,2,1.35,13.0,
7/28/2025 15:35:52,1.17.0,Bandit80,74,4.18,,20,20,80,Left,Right,2,3,3,3,,,0.04
7/28/2025 15:35:55,1.17.0,Bandit80,74,4.18,,20,20,80,LeftinTimeOut,Right,2,3,3,3,,,
7/28/2025 15:38:35,1.17.0,Bandit80,74,4.18,,20,20,80,Right,Right,2,4,3,3,,,0.27
7/28/2025 15:39:06,1.17.0,Bandit80,74,4.18,1.0,20,20,80,Pellet,Right,2,4,4,3,30.23,221.0,
7/28/2025 15:39:13,1.17.0,Bandit80,74,4.19,,20,20,80,Right,Right,2,5,4,4,,,0.32
7/28/2025 15:39:16,1.17.0,Bandit80,74,4.19,,20,20,80,RightWithPellet,Right,2,6,4,4,,,0.13
7/28/2025 15:39:19,1.17.0,Bandit80,74,4.18,1.0,20,20,80,Pellet,Right,2,6,5,4,4.74,13.0,
7/28/2025 15:40:28,1.17.0,Bandit80,74,4.18,,20,20,80,Left,Right,3,6,5,5,,,0.23
7/28/2025 15:40:28,1.17.0,Bandit80,74,4.19,,20,20,80,LeftinTimeOut,Right,3,6,5,5,,,
7/28/2025 15:40:50,1.17.0,Bandit80,74,4.19,,20,20,80,Right,Right,3,7,5,5,,,0.43
7/28/2025 15:40:52,1.17.0,Bandit80,74,4.18,1.0,20,20,80,Pellet,Right,3,7,6,5,0.91,93.0,
7/28/2025 15:41:36,1.17.0,Bandit80,74,4.18,,20,20,80,Left,Right,4,7,6,6,,,0.16
7/28/2025 15:41:57,1.17.0,Bandit80,74,4.18,,20,20,80,Left,Right,5,7,6,6,,,0.39
7/28/2025 15:41:58,1.17.0,Bandit80,74,4.18,,20,20,80,LeftinTimeOut,Right,5,7,6,6,,,
7/28/2025 15:41:59,1.17.0,Bandit80,74,4.18,,20,20,80,LeftinTimeOut,Right,5,7,6,6,,,
7/28/2025 15:42:02,1.17.0,Bandit80,74,4.18,,20,20,80,RightinTimeout,Right,5,7,6,6,,,0.0
7/28/2025 15:42:02,1.17.0,Bandit80,74,4.19,,20,20,80,RightinTimeout,Right,5,7,6,6,,,0.0
7/28/2025 15:42:05,1.17.0,Bandit80,74,4.18,,20,20,80,RightinTimeout,Right,5,7,6,6,,,0.0
7/28/2025 15:42:05,1.17.0,Bandit80,74,4.18,,20,20,80,RightinTimeout,Right,5,7,6,6,,,0.0
7/28/2025 15:42:13,1.17.0,Bandit80,74,4.18,,20,20,80,LeftinTimeOut,Right,5,7,6,6,,,
