MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/28/2025 15:26:53,1.17.0,Bandit80,72,4.15,,20,20,80,Right,Right,0,1,0,0,,,0.11
7/28/2025 15:42:12,1.17.0,Bandit80,72,4.16,,20,20,80,LeftWithPellet,Right,0,1,0,0,,,0.13
7/28/2025 15:42:54,1.17.0,Bandit80,72,4.15,1.0,20,20,80,Pellet,Right,0,1,1,0,Timed_out,,
7/28/2025 15:43:11,1.17.0,Bandit80,72,4.13,,20,20,80,Right,Right,0,2,1,1,,,0.08
7/28/2025 15:43:14,1.17.0,Bandit80,72,4.15,1.0,20,20,80,Pellet,Right,0,2,2,1,2.24,20.0,
7/28/2025 15:43:32,1.17.0,Bandit80,72,4.16,,20,20,80,Right,Right,0,3,2,2,,,0.06
7/28/2025 15:45:08,1.17.0,Bandit80,72,4.15,,20,20,80,RightWithPellet,Right,0,3,2,2,,,0.51
7/28/2025 15:45:13,1.17.0,Bandit80,72,4.15,1.0,20,20,80,Pellet,Right,0,3,3,2,Timed_out,119.0,
7/28/2025 15:46:26,1.17.0,Bandit80,72,4.15,,20,20,80,Left,Right,1,3,3,3,,,0.79
7/28/2025 15:47:29,1.17.0,Bandit80,72,4.15,,20,20,80,Right,Right,1,4,3,3,,,0.53
7/28/2025 15:47:43,1.17.0,Bandit80,72,4.15,,20,20,80,RightWithPellet,Right,1,5,3,3,,,0.02
7/28/2025 15:47:44,1.17.0,Bandit80,72,4.15,,20,20,80,RightWithPellet,Right,1,6,3,3,,,0.0
7/28/2025 15:47:45,1.17.0,Bandit80,72,4.15,,20,20,80,RightWithPellet,Right,1,7,3,3,,,0.16
7/28/2025 15:50:55,1.17.0,Bandit80,72,4.15,2.0,20,20,80,Pellet,Right,1,7,4,3,Timed_out,342.0,
7/28/2025 15:53:51,1.17.0,Bandit80,72,4.14,,20,20,80,Right,Right,1,8,4,4,,,0.2
7/28/2025 15:55:40,1.17.0,Bandit80,72,4.15,,20,20,80,RightWithPellet,Right,1,8,4,4,,,0.04
7/28/2025 15:57:20,1.17.0,Bandit80,72,4.15,,20,20,80,RightWithPellet,Right,1,8,4,4,,,0.52
7/28/2025 15:57:44,1.17.0,Bandit80,72,4.16,,20,20,80,LeftWithPellet,Right,1,8,4,4,,,0.01
7/28/2025 15:57:46,1.17.0,Bandit80,72,4.15,,20,20,80,LeftWithPellet,Right,1,8,4,4,,,0.86
7/28/2025 15:57:49,1.17.0,Bandit80,72,4.15,1.0,20,20,80,Pellet,Right,1,8,5,4,Timed_out,414.0,
7/28/2025 15:58:16,1.17.0,Bandit80,72,4.15,,20,20,80,Right,Right,1,9,5,5,,,0.12
7/28/2025 16:00:43,1.17.0,Bandit80,72,4.15,,20,20,80,Right,Right,1,10,5,5,,,0.48
7/28/2025 16:00:45,1.17.0,Bandit80,72,4.15,,20,20,80,RightWithPellet,Right,1,11,5,5,,,0.17
