MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-10-13 13:27:28,1.17.0,Bandit80,18,4.18,,20,20,80,Right,Right,0,1,0,0,,,0.07
2025-10-13 13:28:03,1.17.0,Bandit80,18,4.18,3.0,20,20,80,Pellet,Right,0,1,1,0,29.86,,
2025-10-13 13:28:18,1.17.0,Bandit80,18,4.18,,20,20,80,Left,Right,1,1,1,1,,,0.04
2025-10-13 13:28:21,1.17.0,Bandit80,18,4.18,,20,20,80,LeftinTimeOut,Right,1,1,1,1,,,
2025-10-13 13:28:24,1.17.0,Bandit80,18,4.18,,20,20,80,LeftinTimeOut,Right,1,1,1,1,,,
2025-10-13 13:28:43,1.17.0,Bandit80,18,4.18,,20,20,80,Right,Right,1,2,1,1,,,0.29
2025-10-13 13:28:48,1.17.0,Bandit80,18,4.18,,20,20,80,RightinTimeout,Right,1,2,1,1,,,0.0
2025-10-13 13:28:48,1.17.0,Bandit80,18,4.18,,20,20,80,RightinTimeout,Right,1,2,1,1,,,0.0
2025-10-13 13:29:19,1.17.0,Bandit80,18,4.18,,20,20,80,Right,Right,1,3,1,1,,,0.18
2025-10-13 13:29:22,1.17.0,Bandit80,18,4.18,1.0,20,20,80,Pellet,Right,1,3,2,1,1.32,79.0,
2025-10-13 13:29:37,1.17.0,Bandit80,18,4.18,,20,20,80,Right,Right,1,4,2,2,,,0.25
2025-10-13 13:29:54,1.17.0,Bandit80,18,4.18,1.0,20,20,80,Pellet,Right,1,4,3,2,15.54,31.0,
2025-10-13 13:30:08,1.17.0,Bandit80,18,4.18,,20,20,80,Left,Right,2,4,3,3,,,0.16
2025-10-13 13:30:11,1.17.0,Bandit80,18,4.18,,20,20,80,LeftinTimeOut,Right,2,4,3,3,,,
2025-10-13 13:30:14,1.17.0,Bandit80,18,4.18,,20,20,80,LeftinTimeOut,Right,2,4,3,3,,,
