MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-04-04 14:47:05,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,0,1,0,0,,,0.69
2025-04-04 15:15:30,1.17.0,Bandit80,8,4.16,3.0,20,20,80,Pellet,Right,0,1,1,0,,,
2025-04-04 15:16:39,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,0,2,1,1,,,0.13
2025-04-04 15:16:54,1.17.0,Bandit80,8,4.16,3.0,20,20,80,Pellet,Right,0,2,2,1,11.91,84.0,
2025-04-04 15:17:18,1.17.0,Bandit80,8,4.16,,20,20,80,Left,Right,1,2,2,2,,,0.55
2025-04-04 15:17:27,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,1,2,2,2,,,0.0
2025-04-04 15:17:29,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,1,2,2,2,,,0.0
2025-04-04 15:17:50,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,1,3,2,2,,,0.35
2025-04-04 15:17:53,1.17.0,Bandit80,8,4.16,,20,20,80,RightWithPellet,Right,1,4,2,2,,,0.22
2025-04-04 15:17:54,1.17.0,Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,1,4,3,2,3.73,60.0,
2025-04-04 15:18:09,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,1,5,3,3,,,0.17
2025-04-04 15:18:22,1.17.0,Bandit80,8,4.16,,20,20,80,RightWithPellet,Right,1,6,3,3,,,0.18
2025-04-04 15:18:23,1.17.0,Bandit80,8,4.16,,20,20,80,RightWithPellet,Right,1,7,3,3,,,0.19
2025-04-04 15:19:21,1.17.0,Bandit80,8,4.16,,20,20,80,LeftWithPellet,Right,1,7,3,3,,,0.14
2025-04-04 15:20:45,1.17.0,Bandit80,8,4.16,,20,20,80,LeftWithPellet,Right,1,7,3,3,,,0.21
2025-04-04 15:20:46,1.17.0,Bandit80,8,4.16,,20,20,80,LeftWithPellet,Right,1,7,3,3,,,0.08
2025-04-04 15:21:08,1.17.0,Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,1,7,4,3,,194.0,
2025-04-04 15:21:40,1.17.0,Bandit80,8,4.14,,20,20,80,Left,Right,2,7,4,4,,,0.05
2025-04-04 15:22:08,1.17.0,Bandit80,8,4.16,,20,20,80,Left,Right,3,7,4,4,,,0.01
2025-04-04 15:23:51,1.17.0,Bandit80,8,4.15,,20,20,80,Left,Right,4,7,4,4,,,0.41
2025-04-04 15:23:54,1.17.0,Bandit80,8,4.15,,20,20,80,LeftinTimeOut,Right,4,7,4,4,,,
2025-04-04 15:23:55,1.17.0,Bandit80,8,4.16,,20,20,80,LeftinTimeOut,Right,4,7,4,4,,,
2025-04-04 15:23:58,1.17.0,Bandit80,8,4.16,,20,20,80,LeftinTimeOut,Right,4,7,4,4,,,
2025-04-04 15:24:26,1.17.0,Bandit80,8,4.16,,20,20,80,Left,Right,5,7,4,4,,,0.0
2025-04-04 15:24:35,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,5,7,4,4,,,0.0
2025-04-04 15:24:36,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,5,7,4,4,,,0.0
2025-04-04 15:25:53,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,5,8,4,4,,,0.22
2025-04-04 15:25:57,1.17.0,Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,5,8,5,4,2.59,289.0,
2025-04-04 15:26:20,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,5,9,5,5,,,0.17
2025-04-04 15:26:25,1.17.0,Bandit80,8,4.16,,20,20,80,RightWithPellet,Right,5,10,5,5,,,0.08
2025-04-04 15:28:49,1.17.0,Bandit80,8,4.16,,20,20,80,LeftWithPellet,Right,5,10,5,5,,,0.06
2025-04-04 15:29:21,1.17.0,Bandit80,8,4.16,,20,20,80,RightWithPellet,Right,5,10,5,5,,,0.12
2025-04-04 15:29:28,1.17.0,Bandit80,8,4.16,,20,20,80,LeftWithPellet,Right,5,10,5,5,,,0.18
2025-04-04 15:29:41,1.17.0,Bandit80,8,4.16,,20,20,80,LeftWithPellet,Right,5,10,5,5,,,0.5
2025-04-04 15:29:42,1.17.0,Bandit80,8,4.16,,20,20,80,LeftWithPellet,Right,5,10,5,5,,,0.18
2025-04-04 15:29:45,1.17.0,Bandit80,8,4.16,,20,20,80,LeftWithPellet,Right,5,10,5,5,,,0.25
2025-04-04 15:29:48,1.17.0,Bandit80,8,4.16,,20,20,80,LeftWithPellet,Right,5,10,5,5,,,0.08
2025-04-04 15:29:49,1.17.0,Bandit80,8,4.16,,20,20,80,LeftWithPellet,Right,5,10,5,5,,,0.04
2025-04-04 15:29:55,1.17.0,Bandit80,8,4.16,,20,20,80,LeftWithPellet,Right,5,10,5,5,,,0.44
2025-04-04 15:30:09,1.17.0,Bandit80,8,4.16,,20,20,80,RightWithPellet,Right,5,10,5,5,,,0.4
2025-04-04 15:30:29,1.17.0,Bandit80,8,4.16,,20,20,80,RightWithPellet,Right,5,10,5,5,,,0.47
2025-04-04 15:32:53,1.17.0,Bandit80,8,4.16,,20,20,80,LeftWithPellet,Right,5,10,5,5,,,0.09
2025-04-04 15:33:20,1.17.0,Bandit80,8,4.16,,20,20,80,LeftWithPellet,Right,5,10,5,5,,,0.02
2025-04-04 15:33:49,1.17.0,Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,5,10,6,5,,472.0,
2025-04-04 15:34:39,1.17.0,Bandit80,8,4.16,,20,20,80,Left,Right,6,10,6,6,,,0.12
2025-04-04 15:34:42,1.17.0,Bandit80,8,4.16,,20,20,80,LeftinTimeOut,Right,6,10,6,6,,,
2025-04-04 15:40:00,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,6,11,6,6,,,0.23
2025-04-04 15:40:02,1.17.0,Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,6,11,7,6,1.64,373.0,
2025-04-04 15:40:23,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,6,12,7,7,,,0.19
2025-04-04 15:40:24,1.17.0,Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,6,12,8,7,0.75,22.0,
2025-04-04 15:40:41,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,6,13,8,8,,,0.05
2025-04-04 15:40:43,1.17.0,Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,6,13,9,8,0.75,19.0,
2025-04-04 15:41:04,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,6,14,9,9,,,0.1
2025-04-04 15:41:05,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,6,14,9,9,,,0.0
2025-04-04 15:41:05,1.17.0,Bandit80,8,4.14,,20,20,80,RightinTimeout,Right,6,14,9,9,,,0.0
2025-04-04 15:41:07,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,6,14,9,9,,,0.0
2025-04-04 15:41:07,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,6,14,9,9,,,0.0
2025-04-04 15:41:08,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,6,14,9,9,,,0.0
2025-04-04 15:41:08,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,6,14,9,9,,,0.0
2025-04-04 15:41:09,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,6,14,9,9,,,0.0
2025-04-04 15:41:12,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,6,14,9,9,,,0.0
2025-04-04 15:41:14,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,6,14,9,9,,,0.0
2025-04-04 15:41:16,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,6,14,9,9,,,0.0
2025-04-04 15:41:16,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,6,14,9,9,,,0.0
2025-04-04 15:41:20,1.17.0,Bandit80,8,4.15,,20,20,80,LeftinTimeOut,Right,6,14,9,9,,,
2025-04-04 15:41:21,1.17.0,Bandit80,8,4.16,,20,20,80,LeftinTimeOut,Right,6,14,9,9,,,
2025-04-04 15:41:25,1.17.0,Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,6,14,9,9,,,0.0
2025-04-04 15:41:46,1.17.0,Bandit80,8,4.15,,20,20,80,Left,Right,7,14,9,9,,,0.19
2025-04-04 15:42:08,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,7,15,9,9,,,0.09
2025-04-04 15:42:10,1.17.0,Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,7,15,10,9,1.45,87.0,
2025-04-04 15:42:33,1.17.0,Bandit80,8,4.15,,20,20,80,Right,Right,7,16,10,10,,,0.07
2025-04-04 15:42:34,1.17.0,Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,7,16,11,10,0.82,24.0,
2025-04-04 15:43:00,1.17.0,Bandit80,8,4.15,,20,20,80,Right,Right,7,17,11,11,,,0.02
2025-04-04 15:43:03,1.17.0,Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,7,17,12,11,2.46,29.0,
2025-04-04 15:43:27,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,7,18,12,12,,,0.02
2025-04-04 15:43:28,1.17.0,Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,7,18,13,12,0.69,25.0,
2025-04-04 15:44:15,1.17.0,Bandit80,8,4.16,,20,20,80,Left,Right,8,18,13,13,,,0.1
2025-04-04 15:48:34,1.17.0,Bandit80,8,4.16,,20,20,80,RightWithPellet,Right,8,18,13,13,,,0.06
2025-04-04 15:48:38,1.17.0,Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,8,18,14,13,,310.0,
2025-04-04 15:49:06,1.17.0,Bandit80,8,4.16,,20,20,80,Right,Right,8,19,14,14,,,0.21
2025-04-04 15:49:08,1.17.0,Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,8,19,15,14,1.51,30.0,
2025-04-04 15:50:09,1.17.0,Bandit80,8,4.15,,20,20,80,Right,Right,8,20,15,15,,,0.03
2025-04-04 16:56:46,1.17.0,Bandit80,8,4.15,,20,20,80,LeftWithPellet,Right,8,20,15,15,,,0.05
2025-04-04 16:56:48,1.17.0,Bandit80,8,4.14,1.0,20,20,80,Pellet,Right,8,20,16,15,,4060.0,
2025-04-04 16:56:57,1.17.0,Bandit80,8,4.15,,20,20,80,Left,Right,9,20,16,16,,,0.03
2025-04-04 16:57:10,1.17.0,Bandit80,8,4.15,,20,20,80,Left,Right,10,20,16,16,,,0.2
2025-04-04 16:57:12,1.17.0,Bandit80,8,4.15,1.0,20,20,80,Pellet,Right,10,20,17,16,0.88,24.0,
2025-04-04 16:57:38,1.17.0,Bandit80,8,4.16,,20,20,80,Left,Right,11,20,17,17,,,0.08
2025-04-04 16:57:39,1.17.0,Bandit80,8,4.15,,20,20,80,LeftinTimeOut,Right,11,20,17,17,,,
2025-04-04 16:57:40,1.17.0,Bandit80,8,4.15,,20,20,80,LeftinTimeOut,Right,11,20,17,17,,,
2025-04-04 16:57:42,1.17.0,Bandit80,8,4.15,,20,20,80,LeftinTimeOut,Right,11,20,17,17,,,
2025-04-04 16:57:45,1.17.0,Bandit80,8,4.15,,20,20,80,LeftinTimeOut,Right,11,20,17,17,,,
2025-04-04 16:57:46,1.17.0,Bandit80,8,4.15,,20,20,80,LeftinTimeOut,Right,11,20,17,17,,,
2025-04-04 16:57:48,1.17.0,Bandit80,8,4.16,,20,20,80,LeftinTimeOut,Right,11,20,17,17,,,
2025-04-04 16:57:51,1.17.0,Bandit80,8,4.15,,20,20,80,LeftinTimeOut,Right,11,20,17,17,,,
2025-04-04 16:57:52,1.17.0,Bandit80,8,4.15,,20,20,80,LeftinTimeOut,Right,11,20,17,17,,,
2025-04-04 16:57:54,1.17.0,Bandit80,8,4.15,,20,20,80,LeftinTimeOut,Right,11,20,17,17,,,
2025-04-04 16:57:56,1.17.0,Bandit80,8,4.15,,20,20,80,LeftinTimeOut,Right,11,20,17,17,,,
2025-04-04 16:57:56,1.17.0,Bandit80,8,4.15,,20,20,80,LeftinTimeOut,Right,11,20,17,17,,,
2025-04-04 16:58:01,1.17.0,Bandit80,8,4.16,,20,20,80,LeftinTimeOut,Right,11,20,17,17,,,
2025-04-04 16:58:03,1.17.0,Bandit80,8,4.15,,20,20,80,LeftinTimeOut,Right,11,20,17,17,,,
2025-04-04 16:58:06,1.17.0,Bandit80,8,4.15,,20,20,80,LeftinTimeOut,Right,11,20,17,17,,,
2025-04-04 16:58:19,1.17.0,Bandit80,8,4.15,,20,20,80,Left,Right,12,20,17,17,,,0.03
