MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/11/2025 14:13:41,1.17.0,Bandit80,35,4.17,,20,20,80,Right,Right,0,1,0,0,,,0.37
8/11/2025 14:14:18,1.17.0,Bandit80,35,4.16,4.0,20,20,80,Pellet,Right,0,1,1,0,31.27,,
8/11/2025 14:14:51,1.17.0,Bandit80,35,4.16,,20,20,80,Left,Right,1,1,1,1,,,0.25
8/11/2025 14:15:21,1.17.0,Bandit80,35,4.18,,20,20,80,Right,Right,1,2,1,1,,,0.15
8/11/2025 14:15:23,1.17.0,Bandit80,35,4.17,2.0,20,20,80,Pellet,Right,1,2,2,1,1.22,66.0,
8/11/2025 14:15:37,1.17.0,Bandit80,35,4.18,,20,20,80,Right,Right,1,3,2,2,,,0.02
8/11/2025 14:15:39,1.17.0,Bandit80,35,4.18,2.0,20,20,80,Pellet,Right,1,3,3,2,1.22,16.0,
8/11/2025 14:16:52,1.17.0,Bandit80,35,4.18,,20,20,80,Right,Right,1,4,3,3,,,0.0
8/11/2025 14:16:54,1.17.0,Bandit80,35,4.18,1.0,20,20,80,Pellet,Right,1,4,4,3,1.22,75.0,
8/11/2025 14:17:07,1.17.0,Bandit80,35,4.18,,20,20,80,Right,Right,1,5,4,4,,,0.07
8/11/2025 14:17:09,1.17.0,Bandit80,35,4.18,1.0,20,20,80,Pellet,Right,1,5,5,4,0.79,15.0,
8/11/2025 14:17:27,1.17.0,Bandit80,35,4.18,,20,20,80,Left,Right,2,5,5,5,,,0.05
8/11/2025 14:17:55,1.17.0,Bandit80,35,4.18,,20,20,80,Left,Right,3,5,5,5,,,0.07
8/11/2025 14:18:03,1.17.0,Bandit80,35,4.18,,20,20,80,RightinTimeout,Right,3,5,5,5,,,0.0
8/11/2025 14:18:04,1.17.0,Bandit80,35,4.18,,20,20,80,RightinTimeout,Right,3,5,5,5,,,0.0
8/11/2025 14:19:24,1.17.0,Bandit80,35,4.18,,20,20,80,Right,Right,3,6,5,5,,,0.51
8/11/2025 14:19:36,1.17.0,Bandit80,35,4.18,,20,20,80,Left,Right,4,6,5,5,,,0.32
8/11/2025 14:19:42,1.17.0,Bandit80,35,4.18,,20,20,80,LeftinTimeOut,Right,4,6,5,5,,,
8/11/2025 14:20:38,1.17.0,Bandit80,35,4.18,,20,20,80,Left,Right,5,6,5,5,,,0.15
8/11/2025 14:20:42,1.17.0,Bandit80,35,4.18,1.0,20,20,80,Pellet,Right,5,6,6,5,3.06,213.0,
8/11/2025 14:21:49,1.17.0,Bandit80,35,4.18,,20,20,80,Left,Right,6,6,6,6,,,0.15
8/11/2025 14:21:52,1.17.0,Bandit80,35,4.18,,20,20,80,LeftinTimeOut,Right,6,6,6,6,,,
8/11/2025 14:21:59,1.17.0,Bandit80,35,4.18,,20,20,80,RightinTimeout,Right,6,6,6,6,,,0.0
8/11/2025 14:23:07,1.17.0,Bandit80,35,4.18,,20,20,80,Right,Right,6,7,6,6,,,0.07
8/11/2025 14:23:10,1.17.0,Bandit80,35,4.18,1.0,20,20,80,Pellet,Right,6,7,7,6,2.39,148.0,
8/11/2025 14:25:32,1.17.0,Bandit80,35,4.18,,20,20,80,Left,Right,7,7,7,7,,,0.32
8/11/2025 14:25:37,1.17.0,Bandit80,35,4.18,,20,20,80,RightinTimeout,Right,7,7,7,7,,,0.0
8/11/2025 14:25:38,1.17.0,Bandit80,35,4.18,,20,20,80,RightinTimeout,Right,7,7,7,7,,,0.0
8/11/2025 14:26:32,1.17.0,Bandit80,35,4.18,,20,20,80,Right,Right,7,8,7,7,,,0.12
8/11/2025 14:30:16,1.17.0,Bandit80,35,4.17,,20,20,80,RightWithPellet,Right,7,8,7,7,,,0.09
8/11/2025 14:30:19,1.17.0,Bandit80,35,4.18,,20,20,80,LeftWithPellet,Right,7,8,7,7,,,0.18
8/11/2025 14:40:20,1.17.0,Bandit80,35,4.18,1.0,20,20,80,Pellet,Right,7,8,8,7,Timed_out,1030.0,
8/11/2025 14:40:36,1.17.0,Bandit80,35,4.18,,20,20,80,Left,Right,8,8,8,8,,,0.14
8/11/2025 14:40:38,1.17.0,Bandit80,35,4.17,,20,20,80,LeftinTimeOut,Right,8,8,8,8,,,
8/11/2025 14:40:40,1.17.0,Bandit80,35,4.18,,20,20,80,LeftinTimeOut,Right,8,8,8,8,,,
8/11/2025 14:40:48,1.17.0,Bandit80,35,4.18,,20,20,80,LeftinTimeOut,Right,8,8,8,8,,,
8/11/2025 14:40:56,1.17.0,Bandit80,35,4.18,,20,20,80,RightinTimeout,Right,8,8,8,8,,,0.0
8/11/2025 14:40:56,1.17.0,Bandit80,35,4.18,,20,20,80,RightinTimeout,Right,8,8,8,8,,,0.0
8/11/2025 14:40:57,1.17.0,Bandit80,35,4.18,,20,20,80,RightinTimeout,Right,8,8,8,8,,,0.0
8/11/2025 14:41:03,1.17.0,Bandit80,35,4.18,,20,20,80,RightinTimeout,Right,8,8,8,8,,,0.0
8/11/2025 14:41:06,1.17.0,Bandit80,35,4.18,,20,20,80,RightinTimeout,Right,8,8,8,8,,,0.0
8/11/2025 14:41:09,1.17.0,Bandit80,35,4.17,,20,20,80,LeftinTimeOut,Right,8,8,8,8,,,
8/11/2025 14:41:13,1.17.0,Bandit80,35,4.18,,20,20,80,LeftinTimeOut,Right,8,8,8,8,,,
8/11/2025 14:41:13,1.17.0,Bandit80,35,4.18,,20,20,80,LeftinTimeOut,Right,8,8,8,8,,,
8/11/2025 14:41:15,1.17.0,Bandit80,35,4.18,,20,20,80,LeftinTimeOut,Right,8,8,8,8,,,
8/11/2025 14:41:20,1.17.0,Bandit80,35,4.17,,20,20,80,LeftinTimeOut,Right,8,8,8,8,,,
8/11/2025 14:41:49,1.17.0,Bandit80,35,4.18,,20,20,80,Right,Right,8,9,8,8,,,0.33
8/11/2025 14:41:50,1.17.0,Bandit80,35,4.17,,20,20,80,RightinTimeout,Right,8,9,8,8,,,0.0
8/11/2025 14:41:52,1.17.0,Bandit80,35,4.17,,20,20,80,RightinTimeout,Right,8,9,8,8,,,0.0
8/11/2025 14:41:53,1.17.0,Bandit80,35,4.18,,20,20,80,RightinTimeout,Right,8,9,8,8,,,0.0
8/11/2025 14:41:56,1.17.0,Bandit80,35,4.17,,20,20,80,RightinTimeout,Right,8,9,8,8,,,0.0
8/11/2025 14:41:57,1.17.0,Bandit80,35,4.18,,20,20,80,LeftinTimeOut,Right,8,9,8,8,,,
8/11/2025 14:41:58,1.17.0,Bandit80,35,4.18,,20,20,80,LeftinTimeOut,Right,8,9,8,8,,,
8/11/2025 14:42:05,1.17.0,Bandit80,35,4.18,,20,20,80,RightinTimeout,Right,8,9,8,8,,,0.0
8/11/2025 14:42:50,1.17.0,Bandit80,35,4.18,,20,20,80,Right,Right,8,10,8,8,,,0.19
8/11/2025 14:42:51,1.17.0,Bandit80,35,4.17,,20,20,80,RightWithPellet,Right,8,11,8,8,,,0.08
8/11/2025 14:42:53,1.17.0,Bandit80,35,4.18,,20,20,80,RightWithPellet,Right,8,12,8,8,,,0.16
8/11/2025 14:42:54,1.17.0,Bandit80,35,4.17,1.0,20,20,80,Pellet,Right,8,12,9,8,4.24,154.0,
8/11/2025 14:43:50,1.17.0,Bandit80,35,4.18,,20,20,80,Left,Right,9,12,9,9,,,0.14
8/11/2025 15:27:54,1.17.0,Bandit80,35,4.18,,20,20,80,Left,Right,10,12,9,9,,,0.05
8/11/2025 15:27:56,1.17.0,Bandit80,35,4.18,,20,20,80,LeftinTimeOut,Right,10,12,9,9,,,
8/11/2025 15:33:39,1.17.0,Bandit80,35,4.17,,20,20,80,Left,Right,11,12,9,9,,,0.17
8/11/2025 15:33:41,1.17.0,Bandit80,35,4.17,,20,20,80,LeftinTimeOut,Right,11,12,9,9,,,
8/11/2025 15:33:42,1.17.0,Bandit80,35,4.17,,20,20,80,RightinTimeout,Right,11,12,9,9,,,0.0
8/11/2025 15:33:42,1.17.0,Bandit80,35,4.17,,20,20,80,RightinTimeout,Right,11,12,9,9,,,0.0
8/11/2025 15:33:47,1.17.0,Bandit80,35,4.18,,20,20,80,LeftinTimeOut,Right,11,12,9,9,,,
8/11/2025 15:34:19,1.17.0,Bandit80,35,4.17,,20,20,80,Left,Right,12,12,9,9,,,0.03
8/11/2025 15:34:20,1.17.0,Bandit80,35,4.17,,20,20,80,LeftinTimeOut,Right,12,12,9,9,,,
8/11/2025 15:34:21,1.17.0,Bandit80,35,4.17,,20,20,80,LeftinTimeOut,Right,12,12,9,9,,,
8/11/2025 15:34:21,1.17.0,Bandit80,35,4.16,,20,20,80,LeftinTimeOut,Right,12,12,9,9,,,
8/11/2025 15:34:22,1.17.0,Bandit80,35,4.17,,20,20,80,LeftinTimeOut,Right,12,12,9,9,,,
8/11/2025 15:34:23,1.17.0,Bandit80,35,4.17,,20,20,80,LeftinTimeOut,Right,12,12,9,9,,,
8/11/2025 15:34:25,1.17.0,Bandit80,35,4.18,,20,20,80,RightinTimeout,Right,12,12,9,9,,,0.0
8/11/2025 15:34:25,1.17.0,Bandit80,35,4.17,,20,20,80,RightinTimeout,Right,12,12,9,9,,,0.0
8/11/2025 15:34:39,1.17.0,Bandit80,35,4.18,,20,20,80,Left,Right,13,12,9,9,,,0.12
8/11/2025 15:34:41,1.17.0,Bandit80,35,4.17,,20,20,80,LeftinTimeOut,Right,13,12,9,9,,,
8/11/2025 15:34:43,1.17.0,Bandit80,35,4.17,,20,20,80,RightinTimeout,Right,13,12,9,9,,,0.0
8/11/2025 15:34:45,1.17.0,Bandit80,35,4.17,,20,20,80,RightinTimeout,Right,13,12,9,9,,,0.0
8/11/2025 15:34:45,1.17.0,Bandit80,35,4.17,,20,20,80,RightinTimeout,Right,13,12,9,9,,,0.0
8/11/2025 15:34:47,1.17.0,Bandit80,35,4.17,,20,20,80,LeftinTimeOut,Right,13,12,9,9,,,
8/11/2025 15:34:47,1.17.0,Bandit80,35,4.17,,20,20,80,LeftinTimeOut,Right,13,12,9,9,,,
8/11/2025 15:34:48,1.17.0,Bandit80,35,4.18,,20,20,80,LeftinTimeOut,Right,13,12,9,9,,,
8/11/2025 15:34:49,1.17.0,Bandit80,35,4.18,,20,20,80,LeftinTimeOut,Right,13,12,9,9,,,
8/11/2025 15:34:49,1.17.0,Bandit80,35,4.18,,20,20,80,LeftinTimeOut,Right,13,12,9,9,,,
8/11/2025 15:34:50,1.17.0,Bandit80,35,4.18,,20,20,80,LeftinTimeOut,Right,13,12,9,9,,,
8/11/2025 15:34:57,1.17.0,Bandit80,35,4.17,,20,20,80,LeftinTimeOut,Right,13,12,9,9,,,
8/11/2025 15:34:57,1.17.0,Bandit80,35,4.17,,20,20,80,LeftinTimeOut,Right,13,12,9,9,,,
8/11/2025 15:34:58,1.17.0,Bandit80,35,4.17,,20,20,80,LeftinTimeOut,Right,13,12,9,9,,,
8/11/2025 15:35:30,1.17.0,Bandit80,35,4.17,,20,20,80,Left,Right,14,12,9,9,,,0.09
8/11/2025 15:35:31,1.17.0,Bandit80,35,4.17,,20,20,80,LeftinTimeOut,Right,14,12,9,9,,,
8/11/2025 15:35:37,1.17.0,Bandit80,35,4.17,,20,20,80,LeftinTimeOut,Right,14,12,9,9,,,
8/11/2025 15:35:41,1.17.0,Bandit80,35,4.17,,20,20,80,LeftinTimeOut,Right,14,12,9,9,,,
8/11/2025 15:35:42,1.17.0,Bandit80,35,4.17,,20,20,80,LeftinTimeOut,Right,14,12,9,9,,,
8/11/2025 15:35:44,1.17.0,Bandit80,35,4.17,,20,20,80,RightinTimeout,Right,14,12,9,9,,,0.0
8/11/2025 15:35:49,1.17.0,Bandit80,35,4.18,,20,20,80,RightinTimeout,Right,14,12,9,9,,,0.0
8/11/2025 15:35:49,1.17.0,Bandit80,35,4.17,,20,20,80,RightinTimeout,Right,14,12,9,9,,,0.0
8/11/2025 15:35:50,1.17.0,Bandit80,35,4.17,,20,20,80,RightinTimeout,Right,14,12,9,9,,,0.0
8/11/2025 15:36:05,1.17.0,Bandit80,35,4.18,,20,20,80,Right,Right,14,13,9,9,,,0.0
8/11/2025 15:36:18,1.17.0,Bandit80,35,4.17,2.0,20,20,80,Pellet,Right,14,13,10,9,12.29,3204.0,
8/11/2025 15:37:09,1.17.0,Bandit80,35,4.17,,20,20,80,Right,Right,14,14,10,10,,,0.12
8/11/2025 15:37:22,1.17.0,Bandit80,35,4.17,1.0,20,20,80,Pellet,Right,14,14,11,10,12.10,64.0,
8/11/2025 15:37:39,1.17.0,Bandit80,35,4.18,,20,20,80,Right,Right,14,15,11,11,,,0.12
8/11/2025 15:37:40,1.17.0,Bandit80,35,4.17,,20,20,80,RightinTimeout,Right,14,15,11,11,,,0.0
8/11/2025 15:37:42,1.17.0,Bandit80,35,4.17,,20,20,80,RightinTimeout,Right,14,15,11,11,,,0.0
8/11/2025 15:37:45,1.17.0,Bandit80,35,4.17,,20,20,80,LeftinTimeOut,Right,14,15,11,11,,,
8/11/2025 15:37:46,1.17.0,Bandit80,35,4.17,,20,20,80,LeftinTimeOut,Right,14,15,11,11,,,
8/11/2025 15:38:04,1.17.0,Bandit80,35,4.17,,20,20,80,Left,Right,15,15,11,11,,,0.12
8/11/2025 15:38:08,1.17.0,Bandit80,35,4.18,,20,20,80,LeftinTimeOut,Right,15,15,11,11,,,
8/11/2025 15:38:10,1.17.0,Bandit80,35,4.17,,20,20,80,LeftinTimeOut,Right,15,15,11,11,,,
8/11/2025 15:38:28,1.17.0,Bandit80,35,4.17,,20,20,80,Right,Right,15,16,11,11,,,0.15
