MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-08-11 14:05:42,1.17.2,Bandit80,30,4.22,,20,20,80,Right,Right,0,1,0,0,,,0.27
2025-08-11 14:06:30,1.17.2,Bandit80,30,4.22,,20,20,80,RightWithPellet,Right,0,2,0,0,,,0.23
2025-08-11 14:06:59,1.17.2,Bandit80,30,4.22,,20,20,80,LeftWithPellet,Right,0,2,0,0,,,0.03
2025-08-11 14:07:00,1.17.2,Bandit80,30,4.22,,20,20,80,LeftWithPellet,Right,0,2,0,0,,,0.16
2025-08-11 14:07:01,1.17.2,Bandit80,30,4.22,5.0,20,20,80,Pellet,Right,0,2,1,0,,,
2025-08-11 14:07:13,1.17.2,Bandit80,30,4.22,,20,20,80,Right,Right,0,3,1,1,,,0.26
2025-08-11 14:07:15,1.17.2,Bandit80,30,4.22,2.0,20,20,80,Pellet,Right,0,3,2,1,0.97,14.0,
2025-08-11 14:07:25,1.17.2,Bandit80,30,4.22,,20,20,80,Left,Right,1,3,2,2,,,0.07
2025-08-11 14:07:37,1.17.2,Bandit80,30,4.22,,20,20,80,Right,Right,1,4,2,2,,,0.37
2025-08-11 14:07:40,1.17.2,Bandit80,30,4.22,1.0,20,20,80,Pellet,Right,1,4,3,2,1.28,25.0,
2025-08-11 14:07:59,1.17.2,Bandit80,30,4.22,,20,20,80,Left,Right,2,4,3,3,,,0.16
2025-08-11 14:08:10,1.17.2,Bandit80,30,4.22,,20,20,80,Left,Right,3,4,3,3,,,0.04
2025-08-11 14:08:45,1.17.2,Bandit80,30,4.22,,20,20,80,Right,Right,3,5,3,3,,,0.06
2025-08-11 14:08:46,1.17.2,Bandit80,30,4.21,1.0,20,20,80,Pellet,Right,3,5,4,3,0.36,66.0,
2025-08-11 14:09:15,1.17.2,Bandit80,30,4.22,,20,20,80,Left,Right,4,5,4,4,,,0.1
2025-08-11 14:09:18,1.17.2,Bandit80,30,4.22,,20,20,80,LeftinTimeOut,Right,4,5,4,4,,,
2025-08-11 14:09:20,1.17.2,Bandit80,30,4.21,,20,20,80,LeftinTimeOut,Right,4,5,4,4,,,
2025-08-11 14:10:20,1.17.2,Bandit80,30,4.22,,20,20,80,Right,Right,4,6,4,4,,,0.76
2025-08-11 14:10:21,1.17.2,Bandit80,30,4.22,1.0,20,20,80,Pellet,Right,4,6,5,4,0.79,95.0,
2025-08-11 14:10:56,1.17.2,Bandit80,30,4.22,,20,20,80,Right,Right,4,7,5,5,,,0.18
2025-08-11 14:10:58,1.17.2,Bandit80,30,4.21,,20,20,80,LeftinTimeOut,Right,4,7,5,5,,,
2025-08-11 14:11:31,1.17.2,Bandit80,30,4.21,,20,20,80,Right,Right,4,8,5,5,,,0.14
2025-08-11 14:11:33,1.17.2,Bandit80,30,4.22,2.0,20,20,80,Pellet,Right,4,8,6,5,0.97,72.0,
