MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2024-09-02 12:33:43,1.17.0,Bandit,0,4.19,,30,80,20,Left,Left,1,0,0,0,,,0.7
2024-09-02 12:33:52,1.17.0,Bandit,0,4.2,3.0,30,80,20,Pellet,Left,1,0,1,0,1.52,,
2024-09-02 12:36:48,1.17.0,Bandit,0,4.19,,30,80,20,Left,Left,2,0,1,1,,,0.37
2024-09-02 12:36:52,1.17.0,Bandit,0,4.19,2.0,30,80,20,Pellet,Left,2,0,2,1,0.12,180.0,
2024-09-02 12:37:09,1.17.0,Bandit,0,4.19,,30,80,20,Left,Left,3,0,2,2,,,0.31
2024-09-02 12:37:15,1.17.0,Bandit,0,4.19,,30,80,20,LeftinTimeOut,Left,3,0,2,2,,,
2024-09-02 12:38:32,1.17.0,Bandit,0,4.18,,30,80,20,Right,Left,3,1,2,2,,,0.16
2024-09-02 12:38:57,1.17.0,Bandit,0,4.19,,30,80,20,Right,Left,3,2,2,2,,,0.23
2024-09-02 12:39:18,1.17.0,Bandit,0,4.19,,30,80,20,Right,Left,3,3,2,2,,,0.09
2024-09-02 12:40:29,1.17.0,Bandit,0,4.19,,30,80,20,Left,Left,4,3,2,2,,,0.03
2024-09-02 12:40:32,1.17.0,Bandit,0,4.2,,30,80,20,LeftinTimeOut,Left,4,3,2,2,,,
2024-09-02 12:41:02,1.17.0,Bandit,0,4.19,,30,80,20,Left,Left,5,3,2,2,,,0.15
2024-09-02 12:42:55,1.17.0,Bandit,0,4.19,,30,80,20,Left,Left,6,3,2,2,,,0.0
2024-09-02 12:43:00,1.17.0,Bandit,0,4.19,1.0,30,80,20,Pellet,Left,6,3,3,2,1.52,368.0,
2024-09-02 12:45:06,1.17.0,Bandit,0,4.19,,30,80,20,Left,Left,7,3,3,3,,,0.03
2024-09-02 12:45:09,1.17.0,Bandit,0,4.19,1.0,30,80,20,Pellet,Left,7,3,4,3,0.24,129.0,
2024-09-02 12:46:05,1.17.0,Bandit,0,4.19,,30,80,20,Right,Left,7,4,4,4,,,0.15
2024-09-02 12:46:08,1.17.0,Bandit,0,4.19,1.0,30,80,20,Pellet,Left,7,4,5,4,0.24,59.0,
2024-09-02 12:46:38,1.17.0,Bandit,0,4.19,,30,80,20,Left,Left,8,4,5,5,,,0.19
2024-09-02 12:46:41,1.17.0,Bandit,0,4.19,,30,80,20,LeftinTimeOut,Left,8,4,5,5,,,
2024-09-02 12:48:01,1.17.0,Bandit,0,4.2,,30,80,20,Left,Left,9,4,5,5,,,0.51
2024-09-02 12:48:04,1.17.0,Bandit,0,4.19,2.0,30,80,20,Pellet,Left,9,4,6,5,0.06,116.0,
2024-09-02 12:48:36,1.17.0,Bandit,0,4.19,,30,80,20,Left,Left,10,4,6,6,,,0.01
2024-09-02 12:48:41,1.17.0,Bandit,0,4.19,2.0,30,80,20,Pellet,Left,10,4,7,6,0.06,37.0,
2024-09-02 12:50:08,1.17.0,Bandit,0,4.19,,30,80,20,Right,Left,10,5,7,7,,,0.27
