MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-08-11 14:17:13,1.17.0,Bandit80,47,4.15,,20,20,80,Left,Right,1,0,0,0,,,0.02
2025-08-11 14:17:17,1.17.0,Bandit80,47,4.15,,20,20,80,RightinTimeout,Right,1,0,0,0,,,0.0
2025-08-11 14:17:18,1.17.0,Bandit80,47,4.15,,20,20,80,LeftinTimeOut,Right,1,0,0,0,,,
2025-08-11 14:17:21,1.17.0,Bandit80,47,4.15,,20,20,80,LeftinTimeOut,Right,1,0,0,0,,,
2025-08-11 14:17:21,1.17.0,Bandit80,47,4.15,,20,20,80,LeftinTimeOut,Right,1,0,0,0,,,
2025-08-11 14:17:25,1.17.0,Bandit80,47,4.15,,20,20,80,LeftinTimeOut,Right,1,0,0,0,,,
2025-08-11 14:17:25,1.17.0,Bandit80,47,4.16,,20,20,80,LeftinTimeOut,Right,1,0,0,0,,,
2025-08-11 14:17:25,1.17.0,Bandit80,47,4.16,,20,20,80,LeftinTimeOut,Right,1,0,0,0,,,
2025-08-11 14:17:26,1.17.0,Bandit80,47,4.15,,20,20,80,LeftinTimeOut,Right,1,0,0,0,,,
2025-08-11 14:19:09,1.17.0,Bandit80,47,4.15,,20,20,80,Left,Right,2,0,0,0,,,0.0
2025-08-11 14:19:09,1.17.0,Bandit80,47,4.15,,20,20,80,RightinTimeout,Right,2,0,0,0,,,0.0
2025-08-11 14:19:18,1.17.0,Bandit80,47,4.15,,20,20,80,RightinTimeout,Right,2,0,0,0,,,0.0
2025-08-11 14:19:48,1.17.0,Bandit80,47,4.16,,20,20,80,Right,Right,2,1,0,0,,,0.19
2025-08-11 14:19:53,1.17.0,Bandit80,47,4.15,3.0,20,20,80,Pellet,Right,2,1,1,0,0.85,,
2025-08-11 14:20:11,1.17.0,Bandit80,47,4.15,,20,20,80,Left,Right,3,1,1,1,,,0.12
