MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/25/2025 13:28:34,1.17.0,Bandit80,9,4.18,nan,20,20,80,Right,Right,0,1,0,0,nan,nan,0.45
8/25/2025 13:29:42,1.17.0,Bandit80,9,4.19,3,20,20,80,Pellet,Right,0,1,1,0,Timed_out,nan,nan
8/25/2025 13:30:37,1.17.0,Bandit80,9,4.18,nan,20,20,80,Right,Right,0,2,1,1,nan,nan,0.32
8/25/2025 13:30:41,1.17.0,Bandit80,9,4.19,2,20,20,80,Pellet,Right,0,2,2,1,0.88,59,nan
8/25/2025 13:30:54,1.17.0,Bandit80,9,4.18,nan,20,20,80,Left,Right,1,2,2,2,nan,nan,0.05
8/25/2025 13:30:59,1.17.0,Bandit80,9,4.18,nan,20,20,80,RightinTimeout,Right,1,2,2,2,nan,nan,0.00
8/25/2025 13:31:25,1.17.0,Bandit80,9,4.18,nan,20,20,80,Right,Right,1,3,2,2,nan,nan,0.27
8/25/2025 13:31:26,1.17.0,Bandit80,9,4.18,1,20,20,80,Pellet,Right,1,3,3,2,0.63,45,nan
8/25/2025 13:31:43,1.17.0,Bandit80,9,4.19,nan,20,20,80,Right,Right,1,4,3,3,nan,nan,0.04
8/25/2025 13:31:45,1.17.0,Bandit80,9,4.18,nan,20,20,80,RightinTimeout,Right,1,4,3,3,nan,nan,0.00
8/25/2025 13:31:47,1.17.0,Bandit80,9,4.18,nan,20,20,80,RightinTimeout,Right,1,4,3,3,nan,nan,0.00
8/25/2025 13:31:49,1.17.0,Bandit80,9,4.18,nan,20,20,80,RightinTimeout,Right,1,4,3,3,nan,nan,0.00
8/25/2025 13:31:49,1.17.0,Bandit80,9,4.18,nan,20,20,80,RightinTimeout,Right,1,4,3,3,nan,nan,0.00
8/25/2025 13:31:51,1.17.0,Bandit80,9,4.18,nan,20,20,80,RightinTimeout,Right,1,4,3,3,nan,nan,0.00
8/25/2025 13:31:51,1.17.0,Bandit80,9,4.19,nan,20,20,80,RightinTimeout,Right,1,4,3,3,nan,nan,0.00
8/25/2025 13:31:52,1.17.0,Bandit80,9,4.18,nan,20,20,80,RightinTimeout,Right,1,4,3,3,nan,nan,0.00
8/25/2025 13:31:56,1.17.0,Bandit80,9,4.18,nan,20,20,80,RightinTimeout,Right,1,4,3,3,nan,nan,0.00
8/25/2025 13:31:56,1.17.0,Bandit80,9,4.18,nan,20,20,80,RightinTimeout,Right,1,4,3,3,nan,nan,0.00
8/25/2025 13:31:57,1.17.0,Bandit80,9,4.19,nan,20,20,80,RightinTimeout,Right,1,4,3,3,nan,nan,0.00
8/25/2025 13:32:01,1.17.0,Bandit80,9,4.18,nan,20,20,80,RightinTimeout,Right,1,4,3,3,nan,nan,0.00
8/25/2025 13:32:05,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,1,4,3,3,nan,nan,nan
8/25/2025 13:32:05,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,1,4,3,3,nan,nan,nan
8/25/2025 13:32:06,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,1,4,3,3,nan,nan,nan
8/25/2025 13:32:12,1.17.0,Bandit80,9,4.18,nan,20,20,80,RightinTimeout,Right,1,4,3,3,nan,nan,0.00
8/25/2025 13:32:14,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,1,4,3,3,nan,nan,nan
8/25/2025 13:32:17,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,1,4,3,3,nan,nan,nan
8/25/2025 13:32:18,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,1,4,3,3,nan,nan,nan
8/25/2025 13:32:22,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,1,4,3,3,nan,nan,nan
8/25/2025 13:32:22,1.17.0,Bandit80,9,4.19,nan,20,20,80,LeftinTimeOut,Right,1,4,3,3,nan,nan,nan
8/25/2025 13:32:24,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,1,4,3,3,nan,nan,nan
8/25/2025 13:32:27,1.17.0,Bandit80,9,4.19,nan,20,20,80,LeftinTimeOut,Right,1,4,3,3,nan,nan,nan
8/25/2025 13:32:28,1.17.0,Bandit80,9,4.19,nan,20,20,80,LeftinTimeOut,Right,1,4,3,3,nan,nan,nan
8/25/2025 13:32:29,1.17.0,Bandit80,9,4.19,nan,20,20,80,LeftinTimeOut,Right,1,4,3,3,nan,nan,nan
8/25/2025 13:32:30,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,1,4,3,3,nan,nan,nan
8/25/2025 13:32:37,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,1,4,3,3,nan,nan,nan
8/25/2025 13:32:41,1.17.0,Bandit80,9,4.19,nan,20,20,80,LeftinTimeOut,Right,1,4,3,3,nan,nan,nan
8/25/2025 13:32:44,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,1,4,3,3,nan,nan,nan
8/25/2025 13:32:46,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,1,4,3,3,nan,nan,nan
8/25/2025 13:32:47,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,1,4,3,3,nan,nan,nan
8/25/2025 13:32:48,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,1,4,3,3,nan,nan,nan
8/25/2025 13:33:27,1.17.0,Bandit80,9,4.18,nan,20,20,80,Right,Right,1,5,3,3,nan,nan,0.18
8/25/2025 13:33:29,1.17.0,Bandit80,9,4.18,1,20,20,80,Pellet,Right,1,5,4,3,1.58,123,nan
8/25/2025 13:33:50,1.17.0,Bandit80,9,4.19,nan,20,20,80,Right,Right,1,6,4,4,nan,nan,0.24
8/25/2025 13:33:51,1.17.0,Bandit80,9,4.18,1,20,20,80,Pellet,Right,1,6,5,4,0.82,22,nan
8/25/2025 13:34:31,1.17.0,Bandit80,9,4.18,nan,20,20,80,Left,Right,2,6,5,5,nan,nan,0.21
8/25/2025 13:34:32,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,2,6,5,5,nan,nan,nan
8/25/2025 13:34:33,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,2,6,5,5,nan,nan,nan
8/25/2025 13:35:20,1.17.0,Bandit80,9,4.18,nan,20,20,80,Right,Right,2,7,5,5,nan,nan,0.09
8/25/2025 13:35:27,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,2,7,5,5,nan,nan,nan
8/25/2025 13:35:28,1.17.0,Bandit80,9,4.19,nan,20,20,80,LeftinTimeOut,Right,2,7,5,5,nan,nan,nan
8/25/2025 13:36:06,1.17.0,Bandit80,9,4.19,nan,20,20,80,Right,Right,2,8,5,5,nan,nan,0.36
8/25/2025 13:36:22,1.17.0,Bandit80,9,4.19,nan,20,20,80,Left,Right,3,8,5,5,nan,nan,0.36
8/25/2025 13:36:24,1.17.0,Bandit80,9,4.19,nan,20,20,80,LeftinTimeOut,Right,3,8,5,5,nan,nan,nan
8/25/2025 13:36:25,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,3,8,5,5,nan,nan,nan
8/25/2025 13:36:28,1.17.0,Bandit80,9,4.19,nan,20,20,80,LeftinTimeOut,Right,3,8,5,5,nan,nan,nan
8/25/2025 13:36:29,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,3,8,5,5,nan,nan,nan
8/25/2025 13:36:29,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,3,8,5,5,nan,nan,nan
8/25/2025 13:36:32,1.17.0,Bandit80,9,4.19,nan,20,20,80,LeftinTimeOut,Right,3,8,5,5,nan,nan,nan
8/25/2025 13:36:45,1.17.0,Bandit80,9,4.19,nan,20,20,80,Left,Right,4,8,5,5,nan,nan,0.34
8/25/2025 13:36:47,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,4,8,5,5,nan,nan,nan
8/25/2025 13:36:49,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,4,8,5,5,nan,nan,nan
8/25/2025 13:36:50,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,4,8,5,5,nan,nan,nan
8/25/2025 13:36:53,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,4,8,5,5,nan,nan,nan
8/25/2025 13:36:54,1.17.0,Bandit80,9,4.19,nan,20,20,80,LeftinTimeOut,Right,4,8,5,5,nan,nan,nan
8/25/2025 13:37:27,1.17.0,Bandit80,9,4.19,nan,20,20,80,Right,Right,4,9,5,5,nan,nan,0.05
8/25/2025 13:37:30,1.17.0,Bandit80,9,4.18,1,20,20,80,Pellet,Right,4,9,6,5,1.70,219,nan
8/25/2025 13:38:00,1.17.0,Bandit80,9,4.19,nan,20,20,80,Left,Right,5,9,6,6,nan,nan,0.56
8/25/2025 13:38:01,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,5,9,6,6,nan,nan,nan
8/25/2025 13:38:03,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,5,9,6,6,nan,nan,nan
8/25/2025 13:38:04,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,5,9,6,6,nan,nan,nan
8/25/2025 13:38:06,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,5,9,6,6,nan,nan,nan
8/25/2025 13:38:09,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,5,9,6,6,nan,nan,nan
8/25/2025 13:38:10,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,5,9,6,6,nan,nan,nan
8/25/2025 13:38:11,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,5,9,6,6,nan,nan,nan
8/25/2025 13:38:12,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,5,9,6,6,nan,nan,nan
8/25/2025 13:38:16,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,5,9,6,6,nan,nan,nan
8/25/2025 13:38:19,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,5,9,6,6,nan,nan,nan
8/25/2025 13:38:19,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,5,9,6,6,nan,nan,nan
8/25/2025 13:38:20,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,5,9,6,6,nan,nan,nan
8/25/2025 13:38:20,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,5,9,6,6,nan,nan,nan
8/25/2025 13:38:20,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,5,9,6,6,nan,nan,nan
8/25/2025 13:38:21,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,5,9,6,6,nan,nan,nan
8/25/2025 13:38:23,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,5,9,6,6,nan,nan,nan
8/25/2025 13:38:24,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,5,9,6,6,nan,nan,nan
8/25/2025 13:38:31,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,5,9,6,6,nan,nan,nan
8/25/2025 13:38:31,1.17.0,Bandit80,9,4.19,nan,20,20,80,LeftinTimeOut,Right,5,9,6,6,nan,nan,nan
8/25/2025 13:38:34,1.17.0,Bandit80,9,4.19,nan,20,20,80,LeftinTimeOut,Right,5,9,6,6,nan,nan,nan
8/25/2025 13:38:35,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,5,9,6,6,nan,nan,nan
8/25/2025 13:38:40,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,5,9,6,6,nan,nan,nan
8/25/2025 13:38:41,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,5,9,6,6,nan,nan,nan
8/25/2025 13:38:41,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,5,9,6,6,nan,nan,nan
8/25/2025 13:38:43,1.17.0,Bandit80,9,4.18,nan,20,20,80,LeftinTimeOut,Right,5,9,6,6,nan,nan,nan
8/25/2025 13:38:48,1.17.0,Bandit80,9,4.18,nan,20,20,80,RightinTimeout,Right,5,9,6,6,nan,nan,0.00
8/25/2025 13:38:49,1.17.0,Bandit80,9,4.18,nan,20,20,80,RightinTimeout,Right,5,9,6,6,nan,nan,0.00
8/25/2025 13:38:50,1.17.0,Bandit80,9,4.19,nan,20,20,80,RightinTimeout,Right,5,9,6,6,nan,nan,0.00
8/25/2025 13:38:54,1.17.0,Bandit80,9,4.18,nan,20,20,80,RightinTimeout,Right,5,9,6,6,nan,nan,0.00
8/25/2025 13:38:57,1.17.0,Bandit80,9,4.18,nan,20,20,80,RightinTimeout,Right,5,9,6,6,nan,nan,0.00
8/25/2025 13:38:59,1.17.0,Bandit80,9,4.19,nan,20,20,80,RightinTimeout,Right,5,9,6,6,nan,nan,0.00
8/25/2025 13:38:59,1.17.0,Bandit80,9,4.18,nan,20,20,80,RightinTimeout,Right,5,9,6,6,nan,nan,0.00
8/25/2025 13:39:00,1.17.0,Bandit80,9,4.18,nan,20,20,80,RightinTimeout,Right,5,9,6,6,nan,nan,0.00
8/25/2025 13:39:02,1.17.0,Bandit80,9,4.18,nan,20,20,80,RightinTimeout,Right,5,9,6,6,nan,nan,0.00
8/25/2025 13:39:02,1.17.0,Bandit80,9,4.18,nan,20,20,80,RightinTimeout,Right,5,9,6,6,nan,nan,0.00
