MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/25/2025 13:29:14,1.17.0,Bandit80,10,4.14,nan,20,20,80,Right,Right,0,1,0,0,nan,nan,0.28
8/25/2025 13:30:29,1.17.0,Bandit80,10,4.14,4,20,20,80,Pellet,Right,0,1,1,0,Timed_out,nan,nan
8/25/2025 13:30:49,1.17.0,Bandit80,10,4.14,nan,20,20,80,Right,Right,0,2,1,1,nan,nan,0.10
8/25/2025 13:30:53,1.17.0,Bandit80,10,4.14,2,20,20,80,Pellet,Right,0,2,2,1,3.10,24,nan
8/25/2025 13:31:19,1.17.0,Bandit80,10,4.14,nan,20,20,80,Left,Right,1,2,2,2,nan,nan,0.74
8/25/2025 13:31:22,1.17.0,Bandit80,10,4.14,nan,20,20,80,RightinTimeout,Right,1,2,2,2,nan,nan,0.00
8/25/2025 13:31:23,1.17.0,Bandit80,10,4.14,nan,20,20,80,RightinTimeout,Right,1,2,2,2,nan,nan,0.00
8/25/2025 13:31:23,1.17.0,Bandit80,10,4.14,nan,20,20,80,RightinTimeout,Right,1,2,2,2,nan,nan,0.00
8/25/2025 13:32:03,1.17.0,Bandit80,10,4.14,nan,20,20,80,Right,Right,1,3,2,2,nan,nan,0.27
8/25/2025 13:32:05,1.17.0,Bandit80,10,4.14,2,20,20,80,Pellet,Right,1,3,3,2,1.26,72,nan
8/25/2025 13:32:20,1.17.0,Bandit80,10,4.14,nan,20,20,80,Right,Right,1,4,3,3,nan,nan,0.34
8/25/2025 13:32:21,1.17.0,Bandit80,10,4.14,2,20,20,80,Pellet,Right,1,4,4,3,0.44,16,nan
8/25/2025 13:32:32,1.17.0,Bandit80,10,4.14,nan,20,20,80,Right,Right,1,5,4,4,nan,nan,0.02
8/25/2025 13:32:33,1.17.0,Bandit80,10,4.14,1,20,20,80,Pellet,Right,1,5,5,4,0.37,12,nan
