MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-08-25 15:08:52,1.17.2,Bandit80,39,4.18,,20,20,80,Right,Right,0,1,0,0,,,0.56
2025-08-25 15:11:29,1.17.2,Bandit80,39,4.19,3.0,20,20,80,Pellet,Right,0,1,1,0,,,
2025-08-25 15:11:58,1.17.2,Bandit80,39,4.19,,20,20,80,Right,Right,0,2,1,1,,,0.17
2025-08-25 15:12:01,1.17.2,Bandit80,39,4.19,1.0,20,20,80,Pellet,Right,0,2,2,1,1.53,32.0,
2025-08-25 15:13:03,1.17.2,Bandit80,39,4.19,,20,20,80,Left,Right,1,2,2,2,,,0.12
2025-08-25 15:13:22,1.17.2,Bandit80,39,4.18,,20,20,80,Right,Right,1,3,2,2,,,0.4
2025-08-25 15:13:24,1.17.2,Bandit80,39,4.18,1.0,20,20,80,Pellet,Right,1,3,3,2,1.28,83.0,
2025-08-25 15:13:37,1.17.2,Bandit80,39,4.18,,20,20,80,Right,Right,1,4,3,3,,,0.12
2025-08-25 15:13:40,1.17.2,Bandit80,39,4.19,1.0,20,20,80,Pellet,Right,1,4,4,3,1.53,16.0,
2025-08-25 15:13:53,1.17.2,Bandit80,39,4.18,,20,20,80,Right,Right,1,5,4,4,,,0.05
2025-08-25 15:13:58,1.17.2,Bandit80,39,4.19,1.0,20,20,80,Pellet,Right,1,5,5,4,4.11,18.0,
2025-08-25 15:14:11,1.17.2,Bandit80,39,4.18,,20,20,80,Right,Right,1,6,5,5,,,0.08
2025-08-25 15:14:12,1.17.2,Bandit80,39,4.19,,20,20,80,RightinTimeout,Right,1,6,5,5,,,0.0
2025-08-25 15:14:12,1.17.2,Bandit80,39,4.18,,20,20,80,RightinTimeout,Right,1,6,5,5,,,0.0
2025-08-25 15:14:13,1.17.2,Bandit80,39,4.18,,20,20,80,RightinTimeout,Right,1,6,5,5,,,0.0
2025-08-25 15:14:13,1.17.2,Bandit80,39,4.2,,20,20,80,RightinTimeout,Right,1,6,5,5,,,0.0
2025-08-25 15:14:16,1.17.2,Bandit80,39,4.18,,20,20,80,RightinTimeout,Right,1,6,5,5,,,0.0
2025-08-25 15:14:20,1.17.2,Bandit80,39,4.19,,20,20,80,LeftinTimeOut,Right,1,6,5,5,,,
2025-08-25 15:14:24,1.17.2,Bandit80,39,4.18,,20,20,80,LeftinTimeOut,Right,1,6,5,5,,,
2025-08-25 15:14:25,1.17.2,Bandit80,39,4.18,,20,20,80,LeftinTimeOut,Right,1,6,5,5,,,
2025-08-25 15:14:45,1.17.2,Bandit80,39,4.19,,20,20,80,Left,Right,2,6,5,5,,,0.0
2025-08-25 15:15:43,1.17.2,Bandit80,39,4.18,,20,20,80,Left,Right,3,6,5,5,,,0.19
2025-08-25 15:16:16,1.17.2,Bandit80,39,4.18,,20,20,80,Right,Right,3,7,5,5,,,0.45
2025-08-25 15:16:16,1.17.2,Bandit80,39,4.18,,20,20,80,RightDuringDispense,Right,3,7,5,5,,,0.0
2025-08-25 15:16:19,1.17.2,Bandit80,39,4.18,,20,20,80,RightDuringDispense,Right,3,7,5,5,,,0.17
2025-08-25 15:16:23,1.17.2,Bandit80,39,4.18,4.0,20,20,80,Pellet,Right,3,7,6,5,1.4,145.0,
2025-08-25 15:16:43,1.17.2,Bandit80,39,4.19,,20,20,80,Left,Right,4,7,6,6,,,0.23
2025-08-25 15:16:44,1.17.2,Bandit80,39,4.19,,20,20,80,LeftinTimeOut,Right,4,7,6,6,,,
2025-08-25 15:16:49,1.17.2,Bandit80,39,4.18,,20,20,80,LeftinTimeOut,Right,4,7,6,6,,,
2025-08-25 15:16:49,1.17.2,Bandit80,39,4.19,,20,20,80,LeftinTimeOut,Right,4,7,6,6,,,
2025-08-25 15:16:59,1.17.2,Bandit80,39,4.19,,20,20,80,Left,Right,5,7,6,6,,,0.0
2025-08-25 15:17:01,1.17.2,Bandit80,39,4.19,,20,20,80,LeftinTimeOut,Right,5,7,6,6,,,
2025-08-25 15:18:42,1.17.2,Bandit80,39,4.18,,20,20,80,Right,Right,5,8,6,6,,,0.53
2025-08-25 15:18:43,1.17.2,Bandit80,39,4.19,,20,20,80,RightinTimeout,Right,5,8,6,6,,,0.0
2025-08-25 15:18:44,1.17.2,Bandit80,39,4.18,,20,20,80,RightinTimeout,Right,5,8,6,6,,,0.0
2025-08-25 15:18:44,1.17.2,Bandit80,39,4.18,,20,20,80,RightinTimeout,Right,5,8,6,6,,,0.0
2025-08-25 15:18:44,1.17.2,Bandit80,39,4.19,,20,20,80,RightinTimeout,Right,5,8,6,6,,,0.0
2025-08-25 15:18:45,1.17.2,Bandit80,39,4.18,,20,20,80,RightinTimeout,Right,5,8,6,6,,,0.0
2025-08-25 15:18:46,1.17.2,Bandit80,39,4.19,,20,20,80,RightinTimeout,Right,5,8,6,6,,,0.0
2025-08-25 15:18:46,1.17.2,Bandit80,39,4.18,,20,20,80,RightinTimeout,Right,5,8,6,6,,,0.0
2025-08-25 15:18:46,1.17.2,Bandit80,39,4.18,,20,20,80,RightinTimeout,Right,5,8,6,6,,,0.0
2025-08-25 15:18:50,1.17.2,Bandit80,39,4.19,,20,20,80,RightinTimeout,Right,5,8,6,6,,,0.0
2025-08-25 15:18:51,1.17.2,Bandit80,39,4.18,,20,20,80,RightinTimeout,Right,5,8,6,6,,,0.0
2025-08-25 15:18:52,1.17.2,Bandit80,39,4.19,,20,20,80,RightinTimeout,Right,5,8,6,6,,,0.0
2025-08-25 15:18:52,1.17.2,Bandit80,39,4.19,,20,20,80,RightinTimeout,Right,5,8,6,6,,,0.0
2025-08-25 15:18:53,1.17.2,Bandit80,39,4.19,,20,20,80,RightinTimeout,Right,5,8,6,6,,,0.0
2025-08-25 15:18:53,1.17.2,Bandit80,39,4.18,,20,20,80,RightinTimeout,Right,5,8,6,6,,,0.0
2025-08-25 15:18:56,1.17.2,Bandit80,39,4.19,,20,20,80,RightinTimeout,Right,5,8,6,6,,,0.0
2025-08-25 15:18:57,1.17.2,Bandit80,39,4.18,,20,20,80,RightinTimeout,Right,5,8,6,6,,,0.0
2025-08-25 15:19:10,1.17.2,Bandit80,39,4.19,,20,20,80,Left,Right,6,8,6,6,,,0.25
2025-08-25 15:19:10,1.17.2,Bandit80,39,4.18,,20,20,80,LeftinTimeOut,Right,6,8,6,6,,,
2025-08-25 15:19:12,1.17.2,Bandit80,39,4.19,,20,20,80,LeftinTimeOut,Right,6,8,6,6,,,
